p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
6.33575480198e-05	0.00158393870049	Hedgehog	INOH	None	ENSG00000114302; ENSG00000128602; ENSG00000147889	5576; 1029; 6608	72	72
0.00346079713606	0.0194803484925	Metabolism of proteins	Reactome	R-HSA-392499	ENSG00000166847; ENSG00000109475; ENSG00000147889; ENSG00000111737; ENSG00000123349; ENSG00000114867	6164; 1029; 84516; 5204; 11021; 1981	1506	1478
0.00357428102058	0.0194803484925	Signaling by Hedgehog	Reactome	R-HSA-5358351	ENSG00000114302; ENSG00000128602	5576; 6608	83	81
0.0055004082845	0.0194803484925	Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)	Reactome	R-HSA-975956	ENSG00000114867; ENSG00000109475	6164; 1981	109	101
0.00683985881954	0.0194803484925	Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)	Reactome	R-HSA-975957	ENSG00000114867; ENSG00000109475	1981; 6164	122	113
0.00683985881954	0.0194803484925	Nonsense-Mediated Decay (NMD)	Reactome	R-HSA-927802	ENSG00000114867; ENSG00000109475	1981; 6164	122	113
0.00755994335087	0.0194803484925	L13a-mediated translational silencing of Ceruloplasmin expression	Reactome	R-HSA-156827	ENSG00000114867; ENSG00000109475	6164; 1981	129	119
0.00755994335087	0.0194803484925	3, -UTR-mediated translational regulation	Reactome	R-HSA-157279	ENSG00000114867; ENSG00000109475	6164; 1981	129	119
0.00768317901971	0.0194803484925	GTP hydrolysis and joining of the 60S ribosomal subunit	Reactome	R-HSA-72706	ENSG00000114867; ENSG00000109475	6164; 1981	129	120
0.0085713533367	0.0194803484925	Cap-dependent Translation Initiation	Reactome	R-HSA-72737	ENSG00000114867; ENSG00000109475	6164; 1981	137	127
0.0085713533367	0.0194803484925	Eukaryotic Translation Initiation	Reactome	R-HSA-72613	ENSG00000114867; ENSG00000109475	6164; 1981	137	127
