p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
2.66519383243e-05	0.000454955303218	Direct p53 effectors	PID	p53downstreampathway	ENSG00000161513; ENSG00000130513; ENSG00000134574; ENSG00000185088	51065; 1643; 9518; 2232	147	143
4.54955303218e-05	0.000454955303218	Validated transcriptional targets of TAp63 isoforms	PID	tap63pathway	ENSG00000161513; ENSG00000130513; ENSG00000147889	9518; 2232; 1029	57	56
8.51248529717e-05	0.000567499019811	p53 signaling pathway - Homo sapiens (human)	KEGG	path:hsa04115	ENSG00000147889; ENSG00000134574; ENSG00000172667	1029; 64393; 1643	69	69
0.00242575834532	0.00923672985829	rRNA modification in the nucleus and cytosol	Reactome	R-HSA-6790901	ENSG00000065183; ENSG00000132467	10885; 57050	61	58
0.00242575834532	0.00923672985829	rRNA processing in the nucleus and cytosol	Reactome	R-HSA-8868773	ENSG00000065183; ENSG00000132467	10885; 57050	61	58
0.00294527817928	0.00923672985829	rRNA processing	Reactome	R-HSA-72312	ENSG00000065183; ENSG00000132467	10885; 57050	67	64
0.0032328554504	0.00923672985829	Gene Expression	Reactome	R-HSA-74160	ENSG00000079785; ENSG00000065183; ENSG00000134574; ENSG00000147889; ENSG00000174173; ENSG00000132467; ENSG00000185088	1653; 1643; 10885; 1029; 51065; 54931; 57050	1755	1710
0.0051347719927	0.0114106044282	Apoptosis	Wikipathways	WP254	ENSG00000147889; ENSG00000126456	3661; 1029	85	85
0.0051347719927	0.0114106044282	Apoptotic Signaling Pathway	Wikipathways	WP3639	ENSG00000147889; ENSG00000126456	3661; 1029	85	85
0.00704070922346	0.0140814184469	tRNA processing	Reactome	R-HSA-72306	ENSG00000079785; ENSG00000174173	1653; 54931	102	100
