p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
0.000567722520441	0.0789319261877	GTP hydrolysis and joining of the 60S ribosomal subunit	Reactome	R-HSA-72706	ENSG00000213741; ENSG00000105193; ENSG00000158417; ENSG00000227097; ENSG00000156976; ENSG00000177600; ENSG00000165502	9669; 646195; 6181; 6235; 6166; 1974; 6217	129	120
0.000675814039033	0.0789319261877	p38 MAPK Signaling Pathway	Wikipathways	WP400	ENSG00000115415; ENSG00000089022; ENSG00000106211; ENSG00000204209	6772; 1616; 8550; 3315	34	34
0.000795964364784	0.0789319261877	Cap-dependent Translation Initiation	Reactome	R-HSA-72737	ENSG00000213741; ENSG00000105193; ENSG00000158417; ENSG00000227097; ENSG00000156976; ENSG00000177600; ENSG00000165502	9669; 646195; 6181; 6235; 6166; 1974; 6217	137	127
0.000795964364784	0.0789319261877	Eukaryotic Translation Initiation	Reactome	R-HSA-72613	ENSG00000213741; ENSG00000105193; ENSG00000158417; ENSG00000227097; ENSG00000156976; ENSG00000177600; ENSG00000165502	9669; 646195; 6181; 6235; 6166; 1974; 6217	137	127
0.000855785582533	0.0789319261877	Translation	Reactome	R-HSA-72766	ENSG00000213741; ENSG00000105193; ENSG00000158417; ENSG00000227097; ENSG00000156976; ENSG00000177600; ENSG00000165502; ENSG00000173113	9669; 646195; 6181; 6235; 51504; 6166; 1974; 6217	177	167
0.000899009524498	0.0789319261877	IL-1 JNK	INOH	None	ENSG00000244687; ENSG00000196083; ENSG00000050748; ENSG00000107643; ENSG00000008018	7335; 5599; 5601; 5689; 3556	63	63
0.00115742471776	0.0789319261877	Eukaryotic Translation Termination	Reactome	R-HSA-72764	ENSG00000213741; ENSG00000105193; ENSG00000227097; ENSG00000177600; ENSG00000165502; ENSG00000173113	646195; 6181; 6235; 51504; 6166; 6217	106	99
0.00118918156215	0.0789319261877	IL-1 p38	INOH	None	ENSG00000244687; ENSG00000050748; ENSG00000107643; ENSG00000008018; ENSG00000196083	7335; 3556; 5599; 5601; 5689	67	67
0.00187516484207	0.0870544465405	JNK (c-Jun kinases) phosphorylation and  activation mediated by activated human TAK1	Reactome	R-HSA-450321	ENSG00000244687; ENSG00000050748; ENSG00000107643	5601; 7335; 5599	21	21
0.00187516484207	0.0870544465405	TSLP	NetPath	Pathway_TSLP	ENSG00000115415; ENSG00000050748; ENSG00000107643	6772; 5601; 5599	21	21
0.0020435702813	0.0870544465405	Glypican 3 network	PID	glypican_3pathway	ENSG00000050748; ENSG00000107643	5601; 5599	6	6
0.00208874867269	0.0870544465405	Transcription of the HIV genome	Reactome	R-HSA-167172	ENSG00000177700; ENSG00000103363; ENSG00000105258; ENSG00000166337; ENSG00000101654	5441; 5438; 6923; 6881; 8731	79	76
0.00245388092051	0.0870544465405	Photodynamic therapy-induced NFE2L2 (NRF2) survival signaling	Wikipathways	WP3612	ENSG00000084207; ENSG00000181019; ENSG00000107643	2950; 1728; 5599	23	23
0.00278017506159	0.0870544465405	Fas	INOH	None	ENSG00000050748; ENSG00000107643; ENSG00000204209	5599; 5601; 1616	24	24
0.00295368296563	0.0870544465405	L13a-mediated translational silencing of Ceruloplasmin expression	Reactome	R-HSA-156827	ENSG00000213741; ENSG00000105193; ENSG00000227097; ENSG00000156976; ENSG00000177600; ENSG00000165502	646195; 6181; 6235; 6166; 1974; 6217	129	119
0.00295368296563	0.0870544465405	3, -UTR-mediated translational regulation	Reactome	R-HSA-157279	ENSG00000213741; ENSG00000105193; ENSG00000227097; ENSG00000156976; ENSG00000177600; ENSG00000165502	646195; 6181; 6235; 6166; 1974; 6217	129	119
0.00362182264847	0.0870544465405	Keratinization	Reactome	R-HSA-6805567	ENSG00000052344; ENSG00000171401; ENSG00000169469; ENSG00000124102; ENSG00000205420; ENSG00000241794	5652; 6700; 3860; 5266; 3853; 6699	125	124
0.00375544182274	0.0870544465405	Rapid glucocorticoid signaling	PID	rapid_gr_pathway	ENSG00000050748; ENSG00000107643	5601; 5599	8	8
0.00375544182274	0.0870544465405	Sulfur relay system - Homo sapiens (human)	KEGG	path:hsa04122	ENSG00000142544; ENSG00000128309	90353; 4357	8	8
0.00391453635357	0.0870544465405	FGFR2 alternative splicing	Reactome	R-HSA-6803529	ENSG00000177700; ENSG00000105258; ENSG00000011304	5441; 5438; 5725	29	27
0.00391453635357	0.0870544465405	RNA Pol II CTD phosphorylation and interaction with CE	Reactome	R-HSA-77075	ENSG00000177700; ENSG00000105258; ENSG00000101654	5441; 5438; 8731	27	27
0.00391453635357	0.0870544465405	RNA Pol II CTD phosphorylation and interaction with CE during HIV infection	Reactome	R-HSA-167160	ENSG00000177700; ENSG00000105258; ENSG00000101654	5441; 5438; 8731	27	27
0.00391453635357	0.0870544465405	TLR ECSIT MEKK1 JNK	INOH	None	ENSG00000196083; ENSG00000050748; ENSG00000107643	5599; 5601; 3556	27	27
0.00409860859419	0.0870544465405	IL-1 signaling pathway	Wikipathways	WP195	ENSG00000196083; ENSG00000050748; ENSG00000107643; ENSG00000244687	3556; 7335; 5599; 5601	55	55
0.00409860859419	0.0870544465405	IL1	NetPath	Pathway_IL1	ENSG00000244687; ENSG00000050748; ENSG00000107643; ENSG00000196083	7335; 5601; 3556; 5599	56	55
