p-value	q-value	term_goid	term_category	term_level	term_name	members_input_overlap	members_input_overlap_geneids	size	effective_size
9.13450193675e-05	0.00246631552292	GO:0004029	m	5	aldehyde dehydrogenase (NAD) activity	217; 7915; 8659	ENSG00000111275; ENSG00000159423; ENSG00000112294	19	19
0.000215265041929	0.0273517275197	GO:0019640	b	4	glucuronate catabolic process to xylulose 5-phosphate	51084; 51181	ENSG00000165475; ENSG00000169738	5	5
0.000215265041929	0.0273517275197	GO:0051167	b	4	xylulose 5-phosphate metabolic process	51084; 51181	ENSG00000165475; ENSG00000169738	5	5
0.000215265041929	0.0387477075473	GO:1901159	b	5	xylulose 5-phosphate biosynthetic process	51084; 51181	ENSG00000165475; ENSG00000169738	5	5
0.000292011325833	0.0273517275197	GO:0048678	b	4	response to axon injury	1809; 3371; 9469; 29956	ENSG00000122863; ENSG00000041982; ENSG00000143418; ENSG00000113657	68	68
0.000313068695492	0.0580757829855	GO:0035556	b	3	intracellular signal transduction	649; 754; 857; 5333; 5536; 5873; 6196; 7423; 7466; 8463; 8654; 9649; 9886; 10256; 10966; 11163; 8325; 83931; 55075; 23085; 23092; 23564; 388121; 28996; 128272	ENSG00000138735; ENSG00000183578; ENSG00000069974; ENSG00000136828; ENSG00000072422; ENSG00000142675; ENSG00000071242; ENSG00000137831; ENSG00000183255; ENSG00000082805; ENSG00000109501; ENSG00000141542; ENSG00000173511; ENSG00000177283; ENSG00000074219; ENSG00000187091; ENSG00000173598; ENSG00000213722; ENSG00000142632; ENSG00000105974; ENSG00000196182; ENSG00000064393; ENSG00000145819; ENSG00000168487; ENSG00000011485	2634	2626
0.000572737797144	0.0252004630743	GO:0005737	c	3	cytoplasm	217; 247; 476; 649; 726; 754; 857; 1809; 2275; 2870; 4008; 5036; 5333; 5536; 5757; 5833; 5873; 169714; 55604; 6196; 7067; 100506658; 7423; 7466; 7915; 8563; 8654; 8659; 9053; 9159; 9324; 9469; 9649; 9718; 9886; 10256; 10440; 83693; 10809; 11163; 51084; 24145; 57460; 8325; 112724; 83694; 83931; 51181; 84935; 55075; 55690; 23085; 23092; 23564; 123016; 58473; 284612; 388121; 28996; 29956; 79603; 64838; 64841; 64855; 65220	ENSG00000138735; ENSG00000159423; ENSG00000064393; ENSG00000183578; ENSG00000135525; ENSG00000214530; ENSG00000169738; ENSG00000122863; ENSG00000100522; ENSG00000118418; ENSG00000109501; ENSG00000136828; ENSG00000072422; ENSG00000142675; ENSG00000126351; ENSG00000071242; ENSG00000163399; ENSG00000111275; ENSG00000137831; ENSG00000183255; ENSG00000082805; ENSG00000079691; ENSG00000021300; ENSG00000102802; ENSG00000213722; ENSG00000112294; ENSG00000136153; ENSG00000149260; ENSG00000100296; ENSG00000143028; ENSG00000173511; ENSG00000090661; ENSG00000160613; ENSG00000177283; ENSG00000110218; ENSG00000185813; ENSG00000160439; ENSG00000145194; ENSG00000183386; ENSG00000187091; ENSG00000103160; ENSG00000173598; ENSG00000143418; ENSG00000165661; ENSG00000175115; ENSG00000069974; ENSG00000170515; ENSG00000008130; ENSG00000165475; ENSG00000134375; ENSG00000165533; ENSG00000179593; ENSG00000197822; ENSG00000105974; ENSG00000115226; ENSG00000196182; ENSG00000113657; ENSG00000145819; ENSG00000198055; ENSG00000168487; ENSG00000011485; ENSG00000187514; ENSG00000198208; ENSG00000111110; ENSG00000136830	10661	10616
0.000635410243286	0.0292288711911	GO:0016620	m	4	oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor	217; 7915; 8659	ENSG00000111275; ENSG00000159423; ENSG00000112294	36	36
0.000950243082917	0.0580757829855	GO:0009611	b	3	response to wounding	780; 857; 1809; 3371; 5873; 55604; 7423; 9469; 29956; 128272	ENSG00000173511; ENSG00000142632; ENSG00000105974; ENSG00000113657; ENSG00000079691; ENSG00000122863; ENSG00000204580; ENSG00000143418; ENSG00000069974; ENSG00000041982	653	653
0.000959933855816	0.0580757829855	GO:0006793	b	3	phosphorus metabolic process	476; 649; 780; 857; 2870; 5333; 5536; 5833; 6196; 7423; 7466; 7915; 8654; 10256; 11163; 51084; 57460; 8325; 83694; 83931; 51181; 23085; 26751; 388121; 28996; 64841; 65220	ENSG00000138735; ENSG00000169738; ENSG00000100522; ENSG00000142675; ENSG00000035115; ENSG00000071242; ENSG00000163399; ENSG00000111110; ENSG00000082805; ENSG00000109501; ENSG00000112294; ENSG00000173511; ENSG00000177283; ENSG00000185813; ENSG00000198208; ENSG00000173598; ENSG00000187091; ENSG00000008130; ENSG00000165475; ENSG00000105974; ENSG00000204580; ENSG00000196182; ENSG00000064393; ENSG00000183578; ENSG00000198055; ENSG00000168487; ENSG00000011485	3174	3162
