p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
2.41101954507e-05	0.00320665599494	D-glucuronate degradation	HumanCyc	PWY-5525	ENSG00000165475; ENSG00000169738	51084; 51181	2	2
0.000190618359157	0.00362174882399	2-Hydroxyglutric Aciduria (D And L Form)	SMPDB	SMP00136	ENSG00000100522; ENSG00000159423; ENSG00000112294	64841; 8659; 7915	23	23
0.000190618359157	0.00362174882399	Homocarnosinosis	SMPDB	SMP00385	ENSG00000100522; ENSG00000159423; ENSG00000112294	64841; 8659; 7915	23	23
0.000190618359157	0.00362174882399	Hyperinsulinism-Hyperammonemia Syndrome	SMPDB	SMP00339	ENSG00000100522; ENSG00000159423; ENSG00000112294	64841; 8659; 7915	23	23
0.000190618359157	0.00362174882399	Succinic semialdehyde dehydrogenase deficiency	SMPDB	SMP00567	ENSG00000100522; ENSG00000159423; ENSG00000112294	64841; 8659; 7915	23	23
0.000190618359157	0.00362174882399	4-Hydroxybutyric Aciduria/Succinic Semialdehyde Dehydrogenase Deficiency	SMPDB	SMP00243	ENSG00000100522; ENSG00000159423; ENSG00000112294	64841; 8659; 7915	23	23
0.000190618359157	0.00362174882399	Glutamate Metabolism	SMPDB	SMP00072	ENSG00000100522; ENSG00000159423; ENSG00000112294	64841; 8659; 7915	23	23
0.000238799780853	0.00397004635668	Catabolism of glucuronate to xylulose-5-phosphate	Reactome	R-HSA-5661270	ENSG00000165475; ENSG00000169738	51084; 51181	5	5
0.000276900824884	0.00409197885661	Glutamate Glutamine metabolism	INOH	None	ENSG00000111275; ENSG00000159423; ENSG00000112294	8659; 7915; 217	28	26
0.00154124600952	0.0204985719266	eNOS activation	Reactome	R-HSA-203615	ENSG00000105974; ENSG00000213722	23564; 857	12	12
0.00312570874773	0.0377926603134	Cyclophosphamide Pathway, Pharmacodynamics	PharmGKB	PA2035	ENSG00000111275; ENSG00000112294	7915; 217	17	17
0.00390518581793	0.0432824761487	Sphingolipid Metabolism	Wikipathways	WP1422	ENSG00000143418; ENSG00000090661	29956; 79603	19	19
0.00570484555803	0.0541960328013	eNOS activation and regulation	Reactome	R-HSA-203765	ENSG00000105974; ENSG00000213722	23564; 857	23	23
0.00570484555803	0.0541960328013	Metabolism of nitric oxide	Reactome	R-HSA-202131	ENSG00000105974; ENSG00000213722	23564; 857	23	23
0.00898215628878	0.0796417857605	VEGFR1 specific signals	PID	vegfr1_pathway	ENSG00000173511; ENSG00000105974	7423; 857	29	29
