p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
3.369198725e-05	0.0024932070565	Adipogenesis	Wikipathways	WP236	ENSG00000184557; ENSG00000147872; ENSG00000175197; ENSG00000259384; ENSG00000221869	123; 1649; 2688; 9021; 1052	131	131
0.000158182055577	0.00585273605634	Pancreatic secretion - Homo sapiens (human)	KEGG	path:hsa04972	ENSG00000219073; ENSG00000091704; ENSG00000175535; ENSG00000204983	5644; 5406; 1357; 23436	96	96
0.000356263768603	0.00878783962554	Growth hormone signaling	INOH	None	ENSG00000184557; ENSG00000259384	2688; 9021	10	10
0.000516297826778	0.00955150979539	Legionellosis - Homo sapiens (human)	KEGG	path:hsa05134	ENSG00000064012; ENSG00000013441; ENSG00000185122	1195; 841; 3297	55	55
0.000823798703291	0.0121922208087	Prolactin receptor signaling	Reactome	R-HSA-1170546	ENSG00000172179; ENSG00000259384	2688; 5617	15	15
0.00106316508535	0.013112369386	Digestion of dietary lipid	Reactome	R-HSA-192456	ENSG00000137392; ENSG00000175535	1208; 5406	17	17
0.00133195156347	0.0140806308139	Growth hormone receptor signaling	Reactome	R-HSA-982772	ENSG00000184557; ENSG00000259384	2688; 9021	19	19
0.00187587312047	0.0173518263644	Herpes simplex infection - Homo sapiens (human)	KEGG	path:hsa05168	ENSG00000064012; ENSG00000085514; ENSG00000184557; ENSG00000112081	6428; 29992; 9021; 841	185	185
0.00215803266892	0.0177438241667	Protein digestion and absorption - Homo sapiens (human)	KEGG	path:hsa04974	ENSG00000219073; ENSG00000091704; ENSG00000204983	5644; 23436; 1357	90	90
0.0037738568646	0.027926540798	White fat cell differentiation	Wikipathways	WP3946	ENSG00000175197; ENSG00000221869	1052; 1649	32	32
0.00613871227688	0.0371665652541	Fat digestion and absorption - Homo sapiens (human)	KEGG	path:hsa04975	ENSG00000137392; ENSG00000175535	5406; 1208	41	41
0.00673578394616	0.0371665652541	Retinoid metabolism and transport	Reactome	R-HSA-975634	ENSG00000137392; ENSG00000175535	5406; 1208	44	43
0.00673578394616	0.0371665652541	JAK-STAT	Wikipathways	WP2593	ENSG00000172179; ENSG00000184557	9021; 5617	43	43
0.0073582257531	0.0371665652541	RAGE	NetPath	Pathway_RAGE	ENSG00000064012; ENSG00000175197	1649; 841	45	45
0.0080057434099	0.0371665652541	IL6-mediated signaling events	PID	il6_7pathway	ENSG00000184557; ENSG00000221869	1052; 9021	48	47
0.00916718740658	0.0371665652541	Non-alcoholic fatty liver disease (NAFLD) - Homo sapiens (human)	KEGG	path:hsa04932	ENSG00000184557; ENSG00000175197; ENSG00000064012	1649; 9021; 841	151	151
0.00937484100433	0.0371665652541	Metabolism of fat-soluble vitamins	Reactome	R-HSA-6806667	ENSG00000137392; ENSG00000175535	5406; 1208	52	51
