p-value	q-value	term_goid	term_category	term_level	term_name	members_input_overlap	members_input_overlap_geneids	size	effective_size
2.86074650167e-07	9.44046345552e-06	GO:0005859	c	3	muscle myosin complex	4619; 4620; 4625; 4632	ENSG00000092054; ENSG00000125414; ENSG00000109061; ENSG00000168530	19	19
5.36248039678e-07	1.12612088332e-05	GO:0032982	c	4	myosin filament	4604; 4619; 4620; 4625	ENSG00000092054; ENSG00000125414; ENSG00000196091; ENSG00000109061	22	22
1.08609460407e-06	1.14039933428e-05	GO:0016460	c	4	myosin II complex	4619; 4620; 4625; 4632	ENSG00000092054; ENSG00000125414; ENSG00000109061; ENSG00000168530	26	26
1.94309530446e-06	3.20610725236e-05	GO:0016459	c	3	myosin complex	4604; 4619; 4620; 4625; 4632	ENSG00000092054; ENSG00000125414; ENSG00000196091; ENSG00000109061; ENSG00000168530	68	68
2.78237272753e-06	1.94766090927e-05	GO:0030016	c	5	myofibril	4604; 4619; 4620; 4625; 4632; 4703; 4892	ENSG00000197893; ENSG00000183091; ENSG00000125414; ENSG00000196091; ENSG00000168530; ENSG00000109061; ENSG00000092054	206	205
3.93060197885e-06	2.75142138519e-05	GO:0043292	c	4	contractile fiber	4604; 4619; 4620; 4625; 4632; 4703; 4892	ENSG00000197893; ENSG00000183091; ENSG00000125414; ENSG00000196091; ENSG00000168530; ENSG00000109061; ENSG00000092054	217	216
9.63602310952e-06	0.0011081426576	GO:0070252	b	5	actin-mediated cell contraction	4604; 4620; 4625; 4632; 4703	ENSG00000092054; ENSG00000125414; ENSG00000196091; ENSG00000183091; ENSG00000168530	94	94
2.35842500162e-05	0.00462251300317	GO:0030048	b	4	actin filament-based movement	4604; 4620; 4625; 4632; 4703	ENSG00000092054; ENSG00000125414; ENSG00000196091; ENSG00000183091; ENSG00000168530	113	113
5.39164361612e-05	0.0052838107438	GO:0006936	b	4	muscle contraction	4151; 4604; 4619; 4620; 4625; 4632; 4703	ENSG00000183091; ENSG00000125414; ENSG00000196091; ENSG00000198125; ENSG00000168530; ENSG00000109061; ENSG00000092054	324	324
0.000168374891546	0.0250878588403	GO:0003012	b	3	muscle system process	4151; 4604; 4619; 4620; 4625; 4632; 4703	ENSG00000183091; ENSG00000125414; ENSG00000196091; ENSG00000198125; ENSG00000168530; ENSG00000109061; ENSG00000092054	389	389
0.00023145886335	0.00254604749684	GO:0030017	c	3	sarcomere	4619; 4620; 4625; 4632; 4703	ENSG00000183091; ENSG00000092054; ENSG00000125414; ENSG00000109061; ENSG00000168530	183	183
0.000260658311203	0.00417053297926	GO:0008307	m	2	structural constituent of muscle	4604; 4632; 4703	ENSG00000183091; ENSG00000196091; ENSG00000168530	41	41
0.000323906975573	0.00267223254848	GO:0099512	c	3	supramolecular fiber	3851; 3860; 4604; 4619; 4620; 4625; 4632; 4703; 4892; 23710	ENSG00000197893; ENSG00000183091; ENSG00000125414; ENSG00000196091; ENSG00000139112; ENSG00000171401; ENSG00000168530; ENSG00000170477; ENSG00000109061; ENSG00000092054	898	895
0.00034461523763	0.0048815473918	GO:0099081	c	2	supramolecular polymer	3851; 3860; 4604; 4619; 4620; 4625; 4632; 4703; 4892; 23710	ENSG00000197893; ENSG00000183091; ENSG00000125414; ENSG00000196091; ENSG00000139112; ENSG00000171401; ENSG00000168530; ENSG00000170477; ENSG00000109061; ENSG00000092054	905	902
0.000348681956557	0.0048815473918	GO:0044449	c	2	contractile fiber part	4619; 4620; 4625; 4632; 4703	ENSG00000183091; ENSG00000092054; ENSG00000125414; ENSG00000109061; ENSG00000168530	200	200
0.000413167829559	0.00144608740346	GO:0015629	c	5	actin cytoskeleton	4604; 4619; 4620; 4625; 4632; 4703; 26512	ENSG00000183091; ENSG00000125414; ENSG00000196091; ENSG00000168530; ENSG00000109061; ENSG00000092054; ENSG00000102786	452	451
0.000691483814267	0.00456379317416	GO:0032039	c	3	integrator complex	80789; 26512	ENSG00000102786; ENSG00000185085	13	13
0.00125786419947	0.0201224337188	GO:0003779	m	4	actin binding	4604; 4619; 4620; 4625; 4703; 4892	ENSG00000197893; ENSG00000183091; ENSG00000125414; ENSG00000196091; ENSG00000109061; ENSG00000092054	397	397
0.00151268922124	0.0871752324125	GO:0007586	b	3	digestion	1208; 1504; 5406; 5644	ENSG00000137392; ENSG00000175535; ENSG00000168925; ENSG00000204983	166	163
0.00183287843003	0.0871752324125	GO:0009235	b	3	cobalamin metabolic process	1504; 5644	ENSG00000168925; ENSG00000204983	21	21
0.00183287843003	0.105390509727	GO:0009950	b	5	dorsal/ventral axis specification	6422; 91355	ENSG00000104332; ENSG00000100068	21	21
0.00201224337188	0.0201224337188	GO:0042813	m	4	Wnt-activated receptor activity	6422; 91355	ENSG00000104332; ENSG00000100068	22	22
0.00275237961291	0.0871752324125	GO:0030901	b	3	midbrain development	3280; 4929; 6422	ENSG00000104332; ENSG00000153234; ENSG00000114315	93	92
0.00280911999287	0.183529172868	GO:0044241	b	4	lipid digestion	1208; 5406	ENSG00000137392; ENSG00000175535	26	26
0.00292534336955	0.0871752324125	GO:0009791	b	3	post-embryonic development	1208; 4929; 64651	ENSG00000137392; ENSG00000153234; ENSG00000144655	94	94
0.00339423920375	0.0497538712476	GO:0008092	m	3	cytoskeletal protein binding	4604; 4619; 4620; 4625; 4703; 4892; 9230; 23710	ENSG00000197893; ENSG00000183091; ENSG00000125414; ENSG00000196091; ENSG00000139112; ENSG00000185236; ENSG00000109061; ENSG00000092054	831	829
0.00347131551715	0.109805204627	GO:0045444	b	5	fat cell differentiation	3280; 4151; 4929; 6422	ENSG00000104332; ENSG00000153234; ENSG00000114315; ENSG00000198125	205	205
0.00398030969981	0.0497538712476	GO:0017147	m	3	Wnt-protein binding	6422; 91355	ENSG00000104332; ENSG00000100068	31	31
0.00443698175444	0.109805204627	GO:0006721	b	5	terpenoid metabolic process	1208; 5406; 6770	ENSG00000137392; ENSG00000175535; ENSG00000147465	110	109
0.0047741393316	0.109805204627	GO:0060416	b	5	response to growth hormone	5617; 6770	ENSG00000172179; ENSG00000147465	34	34
0.00707827902655	0.118779572985	GO:0071322	b	5	cellular response to carbohydrate stimulus	6770; 7447; 9230	ENSG00000163032; ENSG00000185236; ENSG00000147465	129	129
0.00723006096432	0.354272987252	GO:0006720	b	4	isoprenoid metabolic process	1208; 5406; 6770	ENSG00000137392; ENSG00000175535; ENSG00000147465	131	130
