p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
0.00220411052012	0.0179477570924	Tyrosinemia, transient, of the newborn	SMPDB	SMP00494	ENSG00000108602; ENSG00000113924	218; 3081	18	18
0.00220411052012	0.0179477570924	Dopamine beta-hydroxylase deficiency	SMPDB	SMP00498	ENSG00000108602; ENSG00000113924	218; 3081	18	18
0.00220411052012	0.0179477570924	Tyrosine Metabolism	SMPDB	SMP00006	ENSG00000108602; ENSG00000113924	218; 3081	18	18
0.00220411052012	0.0179477570924	Alkaptonuria	SMPDB	SMP00169	ENSG00000108602; ENSG00000113924	218; 3081	18	18
0.00220411052012	0.0179477570924	Monoamine oxidase-a deficiency (MAO-A)	SMPDB	SMP00533	ENSG00000108602; ENSG00000113924	218; 3081	18	18
0.00220411052012	0.0179477570924	Hawkinsinuria	SMPDB	SMP00190	ENSG00000108602; ENSG00000113924	218; 3081	18	18
0.00220411052012	0.0179477570924	Tyrosinemia Type I	SMPDB	SMP00218	ENSG00000108602; ENSG00000113924	218; 3081	18	18
0.00424702004195	0.0302600177989	Disulfiram Action Pathway	SMPDB	SMP00429	ENSG00000108602; ENSG00000113924	218; 3081	25	25
0.00732744102828	0.0464071265124	Tyrosine metabolism	INOH	None	ENSG00000108602; ENSG00000113924	218; 3081	34	33
0.0082163144148	0.0468329921643	Tyrosine metabolism - Homo sapiens (human)	KEGG	path:hsa00350	ENSG00000108602; ENSG00000113924	3081; 218	35	35
