p-value	q-value	term_goid	term_category	term_level	term_name	members_input_overlap	members_input_overlap_geneids	size	effective_size
0.00186726803833	0.0418251888395	GO:0070062	c	4	extracellular exosome	1474; 1515; 2877; 3081; 3699; 3856; 4629; 4653; 5174; 5652; 6382; 7033; 7053; 8363; 79025; 374907; 342897; 57152; 283375; 283458; 57111; 92304	ENSG00000175315; ENSG00000052344; ENSG00000125780; ENSG00000162267; ENSG00000188505; ENSG00000177191; ENSG00000136943; ENSG00000139540; ENSG00000170421; ENSG00000123009; ENSG00000113924; ENSG00000174827; ENSG00000126233; ENSG00000133392; ENSG00000197238; ENSG00000125531; ENSG00000160180; ENSG00000034971; ENSG00000176153; ENSG00000115884; ENSG00000132698; ENSG00000161055	2813	2804
0.0019693400831	0.201794456724	GO:0042772	b	5	DNA damage response, signal transduction resulting in transcription	2305; 7161	ENSG00000111206; ENSG00000078900	16	16
0.00198286820069	0.0773318598268	GO:1903561	c	3	extracellular vesicle	1474; 1515; 2877; 3081; 3699; 3856; 4629; 4653; 5174; 5652; 6382; 7033; 7053; 8363; 79025; 374907; 342897; 57152; 283458; 283375; 57111; 92304	ENSG00000175315; ENSG00000052344; ENSG00000125780; ENSG00000162267; ENSG00000188505; ENSG00000177191; ENSG00000136943; ENSG00000139540; ENSG00000170421; ENSG00000123009; ENSG00000113924; ENSG00000174827; ENSG00000126233; ENSG00000133392; ENSG00000197238; ENSG00000125531; ENSG00000160180; ENSG00000034971; ENSG00000176153; ENSG00000115884; ENSG00000132698; ENSG00000161055	2826	2817
0.00199201062592	0.0756964037848	GO:0043230	c	2	extracellular organelle	1474; 1515; 2877; 3081; 3699; 3856; 4629; 4653; 5174; 5652; 6382; 7033; 7053; 8363; 79025; 374907; 342897; 57152; 283458; 283375; 57111; 92304	ENSG00000175315; ENSG00000052344; ENSG00000125780; ENSG00000162267; ENSG00000188505; ENSG00000177191; ENSG00000136943; ENSG00000139540; ENSG00000170421; ENSG00000123009; ENSG00000113924; ENSG00000174827; ENSG00000126233; ENSG00000133392; ENSG00000197238; ENSG00000125531; ENSG00000160180; ENSG00000034971; ENSG00000176153; ENSG00000115884; ENSG00000132698; ENSG00000161055	2827	2818
0.00269081646295	0.236321179828	GO:0061061	b	3	muscle structure development	688; 3856; 4629; 5936; 6382; 7161; 27231; 92304	ENSG00000077009; ENSG00000115884; ENSG00000173933; ENSG00000102554; ENSG00000078900; ENSG00000161055; ENSG00000133392; ENSG00000170421	578	577
0.00340030474572	0.236321179828	GO:0060008	b	3	Sertoli cell differentiation	1515; 6382	ENSG00000136943; ENSG00000115884	21	21
0.00340030474572	0.0418251888395	GO:0031528	c	4	microvillus membrane	768; 5174	ENSG00000174827; ENSG00000107159	21	21
0.00354025362673	0.201794456724	GO:0042692	b	5	muscle cell differentiation	3856; 4629; 5936; 6382; 27231; 92304	ENSG00000077009; ENSG00000115884; ENSG00000173933; ENSG00000161055; ENSG00000133392; ENSG00000170421	355	354
0.00404759891995	0.0418251888395	GO:0005902	c	4	microvillus	768; 1515; 5174	ENSG00000174827; ENSG00000136943; ENSG00000107159	77	77
0.00519218164502	0.240571082886	GO:0031069	b	3	hair follicle morphogenesis	1515; 7053	ENSG00000136943; ENSG00000125780	26	26
0.00551376522515	0.0371166142403	GO:0000794	c	5	condensed nuclear chromosome	4439; 144715; 50511	ENSG00000151164; ENSG00000139351; ENSG00000204410	86	86
0.00643424535095	0.685175824252	GO:0034698	b	4	response to gonadotropin	1515; 2305	ENSG00000111206; ENSG00000136943	29	29
0.00643424535095	0.244501323336	GO:0048730	b	5	epidermis morphogenesis	1515; 7053	ENSG00000136943; ENSG00000125780	29	29
0.00927915356007	0.0371166142403	GO:0099086	c	5	synaptonemal structure	4439; 50511	ENSG00000139351; ENSG00000204410	35	35
0.00930286138972	0.685175824252	GO:0051591	b	4	response to cAMP	218; 2305; 6382	ENSG00000108602; ENSG00000111206; ENSG00000115884	105	104
