p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
5.73950575415e-11	8.55186357368e-09	Neutrophil degranulation	Reactome	R-HSA-6798695	ENSG00000196352; ENSG00000117115; ENSG00000123610; ENSG00000118520; ENSG00000239264; ENSG00000120306; ENSG00000196549; ENSG00000204936; ENSG00000102837; ENSG00000148346; ENSG00000163754; ENSG00000197766; ENSG00000124107; ENSG00000139572; ENSG00000021355; ENSG00000173391; ENSG00000229314; ENSG00000112299	8876; 11240; 53831; 1992; 84418; 5004; 6590; 2992; 4311; 81567; 7130; 3934; 1604; 10562; 383; 57126; 1675; 4973	497	484
2.28725415079e-08	1.70400434234e-06	Innate Immune System	Reactome	R-HSA-168249	ENSG00000117115; ENSG00000123610; ENSG00000148346; ENSG00000173391; ENSG00000204936; ENSG00000163754; ENSG00000142675; ENSG00000196352; ENSG00000211893; ENSG00000211892; ENSG00000211896; ENSG00000239264; ENSG00000124102; ENSG00000196549; ENSG00000124107; ENSG00000197766; ENSG00000112299; ENSG00000120306; ENSG00000139572; ENSG00000118520; ENSG00000102837; ENSG00000005961; ENSG00000021355; ENSG00000229314	6590; 10256; 11240; 53831; 1992; 84418; 5004; 5266; 3674; 3501; 2992; 81567; 7130; 3934; 1604; 383; 57126; 8876; 4311; 3500; 3503; 10562; 1675; 4973	1309	1276
2.94347558632e-06	0.000146192620787	Immune System	Reactome	R-HSA-168256	ENSG00000117115; ENSG00000123610; ENSG00000148346; ENSG00000173391; ENSG00000204936; ENSG00000163754; ENSG00000076864; ENSG00000142675; ENSG00000196352; ENSG00000211893; ENSG00000211892; ENSG00000211896; ENSG00000239264; ENSG00000124102; ENSG00000196549; ENSG00000124107; ENSG00000197766; ENSG00000112299; ENSG00000120306; ENSG00000139572; ENSG00000118520; ENSG00000102837; ENSG00000005961; ENSG00000115607; ENSG00000021355; ENSG00000229314	11240; 8807; 8876; 5909; 2992; 81567; 84418; 10256; 5004; 3501; 6590; 4311; 1675; 3500; 10562; 3674; 383; 57126; 3503; 1992; 7130; 3934; 1604; 53831; 5266; 4973	1950	1904
0.000328520989981	0.0122374068768	ATF-2 transcription factor network	PID	atf2_pathway	ENSG00000196565; ENSG00000213934; ENSG00000116717; ENSG00000118520	3047; 1647; 383; 3048	61	61
0.000555543437372	0.0165551944337	Complement cascade	Reactome	R-HSA-166658	ENSG00000196352; ENSG00000211893; ENSG00000211892; ENSG00000197766; ENSG00000211896	3501; 1604; 3500; 3503; 1675	127	124
0.0010109445394	0.0229167466545	ECM-receptor interaction - Homo sapiens (human)	KEGG	path:hsa04512	ENSG00000049089; ENSG00000135424; ENSG00000005961; ENSG00000115884	1298; 6382; 3674; 3679	82	82
0.00107662568175	0.0229167466545	Cell surface interactions at the vascular wall	Reactome	R-HSA-202733	ENSG00000211890; ENSG00000173391; ENSG00000115884; ENSG00000132465; ENSG00000204936; ENSG00000119888	6382; 4072; 3494; 57126; 4973; 3512	219	215
0.00226480988683	0.0421820841422	Initial triggering of complement	Reactome	R-HSA-166663	ENSG00000211893; ENSG00000211892; ENSG00000197766; ENSG00000211896	3501; 3500; 3503; 1675	104	102
0.003282025461	0.0492219346217	ECM proteoglycans	Reactome	R-HSA-3000178	ENSG00000049089; ENSG00000135424; ENSG00000005961	3679; 3674; 1298	57	55
0.0034544433786	0.0492219346217	Validated transcriptional targets of TAp63 isoforms	PID	tap63pathway	ENSG00000196839; ENSG00000116717; ENSG00000140545	1647; 4240; 100	57	56
0.00363383409959	0.0492219346217	Hemostasis	Reactome	R-HSA-109582	ENSG00000211890; ENSG00000173391; ENSG00000115884; ENSG00000197766; ENSG00000132465; ENSG00000204936; ENSG00000119888; ENSG00000156113; ENSG00000229314; ENSG00000005961	6382; 3674; 5004; 3778; 4072; 3494; 57126; 1675; 4973; 3512	693	684
0.00457393472047	0.0567930227791	Integrin	INOH	None	ENSG00000049089; ENSG00000135424; ENSG00000005961; ENSG00000115884	6382; 3679; 1298; 3674	124	124
0.00572207248307	0.0655837538445	Integrin cell surface interactions	Reactome	R-HSA-216083	ENSG00000049089; ENSG00000135424; ENSG00000005961	3674; 3679; 1298	68	67
0.00625481639249	0.0665691173201	Complement Activation	Wikipathways	WP545	ENSG00000196352; ENSG00000197766	1675; 1604	22	22
0.00698804221182	0.0694145526374	Arrhythmogenic right ventricular cardiomyopathy (ARVC) - Homo sapiens (human)	KEGG	path:hsa05412	ENSG00000135424; ENSG00000134755; ENSG00000005961	1824; 3674; 3679	72	72
0.00753727639636	0.0701908864411	Arrhythmogenic Right Ventricular Cardiomyopathy	Wikipathways	WP2118	ENSG00000134755; ENSG00000135424; ENSG00000005961	3679; 3674; 1824	74	74
0.00811140623209	0.0710940899166	Glucose metabolism	Reactome	R-HSA-70326	ENSG00000123836; ENSG00000163754; ENSG00000172331	5208; 669; 2992	77	76
