p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
4.33323638844e-08	1.32163709847e-06	Metallothioneins bind metals	Reactome	R-HSA-5661231	ENSG00000205362; ENSG00000187193; ENSG00000125148; ENSG00000205364	4501; 4499; 4502; 4489	12	12
4.33323638844e-08	1.32163709847e-06	Response to metal ions	Reactome	R-HSA-5660526	ENSG00000205362; ENSG00000187193; ENSG00000125148; ENSG00000205364	4501; 4499; 4502; 4489	12	12
1.0371474078e-07	2.10886639586e-06	Zinc homeostasis	Wikipathways	WP3529	ENSG00000205362; ENSG00000187193; ENSG00000104635; ENSG00000125148; ENSG00000205364	23516; 4499; 4501; 4502; 4489	37	37
2.16155276526e-05	0.000329636796702	Mineral absorption - Homo sapiens (human)	KEGG	path:hsa04978	ENSG00000205362; ENSG00000187193; ENSG00000125148; ENSG00000205364	4502; 4489; 4501; 4499	52	52
5.94287148554e-05	0.000604191934363	<i>S</i>-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation	HumanCyc	PWY-4361	ENSG00000149089; ENSG00000037757	84245; 51074	4	4
5.94287148554e-05	0.000604191934363	<i>S</i>-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation	HumanCyc	PWY-6755	ENSG00000149089; ENSG00000037757	84245; 51074	4	4
0.000147971580663	0.00128946663149	Methionine salvage pathway	Reactome	R-HSA-1237112	ENSG00000149089; ENSG00000037757	84245; 51074	6	6
0.000440337376059	0.00335757249245	methionine salvage cycle III	HumanCyc	PWY-7527	ENSG00000149089; ENSG00000037757	84245; 51074	10	10
0.0007056149958	0.00462768468865	Copper homeostasis	Wikipathways	WP3286	ENSG00000205362; ENSG00000187193; ENSG00000125148	4501; 4502; 4489	55	55
0.000758636834205	0.00462768468865	Platinum Pathway, Pharmacokinetics/Pharmacodynamics	PharmGKB	PA150642262	ENSG00000205362; ENSG00000125148	4489; 4502	13	13
0.000883289674798	0.00489824274206	Methylation	Reactome	R-HSA-156581	ENSG00000156239; ENSG00000166741	29104; 4837	16	14
0.00147314219626	0.007488472831	BMAL1:CLOCK,NPAS2 activates circadian gene expression	Reactome	R-HSA-1368108	ENSG00000106366; ENSG00000163884	5054; 28999	19	18
0.00200975423775	0.00943038526942	Methionine De Novo and Salvage Pathway	Wikipathways	WP3580	ENSG00000149089; ENSG00000037757	84245; 51074	21	21
0.00284800815942	0.0124091784089	Hypothesized Pathways in Pathogenesis of Cardiovascular Disease	Wikipathways	WP3668	ENSG00000160691; ENSG00000106366	5054; 6464	25	25
0.0030791287459	0.0125217902333	Sulfur amino acid metabolism	Reactome	R-HSA-1614635	ENSG00000149089; ENSG00000037757	84245; 51074	27	26
0.00408821318302	0.0155863127603	Oxidative Stress	Wikipathways	WP408	ENSG00000187193; ENSG00000099984	4501; 2953	30	30
0.0046372554324	0.0166395636104	Phase II conjugation	Reactome	R-HSA-156580	ENSG00000156239; ENSG00000166741; ENSG00000099984	29104; 4837; 2953	112	106
0.00584978286357	0.0198242641488	Circadian Clock	Reactome	R-HSA-400253	ENSG00000106366; ENSG00000163884	5054; 28999	38	36
0.00712056545547	0.0219129284586	Metabolism	Reactome	R-HSA-1430728	ENSG00000187193; ENSG00000090857; ENSG00000099984; ENSG00000037757; ENSG00000243678; ENSG00000227097; ENSG00000085788; ENSG00000205362; ENSG00000125148; ENSG00000205364; ENSG00000156239; ENSG00000166741; ENSG00000149089	4831; 4499; 646195; 4501; 84245; 51074; 29104; 4502; 4837; 23259; 2953; 4489; 55066	2035	1994
0.00718456670774	0.0219129284586	Metabolism of polyamines	Reactome	R-HSA-351202	ENSG00000149089; ENSG00000037757	84245; 51074	40	40
0.00833107040148	0.0241997759281	Adipogenesis	Wikipathways	WP236	ENSG00000147872; ENSG00000106366; ENSG00000163884	28999; 123; 5054	131	131
0.00902773097428	0.0250314358832	Cysteine and methionine metabolism - Homo sapiens (human)	KEGG	path:hsa00270	ENSG00000037757; ENSG00000149089	51074; 84245	45	45
