p-value	q-value	term_goid	term_category	term_level	term_name	members_input_overlap	members_input_overlap_geneids	size	effective_size
3.01026429934e-06	0.000466590966398	GO:0071407	b	5	cellular response to organic cyclic compound	406; 1543; 4255; 4864; 5328; 8085; 9572; 9975; 54206; 57506	ENSG00000126368; ENSG00000167548; ENSG00000133794; ENSG00000122861; ENSG00000116285; ENSG00000140465; ENSG00000141458; ENSG00000088888; ENSG00000174738; ENSG00000170430	527	525
8.73990054833e-06	0.00149723274119	GO:0019284	b	4	L-methionine biosynthetic process from S-adenosylmethionine	84245; 51074	ENSG00000149089; ENSG00000037757	2	2
1.84616034009e-05	0.00149723274119	GO:0014070	b	4	response to organic cyclic compound	406; 590; 1543; 2152; 4255; 4864; 5328; 8085; 9572; 9975; 54206; 57506	ENSG00000126368; ENSG00000133794; ENSG00000167548; ENSG00000122861; ENSG00000116285; ENSG00000140465; ENSG00000141458; ENSG00000114200; ENSG00000117525; ENSG00000174738; ENSG00000088888; ENSG00000170430	951	949
1.98747709008e-05	0.00149723274119	GO:0044342	b	4	type B pancreatic cell proliferation	3487; 9572; 54206	ENSG00000126368; ENSG00000141753; ENSG00000116285	18	18
8.1684288929e-05	0.006330532392	GO:0071383	b	5	cellular response to steroid hormone stimulus	406; 4864; 8085; 9572; 9975; 54206	ENSG00000126368; ENSG00000167548; ENSG00000133794; ENSG00000116285; ENSG00000141458; ENSG00000174738	242	242
8.67454904674e-05	0.0147467333795	GO:0050673	b	3	epithelial cell proliferation	1028; 2152; 3487; 4831; 5328; 9572; 54206	ENSG00000126368; ENSG00000129757; ENSG00000141753; ENSG00000243678; ENSG00000116285; ENSG00000122861; ENSG00000117525	356	356
0.00013009598811	0.0073504233282	GO:0033353	b	4	S-adenosylmethionine cycle	84245; 51074	ENSG00000149089; ENSG00000037757	6	6
0.00013009598811	0.00672162605234	GO:2000189	b	5	positive regulation of cholesterol homeostasis	4864; 9572	ENSG00000126368; ENSG00000141458	6	6
0.000170400567542	0.00770210565288	GO:0048545	b	4	response to steroid hormone	406; 590; 4864; 8085; 9572; 9975; 54206	ENSG00000126368; ENSG00000167548; ENSG00000133794; ENSG00000116285; ENSG00000141458; ENSG00000114200; ENSG00000174738	397	397
0.000231542205916	0.00823905694109	GO:0050678	b	5	regulation of epithelial cell proliferation	1028; 2152; 4831; 5328; 9572; 54206	ENSG00000126368; ENSG00000129757; ENSG00000243678; ENSG00000116285; ENSG00000122861; ENSG00000117525	293	293
0.000265776030358	0.00823905694109	GO:0046686	b	5	response to cadmium ion	4489; 4501; 4864	ENSG00000205362; ENSG00000187193; ENSG00000141458	42	42
0.000350365089454	0.0131970850361	GO:0033993	b	4	response to lipid	406; 590; 1543; 2152; 4864; 5328; 8085; 9572; 9975; 54206	ENSG00000126368; ENSG00000133794; ENSG00000167548; ENSG00000122861; ENSG00000116285; ENSG00000140465; ENSG00000141458; ENSG00000114200; ENSG00000174738; ENSG00000117525	921	921
0.00038730579259	0.0100053996419	GO:0043102	b	5	amino acid salvage	84245; 51074	ENSG00000149089; ENSG00000037757	10	10
