p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
3.51818303096e-09	3.55336486127e-07	Neutrophil degranulation	Reactome	R-HSA-6798695	ENSG00000196352; ENSG00000172232; ENSG00000173391; ENSG00000123610; ENSG00000118520; ENSG00000239264; ENSG00000120306; ENSG00000102837; ENSG00000204936; ENSG00000148346; ENSG00000163754; ENSG00000197766; ENSG00000139572; ENSG00000021355; ENSG00000229314; ENSG00000112299	8876; 53831; 1992; 84418; 5004; 2992; 566; 81567; 7130; 3934; 1604; 10562; 383; 57126; 1675; 4973	497	484
3.76574188513e-07	1.88634209179e-05	Innate Immune System	Reactome	R-HSA-168249	ENSG00000173391; ENSG00000123610; ENSG00000148346; ENSG00000204936; ENSG00000163754; ENSG00000196352; ENSG00000211893; ENSG00000211892; ENSG00000239839; ENSG00000211896; ENSG00000239264; ENSG00000124102; ENSG00000197766; ENSG00000112299; ENSG00000172232; ENSG00000120306; ENSG00000139572; ENSG00000118520; ENSG00000102837; ENSG00000005961; ENSG00000021355; ENSG00000229314	53831; 1992; 84418; 1668; 5004; 5266; 3674; 3501; 2992; 566; 81567; 7130; 3934; 1604; 383; 57126; 8876; 3500; 3503; 10562; 1675; 4973	1309	1276
5.60299631224e-07	1.88634209179e-05	Immune System	Reactome	R-HSA-168256	ENSG00000173391; ENSG00000123610; ENSG00000148346; ENSG00000204936; ENSG00000163754; ENSG00000076864; ENSG00000090554; ENSG00000196352; ENSG00000211893; ENSG00000211892; ENSG00000239839; ENSG00000211896; ENSG00000239264; ENSG00000124102; ENSG00000187116; ENSG00000197766; ENSG00000112299; ENSG00000172232; ENSG00000120306; ENSG00000139572; ENSG00000118520; ENSG00000102837; ENSG00000005961; ENSG00000115604; ENSG00000115607; ENSG00000021355; ENSG00000229314	8807; 8876; 5909; 2992; 566; 81567; 84418; 2323; 5004; 3501; 8809; 1675; 3500; 10562; 3674; 383; 1668; 57126; 3503; 353514; 1992; 7130; 3934; 1604; 53831; 5266; 4973	1950	1904
0.000310319900767	0.00783557749437	ATF-2 transcription factor network	PID	atf2_pathway	ENSG00000196565; ENSG00000213934; ENSG00000116717; ENSG00000118520	3047; 1647; 383; 3048	61	61
0.00051875936872	0.0104789392481	Complement cascade	Reactome	R-HSA-166658	ENSG00000196352; ENSG00000211893; ENSG00000211892; ENSG00000197766; ENSG00000211896	3501; 1604; 3500; 3503; 1675	127	124
0.000956197130325	0.0143657959343	ECM-receptor interaction - Homo sapiens (human)	KEGG	path:hsa04512	ENSG00000049089; ENSG00000135424; ENSG00000005961; ENSG00000115884	1298; 6382; 3674; 3679	82	82
0.000995649223166	0.0143657959343	Cell surface interactions at the vascular wall	Reactome	R-HSA-202733	ENSG00000211890; ENSG00000173391; ENSG00000115884; ENSG00000132465; ENSG00000204936; ENSG00000119888	6382; 4072; 3494; 57126; 4973; 3512	219	215
0.00214483805871	0.0270785804912	Initial triggering of complement	Reactome	R-HSA-166663	ENSG00000211893; ENSG00000211892; ENSG00000197766; ENSG00000211896	3501; 3500; 3503; 1675	104	102
0.00246100208684	0.0276179123078	Vitamin B5 (pantothenate) metabolism	Reactome	R-HSA-199220	ENSG00000112303; ENSG00000112299	8876; 8875	14	14
0.00314693675635	0.0298830866543	ECM proteoglycans	Reactome	R-HSA-3000178	ENSG00000049089; ENSG00000135424; ENSG00000005961	3679; 3674; 1298	57	55
0.00325459359601	0.0298830866543	Hemostasis	Reactome	R-HSA-109582	ENSG00000211890; ENSG00000173391; ENSG00000115884; ENSG00000197766; ENSG00000132465; ENSG00000204936; ENSG00000119888; ENSG00000156113; ENSG00000229314; ENSG00000005961	6382; 3674; 5004; 3778; 4072; 3494; 57126; 1675; 4973; 3512	693	684
0.00408104260889	0.033699495002	Pantothenate and CoA biosynthesis - Homo sapiens (human)	KEGG	path:hsa00770	ENSG00000112299; ENSG00000112303	8875; 8876	18	18
0.00433755876264	0.033699495002	Integrin	INOH	None	ENSG00000049089; ENSG00000135424; ENSG00000005961; ENSG00000115884	6382; 3679; 1298; 3674	124	124
0.00549040208592	0.0396093293342	Integrin cell surface interactions	Reactome	R-HSA-216083	ENSG00000049089; ENSG00000135424; ENSG00000005961	3674; 3679; 1298	68	67
0.00607729008705	0.0409204199195	Complement Activation	Wikipathways	WP545	ENSG00000196352; ENSG00000197766	1675; 1604	22	22
0.00778707292766	0.0491558978558	Glucose metabolism	Reactome	R-HSA-70326	ENSG00000123836; ENSG00000163754; ENSG00000172331	5208; 669; 2992	77	76
0.00991174511635	0.05672904872	Hypertrophic cardiomyopathy (HCM) - Homo sapiens (human)	KEGG	path:hsa05410	ENSG00000135424; ENSG00000134571; ENSG00000005961	3674; 3679; 4607	83	83
