p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
4.41433593703e-14	3.95524499958e-11	Immune System	Reactome	R-HSA-168256	ENSG00000182326; ENSG00000119655; ENSG00000095585; ENSG00000101336; ENSG00000134242; ENSG00000117399; ENSG00000010610; ENSG00000162711; ENSG00000103187; ENSG00000136689; ENSG00000089041; ENSG00000161203; ENSG00000141480; ENSG00000197548; ENSG00000139626; ENSG00000183020; ENSG00000150637; ENSG00000104365; ENSG00000160712; ENSG00000163563; ENSG00000167984; ENSG00000145703; ENSG00000121281; ENSG00000111679; ENSG00000109323; ENSG00000091106; ENSG00000034677; ENSG00000197405; ENSG00000166825; ENSG00000115232; ENSG00000166226; ENSG00000086730; ENSG00000069493; ENSG00000160883; ENSG00000116260; ENSG00000172057; ENSG00000164761; ENSG00000196743; ENSG00000146094; ENSG00000120885; ENSG00000169896; ENSG00000019582; ENSG00000069424; ENSG00000173372; ENSG00000140368; ENSG00000118640; ENSG00000101160; ENSG00000172575; ENSG00000182247; ENSG00000139193; ENSG00000100280; ENSG00000103381; ENSG00000103811; ENSG00000120899; ENSG00000173083; ENSG00000023445; ENSG00000169385; ENSG00000198168; ENSG00000093072; ENSG00000139572; ENSG00000006534; ENSG00000103496; ENSG00000103490; ENSG00000162924; ENSG00000170266; ENSG00000000971; ENSG00000170909; ENSG00000241839; ENSG00000065675; ENSG00000170581; ENSG00000026297; ENSG00000171298; ENSG00000187796; ENSG00000030582; ENSG00000070190; ENSG00000198286; ENSG00000152056; ENSG00000051523; ENSG00000173020; ENSG00000173821; ENSG00000166278; ENSG00000126456; ENSG00000100985; ENSG00000143507; ENSG00000129219; ENSG00000117676; ENSG00000105223; ENSG00000174130	126014; 7325; 258010; 8673; 8635; 4126; 920; 290; 330; 10333; 25897; 409; 64170; 939; 29760; 6773; 113; 80301; 8514; 3557; 4982; 161; 10125; 10855; 3075; 162; 5777; 10533; 4318; 10788; 58484; 221; 991; 5966; 9051; 79930; 1173; 6195; 2548; 712; 3551; 57674; 2720; 717; 11221; 5338; 7462; 51816; 55313; 197358; 972; 1512; 3055; 130340; 5768; 1191; 23646; 94103; 716; 23406; 27071; 3676; 2896; 1522; 6810; 10666; 5588; 10577; 84433; 3695; 3684; 2185; 6036; 156; 5027; 4332; 1535; 29121; 3661; 114548; 10576; 26191; 53831; 728; 29108; 3101; 3570; 2760	1950	1904
5.94791583413e-12	2.66466629369e-09	Neutrophil degranulation	Reactome	R-HSA-6798695	ENSG00000166226; ENSG00000026297; ENSG00000119655; ENSG00000171298; ENSG00000196743; ENSG00000103381; ENSG00000111679; ENSG00000103811; ENSG00000160883; ENSG00000116260; ENSG00000030582; ENSG00000173083; ENSG00000172057; ENSG00000051523; ENSG00000103187; ENSG00000197405; ENSG00000197548; ENSG00000170266; ENSG00000183020; ENSG00000146094; ENSG00000169385; ENSG00000198168; ENSG00000093072; ENSG00000163563; ENSG00000145703; ENSG00000139572; ENSG00000006534; ENSG00000100985; ENSG00000109323; ENSG00000103490; ENSG00000169896; ENSG00000069424; ENSG00000166825; ENSG00000118640; ENSG00000101160; ENSG00000170909; ENSG00000241839	80301; 126014; 258010; 3684; 8635; 53831; 4126; 8673; 6036; 10855; 5777; 51816; 10533; 55313; 290; 1512; 4318; 1535; 5768; 10788; 10576; 94103; 23406; 221; 728; 161; 29108; 2896; 79930; 3101; 1522; 4332; 2548; 2760; 8514; 2720; 10577	497	484
1.35036666403e-11	4.03309510325e-09	Innate Immune System	Reactome	R-HSA-168249	ENSG00000065675; ENSG00000172575; ENSG00000166226; ENSG00000182326; ENSG00000030582; ENSG00000026297; ENSG00000086730; ENSG00000139572; ENSG00000171298; ENSG00000196743; ENSG00000116260; ENSG00000103381; ENSG00000170266; ENSG00000100985; ENSG00000103811; ENSG00000197405; ENSG00000160883; ENSG00000169385; ENSG00000143507; ENSG00000173083; ENSG00000119655; ENSG00000172057; ENSG00000010610; ENSG00000051523; ENSG00000103187; ENSG00000089041; ENSG00000162711; ENSG00000141480; ENSG00000103490; ENSG00000197548; ENSG00000173020; ENSG00000023445; ENSG00000183020; ENSG00000146094; ENSG00000166278; ENSG00000198168; ENSG00000104365; ENSG00000093072; ENSG00000163563; ENSG00000120885; ENSG00000167984; ENSG00000126456; ENSG00000145703; ENSG00000121281; ENSG00000006534; ENSG00000111679; ENSG00000109323; ENSG00000091106; ENSG00000187796; ENSG00000169896; ENSG00000069424; ENSG00000129219; ENSG00000198286; ENSG00000166825; ENSG00000173372; ENSG00000140368; ENSG00000118640; ENSG00000000971; ENSG00000117676; ENSG00000101160; ENSG00000170909; ENSG00000105223; ENSG00000174130; ENSG00000241839	126014; 258010; 8673; 3101; 3684; 8635; 53831; 6036; 717; 11221; 4318; 10125; 10855; 3075; 5027; 5338; 84433; 5777; 113; 10533; 197358; 920; 290; 1512; 330; 1535; 8514; 161; 221; 3661; 4126; 114548; 409; 10788; 58484; 51816; 7462; 64170; 10576; 55313; 10333; 156; 80301; 716; 23406; 728; 9051; 29108; 2896; 94103; 79930; 1522; 1191; 5768; 6195; 4332; 712; 2548; 3551; 23646; 5588; 2720; 10577; 2760	1309	1276
4.73559117872e-07	0.000106077242403	BCR	NetPath	Pathway_BCR	ENSG00000065675; ENSG00000101336; ENSG00000070190; ENSG00000198286; ENSG00000104365; ENSG00000086730; ENSG00000087266; ENSG00000137101; ENSG00000117676; ENSG00000111679; ENSG00000095585; ENSG00000120899; ENSG00000072135; ENSG00000182022	27071; 51363; 2185; 3055; 26469; 971; 6452; 3551; 29760; 84433; 5588; 5777; 6195; 7462	131	129
8.62648677707e-07	0.000128822202538	B Cell Receptor Signaling Pathway	Wikipathways	WP23	ENSG00000128340; ENSG00000070190; ENSG00000198286; ENSG00000104365; ENSG00000086730; ENSG00000162924; ENSG00000087266; ENSG00000104814; ENSG00000117676; ENSG00000111679; ENSG00000095585; ENSG00000072135	11184; 27071; 6452; 5966; 5777; 3551; 84433; 6195; 5880; 29760; 26469; 7462	98	98
8.62648677707e-07	0.000128822202538	B Cell Receptor Signaling Pathway	Wikipathways	WP3884	ENSG00000128340; ENSG00000070190; ENSG00000198286; ENSG00000104365; ENSG00000086730; ENSG00000162924; ENSG00000087266; ENSG00000104814; ENSG00000117676; ENSG00000111679; ENSG00000095585; ENSG00000072135	11184; 27071; 6452; 5966; 5777; 3551; 84433; 6195; 5880; 29760; 26469; 7462	98	98
1.65697568236e-06	0.000212092887342	Lysosome - Homo sapiens (human)	KEGG	path:hsa04142	ENSG00000170266; ENSG00000196743; ENSG00000171298; ENSG00000172543; ENSG00000100280; ENSG00000213614; ENSG00000102575; ENSG00000119655; ENSG00000101160; ENSG00000103811; ENSG00000152056; ENSG00000109323; ENSG00000213983	3073; 4126; 54; 2720; 162; 2760; 8906; 130340; 10577; 1512; 1521; 1522; 2548	123	123
2.94701995107e-06	0.00033006623452	TCR	NetPath	Pathway_TCR	ENSG00000111348; ENSG00000110031; ENSG00000023892; ENSG00000134242; ENSG00000172575; ENSG00000104081; ENSG00000104365; ENSG00000104814; ENSG00000065675; ENSG00000065357; ENSG00000087266; ENSG00000010610; ENSG00000198286; ENSG00000140368; ENSG00000139436; ENSG00000173762; ENSG00000111679; ENSG00000120899	1606; 397; 920; 9404; 2185; 26191; 50619; 11184; 6452; 9051; 90427; 10125; 3551; 84433; 5588; 5777; 9815; 924	247	241
5.85672390071e-06	0.000583069401671	Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways	Reactome	R-HSA-168643	ENSG00000023445; ENSG00000187796; ENSG00000104365; ENSG00000140368; ENSG00000089041; ENSG00000162711; ENSG00000091106; ENSG00000103490	330; 58484; 9051; 3551; 5027; 29108; 114548; 64170	48	48
9.57166208167e-06	0.000853935218276	Inflammasomes	Reactome	R-HSA-622312	ENSG00000089041; ENSG00000140368; ENSG00000091106; ENSG00000162711; ENSG00000103490	29108; 58484; 114548; 5027; 9051	15	15
1.08709045317e-05	0.000853935218276	BCR signaling pathway	PID	bcr_5pathway	ENSG00000070190; ENSG00000198286; ENSG00000120910; ENSG00000028277; ENSG00000104814; ENSG00000137101; ENSG00000104365; ENSG00000111679; ENSG00000095585	27071; 5777; 29760; 5533; 3551; 11184; 84433; 5452; 971	69	68
1.14366323876e-05	0.000853935218276	CXCR4-mediated signaling events	PID	cxcr4_pathway	ENSG00000101336; ENSG00000170581; ENSG00000121966; ENSG00000173020; ENSG00000010610; ENSG00000111679; ENSG00000100985; ENSG00000141480; ENSG00000120899; ENSG00000137841	6773; 5330; 7852; 920; 2185; 3055; 4318; 156; 5777; 409	88	86
1.9809208347e-05	0.00136531159068	The role of Nef in HIV-1 replication and disease pathogenesis	Reactome	R-HSA-164952	ENSG00000101336; ENSG00000183020; ENSG00000100280; ENSG00000010610; ENSG00000161203; ENSG00000152056	130340; 1173; 3055; 161; 920; 162	29	28
2.82386200634e-05	0.00179216180623	Complement and Coagulation Cascades	Wikipathways	WP558	ENSG00000182326; ENSG00000166278; ENSG00000120885; ENSG00000173372; ENSG00000197405; ENSG00000000971; ENSG00000181104; ENSG00000149131	1191; 717; 716; 712; 710; 3075; 2149; 728	59	59
3.20028893969e-05	0.00179216180623	Dengue-2 Interactions with Complement and Coagulation Cascades	Wikipathways	WP3896	ENSG00000182326; ENSG00000166278; ENSG00000120885; ENSG00000173372; ENSG00000197405; ENSG00000000971; ENSG00000181104; ENSG00000149131	717; 716; 712; 710; 3075; 1191; 2149; 728	60	60
3.20028893969e-05	0.00179216180623	TYROBP Causal Network	Wikipathways	WP3945	ENSG00000169896; ENSG00000010610; ENSG00000104903; ENSG00000119655; ENSG00000117676; ENSG00000174004; ENSG00000161921; ENSG00000103490	375387; 10577; 58191; 6195; 4066; 3684; 29108; 920	60	60
3.50570703232e-05	0.00184771382409	The NLRP3 inflammasome	Reactome	R-HSA-844456	ENSG00000089041; ENSG00000140368; ENSG00000162711; ENSG00000103490	29108; 114548; 5027; 9051	10	10
3.71925074115e-05	0.00185136036893	Complement and coagulation cascades - Homo sapiens (human)	KEGG	path:hsa04610	ENSG00000182326; ENSG00000169896; ENSG00000166278; ENSG00000120885; ENSG00000173372; ENSG00000197405; ENSG00000000971; ENSG00000181104; ENSG00000149131	3075; 1191; 3684; 712; 716; 717; 710; 2149; 728	79	79
5.15249980548e-05	0.00237073271355	LPA receptor mediated events	PID	lysophospholipid_pathway	ENSG00000060558; ENSG00000076928; ENSG00000064547; ENSG00000156299; ENSG00000129219; ENSG00000121281; ENSG00000100985; ENSG00000120899	9138; 9170; 5338; 2769; 7074; 4318; 113; 2185	65	64
5.29181409274e-05	0.00237073271355	NOD-like receptor signaling pathway - Homo sapiens (human)	KEGG	path:hsa04621	ENSG00000023445; ENSG00000170581; ENSG00000187796; ENSG00000162711; ENSG00000104365; ENSG00000051523; ENSG00000103490; ENSG00000126456; ENSG00000089041; ENSG00000140368; ENSG00000135828; ENSG00000137841; ENSG00000091106	3661; 58484; 6773; 64170; 5330; 3551; 330; 9051; 6041; 114548; 5027; 29108; 1535	170	169
5.85381725365e-05	0.00249762869489	Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters	Reactome	R-HSA-164938	ENSG00000161203; ENSG00000183020; ENSG00000100280; ENSG00000010610; ENSG00000152056	130340; 1173; 161; 920; 162	22	21
6.36765673108e-05	0.00251284527362	IL8- and CXCR2-mediated signaling events	PID	il8cxcr2_pathway	ENSG00000101336; ENSG00000060558; ENSG00000129219; ENSG00000128340; ENSG00000141480; ENSG00000137841	3055; 5330; 409; 5338; 2769; 5880	34	34
6.45038407291e-05	0.00251284527362	TCR signaling in na&#xef;ve CD4+ T cells	PID	tcr_pathway	ENSG00000065675; ENSG00000172575; ENSG00000198286; ENSG00000104365; ENSG00000104814; ENSG00000087266; ENSG00000010610; ENSG00000111679	5588; 10125; 5777; 3551; 920; 11184; 84433; 6452	70	66
8.67289771526e-05	0.0032378818137	hiv-1 defeats host-mediated resistance by cem15	BioCarta	vifpathway	ENSG00000121966; ENSG00000010610; ENSG00000101336	7852; 920; 3055	5	5
0.000104590191461	0.00374851246194	T-Cell antigen Receptor (TCR) Signaling Pathway	Wikipathways	WP69	ENSG00000065675; ENSG00000198286; ENSG00000104365; ENSG00000010610; ENSG00000120899; ENSG00000104814; ENSG00000140368; ENSG00000105329; ENSG00000162924	5588; 11184; 84433; 7040; 920; 5966; 3551; 2185; 9051	92	90
0.000120709234248	0.00415982591869	B cell receptor signaling pathway - Homo sapiens (human)	KEGG	path:hsa04662	ENSG00000070190; ENSG00000198286; ENSG00000120910; ENSG00000137101; ENSG00000104365; ENSG00000128340; ENSG00000111679; ENSG00000095585	5777; 5533; 27071; 29760; 971; 84433; 3551; 5880	73	72
0.00013598424867	0.0045126624744	Staphylococcus aureus infection - Homo sapiens (human)	KEGG	path:hsa05150	ENSG00000182326; ENSG00000169896; ENSG00000166278; ENSG00000173372; ENSG00000197405; ENSG00000000971; ENSG00000110876	3075; 6404; 712; 716; 717; 728; 3684	56	55
0.000152683207952	0.00488586265445	Thromboxane A2 receptor signaling	PID	txa2pathway	ENSG00000065675; ENSG00000101336; ENSG00000076928; ENSG00000060558; ENSG00000141480; ENSG00000173020; ENSG00000137841	5588; 9138; 3055; 5330; 409; 2769; 156	57	56
0.000163679131262	0.0050571207452	Microglia Pathogen Phagocytosis Pathway	Wikipathways	WP3937	ENSG00000101336; ENSG00000169896; ENSG00000173372; ENSG00000051523; ENSG00000128340; ENSG00000111679	5880; 712; 3055; 5777; 3684; 1535	40	40
