p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
8.65066236022e-18	8.33058785289e-15	The citric acid (TCA) cycle and respiratory electron transport	Reactome	R-HSA-1428517	ENSG00000173660; ENSG00000005882; ENSG00000164182; ENSG00000117118; ENSG00000087299; ENSG00000178741; ENSG00000143158; ENSG00000062485; ENSG00000023228; ENSG00000147684; ENSG00000179091; ENSG00000091483; ENSG00000119689; ENSG00000167283; ENSG00000140374; ENSG00000166136; ENSG00000116459; ENSG00000189043; ENSG00000172270; ENSG00000060762; ENSG00000101365; ENSG00000127184; ENSG00000010256; ENSG00000169021; ENSG00000138095; ENSG00000164258; ENSG00000241837; ENSG00000156467; ENSG00000146701; ENSG00000131143	1743; 7384; 10632; 4719; 2271; 79944; 1327; 51660; 539; 4715; 4724; 4191; 5164; 25874; 2108; 9377; 1350; 3420; 515; 10128; 4714; 7386; 6390; 1431; 1537; 7388; 7381; 91942; 4697; 682	171	167
2.03587052221e-11	9.80271656446e-09	Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.	Reactome	R-HSA-163200	ENSG00000178741; ENSG00000166136; ENSG00000010256; ENSG00000189043; ENSG00000173660; ENSG00000023228; ENSG00000147684; ENSG00000167283; ENSG00000138095; ENSG00000179091; ENSG00000164258; ENSG00000117118; ENSG00000169021; ENSG00000241837; ENSG00000156467; ENSG00000164182; ENSG00000131143; ENSG00000116459; ENSG00000140374; ENSG00000127184	7384; 10632; 4719; 1327; 539; 4715; 4724; 2108; 9377; 1350; 515; 10128; 4714; 7386; 6390; 1537; 7388; 7381; 91942; 4697	126	123
6.09503313313e-11	1.95650563574e-08	Electron Transport Chain	Wikipathways	WP111	ENSG00000178741; ENSG00000166136; ENSG00000010256; ENSG00000189043; ENSG00000112695; ENSG00000173660; ENSG00000023228; ENSG00000147684; ENSG00000169021; ENSG00000151729; ENSG00000164258; ENSG00000117118; ENSG00000241837; ENSG00000156467; ENSG00000131143; ENSG00000116459; ENSG00000167283; ENSG00000127184	7388; 7381; 7386; 7384; 9377; 6390; 539; 291; 1327; 4724; 515; 10632; 1347; 1350; 4697; 4714; 4715; 4719	103	103
2.96125203636e-10	6.34852604424e-08	Parkinson,s disease - Homo sapiens (human)	KEGG	path:hsa05012	ENSG00000178741; ENSG00000165637; ENSG00000166136; ENSG00000116459; ENSG00000189043; ENSG00000112695; ENSG00000173660; ENSG00000023228; ENSG00000147684; ENSG00000179091; ENSG00000154277; ENSG00000151729; ENSG00000164258; ENSG00000117118; ENSG00000169021; ENSG00000241837; ENSG00000156467; ENSG00000131143; ENSG00000010256; ENSG00000127184	1537; 515; 539; 4697; 4714; 4715; 4719; 4724; 9377; 7345; 7384; 7386; 7388; 6390; 7417; 7381; 291; 1327; 1347; 1350	142	142
3.29622328361e-10	6.34852604424e-08	Respiratory electron transport	Reactome	R-HSA-611105	ENSG00000178741; ENSG00000169021; ENSG00000010256; ENSG00000189043; ENSG00000173660; ENSG00000023228; ENSG00000147684; ENSG00000166136; ENSG00000138095; ENSG00000179091; ENSG00000164258; ENSG00000117118; ENSG00000156467; ENSG00000164182; ENSG00000131143; ENSG00000140374; ENSG00000127184	7384; 4719; 1327; 4715; 4724; 2108; 9377; 1350; 10128; 4714; 7386; 6390; 7388; 7381; 1537; 91942; 4697	103	100
3.32965607491e-09	5.34409800022e-07	Neutrophil degranulation	Reactome	R-HSA-6798695	ENSG00000173391; ENSG00000151651; ENSG00000026297; ENSG00000103381; ENSG00000134996; ENSG00000111679; ENSG00000085265; ENSG00000133805; ENSG00000143119; ENSG00000163131; ENSG00000051523; ENSG00000149177; ENSG00000103187; ENSG00000197405; ENSG00000153395; ENSG00000011600; ENSG00000196743; ENSG00000146094; ENSG00000093072; ENSG00000163563; ENSG00000180448; ENSG00000145703; ENSG00000059804; ENSG00000100985; ENSG00000090382; ENSG00000000938; ENSG00000182718; ENSG00000087086; ENSG00000175463; ENSG00000167996; ENSG00000028137; ENSG00000118640; ENSG00000069424; ENSG00000170909; ENSG00000241839; ENSG00000167658	80301; 126014; 5795; 8635; 8673; 5777; 2268; 51816; 55313; 4069; 4318; 1535; 302; 10788; 272; 7133; 23526; 1938; 7305; 374403; 6515; 26578; 2219; 1520; 23406; 101; 2512; 728; 2495; 963; 79930; 79888; 4332; 2760; 8514; 4973	497	484
4.50515460017e-09	6.1978055428e-07	Oxidative phosphorylation - Homo sapiens (human)	KEGG	path:hsa00190	ENSG00000178741; ENSG00000166136; ENSG00000116459; ENSG00000189043; ENSG00000112695; ENSG00000173660; ENSG00000023228; ENSG00000147684; ENSG00000179091; ENSG00000164258; ENSG00000117118; ENSG00000169021; ENSG00000241837; ENSG00000156467; ENSG00000131143; ENSG00000010256; ENSG00000167283; ENSG00000127184	1537; 515; 539; 4697; 4714; 4715; 4719; 4724; 9377; 7381; 7384; 7386; 7388; 6390; 1327; 1347; 1350; 10632	133	133
6.34437601296e-09	7.6370426256e-07	Metabolism	Reactome	R-HSA-1430728	ENSG00000176974; ENSG00000168528; ENSG00000081760; ENSG00000184730; ENSG00000138796; ENSG00000117054; ENSG00000114391; ENSG00000091483; ENSG00000099797; ENSG00000116459; ENSG00000189043; ENSG00000164182; ENSG00000197943; ENSG00000059804; ENSG00000117118; ENSG00000140374; ENSG00000169021; ENSG00000138095; ENSG00000102967; ENSG00000173660; ENSG00000138678; ENSG00000166136; ENSG00000166228; ENSG00000130707; ENSG00000124615; ENSG00000102575; ENSG00000107798; ENSG00000144959; ENSG00000151729; ENSG00000198848; ENSG00000023228; ENSG00000147684; ENSG00000167283; ENSG00000171723; ENSG00000196743; ENSG00000165996; ENSG00000131480; ENSG00000172270; ENSG00000060762; ENSG00000101365; ENSG00000105854; ENSG00000010256; ENSG00000070882; ENSG00000137841; ENSG00000196511; ENSG00000115919; ENSG00000164181; ENSG00000087299; ENSG00000140057; ENSG00000177600; ENSG00000181019; ENSG00000181856; ENSG00000143158; ENSG00000062485; ENSG00000114115; ENSG00000119689; ENSG00000233276; ENSG00000153395; ENSG00000060558; ENSG00000140905; ENSG00000100294; ENSG00000131469; ENSG00000166394; ENSG00000197756; ENSG00000149809; ENSG00000241837; ENSG00000156467; ENSG00000146701; ENSG00000131143; ENSG00000164879; ENSG00000169826; ENSG00000108846; ENSG00000075239; ENSG00000150540; ENSG00000005882; ENSG00000168918; ENSG00000185100; ENSG00000133805; ENSG00000179091; ENSG00000178741; ENSG00000166165; ENSG00000167969; ENSG00000127184; ENSG00000229117; ENSG00000143450; ENSG00000164258; ENSG00000064763; ENSG00000077616; ENSG00000151498	34; 6155; 51660; 1728; 51686; 4724; 1632; 2108; 4714; 4191; 6515; 445; 84803; 2769; 8714; 515; 4337; 5336; 27010; 5164; 57552; 1350; 54; 1723; 65985; 5445; 6390; 1537; 26031; 682; 3176; 4719; 122481; 3635; 5947; 6470; 761; 1152; 1743; 10003; 7108; 2760; 7384; 3988; 9524; 6168; 8942; 55711; 38; 9200; 314; 27349; 1431; 51700; 79944; 122622; 1066; 10243; 6517; 5330; 6171; 79888; 4697; 539; 25874; 55911; 3420; 7386; 27034; 79993; 2876; 55454; 10632; 1327; 5092; 10128; 6152; 272; 9377; 6181; 2653; 7388; 291; 7381; 91942; 2271; 3033; 4715; 347735	2035	1994
1.25863984772e-08	1.34674463706e-06	Huntington,s disease - Homo sapiens (human)	KEGG	path:hsa05016	ENSG00000178741; ENSG00000166136; ENSG00000116459; ENSG00000189043; ENSG00000112695; ENSG00000151729; ENSG00000023228; ENSG00000147684; ENSG00000179091; ENSG00000165637; ENSG00000164258; ENSG00000117118; ENSG00000169021; ENSG00000241837; ENSG00000156467; ENSG00000131143; ENSG00000233276; ENSG00000010256; ENSG00000173660; ENSG00000137841; ENSG00000127184	1537; 515; 539; 291; 4697; 4714; 4719; 4724; 5330; 7381; 7388; 6390; 7417; 2876; 7384; 1327; 7386; 1347; 1350; 4715; 9377	193	193
1.78703388214e-08	1.7209136285e-06	Pyruvate metabolism and Citric Acid (TCA) cycle	Reactome	R-HSA-71406	ENSG00000143158; ENSG00000060762; ENSG00000062485; ENSG00000005882; ENSG00000172270; ENSG00000117118; ENSG00000119689; ENSG00000087299; ENSG00000146701; ENSG00000091483; ENSG00000101365	3420; 1743; 2271; 4191; 5164; 6390; 79944; 1431; 51660; 25874; 682	49	48
