p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
3.65278462178e-05	0.00145502587434	2-Hydroxyglutric Aciduria (D And L Form)	SMPDB	SMP00136	ENSG00000159423; ENSG00000172890; ENSG00000103356; ENSG00000198380	2673; 55191; 8659; 124454	23	23
3.65278462178e-05	0.00145502587434	Homocarnosinosis	SMPDB	SMP00385	ENSG00000159423; ENSG00000172890; ENSG00000103356; ENSG00000198380	2673; 55191; 8659; 124454	23	23
3.65278462178e-05	0.00145502587434	Hyperinsulinism-Hyperammonemia Syndrome	SMPDB	SMP00339	ENSG00000159423; ENSG00000172890; ENSG00000103356; ENSG00000198380	2673; 55191; 8659; 124454	23	23
3.65278462178e-05	0.00145502587434	Succinic semialdehyde dehydrogenase deficiency	SMPDB	SMP00567	ENSG00000159423; ENSG00000172890; ENSG00000103356; ENSG00000198380	2673; 55191; 8659; 124454	23	23
3.65278462178e-05	0.00145502587434	4-Hydroxybutyric Aciduria/Succinic Semialdehyde Dehydrogenase Deficiency	SMPDB	SMP00243	ENSG00000159423; ENSG00000172890; ENSG00000103356; ENSG00000198380	2673; 55191; 8659; 124454	23	23
3.65278462178e-05	0.00145502587434	Glutamate Metabolism	SMPDB	SMP00072	ENSG00000159423; ENSG00000172890; ENSG00000103356; ENSG00000198380	2673; 55191; 8659; 124454	23	23
0.000503135227256	0.0171784741877	Growth hormone receptor signaling	Reactome	R-HSA-982772	ENSG00000114737; ENSG00000169047; ENSG00000120833	8835; 3667; 1154	19	19
0.00122561214854	0.0366151629375	Validated transcriptional targets of TAp63 isoforms	PID	tap63pathway	ENSG00000147889; ENSG00000115129; ENSG00000196839; ENSG00000161513	9540; 2232; 100; 1029	57	56
0.00144658108667	0.0384147644127	Photodynamic therapy-induced unfolded protein response	Wikipathways	WP3613	ENSG00000070669; ENSG00000101255; ENSG00000100219	7494; 440; 57761	27	27
0.00308350269299	0.0736957143626	Alanine, aspartate and glutamate metabolism - Homo sapiens (human)	KEGG	path:hsa00250	ENSG00000070669; ENSG00000159423; ENSG00000198380	440; 8659; 2673	35	35
0.00590896465869	0.106105990153	TP53 Regulates Transcription of Cell Death Genes	Reactome	R-HSA-5633008	ENSG00000115129; ENSG00000141391; ENSG00000164938	10650; 94241; 9540	44	44
0.00593182682738	0.106105990153	SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion	Reactome	R-HSA-399955	ENSG00000099250; ENSG00000076356	5362; 8829	15	14
0.00701128042262	0.106105990153	Direct p53 effectors	PID	p53downstreampathway	ENSG00000115129; ENSG00000161513; ENSG00000080546; ENSG00000185088; ENSG00000164938	51065; 9540; 94241; 27244; 2232	147	143
0.00713483689596	0.106105990153	Amino Acid metabolism	Wikipathways	WP3925	ENSG00000070669; ENSG00000163590; ENSG00000081181; ENSG00000146085	440; 384; 151742; 4594	91	91
0.00773731950046	0.106105990153	CRMPs in Sema3A signaling	Reactome	R-HSA-399956	ENSG00000099250; ENSG00000076356	5362; 8829	16	16
0.00773731950046	0.106105990153	Sema3A PAK dependent Axon repulsion	Reactome	R-HSA-399954	ENSG00000099250; ENSG00000076356	5362; 8829	16	16
0.00797583671793	0.106105990153	Arginine and proline metabolism - Homo sapiens (human)	KEGG	path:hsa00330	ENSG00000159423; ENSG00000137124; ENSG00000081181	384; 219; 8659	50	49
0.00872130757452	0.106105990153	Leptin Insulin Overlap	Wikipathways	WP3935	ENSG00000169047; ENSG00000120833	8835; 3667	17	17
0.00975818559757	0.106105990153	Propanoate metabolism	EHMN	Propanoate metabolism	ENSG00000137124; ENSG00000146085	219; 4594	18	18
0.00975818559757	0.106105990153	Cobalamin (Cbl, vitamin B12) transport and metabolism	Reactome	R-HSA-196741	ENSG00000168288; ENSG00000146085	4594; 27249	19	18
