p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
8.99813148535e-11	5.07494615774e-08	TYROBP Causal Network	Wikipathways	WP3945	ENSG00000118785; ENSG00000160255; ENSG00000184988; ENSG00000140749; ENSG00000116701; ENSG00000180353; ENSG00000150782; ENSG00000104894; ENSG00000155465; ENSG00000105281; ENSG00000011600	113277; 3606; 7305; 6510; 9056; 10261; 3059; 3689; 4688; 951; 6696	60	60
1.27285356818e-08	3.58944706226e-06	Immune System	Reactome	R-HSA-168256	ENSG00000114302; ENSG00000111801; ENSG00000105568; ENSG00000086730; ENSG00000116701; ENSG00000020922; ENSG00000123329; ENSG00000120875; ENSG00000026508; ENSG00000172349; ENSG00000254087; ENSG00000160255; ENSG00000109323; ENSG00000143119; ENSG00000104774; ENSG00000096968; ENSG00000142512; ENSG00000135677; ENSG00000134516; ENSG00000056736; ENSG00000163840; ENSG00000158050; ENSG00000129226; ENSG00000049860; ENSG00000137070; ENSG00000150782; ENSG00000135932; ENSG00000174125; ENSG00000187796; ENSG00000011600; ENSG00000070831; ENSG00000129465; ENSG00000180448; ENSG00000082781; ENSG00000198909; ENSG00000082074; ENSG00000126264; ENSG00000169047; ENSG00000198833; ENSG00000175463; ENSG00000100365; ENSG00000213445; ENSG00000143226; ENSG00000135077; ENSG00000174130; ENSG00000171860; ENSG00000170909; ENSG00000107201; ENSG00000095970; ENSG00000105246	126014; 4126; 3689; 4688; 55540; 2212; 10333; 10870; 64170; 51465; 968; 10148; 84868; 960; 1844; 3606; 23526; 5518; 4215; 3074; 963; 5576; 3693; 7462; 23586; 3667; 4125; 1846; 998; 64333; 2533; 151636; 54209; 3590; 2799; 7096; 4361; 10384; 3717; 3603; 719; 89790; 7305; 374403; 51719; 1794; 4689; 11035; 4067; 6494	1950	1904
1.46651916149e-06	0.00027570560236	Innate Immune System	Reactome	R-HSA-168249	ENSG00000114302; ENSG00000105568; ENSG00000086730; ENSG00000116701; ENSG00000020922; ENSG00000123329; ENSG00000120875; ENSG00000026508; ENSG00000254087; ENSG00000160255; ENSG00000143119; ENSG00000096968; ENSG00000135677; ENSG00000134516; ENSG00000158050; ENSG00000129226; ENSG00000049860; ENSG00000011600; ENSG00000104774; ENSG00000135932; ENSG00000174125; ENSG00000187796; ENSG00000070831; ENSG00000180448; ENSG00000109323; ENSG00000129465; ENSG00000175463; ENSG00000100365; ENSG00000143226; ENSG00000171860; ENSG00000107201; ENSG00000170909; ENSG00000169047; ENSG00000095970; ENSG00000174130	126014; 23526; 23586; 3689; 4688; 374403; 960; 719; 3667; 4125; 1844; 7305; 4689; 2212; 4126; 7462; 64170; 4361; 1846; 998; 11035; 64333; 1794; 968; 5518; 10333; 54209; 51719; 2799; 3717; 3074; 7096; 4067; 963; 5576	1309	1276
6.77752110252e-06	0.000955630475455	Microglia Pathogen Phagocytosis Pathway	Wikipathways	WP3937	ENSG00000254087; ENSG00000160255; ENSG00000116701; ENSG00000100365; ENSG00000095970; ENSG00000011600	4689; 4067; 7305; 54209; 3689; 4688	40	40
1.58901617088e-05	0.00179241024075	Keratan sulfate degradation	Reactome	R-HSA-2022857	ENSG00000163521; ENSG00000135677; ENSG00000049860	79411; 2799; 3074	5	5
5.69715090921e-05	0.00535532185465	Neutrophil degranulation	Reactome	R-HSA-6798695	ENSG00000026508; ENSG00000160255; ENSG00000143119; ENSG00000175463; ENSG00000134516; ENSG00000129226; ENSG00000135677; ENSG00000143226; ENSG00000135932; ENSG00000180448; ENSG00000171860; ENSG00000170909; ENSG00000049860; ENSG00000109323; ENSG00000123329; ENSG00000011600; ENSG00000104774	126014; 4126; 3689; 960; 719; 4125; 2212; 23526; 64333; 7305; 374403; 51719; 1794; 968; 2799; 3074; 963	497	484
8.66901231082e-05	0.00698474706186	Cross-presentation of particulate exogenous antigens (phagosomes)	Reactome	R-HSA-1236973	ENSG00000116701; ENSG00000100365; ENSG00000082781	3693; 4689; 4688	8	8
0.00024884952158	0.0169269261602	Biotin transport and metabolism	Reactome	R-HSA-196780	ENSG00000114054; ENSG00000078070; ENSG00000169814	686; 56922; 5096	11	11
0.000270110523833	0.0169269261602	Antigen processing-Cross presentation	Reactome	R-HSA-1236975	ENSG00000174130; ENSG00000116701; ENSG00000174125; ENSG00000100365; ENSG00000082781	7096; 4689; 3693; 4688; 10333	49	49
0.000418886592062	0.0235580469521	Signaling by Interleukins	Reactome	R-HSA-449147	ENSG00000198909; ENSG00000254087; ENSG00000172349; ENSG00000105568; ENSG00000137070; ENSG00000096968; ENSG00000135077; ENSG00000150782; ENSG00000158050; ENSG00000169047; ENSG00000120875; ENSG00000105246; ENSG00000056736	3717; 3603; 3667; 55540; 1844; 3606; 1846; 5518; 10148; 4215; 3590; 4067; 84868	373	368
