p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
8.91567773748e-05	0.00657349513061	Regulation of RAC1 activity	PID	rac1_reg_pathway	ENSG00000134516; ENSG00000123329; ENSG00000182957	1794; 64333; 221178	39	38
0.000196743083805	0.00657349513061	Toll Like Receptor 4 (TLR4) Cascade	Reactome	R-HSA-166016	ENSG00000129465; ENSG00000160255; ENSG00000174125; ENSG00000120875	1846; 3689; 11035; 7096	128	127
0.000349490635636	0.00657349513061	TYROBP Causal Network	Wikipathways	WP3945	ENSG00000104894; ENSG00000155465; ENSG00000160255	9056; 3689; 951	60	60
0.000379260867016	0.00657349513061	Innate Immune System	Reactome	R-HSA-168249	ENSG00000129465; ENSG00000174125; ENSG00000049860; ENSG00000254087; ENSG00000160255; ENSG00000086730; ENSG00000134516; ENSG00000123329; ENSG00000120875; ENSG00000104774	3689; 4125; 7462; 1846; 11035; 64333; 1794; 3074; 7096; 4067	1309	1276
0.000400822873817	0.00657349513061	Toll-Like Receptors Cascades	Reactome	R-HSA-168898	ENSG00000129465; ENSG00000160255; ENSG00000174125; ENSG00000120875	1846; 3689; 11035; 7096	155	153
0.000609121906116	0.00832466605025	Immune System	Reactome	R-HSA-168256	ENSG00000129465; ENSG00000174125; ENSG00000254087; ENSG00000160255; ENSG00000086730; ENSG00000104774; ENSG00000134516; ENSG00000082781; ENSG00000123329; ENSG00000049860; ENSG00000082074; ENSG00000120875	3689; 3074; 3693; 7462; 4125; 1846; 64333; 2533; 7096; 1794; 11035; 4067	1950	1904
0.000773999634407	0.0090668528602	Other glycan degradation - Homo sapiens (human)	KEGG	path:hsa00511	ENSG00000049860; ENSG00000104774	3074; 4125	18	18
0.00138336624257	0.0141795039863	Regulation of actin cytoskeleton - Homo sapiens (human)	KEGG	path:hsa04810	ENSG00000182957; ENSG00000106631; ENSG00000082781; ENSG00000160255	3689; 58498; 3693; 221178	214	213
0.00203949766302	0.0172053451718	TNF signaling pathway - Homo sapiens (human)	KEGG	path:hsa04668	ENSG00000157227; ENSG00000129465; ENSG00000197442	4217; 4323; 11035	110	110
0.00230888888242	0.0172053451718	Activation of Matrix Metalloproteinases	Reactome	R-HSA-1592389	ENSG00000157227; ENSG00000172236	4323; 7177	31	31
0.00237300844146	0.0172053451718	Activated TLR4 signalling	Reactome	R-HSA-166054	ENSG00000129465; ENSG00000174125; ENSG00000120875	1846; 11035; 7096	117	116
0.00277361208791	0.0172053451718	IL8- and CXCR2-mediated signaling events	PID	il8cxcr2_pathway	ENSG00000134516; ENSG00000254087	4067; 1794	34	34
0.00286772909648	0.0172053451718	Integrin	INOH	None	ENSG00000134516; ENSG00000082781; ENSG00000160255	1794; 3693; 3689	124	124
0.00293749795617	0.0172053451718	Smooth Muscle Contraction	Reactome	R-HSA-445355	ENSG00000106631; ENSG00000082781	58498; 3693	36	35
0.00382335920758	0.0209010303347	Microglia Pathogen Phagocytosis Pathway	Wikipathways	WP3937	ENSG00000254087; ENSG00000160255	4067; 3689	40	40
0.00418367811818	0.0211734031715	Extracellular matrix organization	Reactome	R-HSA-1474244	ENSG00000157227; ENSG00000172236; ENSG00000082781; ENSG00000160255	3693; 7177; 4323; 3689	295	289
0.00440730505995	0.0211734031715	Urokinase-type plasminogen activator (uPA) and uPAR-mediated signaling	PID	upa_upar_pathway	ENSG00000082781; ENSG00000160255	3689; 3693	43	43
0.00464782020839	0.0211734031715	Neutrophil degranulation	Reactome	R-HSA-6798695	ENSG00000049860; ENSG00000123329; ENSG00000104774; ENSG00000134516; ENSG00000160255	3689; 4125; 64333; 1794; 3074	497	484
0.00569068440333	0.0245597958459	Antigen processing-Cross presentation	Reactome	R-HSA-1236975	ENSG00000174125; ENSG00000082781	7096; 3693	49	49
0.007124563341	0.0292107096981	RANKL-RANK (Receptor activator of NFKB (ligand)) Signaling Pathway	Wikipathways	WP2018	ENSG00000066336; ENSG00000254087	6688; 4067	55	55
0.00786048911123	0.0306933384343	Tuberculosis - Homo sapiens (human)	KEGG	path:hsa05152	ENSG00000129007; ENSG00000174125; ENSG00000160255	3689; 91860; 7096	179	178
0.00898215628878	0.0334789461673	Fc-epsilon receptor I signaling in mast cells	PID	fcer1pathway	ENSG00000086730; ENSG00000254087	4067; 7462	62	62
