p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
1.94751251704e-08	6.03728880281e-06	TNF signaling pathway - Homo sapiens (human)	KEGG	path:hsa04668	ENSG00000168404; ENSG00000184557; ENSG00000170345; ENSG00000028137; ENSG00000125538; ENSG00000078401; ENSG00000163739; ENSG00000171223; ENSG00000128342	2919; 197259; 3726; 1906; 2353; 9021; 3976; 7133; 3553	110	110
9.66399337692e-08	1.49791897342e-05	Validated transcriptional targets of AP1 family members Fra1 and Fra2	PID	fra_pathway	ENSG00000011422; ENSG00000175592; ENSG00000178726; ENSG00000132470; ENSG00000171223; ENSG00000128342	3691; 8061; 3976; 7056; 5329; 3726	38	38
5.05010975074e-07	5.21844674243e-05	Cytokine-cytokine receptor interaction - Homo sapiens (human)	KEGG	path:hsa04060	ENSG00000121858; ENSG00000173530; ENSG00000107562; ENSG00000160712; ENSG00000006327; ENSG00000077238; ENSG00000125538; ENSG00000028137; ENSG00000108342; ENSG00000163739; ENSG00000128342	8743; 8793; 6387; 7133; 2919; 51330; 3976; 1440; 3553; 3566; 3570	265	264
1.52973914494e-06	0.000118554783733	Vitamin D Receptor Pathway	Wikipathways	WP2877	ENSG00000123689; ENSG00000146674; ENSG00000116717; ENSG00000059728; ENSG00000124762; ENSG00000171401; ENSG00000143546; ENSG00000171223; ENSG00000178726	50486; 7056; 3486; 1026; 6279; 4084; 1647; 3726; 3860	184	183
1.98203711236e-06	0.000122886300967	Apoptosis - Homo sapiens (human)	KEGG	path:hsa04210	ENSG00000121858; ENSG00000173530; ENSG00000143384; ENSG00000116717; ENSG00000167553; ENSG00000099860; ENSG00000170345; ENSG00000130222	4616; 8743; 4170; 8793; 1647; 10912; 2353; 84790	140	140
2.85301047187e-06	0.000147405541047	Nuclear Receptors Meta-Pathway	Wikipathways	WP2882	ENSG00000114315; ENSG00000185022; ENSG00000172831; ENSG00000120738; ENSG00000132002; ENSG00000155850; ENSG00000142583; ENSG00000099860; ENSG00000125538; ENSG00000171223; ENSG00000178726	3553; 7056; 23764; 8824; 1958; 6518; 3280; 1836; 3337; 3726; 4616	316	315
4.0135860231e-06	0.00017774452388	Oxidative Damage	Wikipathways	WP3941	ENSG00000124762; ENSG00000159403; ENSG00000028137; ENSG00000182326; ENSG00000116717	7133; 716; 715; 1026; 1647	40	40
9.05206009163e-06	0.000350767328551	IL6-mediated signaling events	PID	il6_7pathway	ENSG00000170345; ENSG00000171223; ENSG00000143384; ENSG00000184557; ENSG00000160712	4170; 2353; 3570; 9021; 3726	48	47
1.23273073963e-05	0.000424607254762	Photodynamic therapy-induced AP-1 survival signaling.	Wikipathways	WP3611	ENSG00000124762; ENSG00000170345; ENSG00000171223; ENSG00000121858; ENSG00000143384	8743; 4170; 3726; 1026; 2353	50	50
1.92676598114e-05	0.00049774787846	Apoptosis Modulation and Signaling	Wikipathways	WP1772	ENSG00000121858; ENSG00000173530; ENSG00000151929; ENSG00000143384; ENSG00000028137; ENSG00000170345	8743; 7133; 9531; 4170; 2353; 8793	92	92
