p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
3.98403067244e-05	0.0307168764845	Glutathione metabolism	Wikipathways	WP100	ENSG00000104687; ENSG00000211445; ENSG00000213366; ENSG00000099984; ENSG00000134184	2936; 2878; 2946; 2944; 2953	20	20
0.000409669323123	0.104221350229	&beta;-alanine degradation	HumanCyc	BETA-ALA-DEGRADATION-I-PWY	ENSG00000183044; ENSG00000119711	18; 4329	2	2
0.0012054786498	0.104221350229	CMP phosphorylation	HumanCyc	PWY-7205	ENSG00000243678; ENSG00000172113; ENSG00000123009	10201; 283458; 4831	11	11
0.00136097126697	0.104221350229	Homologous recombination - Homo sapiens (human)	KEGG	path:hsa03440	ENSG00000020922; ENSG00000139351; ENSG00000197275; ENSG00000185379; ENSG00000002016	5892; 5893; 4361; 25788; 50511	41	41
0.00158332832487	0.104221350229	pyrimidine deoxyribonucleotide phosphorylation	HumanCyc	PWY-7197	ENSG00000243678; ENSG00000172113; ENSG00000123009	10201; 283458; 4831	12	12
0.00158332832487	0.104221350229	guanosine deoxyribonucleotides <i>de novo</i> biosynthesis	HumanCyc	PWY-7226	ENSG00000243678; ENSG00000172113; ENSG00000123009	10201; 283458; 4831	12	12
0.00158332832487	0.104221350229	adenosine deoxyribonucleotides <i>de novo</i> biosynthesis	HumanCyc	PWY-7227	ENSG00000243678; ENSG00000172113; ENSG00000123009	10201; 283458; 4831	12	12
0.00202765272819	0.104221350229	Familial lipoprotein lipase deficiency	SMPDB	SMP00530	ENSG00000065357; ENSG00000108602; ENSG00000175445	1606; 218; 4023	13	13
0.00202765272819	0.104221350229	Glycerolipid Metabolism	SMPDB	SMP00039	ENSG00000065357; ENSG00000108602; ENSG00000175445	1606; 218; 4023	13	13
0.00202765272819	0.104221350229	Glycerol Kinase Deficiency	SMPDB	SMP00187	ENSG00000065357; ENSG00000108602; ENSG00000175445	1606; 218; 4023	13	13
0.00202765272819	0.104221350229	D-glyceric acidura	SMPDB	SMP00529	ENSG00000065357; ENSG00000108602; ENSG00000175445	1606; 218; 4023	13	13
0.00202765272819	0.104221350229	UTP and CTP <i>de novo</i> biosynthesis	HumanCyc	PWY-7176	ENSG00000243678; ENSG00000172113; ENSG00000123009	10201; 283458; 4831	13	13
0.00202765272819	0.104221350229	purine deoxyribonucleosides salvage	HumanCyc	PWY-7224	ENSG00000243678; ENSG00000172113; ENSG00000123009	10201; 283458; 4831	13	13
0.00202765272819	0.104221350229	guanosine ribonucleotides <i>de novo</i> biosynthesis	HumanCyc	PWY-7221	ENSG00000243678; ENSG00000172113; ENSG00000123009	10201; 283458; 4831	13	13
0.00202765272819	0.104221350229	Homologous recombination	Wikipathways	WP186	ENSG00000002016; ENSG00000020922; ENSG00000197275	25788; 4361; 5893	13	13
0.00241842642639	0.116537923422	NRF2 pathway	Wikipathways	WP2884	ENSG00000065833; ENSG00000099984; ENSG00000108602; ENSG00000213366; ENSG00000063127; ENSG00000139540; ENSG00000211445; ENSG00000104687; ENSG00000134184	218; 28968; 4199; 2936; 283375; 2953; 2946; 2944; 2878	142	142
0.00298938016456	0.134090793865	Oxidative Stress	Wikipathways	WP408	ENSG00000104687; ENSG00000140465; ENSG00000211445; ENSG00000099984	1543; 2936; 2878; 2953	30	30
0.00313052437039	0.134090793865	superpathway of pyrimidine ribonucleotides <i>de novo</i> biosynthesis	HumanCyc	PWY0-162	ENSG00000243678; ENSG00000172113; ENSG00000123009	283458; 10201; 4831	15	15
0.00379570695158	0.137878749816	pyrimidine deoxyribonucleotides biosynthesis from CTP	HumanCyc	PWY-7210	ENSG00000243678; ENSG00000172113; ENSG00000123009	283458; 10201; 4831	16	16
0.00379570695158	0.137878749816	pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis	HumanCyc	PWY-7184	ENSG00000243678; ENSG00000172113; ENSG00000123009	283458; 10201; 4831	16	16
