p-value	q-value	term_goid	term_category	term_level	term_name	members_input_overlap	members_input_overlap_geneids	size	effective_size
3.04171249322e-13	1.7489846836e-10	GO:0060337	b	5	type I interferon signaling pathway	2537; 3107; 3135; 3136; 3326; 3434; 4599; 4600; 4938; 4939; 4940; 5770; 8519; 8638; 9636; 10410; 10581; 3105; 54739; 91543	ENSG00000185745; ENSG00000111331; ENSG00000126709; ENSG00000196396; ENSG00000157601; ENSG00000142089; ENSG00000204525; ENSG00000185885; ENSG00000185201; ENSG00000206503; ENSG00000206341; ENSG00000132530; ENSG00000183486; ENSG00000111335; ENSG00000096384; ENSG00000089127; ENSG00000204632; ENSG00000134321; ENSG00000135114; ENSG00000187608	80	80
8.22806098991e-13	2.3655675346e-10	GO:0034340	b	5	response to type I interferon	2537; 3107; 3135; 3136; 3326; 3434; 4599; 4600; 4938; 4939; 4940; 5770; 8519; 8638; 9636; 10410; 10581; 3105; 54739; 91543	ENSG00000185745; ENSG00000111331; ENSG00000126709; ENSG00000196396; ENSG00000157601; ENSG00000142089; ENSG00000204525; ENSG00000185885; ENSG00000185201; ENSG00000206503; ENSG00000206341; ENSG00000132530; ENSG00000183486; ENSG00000111335; ENSG00000096384; ENSG00000089127; ENSG00000204632; ENSG00000134321; ENSG00000135114; ENSG00000187608	84	84
9.86368848967e-13	6.7763539924e-10	GO:0034097	b	4	response to cytokine	6556; 1051; 1116; 1440; 2532; 2537; 3059; 3107; 3113; 3115; 3119; 3123; 3135; 3136; 3326; 3383; 3434; 3459; 3554; 3566; 3569; 3577; 3601; 3718; 4501; 4502; 4599; 4600; 4783; 4791; 4792; 4938; 4939; 4940; 5359; 5770; 5970; 5971; 6774; 7132; 7850; 8061; 8519; 8531; 8638; 8692; 8793; 8795; 8809; 9021; 9261; 9636; 7133; 10241; 10410; 10581; 11213; 79155; 83666; 3105; 54739; 22904; 4055; 3127; 91543	ENSG00000196396; ENSG00000188313; ENSG00000136436; ENSG00000027697; ENSG00000223865; ENSG00000111321; ENSG00000111331; ENSG00000165030; ENSG00000111335; ENSG00000115590; ENSG00000132530; ENSG00000089127; ENSG00000067182; ENSG00000064932; ENSG00000187193; ENSG00000028137; ENSG00000126709; ENSG00000134321; ENSG00000060138; ENSG00000231389; ENSG00000134470; ENSG00000175592; ENSG00000133048; ENSG00000162889; ENSG00000125148; ENSG00000096384; ENSG00000105639; ENSG00000136244; ENSG00000172216; ENSG00000068001; ENSG00000077150; ENSG00000185745; ENSG00000100906; ENSG00000090339; ENSG00000142089; ENSG00000173530; ENSG00000104856; ENSG00000206503; ENSG00000077238; ENSG00000206341; ENSG00000183486; ENSG00000138496; ENSG00000163464; ENSG00000179344; ENSG00000168610; ENSG00000108342; ENSG00000204632; ENSG00000168884; ENSG00000115594; ENSG00000120889; ENSG00000090376; ENSG00000018280; ENSG00000135114; ENSG00000198502; ENSG00000204525; ENSG00000185885; ENSG00000184557; ENSG00000185201; ENSG00000180353; ENSG00000115604; ENSG00000173039; ENSG00000213088; ENSG00000157601; ENSG00000196126; ENSG00000187608	799	798
1.6746557198e-11	3.20975679629e-09	GO:0071345	b	5	cellular response to cytokine stimulus	1051; 1116; 1440; 2532; 2537; 3059; 3107; 3113; 3115; 3119; 3123; 3127; 3135; 3136; 3326; 3383; 3434; 3459; 3554; 3566; 3569; 3577; 3601; 3718; 4501; 4502; 4599; 4600; 4783; 4792; 4938; 4939; 4940; 5770; 5970; 6774; 7132; 7850; 8519; 8531; 8638; 8692; 8793; 8795; 8809; 9021; 9636; 7133; 10410; 10581; 11213; 79155; 3105; 54739; 22904; 4055; 91543	ENSG00000196396; ENSG00000027697; ENSG00000223865; ENSG00000111321; ENSG00000111331; ENSG00000165030; ENSG00000111335; ENSG00000115590; ENSG00000132530; ENSG00000089127; ENSG00000067182; ENSG00000064932; ENSG00000187193; ENSG00000028137; ENSG00000126709; ENSG00000134321; ENSG00000060138; ENSG00000231389; ENSG00000134470; ENSG00000133048; ENSG00000125148; ENSG00000096384; ENSG00000105639; ENSG00000136244; ENSG00000172216; ENSG00000068001; ENSG00000185745; ENSG00000100906; ENSG00000090339; ENSG00000142089; ENSG00000173530; ENSG00000077238; ENSG00000206341; ENSG00000183486; ENSG00000163464; ENSG00000179344; ENSG00000168610; ENSG00000108342; ENSG00000204632; ENSG00000168884; ENSG00000115594; ENSG00000120889; ENSG00000090376; ENSG00000206503; ENSG00000196126; ENSG00000135114; ENSG00000204525; ENSG00000185885; ENSG00000184557; ENSG00000185201; ENSG00000180353; ENSG00000115604; ENSG00000173039; ENSG00000213088; ENSG00000157601; ENSG00000198502; ENSG00000187608	692	691
7.67148859717e-11	1.88806445962e-08	GO:0006952	b	3	defense response	6556; 602; 604; 720; 721; 837; 1051; 1116; 1668; 2215; 2219; 2268; 2532; 2537; 3107; 3113; 3115; 3119; 3123; 3135; 3136; 3148; 3326; 3329; 3383; 3428; 3434; 3459; 3554; 3566; 3569; 3577; 3718; 4277; 4502; 4599; 4600; 4671; 4791; 4792; 4938; 4939; 4940; 5054; 5166; 5345; 5359; 5770; 5970; 5971; 6279; 6280; 6774; 7004; 7132; 7184; 7323; 7784; 100507436; 8061; 8519; 8605; 8638; 8692; 8793; 8795; 9021; 9261; 9332; 9572; 9636; 23476; 7133; 10241; 10410; 10581; 10964; 11213; 79155; 80271; 29923; 2635; 7097; 83666; 51279; 3105; 54541; 54739; 22904; 353514; 4055; 5187; 387849; 3127; 91543; 6283	ENSG00000027697; ENSG00000004799; ENSG00000177575; ENSG00000179094; ENSG00000204516; ENSG00000239839; ENSG00000137959; ENSG00000086544; ENSG00000141867; ENSG00000106366; ENSG00000142089; ENSG00000163565; ENSG00000224389; ENSG00000168884; ENSG00000196954; ENSG00000204632; ENSG00000117226; ENSG00000018280; ENSG00000000938; ENSG00000135114; ENSG00000249437; ENSG00000166598; ENSG00000138496; ENSG00000132530; ENSG00000223865; ENSG00000113916; ENSG00000143546; ENSG00000105499; ENSG00000167711; ENSG00000067182; ENSG00000139178; ENSG00000069399; ENSG00000133048; ENSG00000144381; ENSG00000213088; ENSG00000168610; ENSG00000172216; ENSG00000187116; ENSG00000185745; ENSG00000104856; ENSG00000163464; ENSG00000179344; ENSG00000115594; ENSG00000120889; ENSG00000090376; ENSG00000187608; ENSG00000184557; ENSG00000198502; ENSG00000188313; ENSG00000136436; ENSG00000206503; ENSG00000089127; ENSG00000168209; ENSG00000164104; ENSG00000126709; ENSG00000134321; ENSG00000244731; ENSG00000231389; ENSG00000175592; ENSG00000064932; ENSG00000096384; ENSG00000136244; ENSG00000068001; ENSG00000077150; ENSG00000077238; ENSG00000206341; ENSG00000197905; ENSG00000204525; ENSG00000185885; ENSG00000185201; ENSG00000204520; ENSG00000105639; ENSG00000162747; ENSG00000196126; ENSG00000137462; ENSG00000111331; ENSG00000111335; ENSG00000085265; ENSG00000135245; ENSG00000173039; ENSG00000162889; ENSG00000125148; ENSG00000196396; ENSG00000100906; ENSG00000090339; ENSG00000173530; ENSG00000111321; ENSG00000183486; ENSG00000174236; ENSG00000126368; ENSG00000028137; ENSG00000157601; ENSG00000188372; ENSG00000163220; ENSG00000163221; ENSG00000109332	1591	1572
7.95286465737e-11	2.73180900981e-08	GO:0019221	b	4	cytokine-mediated signaling pathway	1440; 2532; 2537; 3107; 3113; 3115; 3119; 3123; 3135; 3136; 3326; 3383; 3434; 3459; 3554; 3566; 3569; 3577; 3601; 3718; 4502; 4599; 4600; 4938; 4939; 4940; 5770; 5970; 6774; 7132; 7850; 8519; 8638; 8793; 8795; 8809; 9021; 9636; 7133; 10410; 10581; 11213; 79155; 3105; 54739; 4055; 3127; 91543	ENSG00000196396; ENSG00000027697; ENSG00000223865; ENSG00000111321; ENSG00000111331; ENSG00000132530; ENSG00000111335; ENSG00000115590; ENSG00000089127; ENSG00000067182; ENSG00000126709; ENSG00000134321; ENSG00000231389; ENSG00000134470; ENSG00000028137; ENSG00000125148; ENSG00000096384; ENSG00000213088; ENSG00000136244; ENSG00000135114; ENSG00000185745; ENSG00000090339; ENSG00000142089; ENSG00000173530; ENSG00000077238; ENSG00000206341; ENSG00000183486; ENSG00000163464; ENSG00000179344; ENSG00000168610; ENSG00000108342; ENSG00000204632; ENSG00000168884; ENSG00000115594; ENSG00000120889; ENSG00000090376; ENSG00000206503; ENSG00000198502; ENSG00000204525; ENSG00000185885; ENSG00000184557; ENSG00000185201; ENSG00000115604; ENSG00000173039; ENSG00000105639; ENSG00000157601; ENSG00000196126; ENSG00000187608	546	545
9.43496051287e-11	1.35627557372e-08	GO:0060333	b	5	interferon-gamma-mediated signaling pathway	3107; 3113; 3115; 3119; 3123; 3127; 3135; 3136; 3326; 3383; 3459; 4502; 4938; 4939; 4940; 8638; 9021; 3105	ENSG00000111331; ENSG00000198502; ENSG00000090339; ENSG00000096384; ENSG00000184557; ENSG00000204525; ENSG00000027697; ENSG00000223865; ENSG00000206503; ENSG00000206341; ENSG00000135114; ENSG00000111335; ENSG00000125148; ENSG00000179344; ENSG00000089127; ENSG00000204632; ENSG00000196126; ENSG00000231389	85	85
1.00428960618e-10	1.88806445962e-08	GO:0045087	b	3	innate immune response	6556; 720; 721; 837; 1668; 2219; 2268; 2537; 3107; 3113; 3115; 3119; 3123; 3135; 3136; 3148; 3326; 3329; 3383; 3428; 3434; 3459; 3718; 4277; 4502; 4599; 4600; 4671; 4791; 4792; 4938; 4939; 4940; 5359; 5770; 5970; 5971; 6279; 6280; 7184; 7323; 100507436; 8519; 8638; 9021; 9261; 9572; 9636; 10241; 10410; 10581; 11213; 79155; 7097; 83666; 51279; 3105; 54739; 353514; 3127; 91543; 6283	ENSG00000196396; ENSG00000188313; ENSG00000136436; ENSG00000027697; ENSG00000223865; ENSG00000137462; ENSG00000111331; ENSG00000143546; ENSG00000111335; ENSG00000196954; ENSG00000089127; ENSG00000085265; ENSG00000109332; ENSG00000204516; ENSG00000139178; ENSG00000164104; ENSG00000126709; ENSG00000239839; ENSG00000134321; ENSG00000244731; ENSG00000231389; ENSG00000138496; ENSG00000162889; ENSG00000125148; ENSG00000096384; ENSG00000144381; ENSG00000132530; ENSG00000135114; ENSG00000187116; ENSG00000077150; ENSG00000163221; ENSG00000185745; ENSG00000100906; ENSG00000090339; ENSG00000142089; ENSG00000163565; ENSG00000104856; ENSG00000224389; ENSG00000206503; ENSG00000168884; ENSG00000206341; ENSG00000183486; ENSG00000179344; ENSG00000204632; ENSG00000090376; ENSG00000126368; ENSG00000018280; ENSG00000000938; ENSG00000198502; ENSG00000249437; ENSG00000166598; ENSG00000204525; ENSG00000185885; ENSG00000184557; ENSG00000185201; ENSG00000204520; ENSG00000173039; ENSG00000105639; ENSG00000157601; ENSG00000163220; ENSG00000196126; ENSG00000187608	835	825
1.37523396878e-10	1.5815190641e-08	GO:0034341	b	5	response to interferon-gamma	6556; 3107; 3113; 3115; 3119; 3123; 3127; 3135; 3136; 3326; 3383; 3459; 4502; 4938; 4939; 4940; 8519; 8638; 9021; 10241; 10410; 10581; 83666; 3105	ENSG00000136436; ENSG00000027697; ENSG00000223865; ENSG00000111331; ENSG00000111335; ENSG00000089127; ENSG00000231389; ENSG00000125148; ENSG00000096384; ENSG00000135114; ENSG00000090339; ENSG00000142089; ENSG00000206503; ENSG00000206341; ENSG00000179344; ENSG00000204632; ENSG00000018280; ENSG00000196126; ENSG00000204525; ENSG00000185885; ENSG00000184557; ENSG00000185201; ENSG00000138496; ENSG00000198502	160	159
5.55266618423e-10	3.55743548885e-08	GO:0006950	b	2	response to stress	6556; 318; 406; 597; 602; 604; 720; 721; 837; 890; 902; 1017; 1026; 1051; 1116; 1153; 1663; 1668; 1719; 1763; 54962; 2215; 2219; 2268; 2288; 2532; 2537; 2828; 2944; 2947; 2966; 3020; 3040; 3043; 3045; 3048; 3107; 3113; 3115; 3119; 3123; 3135; 3136; 3148; 3301; 3320; 3326; 3329; 3336; 3383; 3428; 3434; 3459; 3554; 3566; 3569; 3577; 3678; 3718; 4255; 4277; 4361; 4438; 4502; 4599; 4600; 4616; 4671; 4791; 4792; 4831; 4938; 4939; 4940; 5054; 5166; 5329; 5345; 5351; 5359; 5383; 5770; 5782; 5884; 5893; 5970; 5971; 6118; 6279; 6280; 6464; 6648; 6774; 7004; 7132; 7166; 7184; 400410; 7323; 7378; 728340; 7784; 7873; 100507436; 8061; 8131; 8519; 8531; 8605; 8638; 8692; 8793; 8795; 8864; 9021; 9064; 9070; 9261; 9315; 9332; 9531; 9572; 9636; 23476; 7133; 10036; 10241; 10410; 10450; 10581; 10598; 10728; 29103; 10963; 10964; 11213; 404672; 57126; 79155; 79621; 28999; 79902; 80271; 84515; 29923; 2635; 7097; 116028; 50809; 83666; 83734; 51065; 51129; 51279; 3105; 348654; 54541; 54739; 55364; 22904; 23764; 353514; 4055; 57122; 57654; 5187; 91419; 3039; 25950; 81575; 26973; 387849; 93100; 3127; 91543; 63979; 6283	ENSG00000206172; ENSG00000134480; ENSG00000132326; ENSG00000243678; ENSG00000027697; ENSG00000122481; ENSG00000004799; ENSG00000177575; ENSG00000179094; ENSG00000163884; ENSG00000145736; ENSG00000204516; ENSG00000239839; ENSG00000178295; ENSG00000060138; ENSG00000137959; ENSG00000086544; ENSG00000129167; ENSG00000141867; ENSG00000106366; ENSG00000117748; ENSG00000142089; ENSG00000163565; ENSG00000224389; ENSG00000168884; ENSG00000196954; ENSG00000132436; ENSG00000204632; ENSG00000111581; ENSG00000154059; ENSG00000170430; ENSG00000057468; ENSG00000018280; ENSG00000000938; ENSG00000135114; ENSG00000249437; ENSG00000166598; ENSG00000120675; ENSG00000115541; ENSG00000132530; ENSG00000166896; ENSG00000004478; ENSG00000223865; ENSG00000185201; ENSG00000143546; ENSG00000223609; ENSG00000183474; ENSG00000105499; ENSG00000204520; ENSG00000067182; ENSG00000134184; ENSG00000123965; ENSG00000139178; ENSG00000188536; ENSG00000185022; ENSG00000069399; ENSG00000196565; ENSG00000133048; ENSG00000140379; ENSG00000144381; ENSG00000213088; ENSG00000168610; ENSG00000172216; ENSG00000187116; ENSG00000178878; ENSG00000185745; ENSG00000013573; ENSG00000104856; ENSG00000164104; ENSG00000138496; ENSG00000163464; ENSG00000134986; ENSG00000179344; ENSG00000123374; ENSG00000111321; ENSG00000115594; ENSG00000120889; ENSG00000090376; ENSG00000117226; ENSG00000099622; ENSG00000145050; ENSG00000187608; ENSG00000083444; ENSG00000184557; ENSG00000110172; ENSG00000198502; ENSG00000127947; ENSG00000188313; ENSG00000136436; ENSG00000136104; ENSG00000206503; ENSG00000142733; ENSG00000138346; ENSG00000089127; ENSG00000134202; ENSG00000168209; ENSG00000244734; ENSG00000126709; ENSG00000134321; ENSG00000244731; ENSG00000231389; ENSG00000228716; ENSG00000175592; ENSG00000103148; ENSG00000096384; ENSG00000136244; ENSG00000125450; ENSG00000068001; ENSG00000077150; ENSG00000175643; ENSG00000127483; ENSG00000133794; ENSG00000152348; ENSG00000077238; ENSG00000206341; ENSG00000197905; ENSG00000204525; ENSG00000185885; ENSG00000113916; ENSG00000167711; ENSG00000100591; ENSG00000164978; ENSG00000105639; ENSG00000152942; ENSG00000110958; ENSG00000162747; ENSG00000196126; ENSG00000183696; ENSG00000185088; ENSG00000011422; ENSG00000160691; ENSG00000204936; ENSG00000137462; ENSG00000111331; ENSG00000111335; ENSG00000020922; ENSG00000075131; ENSG00000085265; ENSG00000084072; ENSG00000151929; ENSG00000272047; ENSG00000135245; ENSG00000145386; ENSG00000124762; ENSG00000147813; ENSG00000174236; ENSG00000028137; ENSG00000162889; ENSG00000125148; ENSG00000163945; ENSG00000112096; ENSG00000163041; ENSG00000196396; ENSG00000100906; ENSG00000090339; ENSG00000157601; ENSG00000173530; ENSG00000086061; ENSG00000080824; ENSG00000168439; ENSG00000180953; ENSG00000183486; ENSG00000177464; ENSG00000161638; ENSG00000126368; ENSG00000064932; ENSG00000167772; ENSG00000129691; ENSG00000002016; ENSG00000167670; ENSG00000173039; ENSG00000125885; ENSG00000099860; ENSG00000188372; ENSG00000163220; ENSG00000163221; ENSG00000109332	3759	3733
