p-value	q-value	term_goid	term_category	term_level	term_name	members_input_overlap	members_input_overlap_geneids	size	effective_size
4.85431260509e-07	1.60192315968e-05	GO:0005916	c	4	fascia adherens	1000; 1674; 1832	ENSG00000170558; ENSG00000096696; ENSG00000175084	10	10
1.9559848062e-06	8.01953770542e-05	GO:0005913	c	3	cell-cell adherens junction	1000; 1674; 1832; 57228	ENSG00000170558; ENSG00000096696; ENSG00000175084; ENSG00000170545	55	55
2.52740977007e-06	9.60415712628e-05	GO:0005911	c	2	cell-cell junction	1000; 1674; 1832; 3856; 5590; 54566; 57228	ENSG00000175084; ENSG00000096696; ENSG00000095203; ENSG00000170421; ENSG00000170545; ENSG00000170558; ENSG00000067606	386	386
5.3143775727e-06	0.000759955992896	GO:0060008	b	3	Sertoli cell differentiation	1515; 6382; 6662	ENSG00000125398; ENSG00000136943; ENSG00000115884	21	21
1.77059176496e-05	0.000194765094146	GO:0005882	c	5	intermediate filament	1674; 1832; 3856; 3875; 3880	ENSG00000096696; ENSG00000111057; ENSG00000175084; ENSG00000171345; ENSG00000170421	202	200
1.78291425992e-05	0.00208350941688	GO:0042127	b	4	regulation of cell proliferation	1000; 1515; 5590; 6662; 9423; 10795; 342897; 57152; 25805; 54566; 57111	ENSG00000065320; ENSG00000095739; ENSG00000090612; ENSG00000188505; ENSG00000126233; ENSG00000132698; ENSG00000125398; ENSG00000095203; ENSG00000136943; ENSG00000170558; ENSG00000067606	1532	1523
2.30881924106e-05	0.000323234693748	GO:0005200	m	2	structural constituent of cytoskeleton	1674; 1832; 3880; 54566	ENSG00000096696; ENSG00000095203; ENSG00000175084; ENSG00000171345	102	102
3.3073452744e-05	0.00208350941688	GO:0043616	b	4	keratinocyte proliferation	1515; 57152; 54566	ENSG00000126233; ENSG00000136943; ENSG00000095203	38	38
3.33576035686e-05	0.000491108595608	GO:0030018	c	3	Z disc	1674; 3856; 3880; 56704	ENSG00000171345; ENSG00000175084; ENSG00000104369; ENSG00000170421	112	112
3.45582477813e-05	0.00125509974603	GO:0061061	b	3	muscle structure development	1000; 1832; 3856; 3880; 6382; 6662; 56704	ENSG00000104369; ENSG00000115884; ENSG00000096696; ENSG00000171345; ENSG00000125398; ENSG00000170558; ENSG00000170421	578	577
4.10218100833e-05	0.00208350941688	GO:0007010	b	4	cytoskeleton organization	1515; 1674; 1832; 3856; 3875; 3880; 5590; 6662; 54566	ENSG00000175084; ENSG00000111057; ENSG00000096696; ENSG00000095203; ENSG00000171345; ENSG00000136943; ENSG00000125398; ENSG00000170421; ENSG00000067606	1078	1075
4.27140459154e-05	0.000491108595608	GO:0031982	c	3	vesicle	1000; 1515; 1674; 1832; 2877; 3699; 3856; 3875; 3880; 5590; 6382; 9143; 342897; 57152; 84440; 57111; 57228	ENSG00000126233; ENSG00000132698; ENSG00000127561; ENSG00000175084; ENSG00000067606; ENSG00000111057; ENSG00000162267; ENSG00000115884; ENSG00000188505; ENSG00000170421; ENSG00000131242; ENSG00000136943; ENSG00000170558; ENSG00000171345; ENSG00000096696; ENSG00000170545; ENSG00000176153	4005	3991
4.43855814589e-05	0.00125509974603	GO:0048513	b	3	animal organ development	1000; 1515; 1832; 3856; 3880; 4052; 5590; 6382; 6662; 9423; 5774; 9143; 84440; 25805; 56704	ENSG00000065320; ENSG00000095739; ENSG00000127561; ENSG00000104369; ENSG00000115884; ENSG00000096696; ENSG00000131242; ENSG00000171345; ENSG00000125398; ENSG00000136943; ENSG00000170558; ENSG00000070159; ENSG00000049323; ENSG00000170421; ENSG00000067606	3149	3142
4.48066541265e-05	0.00208350941688	GO:0045104	b	4	intermediate filament cytoskeleton organization	1674; 1832; 3875	ENSG00000096696; ENSG00000175084; ENSG00000111057	42	42
4.5006092678e-05	0.000247533509729	GO:0045111	c	5	intermediate filament cytoskeleton	1674; 1832; 3856; 3875; 3880	ENSG00000096696; ENSG00000111057; ENSG00000175084; ENSG00000171345; ENSG00000170421	245	243
