p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
1.77013456945e-06	0.000168162784098	Metal sequestration by antimicrobial proteins	Reactome	R-HSA-6799990	ENSG00000148346; ENSG00000163220; ENSG00000143546	6279; 3934; 6280	6	6
9.43372949993e-06	0.000448102151247	Neutrophil degranulation	Reactome	R-HSA-6798695	ENSG00000163993; ENSG00000148346; ENSG00000171236; ENSG00000143546; ENSG00000163464; ENSG00000124107; ENSG00000162747; ENSG00000100985; ENSG00000163220; ENSG00000163221; ENSG00000085265	6283; 6590; 4318; 6286; 3577; 6279; 3934; 6280; 2219; 116844; 2215	497	484
0.000124283735095	0.00393565161134	Innate Immune System	Reactome	R-HSA-168249	ENSG00000171236; ENSG00000150995; ENSG00000075391; ENSG00000148346; ENSG00000124102; ENSG00000143546; ENSG00000167984; ENSG00000163464; ENSG00000124107; ENSG00000163993; ENSG00000162747; ENSG00000118004; ENSG00000100985; ENSG00000163220; ENSG00000163221; ENSG00000085265	6590; 4318; 9462; 5266; 78989; 197358; 3708; 6283; 6286; 3577; 6279; 3934; 6280; 2215; 2219; 116844	1309	1276
0.000426438223229	0.0101279078017	Apoptosis - Homo sapiens (human)	KEGG	path:hsa04210	ENSG00000150995; ENSG00000173535; ENSG00000121858; ENSG00000162909; ENSG00000140379	8743; 597; 8794; 3708; 824	140	140
0.00109257537847	0.0207589321909	Antimicrobial peptides	Reactome	R-HSA-6803157	ENSG00000148346; ENSG00000124102; ENSG00000163220; ENSG00000143546	6279; 3934; 6280; 5266	107	100
0.00234385507887	0.0327247235635	Regulation of TLR by endogenous ligand	Reactome	R-HSA-5686938	ENSG00000163220; ENSG00000143546	6279; 6280	16	16
0.00241129542047	0.0327247235635	Keratinization	Reactome	R-HSA-6805567	ENSG00000124102; ENSG00000092295; ENSG00000171346; ENSG00000184363	3866; 7051; 5266; 11187	125	124
0.00394209893357	0.0453529161174	Formation of the cornified envelope	Reactome	R-HSA-6809371	ENSG00000124102; ENSG00000092295; ENSG00000184363	7051; 5266; 11187	70	70
0.00429659205322	0.0453529161174	VEGFA-VEGFR2 Signaling Pathway	Wikipathways	WP3888	ENSG00000173535; ENSG00000172348; ENSG00000130396; ENSG00000162909; ENSG00000048052	4301; 824; 9734; 8794; 10231	236	236
0.0052665507269	0.049295198654	IL1 and megakaryocytes in obesity	Wikipathways	WP2865	ENSG00000100985; ENSG00000163220	6280; 4318	24	24
0.0057078651073	0.049295198654	TRAIL signaling pathway	PID	trail_pathway	ENSG00000173535; ENSG00000121858	8794; 8743	25	25
0.00663943736593	0.0509690090978	Endogenous TLR signaling	PID	toll_endogenous_pathway	ENSG00000163220; ENSG00000143546	6280; 6279	27	27
0.00842903130173	0.0509690090978	Apoptosis Modulation and Signaling	Wikipathways	WP1772	ENSG00000173535; ENSG00000121858; ENSG00000140379	8743; 597; 8794	92	92
0.00842903130173	0.0509690090978	Apoptosis Modulation and Signaling	Wikipathways	WP3911	ENSG00000173535; ENSG00000121858; ENSG00000140379	8743; 597; 8794	92	92
0.00842903130173	0.0509690090978	Apoptosis Modulation and Signaling	Wikipathways	WP3912	ENSG00000173535; ENSG00000121858; ENSG00000140379	8743; 597; 8794	92	92
0.00884179315834	0.0509690090978	Transcriptional misregulation in cancer - Homo sapiens (human)	KEGG	path:hsa05202	ENSG00000100985; ENSG00000151702; ENSG00000140379; ENSG00000152804	3087; 597; 4318; 2313	180	179
0.00912077004908	0.0509690090978	Immune System	Reactome	R-HSA-168256	ENSG00000124102; ENSG00000167984; ENSG00000150995; ENSG00000075391; ENSG00000148346; ENSG00000171236; ENSG00000143546; ENSG00000163464; ENSG00000124107; ENSG00000100985; ENSG00000118004; ENSG00000162747; ENSG00000163220; ENSG00000163993; ENSG00000085265; ENSG00000163221	78989; 6286; 6279; 116844; 9462; 2215; 3708; 6590; 4318; 3577; 6280; 6283; 197358; 2219; 3934; 5266	1950	1904
