p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
2.6781721003e-08	3.15220856205e-05	Striated Muscle Contraction	Wikipathways	WP383	ENSG00000101335; ENSG00000105048; ENSG00000134571; ENSG00000196091; ENSG00000175084; ENSG00000136842; ENSG00000130402; ENSG00000198467; ENSG00000159251; ENSG00000077522; ENSG00000118194	7139; 88; 1674; 81; 70; 4607; 4604; 7169; 7138; 7111; 10398	38	38
9.69163182546e-08	3.33822951135e-05	Developmental Biology	Reactome	R-HSA-1266738	ENSG00000107984; ENSG00000052344; ENSG00000160145; ENSG00000065675; ENSG00000010810; ENSG00000184349; ENSG00000187164; ENSG00000145349; ENSG00000125266; ENSG00000213949; ENSG00000076864; ENSG00000186832; ENSG00000170421; ENSG00000099204; ENSG00000120875; ENSG00000121552; ENSG00000101335; ENSG00000111057; ENSG00000173898; ENSG00000163291; ENSG00000145555; ENSG00000138623; ENSG00000170017; ENSG00000133392; ENSG00000186081; ENSG00000184363; ENSG00000065320; ENSG00000141736; ENSG00000077522; ENSG00000115414; ENSG00000096696; ENSG00000092421; ENSG00000156299; ENSG00000112378; ENSG00000141026; ENSG00000171346; ENSG00000118257; ENSG00000171345; ENSG00000105357; ENSG00000205420; ENSG00000170558; ENSG00000165995; ENSG00000139318; ENSG00000169398; ENSG00000182175; ENSG00000133703; ENSG00000251322; ENSG00000081277; ENSG00000187764; ENSG00000057294; ENSG00000135480; ENSG00000081052; ENSG00000140479	1286; 1475; 1848; 1000; 3672; 3855; 5046; 4629; 3856; 2534; 3880; 5652; 3983; 3868; 8482; 22943; 88; 152559; 57698; 79784; 3875; 1948; 8997; 1846; 3852; 10398; 3845; 56963; 817; 783; 10507; 5318; 5747; 8828; 4651; 7074; 9423; 3866; 64065; 2064; 57556; 1832; 2335; 55090; 6712; 11187; 5588; 1946; 3853; 5317; 214; 85358; 5909	748	739
1.25452834327e-07	3.33822951135e-05	Arrhythmogenic Right Ventricular Cardiomyopathy	Wikipathways	WP2118	ENSG00000175084; ENSG00000148737; ENSG00000077943; ENSG00000005884; ENSG00000165995; ENSG00000091409; ENSG00000130402; ENSG00000170558; ENSG00000077522; ENSG00000082781; ENSG00000057294; ENSG00000213949; ENSG00000152661; ENSG00000096696	8516; 6934; 3655; 81; 3675; 1832; 5318; 3693; 1674; 2697; 3672; 783; 88; 1000	74	74
1.33773604569e-07	3.33822951135e-05	Smooth Muscle Contraction	Reactome	R-HSA-445355	ENSG00000101335; ENSG00000065534; ENSG00000182718; ENSG00000122786; ENSG00000198467; ENSG00000163017; ENSG00000095637; ENSG00000133392; ENSG00000082781; ENSG00000213949	10580; 302; 3672; 4638; 4629; 800; 72; 7169; 3693; 10398	36	35
1.4181093931e-07	3.33822951135e-05	Muscle contraction	Reactome	R-HSA-397014	ENSG00000105048; ENSG00000065534; ENSG00000175084; ENSG00000145349; ENSG00000122786; ENSG00000213949; ENSG00000101335; ENSG00000134571; ENSG00000196091; ENSG00000136842; ENSG00000163017; ENSG00000077522; ENSG00000135750; ENSG00000092054; ENSG00000133392; ENSG00000165995; ENSG00000095637; ENSG00000082781; ENSG00000182718; ENSG00000198467; ENSG00000120049; ENSG00000198523; ENSG00000118194	7139; 10398; 4625; 4604; 1674; 72; 3775; 88; 4638; 7138; 817; 783; 4607; 3693; 302; 30819; 800; 5350; 3672; 10580; 4629; 7169; 7111	198	195
2.20025698712e-07	4.31617078974e-05	Dilated cardiomyopathy - Homo sapiens (human)	KEGG	path:hsa05414	ENSG00000159251; ENSG00000175084; ENSG00000017427; ENSG00000173175; ENSG00000005884; ENSG00000165995; ENSG00000198467; ENSG00000134571; ENSG00000082781; ENSG00000213949; ENSG00000077943; ENSG00000092054; ENSG00000198523; ENSG00000091409; ENSG00000118194	7169; 4625; 70; 3655; 3672; 3675; 111; 1674; 3693; 5350; 783; 8516; 3479; 7139; 4607	90	89
6.25152752958e-07	0.000105114970033	Arrhythmogenic right ventricular cardiomyopathy (ARVC) - Homo sapiens (human)	KEGG	path:hsa05412	ENSG00000175084; ENSG00000148737; ENSG00000077943; ENSG00000005884; ENSG00000165995; ENSG00000130402; ENSG00000213949; ENSG00000082781; ENSG00000057294; ENSG00000170558; ENSG00000152661; ENSG00000091409; ENSG00000096696	2697; 1674; 783; 6934; 1832; 8516; 5318; 3655; 81; 1000; 3672; 3675; 3693	72	72
1.29847883561e-06	0.00019103869869	EGFR1	NetPath	Pathway_EGFR1	ENSG00000162512; ENSG00000125266; ENSG00000142949; ENSG00000010810; ENSG00000142192; ENSG00000005884; ENSG00000136068; ENSG00000122786; ENSG00000101210; ENSG00000170421; ENSG00000039068; ENSG00000111057; ENSG00000130402; ENSG00000169398; ENSG00000137936; ENSG00000186081; ENSG00000184363; ENSG00000216090; ENSG00000141736; ENSG00000187678; ENSG00000120549; ENSG00000205420; ENSG00000177303; ENSG00000170558; ENSG00000152661; ENSG00000133703; ENSG00000115884; ENSG00000096696; ENSG00000182718; ENSG00000138193; ENSG00000189334; ENSG00000057294; ENSG00000135480; ENSG00000141198; ENSG00000067606; ENSG00000070190	51196; 6382; 10040; 1000; 5590; 3855; 3852; 100126338; 2317; 8412; 3856; 351; 81848; 1917; 2534; 1832; 2697; 81; 302; 800; 5792; 3875; 1948; 57513; 3845; 56243; 3675; 5318; 5747; 27071; 57402; 2064; 9672; 11187; 3853; 999	458	454
1.53817345447e-06	0.000201158906212	Striated Muscle Contraction	Reactome	R-HSA-390522	ENSG00000105048; ENSG00000134571; ENSG00000196091; ENSG00000175084; ENSG00000136842; ENSG00000198467; ENSG00000077522; ENSG00000092054; ENSG00000118194	7139; 88; 7111; 4625; 7138; 4604; 4607; 1674; 7169	35	35
2.57482909666e-06	0.000275815535075	Platelet activation, signaling and aggregation	Reactome	R-HSA-76002	ENSG00000065675; ENSG00000197746; ENSG00000171132; ENSG00000017427; ENSG00000169398; ENSG00000162267; ENSG00000142192; ENSG00000169860; ENSG00000145685; ENSG00000113140; ENSG00000027075; ENSG00000078369; ENSG00000130956; ENSG00000130402; ENSG00000010810; ENSG00000112419; ENSG00000077522; ENSG00000146535; ENSG00000115414; ENSG00000114450; ENSG00000197766; ENSG00000120885; ENSG00000196865; ENSG00000172380; ENSG00000074416; ENSG00000067606	3699; 2534; 22927; 88; 374354; 5590; 2782; 81; 10184; 55970; 11343; 2335; 5583; 5028; 59345; 5660; 3479; 6678; 5588; 9749; 5747; 351; 1675; 5581; 1191; 2768	283	281
