p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
1.69127988616e-05	0.0077460618786	Primary Focal Segmental Glomerulosclerosis FSGS	Wikipathways	WP2572	ENSG00000107984; ENSG00000005884; ENSG00000117595; ENSG00000196549; ENSG00000170558; ENSG00000081052; ENSG00000170421; ENSG00000157483	4311; 3675; 3856; 3664; 1286; 22943; 4643; 1000	73	73
0.000467064521009	0.0194780076799	Dilated cardiomyopathy - Homo sapiens (human)	KEGG	path:hsa05414	ENSG00000159251; ENSG00000175084; ENSG00000005884; ENSG00000165995; ENSG00000087460; ENSG00000198523; ENSG00000118194	70; 3675; 1674; 2778; 5350; 783; 7139	90	89
0.000705560550786	0.0194780076799	Keratinization	Reactome	R-HSA-6805567	ENSG00000052344; ENSG00000111057; ENSG00000096696; ENSG00000118898; ENSG00000171345; ENSG00000170421; ENSG00000057294; ENSG00000140479	1832; 5652; 5493; 3880; 5318; 5046; 3856; 3875	125	124
0.000877967051894	0.0194780076799	Arrhythmogenic right ventricular cardiomyopathy (ARVC) - Homo sapiens (human)	KEGG	path:hsa05412	ENSG00000175084; ENSG00000096696; ENSG00000005884; ENSG00000165995; ENSG00000057294; ENSG00000170558	1674; 783; 1832; 5318; 1000; 3675	72	72
0.000947243229946	0.0194780076799	Phenylalanine degradation	INOH	None	ENSG00000184254; ENSG00000108602; ENSG00000131471	218; 8639; 220	13	13
0.000947243229946	0.0194780076799	Familial lipoprotein lipase deficiency	SMPDB	SMP00530	ENSG00000065357; ENSG00000108602; ENSG00000115159	1606; 218; 2820	13	13
0.000947243229946	0.0194780076799	Glycerolipid Metabolism	SMPDB	SMP00039	ENSG00000065357; ENSG00000108602; ENSG00000115159	1606; 218; 2820	13	13
0.000947243229946	0.0194780076799	Glycerol Kinase Deficiency	SMPDB	SMP00187	ENSG00000065357; ENSG00000108602; ENSG00000115159	1606; 218; 2820	13	13
0.000947243229946	0.0194780076799	D-glyceric acidura	SMPDB	SMP00529	ENSG00000065357; ENSG00000108602; ENSG00000115159	1606; 218; 2820	13	13
0.0010146346478	0.0194780076799	Arrhythmogenic Right Ventricular Cardiomyopathy	Wikipathways	WP2118	ENSG00000175084; ENSG00000096696; ENSG00000005884; ENSG00000165995; ENSG00000057294; ENSG00000170558	3675; 1832; 5318; 1674; 783; 1000	74	74
0.00160839511388	0.0194780076799	Antiarrhythmic Pathway, Pharmacodynamics	PharmGKB	PA2033	ENSG00000096696; ENSG00000159197; ENSG00000198523; ENSG00000120049; ENSG00000165995	783; 9992; 30819; 5350; 1832	55	55
0.00163716200784	0.0194780076799	Tyrosine metabolism	INOH	None	ENSG00000184254; ENSG00000108602; ENSG00000131471; ENSG00000113924	8639; 220; 218; 3081	34	33
0.0020447469677	0.0194780076799	Tyrosine metabolism - Homo sapiens (human)	KEGG	path:hsa00350	ENSG00000184254; ENSG00000108602; ENSG00000131471; ENSG00000113924	3081; 8639; 218; 220	35	35
0.00215119466488	0.0194780076799	Phenylalanine metabolism - Homo sapiens (human)	KEGG	path:hsa00360	ENSG00000184254; ENSG00000108602; ENSG00000131471	218; 220; 8639	17	17
0.00233817321045	0.0194780076799	glycerol degradation	HumanCyc	PWY-4261	ENSG00000115159; ENSG00000229894	2820; 2713	5	5
0.00255170406287	0.0194780076799	Procainamide (Antiarrhythmic) Action Pathway	SMPDB	SMP00324	ENSG00000175548; ENSG00000159197; ENSG00000198523; ENSG00000120049; ENSG00000118194	9992; 144245; 30819; 5350; 7139	61	61
0.00255170406287	0.0194780076799	Flecainide Action Pathway	SMPDB	SMP00331	ENSG00000175548; ENSG00000159197; ENSG00000198523; ENSG00000120049; ENSG00000118194	9992; 144245; 30819; 5350; 7139	61	61
0.00255170406287	0.0194780076799	Amiodarone Action Pathway	SMPDB	SMP00665	ENSG00000175548; ENSG00000159197; ENSG00000198523; ENSG00000120049; ENSG00000118194	9992; 144245; 30819; 5350; 7139	61	61
0.00255170406287	0.0194780076799	Ibutilide Action Pathway	SMPDB	SMP00332	ENSG00000175548; ENSG00000159197; ENSG00000198523; ENSG00000120049; ENSG00000118194	9992; 144245; 30819; 5350; 7139	61	61
0.00255170406287	0.0194780076799	Bopindolol Action Pathway	SMPDB	SMP00657	ENSG00000175548; ENSG00000120049; ENSG00000198523; ENSG00000159197; ENSG00000118194	30819; 9992; 144245; 5350; 7139	61	61
0.00255170406287	0.0194780076799	Timolol Action Pathway	SMPDB	SMP00659	ENSG00000175548; ENSG00000120049; ENSG00000198523; ENSG00000159197; ENSG00000118194	30819; 9992; 144245; 5350; 7139	61	61
0.00255170406287	0.0194780076799	Carteolol Action Pathway	SMPDB	SMP00658	ENSG00000175548; ENSG00000120049; ENSG00000198523; ENSG00000159197; ENSG00000118194	30819; 9992; 144245; 5350; 7139	61	61
0.00255170406287	0.0194780076799	Bevantolol Action Pathway	SMPDB	SMP00668	ENSG00000175548; ENSG00000120049; ENSG00000198523; ENSG00000159197; ENSG00000118194	30819; 9992; 144245; 5350; 7139	61	61
0.00255170406287	0.0194780076799	Practolol Action Pathway	SMPDB	SMP00669	ENSG00000175548; ENSG00000120049; ENSG00000198523; ENSG00000159197; ENSG00000118194	30819; 9992; 144245; 5350; 7139	61	61
0.00255170406287	0.0194780076799	Dobutamine Action Pathway	SMPDB	SMP00662	ENSG00000175548; ENSG00000120049; ENSG00000198523; ENSG00000159197; ENSG00000118194	30819; 9992; 144245; 5350; 7139	61	61
0.00255170406287	0.0194780076799	Isoprenaline Action Pathway	SMPDB	SMP00663	ENSG00000175548; ENSG00000120049; ENSG00000198523; ENSG00000159197; ENSG00000118194	30819; 9992; 144245; 5350; 7139	61	61
0.00255170406287	0.0194780076799	Arbutamine Action Pathway	SMPDB	SMP00664	ENSG00000175548; ENSG00000120049; ENSG00000198523; ENSG00000159197; ENSG00000118194	30819; 9992; 144245; 5350; 7139	61	61
0.00255170406287	0.0194780076799	Levobunolol Action Pathway	SMPDB	SMP00666	ENSG00000175548; ENSG00000120049; ENSG00000198523; ENSG00000159197; ENSG00000118194	30819; 9992; 144245; 5350; 7139	61	61
0.00255170406287	0.0194780076799	Metipranolol Action Pathway	SMPDB	SMP00667	ENSG00000175548; ENSG00000120049; ENSG00000198523; ENSG00000159197; ENSG00000118194	30819; 9992; 144245; 5350; 7139	61	61
0.00255170406287	0.0194780076799	Sotalol Action Pathway	SMPDB	SMP00660	ENSG00000175548; ENSG00000120049; ENSG00000198523; ENSG00000159197; ENSG00000118194	30819; 9992; 144245; 5350; 7139	61	61
0.00255170406287	0.0194780076799	Epinephrine Action Pathway	SMPDB	SMP00661	ENSG00000175548; ENSG00000120049; ENSG00000198523; ENSG00000159197; ENSG00000118194	30819; 9992; 144245; 5350; 7139	61	61
0.00255170406287	0.0194780076799	Betaxolol Action Pathway	SMPDB	SMP00299	ENSG00000175548; ENSG00000120049; ENSG00000198523; ENSG00000159197; ENSG00000118194	30819; 9992; 144245; 5350; 7139	61	61
0.00255170406287	0.0194780076799	Atenolol Action Pathway	SMPDB	SMP00298	ENSG00000175548; ENSG00000120049; ENSG00000198523; ENSG00000159197; ENSG00000118194	30819; 9992; 144245; 5350; 7139	61	61
0.00255170406287	0.0194780076799	Alprenolol Action Pathway	SMPDB	SMP00297	ENSG00000175548; ENSG00000120049; ENSG00000198523; ENSG00000159197; ENSG00000118194	30819; 9992; 144245; 5350; 7139	61	61
0.00255170406287	0.0194780076799	Acebutolol Action Pathway	SMPDB	SMP00296	ENSG00000175548; ENSG00000120049; ENSG00000198523; ENSG00000159197; ENSG00000118194	30819; 9992; 144245; 5350; 7139	61	61
0.00255170406287	0.0194780076799	Propranolol Action Pathway	SMPDB	SMP00307	ENSG00000175548; ENSG00000120049; ENSG00000198523; ENSG00000159197; ENSG00000118194	30819; 9992; 144245; 5350; 7139	61	61
0.00255170406287	0.0194780076799	Pindolol Action Pathway	SMPDB	SMP00306	ENSG00000175548; ENSG00000120049; ENSG00000198523; ENSG00000159197; ENSG00000118194	30819; 9992; 144245; 5350; 7139	61	61
0.00255170406287	0.0194780076799	Penbutolol Action Pathway	SMPDB	SMP00305	ENSG00000175548; ENSG00000120049; ENSG00000198523; ENSG00000159197; ENSG00000118194	30819; 9992; 144245; 5350; 7139	61	61
0.00255170406287	0.0194780076799	Oxprenolol Action Pathway	SMPDB	SMP00304	ENSG00000175548; ENSG00000120049; ENSG00000198523; ENSG00000159197; ENSG00000118194	30819; 9992; 144245; 5350; 7139	61	61
0.00255170406287	0.0194780076799	Metoprolol Action Pathway	SMPDB	SMP00302	ENSG00000175548; ENSG00000120049; ENSG00000198523; ENSG00000159197; ENSG00000118194	30819; 9992; 144245; 5350; 7139	61	61
0.00255170406287	0.0194780076799	Esmolol Action Pathway	SMPDB	SMP00301	ENSG00000175548; ENSG00000120049; ENSG00000198523; ENSG00000159197; ENSG00000118194	30819; 9992; 144245; 5350; 7139	61	61
0.00255170406287	0.0194780076799	Bisoprolol Action Pathway	SMPDB	SMP00300	ENSG00000175548; ENSG00000120049; ENSG00000198523; ENSG00000159197; ENSG00000118194	30819; 9992; 144245; 5350; 7139	61	61
0.00255170406287	0.0194780076799	Bupranolol Action Pathway	SMPDB	SMP00670	ENSG00000175548; ENSG00000120049; ENSG00000198523; ENSG00000159197; ENSG00000118194	30819; 9992; 144245; 5350; 7139	61	61
0.00255170406287	0.0194780076799	Nebivolol Action Pathway	SMPDB	SMP00366	ENSG00000175548; ENSG00000120049; ENSG00000198523; ENSG00000159197; ENSG00000118194	30819; 9992; 144245; 5350; 7139	61	61
