p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
1.46950305043e-06	0.000125915876644	mRNA Splicing - Major Pathway	Reactome	R-HSA-72163	ENSG00000169217; ENSG00000204392; ENSG00000179950; ENSG00000177733; ENSG00000125835; ENSG00000183684	10421; 6628; 22827; 57819; 10949; 10189	185	180
1.89347182923e-06	0.000125915876644	mRNA Splicing	Reactome	R-HSA-72172	ENSG00000169217; ENSG00000204392; ENSG00000179950; ENSG00000177733; ENSG00000125835; ENSG00000183684	10421; 6628; 22827; 57819; 10949; 10189	193	188
8.14077688097e-06	0.000333456831103	Processing of Capped Intron-Containing Pre-mRNA	Reactome	R-HSA-72203	ENSG00000169217; ENSG00000204392; ENSG00000179950; ENSG00000177733; ENSG00000125835; ENSG00000183684	10421; 22827; 6628; 57819; 10949; 10189	248	242
1.00287768753e-05	0.000333456831103	Gene Expression	Reactome	R-HSA-74160	ENSG00000166166; ENSG00000169217; ENSG00000064995; ENSG00000130713; ENSG00000204392; ENSG00000105656; ENSG00000179950; ENSG00000142208; ENSG00000177733; ENSG00000125835; ENSG00000183684; ENSG00000160563; ENSG00000161526	207; 6882; 10189; 9442; 8178; 6628; 115708; 23404; 29115; 22827; 57819; 10421; 10949	1755	1710
0.000147846013131	0.0034577260969	RHO GTPases Activate Rhotekin and Rhophilins	Reactome	R-HSA-5666185	ENSG00000143878; ENSG00000114993	388; 6242	9	9
0.000155987643469	0.0034577260969	Spliceosome - Homo sapiens (human)	KEGG	path:hsa03040	ENSG00000125835; ENSG00000183684; ENSG00000179950; ENSG00000204392	22827; 10189; 57819; 6628	134	134
0.000183614192917	0.00348866966543	GPVI-mediated activation cascade	Reactome	R-HSA-114604	ENSG00000142208; ENSG00000160293; ENSG00000143878	207; 388; 7410	54	54
0.000286485861838	0.00476282745305	RNA Polymerase II Transcription	Reactome	R-HSA-73857	ENSG00000125835; ENSG00000105656; ENSG00000183684; ENSG00000064995	8178; 6628; 6882; 10189	163	157
0.000413312794568	0.00610452284474	p75(NTR)-mediated signaling	PID	p75ntrpathway	ENSG00000117362; ENSG00000142208; ENSG00000143878	207; 388; 51107	72	71
0.000488433736643	0.00610452284474	KSRP (KHSRP) binds and destabilizes mRNA	Reactome	R-HSA-450604	ENSG00000142208; ENSG00000130713	207; 23404	18	16
0.000504885348061	0.00610452284474	Cell death signalling via NRAGE, NRIF and NADE	Reactome	R-HSA-204998	ENSG00000117362; ENSG00000160293; ENSG00000137135	51107; 7410; 84904	78	76
0.000552851977458	0.00612744275016	Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA	Reactome	R-HSA-450385	ENSG00000142208; ENSG00000130713	207; 23404	18	17
0.000775209854648	0.00793099312832	G alpha (12/13) signalling events	Reactome	R-HSA-416482	ENSG00000143878; ENSG00000137135; ENSG00000160293	388; 84904; 7410	90	88
0.000849321312519	0.00806855246893	phosphoinositides and their downstream targets	BioCarta	ptdinspathway	ENSG00000142208; ENSG00000160293	207; 7410	22	21
0.00102875473027	0.00912162527508	p75 NTR receptor-mediated signalling	Reactome	R-HSA-193704	ENSG00000117362; ENSG00000160293; ENSG00000137135	51107; 84904; 7410	100	97
0.00161892809391	0.0127159767991	Signalling by NGF	Reactome	R-HSA-166520	ENSG00000117362; ENSG00000127914; ENSG00000142208; ENSG00000137135; ENSG00000160293	207; 7410; 51107; 10142; 84904	433	426
0.00162535041793	0.0127159767991	VEGFR2 mediated vascular permeability	Reactome	R-HSA-5218920	ENSG00000142208; ENSG00000160293	207; 7410	29	29
0.00223217910904	0.0164933234168	mRNA Processing	Wikipathways	WP411	ENSG00000125835; ENSG00000169217; ENSG00000204392	10421; 6628; 57819	127	127
0.00249969324337	0.0174978527036	E-cadherin signaling in the nascent adherens junction	PID	ecadherin_nascentaj_pathway	ENSG00000142208; ENSG00000160293	207; 7410	36	36
0.00263916826305	0.0175504689493	Regulation of mRNA stability by proteins that bind AU-rich elements	Reactome	R-HSA-450531	ENSG00000142208; ENSG00000130713	207; 23404	40	37
0.00300371979358	0.0190235586926	Rho GTPase cycle	Reactome	R-HSA-194840	ENSG00000143878; ENSG00000137135; ENSG00000160293	388; 84904; 7410	145	141
0.00343094224491	0.0205898306843	Disease	Reactome	R-HSA-1643685	ENSG00000105656; ENSG00000117362; ENSG00000064995; ENSG00000127914; ENSG00000142208	207; 8178; 6882; 51107; 10142	514	506
0.00371545816859	0.0205898306843	WNT-Core	Signalink	None	ENSG00000141551; ENSG00000142208	1453; 207	44	44
0.00371545816859	0.0205898306843	Basal transcription factors - Homo sapiens (human)	KEGG	path:hsa03022	ENSG00000064995; ENSG00000135801	27097; 6882	45	44
0.00405467389261	0.0215708651087	BDNF	NetPath	Pathway_BDNF	ENSG00000142208; ENSG00000160293	207; 7410	46	46
0.00458949441628	0.0226075095321	Hedgehog signaling events mediated by Gli proteins	PID	hedgehog_glipathway	ENSG00000142208; ENSG00000141551	207; 1453	50	49
0.00458949441628	0.0226075095321	Hepatitis C and Hepatocellular Carcinoma	Wikipathways	WP3646	ENSG00000160293; ENSG00000142208	7410; 207	50	49
0.00477464451053	0.022679561425	FoxO family signaling	PID	foxopathway	ENSG00000142208; ENSG00000141551	207; 1453	52	50
0.00496320970814	0.0227623065925	Wnt Signaling Pathway Netpath	Wikipathways	WP363	ENSG00000142208; ENSG00000141551	207; 1453	51	51
0.0053505300316	0.0237206831401	mRNA Splicing - Minor Pathway	Reactome	R-HSA-72165	ENSG00000125835; ENSG00000204392	57819; 6628	53	53
0.00554925756385	0.023808105032	Deadenylation-dependent mRNA decay	Reactome	R-HSA-429914	ENSG00000130713; ENSG00000204392	23404; 57819	57	54
0.00637763004761	0.0265070248854	p53 pathway	PID	p53regulationpathway	ENSG00000142208; ENSG00000141551	207; 1453	60	58
0.00681170284877	0.0266457787908	Notch	NetPath	Pathway_Notch	ENSG00000117362; ENSG00000142208	207; 51107	62	60
0.00681170284877	0.0266457787908	NRAGE signals death through JNK	Reactome	R-HSA-193648	ENSG00000160293; ENSG00000137135	7410; 84904	62	60
0.00703366344466	0.0267279210897	Notch Signaling Pathway	Wikipathways	WP61	ENSG00000117362; ENSG00000142208	207; 51107	61	61
0.00867805320002	0.0283835055568	BCR signaling pathway	PID	bcr_5pathway	ENSG00000142208; ENSG00000160293	207; 7410	69	68
0.00892575843306	0.0283835055568	Fc epsilon RI signaling pathway - Homo sapiens (human)	KEGG	path:hsa04664	ENSG00000142208; ENSG00000160293	207; 7410	70	69
0.00917662209732	0.0283835055568	Prolactin	NetPath	Pathway_Prolactin	ENSG00000142208; ENSG00000160293	207; 7410	70	70
0.00917662209732	0.0283835055568	Loss of Nlp from mitotic centrosomes	Reactome	R-HSA-380259	ENSG00000127914; ENSG00000141551	10142; 1453	72	70
0.00917662209732	0.0283835055568	Loss of proteins required for interphase microtubule organization from the centrosome	Reactome	R-HSA-380284	ENSG00000127914; ENSG00000141551	10142; 1453	72	70
0.00917662209732	0.0283835055568	Cleavage of Growing Transcript in the Termination Region 	Reactome	R-HSA-109688	ENSG00000125835; ENSG00000183684	10189; 6628	73	70
0.00917662209732	0.0283835055568	RNA Polymerase II Transcription Termination	Reactome	R-HSA-73856	ENSG00000125835; ENSG00000183684	10189; 6628	73	70
0.00917662209732	0.0283835055568	Post-Elongation Processing of the Transcript	Reactome	R-HSA-76044	ENSG00000125835; ENSG00000183684	10189; 6628	73	70
0.00968777223602	0.0286327490531	Alpha6Beta4Integrin	NetPath	Pathway_Alpha6Beta4Integrin	ENSG00000142208; ENSG00000114993	207; 6242	74	72
