p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
6.58908435877e-07	0.00150165232536	Propanoate metabolism - Homo sapiens (human)	KEGG	path:hsa00640	ENSG00000146085; ENSG00000075239; ENSG00000124370; ENSG00000091140; ENSG00000084754; ENSG00000172340; ENSG00000163541; ENSG00000175198; ENSG00000111716; ENSG00000137992; ENSG00000119711; ENSG00000103150; ENSG00000136143	38; 1738; 84693; 3030; 1629; 8801; 8802; 8803; 5095; 4329; 4594; 3945; 23417	32	32
2.17475957946e-06	0.0024781385408	Circadian rhythm - Homo sapiens (human)	KEGG	path:hsa04710	ENSG00000126368; ENSG00000049246; ENSG00000113558; ENSG00000132326; ENSG00000213923; ENSG00000133794; ENSG00000005812; ENSG00000121671; ENSG00000134107; ENSG00000141551; ENSG00000008405; ENSG00000179094	1408; 406; 8863; 8864; 1453; 1454; 5187; 6500; 9572; 8553; 26224; 1407	31	30
1.5685979039e-05	0.00822862588516	Circadian rhythm pathway	PID	circadianpathway	ENSG00000126368; ENSG00000132326; ENSG00000213923; ENSG00000133794; ENSG00000121671; ENSG00000134107; ENSG00000179094; ENSG00000008405	5187; 1454; 1408; 9572; 1407; 8864; 406; 8553	18	16
1.96818533033e-05	0.00822862588516	Circadian Clock	Reactome	R-HSA-400253	ENSG00000126368; ENSG00000132326; ENSG00000213923; ENSG00000133794; ENSG00000005812; ENSG00000121671; ENSG00000110090; ENSG00000134107; ENSG00000141551; ENSG00000008405; ENSG00000106366; ENSG00000179094	1454; 1408; 26224; 8864; 1453; 5054; 1374; 1407; 8553; 5187; 9572; 406	38	36
2.28192649987e-05	0.00822862588516	Valine, leucine and isoleucine degradation - Homo sapiens (human)	KEGG	path:hsa00280	ENSG00000146085; ENSG00000075239; ENSG00000124370; ENSG00000137992; ENSG00000081760; ENSG00000176715; ENSG00000084754; ENSG00000091140; ENSG00000078070; ENSG00000106049; ENSG00000175198; ENSG00000167315; ENSG00000119711; ENSG00000138029	38; 65985; 197322; 1738; 10449; 84693; 3030; 3032; 56922; 1629; 5095; 4329; 11112; 4594	48	48
3.11887162346e-05	0.00822862588516	Metabolism	Reactome	R-HSA-1430728	ENSG00000112033; ENSG00000166986; ENSG00000103507; ENSG00000119655; ENSG00000081760; ENSG00000172340; ENSG00000196498; ENSG00000182551; ENSG00000090975; ENSG00000108479; ENSG00000170525; ENSG00000138029; ENSG00000185803; ENSG00000111716; ENSG00000121691; ENSG00000197894; ENSG00000117859; ENSG00000168288; ENSG00000164022; ENSG00000196313; ENSG00000131480; ENSG00000157184; ENSG00000188191; ENSG00000134824; ENSG00000106546; ENSG00000116459; ENSG00000189043; ENSG00000144566; ENSG00000160285; ENSG00000175309; ENSG00000169814; ENSG00000197586; ENSG00000105379; ENSG00000082014; ENSG00000059804; ENSG00000138018; ENSG00000119711; ENSG00000117118; ENSG00000214078; ENSG00000106809; ENSG00000164237; ENSG00000127125; ENSG00000163644; ENSG00000158470; ENSG00000168216; ENSG00000122406; ENSG00000127511; ENSG00000084754; ENSG00000119688; ENSG00000136143; ENSG00000198018; ENSG00000110048; ENSG00000136003; ENSG00000140876; ENSG00000144455; ENSG00000147576; ENSG00000116337; ENSG00000068383; ENSG00000176387; ENSG00000139329; ENSG00000211517; ENSG00000165502; ENSG00000047410; ENSG00000211454; ENSG00000100258; ENSG00000187193; ENSG00000123989; ENSG00000140575; ENSG00000023228; ENSG00000165029; ENSG00000168118; ENSG00000148384; ENSG00000112303; ENSG00000069248; ENSG00000140374; ENSG00000110871; ENSG00000026652; ENSG00000197580; ENSG00000006025; ENSG00000175564; ENSG00000117411; ENSG00000124370; ENSG00000132824; ENSG00000121879; ENSG00000176715; ENSG00000138074; ENSG00000136521; ENSG00000153574; ENSG00000140043; ENSG00000130649; ENSG00000156873; ENSG00000136720; ENSG00000111897; ENSG00000099624; ENSG00000099377; ENSG00000107897; ENSG00000090661; ENSG00000070669; ENSG00000135587; ENSG00000156482; ENSG00000104763; ENSG00000099904; ENSG00000133056; ENSG00000105755; ENSG00000133275; ENSG00000163590; ENSG00000124172; ENSG00000073060; ENSG00000076685; ENSG00000116251; ENSG00000188921; ENSG00000130173; ENSG00000149084; ENSG00000072062; ENSG00000183077; ENSG00000137992; ENSG00000134201; ENSG00000063660; ENSG00000185000; ENSG00000113845; ENSG00000164211; ENSG00000146085; ENSG00000143252; ENSG00000100372; ENSG00000213398; ENSG00000111012; ENSG00000158669; ENSG00000107537; ENSG00000003509; ENSG00000169764; ENSG00000120254; ENSG00000125450; ENSG00000136243; ENSG00000125454; ENSG00000104524; ENSG00000130489; ENSG00000100299; ENSG00000103257; ENSG00000174233; ENSG00000091140; ENSG00000138326; ENSG00000205362; ENSG00000122912; ENSG00000084774; ENSG00000205364; ENSG00000178537; ENSG00000021826; ENSG00000108786; ENSG00000117308; ENSG00000213995; ENSG00000100197; ENSG00000178921; ENSG00000006125; ENSG00000204370; ENSG00000169375; ENSG00000131067; ENSG00000176485; ENSG00000168487; ENSG00000130414; ENSG00000106049; ENSG00000127415; ENSG00000167508; ENSG00000103150; ENSG00000158555; ENSG00000186792; ENSG00000107159; ENSG00000183696; ENSG00000166548; ENSG00000171503; ENSG00000144827; ENSG00000111684; ENSG00000075239; ENSG00000150540; ENSG00000038274; ENSG00000005882; ENSG00000128965; ENSG00000151413; ENSG00000131873; ENSG00000162244; ENSG00000095319; ENSG00000160688; ENSG00000145020; ENSG00000140740; ENSG00000139684; ENSG00000100422; ENSG00000142208; ENSG00000135245; ENSG00000070610; ENSG00000147813; ENSG00000167315; ENSG00000112299; ENSG00000196839; ENSG00000090020; ENSG00000086062; ENSG00000175198; ENSG00000122176; ENSG00000230124; ENSG00000011198; ENSG00000143179; ENSG00000163541; ENSG00000110090; ENSG00000242616; ENSG00000138031; ENSG00000119673; ENSG00000168906; ENSG00000172890; ENSG00000188566; ENSG00000078070; ENSG00000116649; ENSG00000167325; ENSG00000172893; ENSG00000114779; ENSG00000159445	207; 10478; 275; 84274; 1717; 80270; 137964; 9394; 8034; 84836; 56922; 4499; 196; 5261; 137872; 9255; 4144; 100; 8704; 2817; 2108; 3032; 788; 19; 2331; 2098; 5287; 55788; 5867; 1565; 4060; 1594; 3291; 6515; 23479; 1738; 7084; 6125; 847; 56895; 151742; 1376; 5575; 55746; 4501; 514; 7175; 6391; 57089; 515; 6610; 8875; 1455; 91452; 8904; 3632; 27249; 79902; 5164; 134147; 6156; 3425; 8826; 1629; 6146; 768213; 80224; 3931; 8801; 152926; 427; 51300; 649; 7352; 125061; 79581; 112; 65985; 6390; 8884; 7385; 27430; 5209; 117145; 2949; 3176; 4719; 2110; 10449; 790; 1373; 10295; 2683; 27158; 4329; 6240; 11097; 57704; 5868; 57515; 6166; 3292; 79586; 114881; 401494; 10965; 5007; 57605; 60386; 1571; 55347; 11112; 29923; 29801; 11145; 6392; 4141; 8876; 8694; 6604; 23417; 22978; 4711; 197322; 22856; 8372; 145482; 410; 85007; 283927; 163; 4969; 56623; 4597; 6159; 6548; 271; 4594; 55471; 38; 4047; 8803; 246181; 314; 9612; 5264; 55908; 10955; 93100; 64781; 9334; 5290; 949; 285362; 5566; 5198; 84693; 79094; 114883; 2582; 9997; 10577; 6723; 4697; 10162; 8802; 5467; 6229; 85465; 55739; 79717; 51144; 109; 9415; 686; 65263; 5826; 128; 4705; 1374; 955; 91289; 51099; 81544; 84320; 23309; 134429; 2584; 440; 22934; 23474; 23511; 768; 83875; 55191; 4489; 513; 9883; 7378; 2109; 3945; 8140; 7371; 3030; 7360; 2686; 25902; 55256; 2790; 79603; 25942; 80308; 5095	2035	1994
5.12285276667e-05	0.00822862588516	Mitochondrial Beta-Oxidation of Long Chain Saturated Fatty Acids	SMPDB	SMP00482	ENSG00000084754; ENSG00000110090; ENSG00000157184; ENSG00000167315; ENSG00000178537; ENSG00000138029	1374; 788; 1376; 3030; 3032; 10449	10	10
5.12285276667e-05	0.00822862588516	Circadian Clock	Wikipathways	WP1797	ENSG00000126368; ENSG00000133794; ENSG00000132326; ENSG00000121671; ENSG00000179094; ENSG00000008405	8864; 5187; 9572; 406; 1408; 1407	10	10
7.01849156533e-05	0.00822862588516	Melatonin metabolism and effects	Wikipathways	WP3298	ENSG00000100197; ENSG00000049246; ENSG00000133794; ENSG00000213923; ENSG00000132326; ENSG00000121671; ENSG00000175104; ENSG00000179094; ENSG00000008405; ENSG00000141551	8864; 406; 1408; 1407; 1565; 8863; 5187; 1454; 7189; 1453	29	29
9.57997226119e-05	0.00822862588516	BMAL1-CLOCK,NPAS2 activates circadian gene expression	Wikipathways	WP3355	ENSG00000126368; ENSG00000132326; ENSG00000121671; ENSG00000134107; ENSG00000179094; ENSG00000008405; ENSG00000106366	8864; 5187; 8553; 9572; 1408; 5054; 1407	15	15
