p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
2.71901847176e-05	0.0130784788492	Circadian Clock	Reactome	R-HSA-400253	ENSG00000126368; ENSG00000213923; ENSG00000005812; ENSG00000151014; ENSG00000008405; ENSG00000106366	1454; 26224; 25819; 5054; 1407; 9572	38	36
9.23626006113e-05	0.0209754035906	BMAL1-CLOCK,NPAS2 activates circadian gene expression	Wikipathways	WP3355	ENSG00000126368; ENSG00000151014; ENSG00000008405; ENSG00000106366	9572; 5054; 25819; 1407	15	15
0.000130823723018	0.0209754035906	Circadian rhythm - Homo sapiens (human)	KEGG	path:hsa04710	ENSG00000213923; ENSG00000126368; ENSG00000008405; ENSG00000055130; ENSG00000005812	8454; 1454; 9572; 26224; 1407	31	30
0.000198995615365	0.0239292227476	BMAL1:CLOCK,NPAS2 activates circadian gene expression	Reactome	R-HSA-1368108	ENSG00000126368; ENSG00000106366; ENSG00000008405; ENSG00000151014	9572; 25819; 5054; 1407	19	18
0.000318826172144	0.0285367207972	RNA Polymerase III Transcription Initiation	Reactome	R-HSA-76046	ENSG00000174446; ENSG00000119041; ENSG00000023608; ENSG00000104221; ENSG00000113356	10302; 9330; 55290; 6617; 10622	37	36
0.000361834917189	0.0285367207972	p73 transcription factor network	PID	p73pathway	ENSG00000097007; ENSG00000196839; ENSG00000130939; ENSG00000077238; ENSG00000172977; ENSG00000106366; ENSG00000181026	3566; 10277; 25; 5054; 10524; 64782; 100	81	79
0.000415295313057	0.0285367207972	p53 pathway	PID	p53regulationpathway	ENSG00000097007; ENSG00000213923; ENSG00000147889; ENSG00000170836; ENSG00000172977; ENSG00000068028	1454; 8493; 11186; 25; 10524; 1029	60	58
0.000591973602859	0.0316377003306	RNA Polymerase III Abortive And Retractive Initiation	Reactome	R-HSA-749476	ENSG00000174446; ENSG00000119041; ENSG00000023608; ENSG00000104221; ENSG00000113356	10302; 9330; 55290; 6617; 10622	42	41
0.000591973602859	0.0316377003306	RNA Polymerase III Transcription	Reactome	R-HSA-74158	ENSG00000174446; ENSG00000119041; ENSG00000023608; ENSG00000104221; ENSG00000113356	10302; 9330; 55290; 6617; 10622	42	41
0.000926821179772	0.0405273624973	Metallothioneins bind metals	Reactome	R-HSA-5661231	ENSG00000205362; ENSG00000187193; ENSG00000205364	4501; 4499; 4489	12	12
