p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
5.37572005506e-09	9.67629609911e-08	BMAL1:CLOCK,NPAS2 activates circadian gene expression	Reactome	R-HSA-1368108	ENSG00000126368; ENSG00000133794; ENSG00000105516; ENSG00000132326	9572; 8864; 1628; 406	19	18
4.77029300867e-08	4.2932637078e-07	Circadian rhythm - Homo sapiens (human)	KEGG	path:hsa04710	ENSG00000126368; ENSG00000049246; ENSG00000132326; ENSG00000133794	406; 8863; 8864; 9572	31	30
1.02062641978e-07	6.12375851866e-07	Circadian Clock	Reactome	R-HSA-400253	ENSG00000126368; ENSG00000133794; ENSG00000105516; ENSG00000132326	1628; 8864; 9572; 406	38	36
2.04137720531e-07	9.18619742388e-07	Circadian Clock	Wikipathways	WP1797	ENSG00000126368; ENSG00000133794; ENSG00000132326	8864; 9572; 406	10	10
7.71013175767e-07	2.77564743276e-06	BMAL1-CLOCK,NPAS2 activates circadian gene expression	Wikipathways	WP3355	ENSG00000126368; ENSG00000105516; ENSG00000132326	8864; 1628; 9572	15	15
9.48200316103e-07	2.84460094831e-06	Circadian rhythm pathway	PID	circadianpathway	ENSG00000126368; ENSG00000133794; ENSG00000132326	9572; 8864; 406	18	16
6.12465890356e-06	1.57491228949e-05	Melatonin metabolism and effects	Wikipathways	WP3298	ENSG00000049246; ENSG00000133794; ENSG00000132326	8864; 406; 8863	29	29
1.52657830352e-05	3.43480118292e-05	RORA activates gene expression	Wikipathways	WP3370	ENSG00000126368; ENSG00000133794	406; 9572	5	5
2.28816099874e-05	4.57632199748e-05	NR1D1 (REV-ERBA) represses gene expression	Wikipathways	WP3394	ENSG00000126368; ENSG00000133794	9572; 406	6	6
4.2648705323e-05	7.67676695814e-05	NR1D1 (REV-ERBA) represses gene expression	Reactome	R-HSA-1368071	ENSG00000126368; ENSG00000133794	9572; 406	8	8
6.84404534952e-05	0.000111993469356	RORA activates gene expression	Reactome	R-HSA-1368082	ENSG00000126368; ENSG00000133794	9572; 406	10	10
0.00154088688227	0.00230911373531	Herpes simplex infection - Homo sapiens (human)	KEGG	path:hsa05168	ENSG00000049246; ENSG00000133794; ENSG00000132326	8863; 8864; 406	185	185
0.00166769325328	0.00230911373531	Exercise-induced Circadian Regulation	Wikipathways	WP410	ENSG00000133794; ENSG00000132326	8864; 406	48	48
0.00650529391492	0.00836394931919	Circadian entrainment - Homo sapiens (human)	KEGG	path:hsa04713	ENSG00000049246; ENSG00000132326	8863; 8864	96	96
