p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
1.11278241931e-09	5.23151772353e-08	Circadian rhythm - Homo sapiens (human)	KEGG	path:hsa04710	ENSG00000126368; ENSG00000049246; ENSG00000132326; ENSG00000213923; ENSG00000179094; ENSG00000008405	8863; 8864; 1454; 5187; 9572; 1407	31	30
1.74520161142e-09	5.23151772353e-08	BMAL1-CLOCK,NPAS2 activates circadian gene expression	Wikipathways	WP3355	ENSG00000126368; ENSG00000008405; ENSG00000105516; ENSG00000179094; ENSG00000132326	8864; 5187; 1628; 9572; 1407	15	15
2.53137954364e-09	5.23151772353e-08	Circadian rhythm pathway	PID	circadianpathway	ENSG00000213923; ENSG00000126368; ENSG00000008405; ENSG00000179094; ENSG00000132326	5187; 1454; 9572; 1407; 8864	18	16
3.58925038624e-09	5.56333809867e-08	Circadian Clock	Reactome	R-HSA-400253	ENSG00000126368; ENSG00000132326; ENSG00000213923; ENSG00000179094; ENSG00000008405; ENSG00000105516	1454; 1628; 8864; 1407; 5187; 9572	38	36
4.93767915049e-09	6.1227221466e-08	BMAL1:CLOCK,NPAS2 activates circadian gene expression	Reactome	R-HSA-1368108	ENSG00000126368; ENSG00000008405; ENSG00000105516; ENSG00000179094; ENSG00000132326	9572; 5187; 8864; 1628; 1407	19	18
3.5947548156e-08	3.71457997612e-07	Circadian Clock	Wikipathways	WP1797	ENSG00000126368; ENSG00000008405; ENSG00000179094; ENSG00000132326	8864; 5187; 9572; 1407	10	10
6.63627932113e-08	5.87784739872e-07	Melatonin metabolism and effects	Wikipathways	WP3298	ENSG00000213923; ENSG00000049246; ENSG00000008405; ENSG00000179094; ENSG00000132326	8864; 1407; 8863; 5187; 1454	29	29
3.00054751732e-05	0.000232542432592	Exercise-induced Circadian Regulation	Wikipathways	WP410	ENSG00000008405; ENSG00000174738; ENSG00000179094; ENSG00000132326	8864; 9975; 1407; 5187	48	48
0.00554374778578	0.0381902625243	Circadian entrainment - Homo sapiens (human)	KEGG	path:hsa04713	ENSG00000049246; ENSG00000179094; ENSG00000132326	5187; 8863; 8864	96	96
0.00716293038301	0.0444101683747	Pyruvate metabolism	INOH	None	ENSG00000103253; ENSG00000151376	10873; 84264	34	34
