p-value	q-value	term_goid	term_category	term_level	term_name	members_input_overlap	members_input_overlap_geneids	size	effective_size
2.75699462801e-06	0.000135092736772	GO:0044444	c	3	cytoplasmic part	11173; 287; 833; 1066; 1382; 1434; 1616; 1781; 2036; 2237; 2760; 2936; 3192; 3305; 4199; 4359; 4793; 4947; 5500; 5905; 5986; 6285; 6647; 7016; 7059; 7086; 7277; 84263; 8099; 9791; 10049; 10235; 10449; 83693; 10670; 51084; 79719; 29919; 50649; 2781; 84283; 83875; 84243; 84668; 85301; 55325; 55662; 23198; 23513; 23564; 56952; 57799; 26086; 26091; 91947; 27124; 27315; 27346	ENSG00000068831; ENSG00000136002; ENSG00000169733; ENSG00000107140; ENSG00000166135; ENSG00000145362; ENSG00000155876; ENSG00000124207; ENSG00000105993; ENSG00000163472; ENSG00000213639; ENSG00000153187; ENSG00000140450; ENSG00000104687; ENSG00000104825; ENSG00000099256; ENSG00000180900; ENSG00000109084; ENSG00000077380; ENSG00000100401; ENSG00000088367; ENSG00000196739; ENSG00000198848; ENSG00000197562; ENSG00000168496; ENSG00000180304; ENSG00000103591; ENSG00000156471; ENSG00000167315; ENSG00000158887; ENSG00000197580; ENSG00000065833; ENSG00000196743; ENSG00000103160; ENSG00000122591; ENSG00000111328; ENSG00000110619; ENSG00000213722; ENSG00000148985; ENSG00000142168; ENSG00000165475; ENSG00000185133; ENSG00000204160; ENSG00000148634; ENSG00000204390; ENSG00000109775; ENSG00000169231; ENSG00000163931; ENSG00000160360; ENSG00000160307; ENSG00000143320; ENSG00000141452; ENSG00000136378; ENSG00000119471; ENSG00000128266; ENSG00000204209; ENSG00000127824; ENSG00000068878	8019	7995
3.70533306394e-06	0.000133391990302	GO:0005829	c	4	cytosol	287; 833; 1382; 1434; 1616; 1781; 2036; 2781; 2936; 3305; 4199; 4793; 4947; 5500; 5905; 6647; 7016; 7086; 7277; 10049; 10235; 10670; 51084; 79719; 50649; 84668; 55662; 23198; 23513; 23564; 56952; 26086; 26091; 27124	ENSG00000068831; ENSG00000136002; ENSG00000107140; ENSG00000166135; ENSG00000145362; ENSG00000155876; ENSG00000124207; ENSG00000105993; ENSG00000213639; ENSG00000104687; ENSG00000104825; ENSG00000180900; ENSG00000077380; ENSG00000100401; ENSG00000088367; ENSG00000180304; ENSG00000103591; ENSG00000204209; ENSG00000065833; ENSG00000110619; ENSG00000213722; ENSG00000142168; ENSG00000165475; ENSG00000185133; ENSG00000148634; ENSG00000204390; ENSG00000163931; ENSG00000160360; ENSG00000099256; ENSG00000143320; ENSG00000122591; ENSG00000128266; ENSG00000127824; ENSG00000068878	3466	3455
9.72300201552e-06	0.00023821354938	GO:0005737	c	3	cytoplasm	11173; 287; 833; 1066; 1382; 1434; 1616; 1781; 2036; 2237; 2760; 2936; 3068; 3192; 3305; 4199; 4359; 4793; 4947; 5500; 5524; 55844; 5905; 5986; 6285; 6604; 6647; 7016; 7059; 7086; 7277; 84263; 8099; 8563; 9791; 9908; 10049; 10235; 10449; 83693; 10670; 51084; 79719; 29919; 50649; 2781; 84283; 83875; 84243; 84668; 85301; 79798; 55325; 55662; 23198; 23513; 23564; 56952; 57799; 25942; 26086; 26091; 26268; 91947; 27124; 27315; 27346; 65244	ENSG00000068831; ENSG00000136002; ENSG00000169375; ENSG00000169733; ENSG00000107140; ENSG00000166135; ENSG00000145362; ENSG00000213722; ENSG00000155876; ENSG00000140691; ENSG00000124207; ENSG00000105993; ENSG00000163472; ENSG00000213639; ENSG00000153187; ENSG00000140450; ENSG00000104687; ENSG00000104825; ENSG00000099256; ENSG00000180900; ENSG00000109084; ENSG00000077380; ENSG00000100401; ENSG00000197562; ENSG00000088367; ENSG00000119383; ENSG00000198848; ENSG00000175470; ENSG00000168496; ENSG00000180304; ENSG00000103591; ENSG00000156471; ENSG00000167315; ENSG00000112146; ENSG00000158887; ENSG00000197580; ENSG00000065833; ENSG00000196743; ENSG00000103160; ENSG00000122591; ENSG00000111328; ENSG00000100296; ENSG00000110619; ENSG00000123352; ENSG00000082014; ENSG00000148985; ENSG00000142168; ENSG00000165475; ENSG00000185133; ENSG00000204160; ENSG00000148634; ENSG00000196739; ENSG00000204390; ENSG00000109775; ENSG00000169231; ENSG00000163931; ENSG00000160360; ENSG00000160307; ENSG00000143321; ENSG00000143320; ENSG00000141452; ENSG00000138757; ENSG00000136378; ENSG00000119471; ENSG00000128266; ENSG00000204209; ENSG00000127824; ENSG00000068878	10661	10616
6.20435769263e-05	0.0111058002698	GO:0042335	b	3	cuticle development	84283; 53905	ENSG00000163472; ENSG00000137857	3	3
0.000513065208608	0.0174442170927	GO:0042803	m	4	protein homodimerization activity	833; 1616; 5524; 6285; 6647; 7086; 10670; 51084; 55662; 23705; 56952	ENSG00000142168; ENSG00000119383; ENSG00000166135; ENSG00000155876; ENSG00000163931; ENSG00000110619; ENSG00000160307; ENSG00000099256; ENSG00000182985; ENSG00000165475; ENSG00000204209	735	734
0.000797500797023	0.0130258463514	GO:0001726	c	3	ruffle	6285; 10235; 50649; 26751; 27124	ENSG00000068831; ENSG00000136002; ENSG00000035115; ENSG00000185133; ENSG00000160307	158	158
0.00111063997264	0.135563866584	GO:0060088	b	5	auditory receptor cell stereocilium organization	6647; 23513	ENSG00000142168; ENSG00000180900	11	11
0.00122218705886	0.0207771800006	GO:0050661	m	4	NADP binding	2936; 4199; 53905	ENSG00000104687; ENSG00000065833; ENSG00000137857	46	46
0.00132880388526	0.105250687318	GO:0050665	b	4	hydrogen peroxide biosynthetic process	6647; 53905	ENSG00000142168; ENSG00000137857	12	12
0.00137058309757	0.0149310881563	GO:0036094	m	2	small molecule binding	833; 1382; 2794; 2936; 3068; 3192; 3305; 4199; 5524; 22928; 7016; 7277; 9908; 10670; 51084; 2781; 51619; 53905; 55662; 23564; 56952; 57799; 259217	ENSG00000107140; ENSG00000166135; ENSG00000155876; ENSG00000204590; ENSG00000153187; ENSG00000104687; ENSG00000119383; ENSG00000197562; ENSG00000165868; ENSG00000137857; ENSG00000065833; ENSG00000110619; ENSG00000213722; ENSG00000165475; ENSG00000204390; ENSG00000099256; ENSG00000143321; ENSG00000143320; ENSG00000138757; ENSG00000128266; ENSG00000127824; ENSG00000078967; ENSG00000179918	2649	2632
