p-value	q-value	term_goid	term_category	term_level	term_name	members_input_overlap	members_input_overlap_geneids	size	effective_size
6.53853547282e-06	0.00131424563004	GO:0006928	b	3	movement of cell or subcellular component	163; 2921; 3074; 3164; 3725; 4072; 4606; 4620; 5195; 5318; 286077; 8174; 8875; 10562; 11240; 81704; 23046; 26585; 57715	ENSG00000116852; ENSG00000117115; ENSG00000125414; ENSG00000180921; ENSG00000006125; ENSG00000166923; ENSG00000095539; ENSG00000057294; ENSG00000102837; ENSG00000119888; ENSG00000099866; ENSG00000163734; ENSG00000107099; ENSG00000112303; ENSG00000142655; ENSG00000086967; ENSG00000049860; ENSG00000123358; ENSG00000177606	1739	1737
1.237495618e-05	0.000767247283161	GO:0044767	b	2	single-organism developmental process	163; 467; 677; 1111; 2810; 3074; 3164; 3725; 3914; 3976; 4072; 5026; 5101; 5318; 5321; 286077; 6699; 8174; 8744; 8788; 8875; 10365; 10562; 11240; 50511; 150094; 84969; 84976; 25837; 57194; 255743; 26585; 92421; 57715; 92304; 136332; 22903	ENSG00000117115; ENSG00000149554; ENSG00000185650; ENSG00000124191; ENSG00000175793; ENSG00000180921; ENSG00000177606; ENSG00000184226; ENSG00000185559; ENSG00000169469; ENSG00000206190; ENSG00000112303; ENSG00000127528; ENSG00000049860; ENSG00000154309; ENSG00000162772; ENSG00000132640; ENSG00000125657; ENSG00000116711; ENSG00000095539; ENSG00000119888; ENSG00000167964; ENSG00000128342; ENSG00000123358; ENSG00000196878; ENSG00000139351; ENSG00000166923; ENSG00000142178; ENSG00000083454; ENSG00000006125; ENSG00000168743; ENSG00000102837; ENSG00000099866; ENSG00000161055; ENSG00000155530; ENSG00000057294; ENSG00000164695	5610	5595
2.85071620409e-05	0.000997750671432	GO:0098631	m	3	protein binding involved in cell adhesion	4072; 5318; 8174	ENSG00000099866; ENSG00000057294; ENSG00000119888	17	17
3.08200241059e-05	0.00309741242264	GO:0009888	b	3	tissue development	163; 467; 677; 2810; 3164; 3725; 3914; 3976; 4072; 5318; 5321; 286077; 6699; 10365; 150094; 255743; 26585; 57715	ENSG00000166923; ENSG00000168743; ENSG00000116711; ENSG00000180921; ENSG00000162772; ENSG00000006125; ENSG00000057294; ENSG00000095539; ENSG00000119888; ENSG00000175793; ENSG00000142178; ENSG00000185650; ENSG00000127528; ENSG00000128342; ENSG00000196878; ENSG00000169469; ENSG00000123358; ENSG00000177606	1765	1761
3.37744408295e-05	0.00104700766571	GO:0007155	b	2	cell adhesion	677; 3914; 4072; 4606; 5101; 5318; 8174; 8744; 10562; 81704; 115650; 84034; 137075; 54518; 255743; 26585	ENSG00000077420; ENSG00000253958; ENSG00000184226; ENSG00000166923; ENSG00000125657; ENSG00000185650; ENSG00000102837; ENSG00000119888; ENSG00000099866; ENSG00000057294; ENSG00000086967; ENSG00000159958; ENSG00000132205; ENSG00000168743; ENSG00000107099; ENSG00000196878	1439	1436
7.07348184516e-05	0.0136518199612	GO:0043618	b	5	regulation of transcription from RNA polymerase II promoter in response to stress	467; 1111; 3725; 10365	ENSG00000149554; ENSG00000127528; ENSG00000162772; ENSG00000177606	62	62
7.96631234791e-05	0.00130496168802	GO:0048856	b	2	anatomical structure development	163; 467; 677; 2810; 3074; 3164; 3725; 3914; 3976; 4072; 5026; 5101; 5318; 5321; 286077; 6699; 8744; 8875; 10365; 10562; 11240; 115650; 50511; 150094; 84969; 84976; 25837; 57194; 255743; 26585; 92421; 57715; 92304; 22903	ENSG00000117115; ENSG00000185650; ENSG00000124191; ENSG00000175793; ENSG00000180921; ENSG00000159958; ENSG00000177606; ENSG00000184226; ENSG00000169469; ENSG00000206190; ENSG00000112303; ENSG00000127528; ENSG00000049860; ENSG00000154309; ENSG00000162772; ENSG00000132640; ENSG00000125657; ENSG00000116711; ENSG00000095539; ENSG00000119888; ENSG00000167964; ENSG00000128342; ENSG00000123358; ENSG00000196878; ENSG00000139351; ENSG00000166923; ENSG00000142178; ENSG00000083454; ENSG00000006125; ENSG00000168743; ENSG00000102837; ENSG00000161055; ENSG00000057294; ENSG00000164695	5313	5298
8.41910766465e-05	0.00130496168802	GO:0044763	b	2	single-organism cellular process	163; 467; 677; 1111; 1520; 1836; 2810; 2921; 3074; 3164; 3725; 3914; 3976; 4072; 4606; 4620; 5026; 5195; 5318; 5321; 957; 286077; 6699; 8174; 8744; 8788; 8875; 8935; 10365; 10562; 11240; 81704; 115650; 50511; 2982; 51540; 150094; 84674; 84976; 23046; 54518; 25837; 253782; 57194; 26251; 255743; 26585; 92421; 57715; 92304; 136332; 22903	ENSG00000117115; ENSG00000149554; ENSG00000180921; ENSG00000155850; ENSG00000175793; ENSG00000163734; ENSG00000142655; ENSG00000159958; ENSG00000177606; ENSG00000116852; ENSG00000077420; ENSG00000185559; ENSG00000172292; ENSG00000169469; ENSG00000206190; ENSG00000155530; ENSG00000112303; ENSG00000127528; ENSG00000049860; ENSG00000107099; ENSG00000132357; ENSG00000125414; ENSG00000162772; ENSG00000132640; ENSG00000178342; ENSG00000187097; ENSG00000125657; ENSG00000116711; ENSG00000095539; ENSG00000119888; ENSG00000086967; ENSG00000154309; ENSG00000167964; ENSG00000128342; ENSG00000123358; ENSG00000196878; ENSG00000139351; ENSG00000166923; ENSG00000142178; ENSG00000083454; ENSG00000006125; ENSG00000168743; ENSG00000102837; ENSG00000164116; ENSG00000099866; ENSG00000161055; ENSG00000163131; ENSG00000132330; ENSG00000057294; ENSG00000185650; ENSG00000164695; ENSG00000005020	10315	10274
9.30494989697e-05	0.00623431643097	GO:0040012	b	3	regulation of locomotion	2921; 3725; 4072; 5318; 286077; 8174; 10562; 11240; 26585; 92421; 57715	ENSG00000166923; ENSG00000117115; ENSG00000095539; ENSG00000180921; ENSG00000102837; ENSG00000119888; ENSG00000099866; ENSG00000163734; ENSG00000057294; ENSG00000164695; ENSG00000177606	783	782
9.58972972448e-05	0.0178470305746	GO:0043620	b	4	regulation of DNA-templated transcription in response to stress	467; 1111; 3725; 10365	ENSG00000149554; ENSG00000127528; ENSG00000162772; ENSG00000177606	67	67
