p-value	q-value	term_goid	term_category	term_level	term_name	members_input_overlap	members_input_overlap_geneids	size	effective_size
1.42727616333e-07	5.70910465331e-06	GO:0014704	c	4	intercalated disc	476; 481; 1824; 1832; 5318; 7414	ENSG00000163399; ENSG00000096696; ENSG00000134755; ENSG00000143153; ENSG00000057294; ENSG00000035403	52	52
5.51881637488e-07	2.75940818744e-05	GO:0044291	c	3	cell-cell contact zone	476; 481; 1824; 1832; 5318; 7414	ENSG00000163399; ENSG00000096696; ENSG00000134755; ENSG00000143153; ENSG00000057294; ENSG00000035403	65	65
2.78552072749e-06	0.000557104145499	GO:0086065	b	3	cell communication involved in cardiac conduction	476; 481; 1824; 1832; 5318	ENSG00000057294; ENSG00000096696; ENSG00000134755; ENSG00000143153; ENSG00000163399	48	48
3.42174334631e-06	0.000694613899301	GO:0086001	b	5	cardiac muscle cell action potential	476; 481; 1824; 1832; 5318	ENSG00000057294; ENSG00000096696; ENSG00000134755; ENSG00000143153; ENSG00000163399	50	50
5.95027658875e-06	0.000148756914719	GO:0030057	c	3	desmosome	1824; 1832; 5318; 7414	ENSG00000096696; ENSG00000134755; ENSG00000035403; ENSG00000057294	26	26
7.91457355648e-06	0.000261180927364	GO:0086080	m	5	protein binding involved in heterotypic cell-cell adhesion	1824; 1832; 5318	ENSG00000096696; ENSG00000134755; ENSG00000057294	9	9
1.40121445238e-05	0.00142223266917	GO:1903115	b	5	regulation of actin filament-based movement	476; 1824; 1832; 5318	ENSG00000057294; ENSG00000096696; ENSG00000134755; ENSG00000163399	32	32
1.54424212597e-05	0.000741236220464	GO:0098632	m	4	protein binding involved in cell-cell adhesion	1824; 1832; 5318	ENSG00000096696; ENSG00000134755; ENSG00000057294	11	11
1.99167454866e-05	0.000876336801409	GO:0044420	c	2	extracellular matrix component	1303; 1306; 7058; 7148; 30008; 64094	ENSG00000204291; ENSG00000186340; ENSG00000112562; ENSG00000172638; ENSG00000111799; ENSG00000168477	120	120
2.05208876796e-05	0.0033725599192	GO:0086069	b	4	bundle of His cell to Purkinje myocyte communication	1824; 1832; 5318	ENSG00000096696; ENSG00000134755; ENSG00000057294	12	12
2.89258580458e-05	0.0033725599192	GO:0034109	b	4	homotypic cell-cell adhesion	1824; 1832; 5291; 5318; 7414	ENSG00000096696; ENSG00000134755; ENSG00000035403; ENSG00000051382; ENSG00000057294	77	77
3.3725599192e-05	0.0033725599192	GO:0090136	b	4	epithelial cell-cell adhesion	3801; 7414; 11149	ENSG00000112276; ENSG00000140859; ENSG00000035403	14	14
6.23729759468e-05	0.0029315298695	GO:0098631	m	3	protein binding involved in cell adhesion	1824; 1832; 5318	ENSG00000096696; ENSG00000134755; ENSG00000057294	17	17
8.82874259439e-05	0.00662155694579	GO:0098901	b	4	regulation of cardiac muscle cell action potential	1824; 1832; 5318	ENSG00000096696; ENSG00000134755; ENSG00000057294	19	19
0.000122533840775	0.00204223067958	GO:0005913	c	3	cell-cell adherens junction	1824; 1832; 3801; 7414	ENSG00000096696; ENSG00000134755; ENSG00000140859; ENSG00000035403	55	55
0.000138908594693	0.0083345156816	GO:0086064	b	4	cell communication by electrical coupling involved in cardiac conduction	476; 481; 5318	ENSG00000057294; ENSG00000143153; ENSG00000163399	22	22
0.000159210585926	0.00813519083711	GO:0033688	b	5	regulation of osteoblast proliferation	4088; 5364; 30812	ENSG00000164050; ENSG00000005513; ENSG00000166949	23	23
0.000173553218812	0.00813519083711	GO:0060047	b	5	heart contraction	476; 481; 1824; 1832; 5318; 6196; 11149	ENSG00000071242; ENSG00000163399; ENSG00000096696; ENSG00000134755; ENSG00000143153; ENSG00000057294; ENSG00000112276	253	253
0.000186574336836	0.00932871684178	GO:0003015	b	4	heart process	476; 481; 1824; 1832; 5318; 6196; 11149	ENSG00000071242; ENSG00000163399; ENSG00000096696; ENSG00000134755; ENSG00000143153; ENSG00000057294; ENSG00000112276	256	256
0.00020037415855	0.00813519083711	GO:0016311	b	5	dephosphorylation	476; 131870; 4088; 80895; 54704; 54843; 57552; 9829; 65125	ENSG00000132323; ENSG00000198585; ENSG00000163399; ENSG00000060237; ENSG00000144959; ENSG00000116675; ENSG00000164951; ENSG00000137501; ENSG00000166949	440	440
0.000248119102577	0.0106336758247	GO:0001508	b	4	action potential	476; 481; 1824; 1832; 5318	ENSG00000057294; ENSG00000096696; ENSG00000134755; ENSG00000143153; ENSG00000163399	121	121
0.000259454915765	0.0172969943843	GO:0010644	b	3	cell communication by electrical coupling	476; 481; 5318	ENSG00000057294; ENSG00000143153; ENSG00000163399	27	27
0.000259454915765	0.0172969943843	GO:0033687	b	3	osteoblast proliferation	4088; 5364; 30812	ENSG00000164050; ENSG00000005513; ENSG00000166949	27	27
0.000352841787944	0.00582188950107	GO:0000287	m	5	magnesium ion binding	131870; 3607; 6196; 51776; 54704; 65125	ENSG00000198585; ENSG00000071242; ENSG00000060237; ENSG00000164951; ENSG00000091436; ENSG00000141568	203	202
0.000356534799022	0.0119414789271	GO:0086091	b	4	regulation of heart rate by cardiac conduction	1824; 1832; 5318	ENSG00000096696; ENSG00000134755; ENSG00000057294	30	30
0.000358244367813	0.0119414789271	GO:0061337	b	4	cardiac conduction	476; 481; 1824; 1832; 5318	ENSG00000057294; ENSG00000096696; ENSG00000134755; ENSG00000143153; ENSG00000163399	131	131
0.000377292959471	0.00886638454756	GO:0043168	m	3	anion binding	111; 220; 476; 481; 641; 131870; 2936; 3801; 5046; 5291; 6196; 6236; 7058; 7148; 11149; 113457; 51100; 51380; 51776; 54843; 57552; 28996; 30844; 64094; 65125	ENSG00000075886; ENSG00000173175; ENSG00000112562; ENSG00000137501; ENSG00000104687; ENSG00000051382; ENSG00000144959; ENSG00000071242; ENSG00000163399; ENSG00000186340; ENSG00000143153; ENSG00000112276; ENSG00000168477; ENSG00000197299; ENSG00000091436; ENSG00000103966; ENSG00000198585; ENSG00000064393; ENSG00000097033; ENSG00000166592; ENSG00000184254; ENSG00000060237; ENSG00000140859; ENSG00000139631; ENSG00000140479	2706	2691
0.00041077882665	0.0138980169683	GO:0051174	b	5	regulation of phosphorus metabolic process	111; 641; 2549; 4088; 5291; 7532; 7148; 10267; 146433; 51100; 51339; 51776; 54704; 54843; 28996; 30844; 64400; 65125	ENSG00000165617; ENSG00000064393; ENSG00000168477; ENSG00000103966; ENSG00000132329; ENSG00000173175; ENSG00000137501; ENSG00000097033; ENSG00000051382; ENSG00000166971; ENSG00000060237; ENSG00000157368; ENSG00000197299; ENSG00000091436; ENSG00000164951; ENSG00000166949; ENSG00000109458; ENSG00000170027	1632	1628
0.000421699289667	0.00927738437268	GO:0005911	c	2	cell-cell junction	476; 481; 1824; 1832; 3801; 5318; 7414; 11149	ENSG00000163399; ENSG00000096696; ENSG00000134755; ENSG00000143153; ENSG00000140859; ENSG00000057294; ENSG00000112276; ENSG00000035403	386	386
0.000488841795752	0.0146652538726	GO:0008015	b	4	blood circulation	476; 481; 1824; 1832; 3291; 5318; 6196; 11149; 65125	ENSG00000071242; ENSG00000163399; ENSG00000060237; ENSG00000096696; ENSG00000134755; ENSG00000143153; ENSG00000176387; ENSG00000057294; ENSG00000112276	499	497
0.000517885672907	0.0222505596575	GO:0003013	b	3	circulatory system process	476; 481; 1824; 1832; 3291; 5318; 6196; 11149; 65125	ENSG00000071242; ENSG00000163399; ENSG00000060237; ENSG00000096696; ENSG00000134755; ENSG00000143153; ENSG00000176387; ENSG00000057294; ENSG00000112276	503	501
0.000568386710406	0.0222505596575	GO:0032879	b	3	regulation of localization	111; 476; 481; 1824; 1832; 2549; 4088; 5291; 5318; 5364; 9829; 7414; 7532; 8027; 9564; 11149; 114885; 51100; 51339; 54843; 90550; 30844; 65125	ENSG00000165617; ENSG00000156026; ENSG00000137501; ENSG00000051382; ENSG00000136738; ENSG00000163399; ENSG00000060237; ENSG00000050820; ENSG00000134755; ENSG00000143153; ENSG00000035403; ENSG00000116675; ENSG00000112276; ENSG00000173175; ENSG00000109458; ENSG00000103966; ENSG00000164050; ENSG00000096696; ENSG00000097033; ENSG00000166949; ENSG00000057294; ENSG00000144909; ENSG00000170027	2448	2440
0.000685163507144	0.0168790317042	GO:0006941	b	5	striated muscle contraction	476; 481; 1824; 1832; 5318	ENSG00000057294; ENSG00000096696; ENSG00000134755; ENSG00000143153; ENSG00000163399	151	151
0.000745963245522	0.0222505596575	GO:0002027	b	3	regulation of heart rate	1824; 1832; 5318; 11149	ENSG00000112276; ENSG00000096696; ENSG00000134755; ENSG00000057294	88	88
0.000748331454865	0.0124346288287	GO:0005915	c	4	zonula adherens	3801; 7414	ENSG00000140859; ENSG00000035403	9	9
0.000748331454865	0.0168790317042	GO:0098739	b	5	import across plasma membrane	476; 481	ENSG00000143153; ENSG00000163399	9	9
0.000748331454865	0.0168790317042	GO:0002934	b	5	desmosome organization	1832; 5318	ENSG00000096696; ENSG00000057294	9	9
0.000767058307392	0.0209197720198	GO:0006936	b	4	muscle contraction	476; 481; 1824; 1832; 5318; 7414; 8987	ENSG00000118804; ENSG00000163399; ENSG00000096696; ENSG00000134755; ENSG00000143153; ENSG00000057294; ENSG00000035403	324	324
0.000778769588011	0.0222505596575	GO:0098900	b	3	regulation of action potential	1824; 1832; 5318	ENSG00000096696; ENSG00000134755; ENSG00000057294	39	39
0.000834120024804	0.0429406111041	GO:0007155	b	2	cell adhesion	481; 1303; 1306; 1824; 1832; 3801; 4088; 5291; 5318; 5364; 7058; 7148; 7414; 9564; 11149; 64094	ENSG00000204291; ENSG00000164050; ENSG00000112562; ENSG00000168477; ENSG00000186340; ENSG00000050820; ENSG00000096696; ENSG00000134755; ENSG00000143153; ENSG00000051382; ENSG00000111799; ENSG00000140859; ENSG00000035403; ENSG00000057294; ENSG00000112276; ENSG00000166949	1439	1436
0.000898132740731	0.0224533185183	GO:0048518	b	3	positive regulation of biological process	111; 220; 473; 476; 481; 641; 131870; 2549; 3607; 4088; 5291; 5318; 5364; 6196; 7058; 7532; 8027; 9564; 10267; 11149; 146433; 114885; 51100; 51339; 51776; 85414; 138151; 54468; 54843; 29841; 90550; 26097; 28996; 30812; 30844; 64094; 64400; 65125	ENSG00000158715; ENSG00000165617; ENSG00000132329; ENSG00000173175; ENSG00000112562; ENSG00000160679; ENSG00000164654; ENSG00000137501; ENSG00000142599; ENSG00000051382; ENSG00000136738; ENSG00000071242; ENSG00000163399; ENSG00000186340; ENSG00000050820; ENSG00000143153; ENSG00000166971; ENSG00000157368; ENSG00000141568; ENSG00000112276; ENSG00000156026; ENSG00000005513; ENSG00000197299; ENSG00000091436; ENSG00000134317; ENSG00000148411; ENSG00000103966; ENSG00000109458; ENSG00000164050; ENSG00000198585; ENSG00000064393; ENSG00000097033; ENSG00000166949; ENSG00000184254; ENSG00000060237; ENSG00000057294; ENSG00000144909; ENSG00000170027	5198	5177
0.000932597162149	0.0146106888737	GO:0045294	m	3	alpha-catenin binding	5318; 7414	ENSG00000035403; ENSG00000057294	10	10
0.000932597162149	0.0233149290537	GO:0034331	b	4	cell junction maintenance	3801; 5318	ENSG00000140859; ENSG00000057294	10	10
0.000932597162149	0.0124346288287	GO:0005916	c	4	fascia adherens	1832; 7414	ENSG00000096696; ENSG00000035403	10	10
0.000932597162149	0.0176276513012	GO:0003084	b	5	positive regulation of systemic arterial blood pressure	3291; 65125	ENSG00000176387; ENSG00000060237	10	10
0.000955192927651	0.0176276513012	GO:0070252	b	5	actin-mediated cell contraction	476; 1824; 1832; 5318	ENSG00000057294; ENSG00000096696; ENSG00000134755; ENSG00000163399	94	94
0.000993686593625	0.0113640932679	GO:0005604	c	3	basement membrane	1306; 7058; 30008; 64094	ENSG00000204291; ENSG00000186340; ENSG00000112562; ENSG00000172638	95	95
0.00113640932679	0.0113640932679	GO:0005890	c	3	sodium:potassium-exchanging ATPase complex	476; 481	ENSG00000143153; ENSG00000163399	11	11
0.00118520851384	0.0246573807996	GO:0034113	b	4	heterotypic cell-cell adhesion	1824; 1832; 5318	ENSG00000096696; ENSG00000134755; ENSG00000057294	45	45
0.00120587171869	0.0246573807996	GO:0072359	b	4	circulatory system development	1306; 1832; 2549; 4088; 5291; 5318; 6196; 7058; 10267; 11149; 23554; 28996	ENSG00000204291; ENSG00000106025; ENSG00000071242; ENSG00000186340; ENSG00000096696; ENSG00000064393; ENSG00000166949; ENSG00000132329; ENSG00000109458; ENSG00000057294; ENSG00000112276; ENSG00000051382	935	933
0.00123286903998	0.0246573807996	GO:0006796	b	4	phosphate-containing compound metabolic process	111; 476; 481; 641; 131870; 2549; 2766; 4088; 5291; 6196; 9829; 7148; 7532; 10267; 80895; 146433; 51100; 51339; 51776; 54704; 54843; 57552; 28996; 30844; 64400; 65125	ENSG00000132323; ENSG00000132329; ENSG00000173175; ENSG00000165617; ENSG00000137501; ENSG00000051382; ENSG00000166971; ENSG00000144959; ENSG00000071242; ENSG00000163399; ENSG00000060237; ENSG00000143153; ENSG00000116675; ENSG00000157368; ENSG00000168477; ENSG00000137198; ENSG00000197299; ENSG00000091436; ENSG00000103966; ENSG00000109458; ENSG00000198585; ENSG00000064393; ENSG00000097033; ENSG00000164951; ENSG00000166949; ENSG00000170027	3093	3082
0.00134534055728	0.0298964568284	GO:0060042	b	3	retina morphogenesis in camera-type eye	23554; 28996; 30812	ENSG00000005513; ENSG00000064393; ENSG00000106025	47	47
0.00136319400331	0.0429406111041	GO:0065008	b	2	regulation of biological quality	111; 220; 476; 481; 1824; 1832; 2936; 3163; 3291; 4088; 5046; 5291; 5318; 5364; 6196; 7058; 7414; 7532; 11149; 114885; 51100; 51339; 54843; 56255; 90550; 28996; 30812; 65125	ENSG00000165617; ENSG00000173175; ENSG00000176387; ENSG00000137501; ENSG00000104687; ENSG00000051382; ENSG00000071242; ENSG00000163399; ENSG00000186340; ENSG00000134755; ENSG00000143153; ENSG00000035403; ENSG00000112276; ENSG00000156026; ENSG00000103415; ENSG00000005513; ENSG00000125827; ENSG00000164050; ENSG00000096696; ENSG00000064393; ENSG00000097033; ENSG00000166949; ENSG00000184254; ENSG00000060237; ENSG00000140479; ENSG00000057294; ENSG00000144909; ENSG00000170027	3455	3449
0.00150816620393	0.0125680516994	GO:0005912	c	3	adherens junction	1824; 1832; 3801; 5318; 7414; 7532; 9564; 23022	ENSG00000050820; ENSG00000096696; ENSG00000134755; ENSG00000129116; ENSG00000140859; ENSG00000057294; ENSG00000035403; ENSG00000170027	470	470
0.00169386349924	0.031752478679	GO:0035637	b	3	multicellular organismal signaling	476; 481; 1824; 1832; 5318	ENSG00000057294; ENSG00000096696; ENSG00000134755; ENSG00000143153; ENSG00000163399	185	185
0.00180076008574	0.031752478679	GO:0006793	b	3	phosphorus metabolic process	111; 476; 481; 641; 131870; 2549; 2766; 4088; 5291; 6196; 9829; 7148; 7532; 10267; 80895; 146433; 51100; 51339; 51776; 54704; 54843; 57552; 28996; 30844; 64400; 65125	ENSG00000132323; ENSG00000132329; ENSG00000173175; ENSG00000165617; ENSG00000137501; ENSG00000051382; ENSG00000166971; ENSG00000144959; ENSG00000071242; ENSG00000163399; ENSG00000060237; ENSG00000143153; ENSG00000116675; ENSG00000157368; ENSG00000168477; ENSG00000137198; ENSG00000197299; ENSG00000091436; ENSG00000103966; ENSG00000109458; ENSG00000198585; ENSG00000064393; ENSG00000097033; ENSG00000164951; ENSG00000166949; ENSG00000170027	3174	3162
