p-value	q-value	term_goid	term_category	term_level	term_name	members_input_overlap	members_input_overlap_geneids	size	effective_size
1.180719045e-07	1.7710785675e-05	GO:0009266	b	3	response to temperature stimulus	1026; 1153; 2288; 3304; 3310; 3337; 8531; 9021	ENSG00000099622; ENSG00000004478; ENSG00000060138; ENSG00000184557; ENSG00000132002; ENSG00000204388; ENSG00000124762; ENSG00000173110	222	222
2.01482440572e-07	2.7804576799e-05	GO:0034341	b	5	response to interferon-gamma	6556; 3107; 3119; 3123; 3127; 9021; 10581	ENSG00000018280; ENSG00000198502; ENSG00000204525; ENSG00000184557; ENSG00000185201; ENSG00000179344; ENSG00000196126	160	159
7.46776332081e-07	3.43517112757e-05	GO:0042611	c	4	MHC protein complex	3107; 3119; 3123; 3127	ENSG00000204525; ENSG00000196126; ENSG00000179344; ENSG00000198502	27	27
8.76835890577e-07	0.000140770975076	GO:0034097	b	4	response to cytokine	6556; 1440; 3107; 3119; 3123; 3304; 3566; 8531; 8809; 9021; 10581; 3127	ENSG00000018280; ENSG00000198502; ENSG00000060138; ENSG00000204525; ENSG00000184557; ENSG00000185201; ENSG00000204388; ENSG00000115604; ENSG00000077238; ENSG00000179344; ENSG00000108342; ENSG00000196126	799	798
1.00668165042e-06	4.12739476671e-05	GO:0098553	c	3	lumenal side of endoplasmic reticulum membrane	3107; 3119; 3123; 3127	ENSG00000204525; ENSG00000196126; ENSG00000179344; ENSG00000198502	29	29
1.00668165042e-06	1.51002247563e-05	GO:0071556	c	5	integral component of lumenal side of endoplasmic reticulum membrane	3107; 3119; 3123; 3127	ENSG00000204525; ENSG00000196126; ENSG00000179344; ENSG00000198502	29	29
1.32841860434e-06	4.38378139433e-05	GO:0042605	m	3	peptide antigen binding	3107; 3119; 3123; 3127	ENSG00000204525; ENSG00000196126; ENSG00000179344; ENSG00000198502	31	31
1.4147836691e-06	0.000140770975076	GO:0019221	b	4	cytokine-mediated signaling pathway	1440; 3107; 3119; 3123; 3304; 3566; 8809; 9021; 10581; 3127	ENSG00000198502; ENSG00000204388; ENSG00000204525; ENSG00000184557; ENSG00000185201; ENSG00000077238; ENSG00000115604; ENSG00000179344; ENSG00000108342; ENSG00000196126	546	545
1.5640515484e-06	0.00010791955684	GO:0071345	b	5	cellular response to cytokine stimulus	1440; 3107; 3119; 3123; 3127; 3304; 3566; 8531; 8809; 9021; 10581	ENSG00000198502; ENSG00000060138; ENSG00000204525; ENSG00000184557; ENSG00000185201; ENSG00000204388; ENSG00000115604; ENSG00000077238; ENSG00000179344; ENSG00000108342; ENSG00000196126	692	691
3.04974864632e-06	0.000117938788558	GO:0060333	b	5	interferon-gamma-mediated signaling pathway	3107; 3119; 3123; 3127; 9021	ENSG00000204525; ENSG00000196126; ENSG00000184557; ENSG00000179344; ENSG00000198502	85	85
3.41851561038e-06	0.000117938788558	GO:0042088	b	5	T-helper 1 type immune response	6556; 3123; 3566; 8809	ENSG00000018280; ENSG00000196126; ENSG00000115604; ENSG00000077238	39	39
4.06669212964e-06	0.000305001909723	GO:0009408	b	3	response to heat	1026; 2288; 3304; 3310; 3337; 9021	ENSG00000004478; ENSG00000184557; ENSG00000132002; ENSG00000204388; ENSG00000124762; ENSG00000173110	160	160
4.27226820028e-06	7.04924253047e-05	GO:0031072	m	3	heat shock protein binding	2288; 2289; 3304; 3310; 3337	ENSG00000173110; ENSG00000096060; ENSG00000204388; ENSG00000132002; ENSG00000004478	91	91
6.16749204192e-06	0.000409110305447	GO:0006986	b	4	response to unfolded protein	871; 1663; 3304; 3310; 3315; 3337	ENSG00000149257; ENSG00000013573; ENSG00000132002; ENSG00000204388; ENSG00000106211; ENSG00000173110	173	172
8.26163998806e-06	0.000319729126799	GO:0048002	b	3	antigen processing and presentation of peptide antigen	6556; 3107; 3119; 3123; 3127; 64167	ENSG00000018280; ENSG00000198502; ENSG00000204525; ENSG00000179344; ENSG00000196126; ENSG00000164308	181	181
8.52611004796e-06	0.000319729126799	GO:0035966	b	3	response to topologically incorrect protein	871; 1663; 3304; 3310; 3315; 3337	ENSG00000149257; ENSG00000013573; ENSG00000132002; ENSG00000204388; ENSG00000106211; ENSG00000173110	183	182
9.45913029682e-06	0.000470591732267	GO:0034605	b	4	cellular response to heat	1026; 2288; 3304; 3310; 3337	ENSG00000124762; ENSG00000204388; ENSG00000173110; ENSG00000132002; ENSG00000004478	107	107
9.7152995324e-06	7.2864746493e-05	GO:0042613	c	5	MHC class II protein complex	3119; 3123; 3127	ENSG00000196126; ENSG00000179344; ENSG00000198502	16	16
1.47652087953e-05	0.000339599802293	GO:0012507	c	4	ER to Golgi transport vesicle membrane	3107; 3119; 3123; 3127	ENSG00000204525; ENSG00000196126; ENSG00000179344; ENSG00000198502	56	56
