p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
1.37530925273e-10	1.48628677664e-08	Attenuation phase	Reactome	R-HSA-3371568	ENSG00000149257; ENSG00000004478; ENSG00000132002; ENSG00000204388; ENSG00000106211; ENSG00000173110	3315; 3310; 871; 3304; 2288; 3337	29	29
2.12326682377e-10	1.48628677664e-08	HSF1 activation	Reactome	R-HSA-3371511	ENSG00000149257; ENSG00000004478; ENSG00000132002; ENSG00000204388; ENSG00000106211; ENSG00000173110	2288; 3315; 3310; 871; 3304; 3337	31	31
5.40460585743e-10	2.31861471136e-08	Cellular response to heat stress	Wikipathways	WP3395	ENSG00000106211; ENSG00000149257; ENSG00000173110; ENSG00000132002; ENSG00000004478	2288; 871; 3337; 3310; 3315	16	16
6.62461346103e-10	2.31861471136e-08	HSF1-dependent transactivation	Reactome	R-HSA-3371571	ENSG00000149257; ENSG00000004478; ENSG00000132002; ENSG00000204388; ENSG00000106211; ENSG00000173110	3315; 3310; 871; 3304; 2288; 3337	37	37
2.78000166236e-09	7.7840046546e-08	Epstein-Barr virus infection - Homo sapiens (human)	KEGG	path:hsa05169	ENSG00000198502; ENSG00000204525; ENSG00000168255; ENSG00000204388; ENSG00000124762; ENSG00000106211; ENSG00000179344; ENSG00000196126; ENSG00000173110	1026; 3107; 3119; 3123; 3127; 3304; 3310; 3315; 548644	204	200
4.51542775157e-08	1.0535998087e-06	Antigen processing and presentation - Homo sapiens (human)	KEGG	path:hsa04612	ENSG00000198502; ENSG00000204525; ENSG00000204388; ENSG00000179344; ENSG00000196126; ENSG00000173110	3107; 3119; 3123; 3127; 3304; 3310	77	73
8.47249451927e-08	1.69449890385e-06	Regulation of HSF1-mediated heat shock response	Reactome	R-HSA-3371453	ENSG00000149257; ENSG00000004478; ENSG00000132002; ENSG00000204388; ENSG00000106211; ENSG00000173110	2288; 3315; 3310; 871; 3337; 3304	81	81
2.99640061326e-07	5.24370107321e-06	Cellular response to heat stress	Reactome	R-HSA-3371556	ENSG00000149257; ENSG00000004478; ENSG00000132002; ENSG00000204388; ENSG00000106211; ENSG00000173110	871; 3310; 2288; 3315; 3304; 3337	100	100
4.45689474155e-07	6.93294737575e-06	Influenza A - Homo sapiens (human)	KEGG	path:hsa05164	ENSG00000198502; ENSG00000184557; ENSG00000132002; ENSG00000204388; ENSG00000179344; ENSG00000196126; ENSG00000173110	3119; 3123; 3127; 3304; 3310; 3337; 9021	175	175
9.26625862091e-07	1.29727620693e-05	Inflammatory bowel disease (IBD) - Homo sapiens (human)	KEGG	path:hsa05321	ENSG00000115604; ENSG00000077238; ENSG00000196126; ENSG00000179344; ENSG00000198502	3119; 3123; 3127; 8809; 3566	65	65
3.16039215803e-06	4.02231729204e-05	Allograft rejection - Homo sapiens (human)	KEGG	path:hsa05330	ENSG00000204525; ENSG00000196126; ENSG00000179344; ENSG00000198502	3119; 3107; 3123; 3127	38	37
4.34728451795e-06	5.07183193761e-05	Graft-versus-host disease - Homo sapiens (human)	KEGG	path:hsa05332	ENSG00000204525; ENSG00000196126; ENSG00000179344; ENSG00000198502	3107; 3119; 3123; 3127	41	40
5.83563655425e-06	6.28453167381e-05	Type I diabetes mellitus - Homo sapiens (human)	KEGG	path:hsa04940	ENSG00000204525; ENSG00000196126; ENSG00000179344; ENSG00000198502	3107; 3119; 3123; 3127	43	43
6.44484094804e-06	6.44484094804e-05	Hematopoietic cell lineage - Homo sapiens (human)	KEGG	path:hsa04640	ENSG00000108342; ENSG00000077238; ENSG00000196126; ENSG00000179344; ENSG00000198502	3119; 3123; 3127; 1440; 3566	97	96
1.25754226609e-05	0.000117370611502	Autoimmune thyroid disease - Homo sapiens (human)	KEGG	path:hsa05320	ENSG00000204525; ENSG00000196126; ENSG00000179344; ENSG00000198502	3107; 3119; 3123; 3127	53	52
