p-value	q-value	term_goid	term_category	term_level	term_name	members_input_overlap	members_input_overlap_geneids	size	effective_size
1.84507938507e-05	0.00787848897425	GO:0001578	b	5	microtubule bundle formation	6674; 339829; 51364; 89765; 79864; 221421; 93233; 136332	ENSG00000172426; ENSG00000004838; ENSG00000145075; ENSG00000109944; ENSG00000105479; ENSG00000155530; ENSG00000160188; ENSG00000104450	69	69
3.15707434123e-05	0.00211523980862	GO:0044449	c	2	contractile fiber part	493; 667; 2274; 2280; 3856; 4629; 6261; 7139; 171024; 57159; 23345; 56704; 255743	ENSG00000115641; ENSG00000168743; ENSG00000196218; ENSG00000104369; ENSG00000131018; ENSG00000058668; ENSG00000172403; ENSG00000088832; ENSG00000133392; ENSG00000138100; ENSG00000151914; ENSG00000170421; ENSG00000118194	200	200
6.98494147511e-05	0.00502915786208	GO:0043292	c	4	contractile fiber	493; 667; 2274; 2280; 3856; 4629; 6261; 7139; 171024; 57159; 23345; 56704; 255743	ENSG00000115641; ENSG00000168743; ENSG00000196218; ENSG00000104369; ENSG00000131018; ENSG00000058668; ENSG00000172403; ENSG00000088832; ENSG00000133392; ENSG00000138100; ENSG00000151914; ENSG00000170421; ENSG00000118194	217	216
0.000219354922727	0.0598545682977	GO:0044782	b	4	cilium organization	6674; 339829; 51364; 89765; 79864; 79989; 57465; 221421; 93233; 257177; 136332	ENSG00000172426; ENSG00000105948; ENSG00000004838; ENSG00000145075; ENSG00000109944; ENSG00000105479; ENSG00000188931; ENSG00000155530; ENSG00000162065; ENSG00000160188; ENSG00000104450	181	180
0.00022209487309	0.0598545682977	GO:0030031	b	4	cell projection assembly	688; 5337; 5588; 5912; 6674; 339829; 51364; 89765; 79864; 51735; 57465; 221421; 54874; 57698; 93233; 136332	ENSG00000172426; ENSG00000065675; ENSG00000187164; ENSG00000158987; ENSG00000004838; ENSG00000102554; ENSG00000145075; ENSG00000109944; ENSG00000075651; ENSG00000155530; ENSG00000137942; ENSG00000105479; ENSG00000181467; ENSG00000162065; ENSG00000160188; ENSG00000104450	345	344
0.000253121108301	0.01360969893	GO:0030017	c	3	sarcomere	493; 667; 2274; 2280; 3856; 6261; 7139; 171024; 57159; 23345; 56704	ENSG00000115641; ENSG00000196218; ENSG00000104369; ENSG00000131018; ENSG00000058668; ENSG00000172403; ENSG00000088832; ENSG00000138100; ENSG00000151914; ENSG00000170421; ENSG00000118194	183	183
0.000274943412727	0.01360969893	GO:0031674	c	3	I band	493; 667; 2274; 2280; 3856; 6261; 171024; 57159; 56704	ENSG00000115641; ENSG00000196218; ENSG00000104369; ENSG00000058668; ENSG00000172403; ENSG00000088832; ENSG00000138100; ENSG00000151914; ENSG00000170421	127	127
0.000457085491934	0.128033250986	GO:0097435	b	3	supramolecular fiber organization	948; 1289; 1290; 1729; 2280; 3856; 4088; 4629; 4653; 5318; 5588; 6423; 7139; 7481; 10788; 11346; 57159; 152206; 57698; 27086	ENSG00000065675; ENSG00000085741; ENSG00000034971; ENSG00000171992; ENSG00000145423; ENSG00000131504; ENSG00000138100; ENSG00000166949; ENSG00000114861; ENSG00000088832; ENSG00000204262; ENSG00000244607; ENSG00000187164; ENSG00000133392; ENSG00000145703; ENSG00000057294; ENSG00000130635; ENSG00000135218; ENSG00000170421; ENSG00000118194	521	519
0.00056686899637	0.0187066768802	GO:0030018	c	3	Z disc	493; 667; 2274; 2280; 3856; 171024; 57159; 56704	ENSG00000115641; ENSG00000104369; ENSG00000058668; ENSG00000172403; ENSG00000088832; ENSG00000138100; ENSG00000151914; ENSG00000170421	112	112
0.000611499930648	0.126815886074	GO:0030033	b	5	microvillus assembly	688; 5337; 5912; 51735	ENSG00000102554; ENSG00000158987; ENSG00000075651; ENSG00000181467	24	24
0.000661773262584	0.0205149711401	GO:0030016	c	5	myofibril	493; 667; 2274; 2280; 3856; 6261; 7139; 171024; 23345; 57159; 56704	ENSG00000115641; ENSG00000196218; ENSG00000104369; ENSG00000131018; ENSG00000058668; ENSG00000172403; ENSG00000088832; ENSG00000138100; ENSG00000151914; ENSG00000170421; ENSG00000118194	206	205
0.000816928335867	0.0294094200912	GO:0005588	c	4	collagen type V trimer	1289; 1290	ENSG00000130635; ENSG00000204262	3	3
0.000834092840299	0.128033250986	GO:0048869	b	3	cellular developmental process	688; 948; 973; 1021; 1289; 1290; 1382; 1594; 1690; 1729; 1842; 2274; 2305; 2778; 3856; 4023; 4058; 4088; 4216; 4291; 4311; 4610; 4629; 4653; 5090; 5153; 5305; 5318; 5493; 5588; 5754; 5912; 5936; 6261; 6382; 6423; 6692; 7026; 55815; 7481; 55908; 8363; 8643; 8817; 9317; 9319; 9718; 10076; 10658; 10795; 11178; 51676; 7444; 4807; 79816; 79840; 79989; 57159; 81629; 89765; 57465; 50511; 51735; 8711; 55686; 283375; 23240; 23345; 23705; 56978; 57111; 57698; 57699; 57828; 26037; 255743; 26580; 27086; 27231; 81029; 10090; 81559; 30819; 64283; 136332; 163183	ENSG00000121210; ENSG00000131504; ENSG00000117425; ENSG00000105369; ENSG00000116990; ENSG00000162065; ENSG00000187736; ENSG00000178053; ENSG00000185551; ENSG00000102904; ENSG00000173933; ENSG00000196549; ENSG00000062524; ENSG00000111186; ENSG00000181392; ENSG00000085511; ENSG00000145423; ENSG00000028116; ENSG00000156427; ENSG00000057294; ENSG00000187164; ENSG00000165983; ENSG00000090612; ENSG00000170421; ENSG00000123360; ENSG00000071539; ENSG00000112655; ENSG00000130635; ENSG00000085741; ENSG00000077009; ENSG00000150867; ENSG00000171786; ENSG00000118898; ENSG00000100473; ENSG00000106823; ENSG00000168743; ENSG00000175445; ENSG00000132698; ENSG00000111962; ENSG00000135218; ENSG00000102554; ENSG00000138100; ENSG00000139540; ENSG00000087460; ENSG00000118242; ENSG00000196218; ENSG00000131018; ENSG00000152784; ENSG00000111012; ENSG00000174292; ENSG00000166145; ENSG00000154370; ENSG00000034971; ENSG00000168000; ENSG00000143320; ENSG00000124772; ENSG00000166949; ENSG00000115641; ENSG00000065675; ENSG00000214944; ENSG00000130173; ENSG00000167081; ENSG00000060656; ENSG00000149187; ENSG00000105948; ENSG00000100628; ENSG00000197555; ENSG00000204262; ENSG00000133392; ENSG00000197238; ENSG00000162526; ENSG00000182985; ENSG00000158987; ENSG00000099338; ENSG00000061337; ENSG00000114861; ENSG00000111206; ENSG00000104953; ENSG00000139351; ENSG00000115884; ENSG00000160188; ENSG00000105810; ENSG00000120049; ENSG00000155530; ENSG00000145194; ENSG00000181467	3779	3770
0.00122244796122	0.157146645476	GO:0003007	b	4	heart morphogenesis	1289; 2274; 2280; 4088; 5318; 5950; 6261; 6423; 7139; 7481; 339829	ENSG00000115641; ENSG00000196218; ENSG00000145423; ENSG00000145075; ENSG00000088832; ENSG00000085741; ENSG00000057294; ENSG00000130635; ENSG00000138207; ENSG00000166949; ENSG00000118194	221	221
0.00128670677384	0.126815886074	GO:0032233	b	5	positive regulation of actin filament bundle assembly	4088; 4653; 5588; 7481; 11346	ENSG00000065675; ENSG00000085741; ENSG00000034971; ENSG00000166949; ENSG00000171992	49	49
0.00139136562641	0.126815886074	GO:0060271	b	5	cilium assembly	6674; 339829; 51364; 89765; 79864; 57465; 221421; 93233; 136332	ENSG00000172426; ENSG00000004838; ENSG00000145075; ENSG00000109944; ENSG00000105479; ENSG00000155530; ENSG00000162065; ENSG00000160188; ENSG00000104450	160	159
0.00144455440504	0.157146645476	GO:0060347	b	4	heart trabecula formation	2274; 2280; 5950	ENSG00000115641; ENSG00000088832; ENSG00000138207	14	14
0.00148496353717	0.126815886074	GO:0010811	b	5	positive regulation of cell-substrate adhesion	948; 1021; 1842; 4088; 4653; 255743; 59339	ENSG00000034971; ENSG00000169499; ENSG00000106823; ENSG00000168743; ENSG00000105810; ENSG00000135218; ENSG00000166949	101	101
0.001615892405	0.0240382045513	GO:0014802	c	5	terminal cisterna	2280; 6261	ENSG00000088832; ENSG00000196218	4	4
0.0017584884852	0.179951988319	GO:0003206	b	3	cardiac chamber morphogenesis	2274; 2280; 5318; 5950; 6423; 7139; 7481	ENSG00000115641; ENSG00000085741; ENSG00000145423; ENSG00000088832; ENSG00000057294; ENSG00000138207; ENSG00000118194	104	104
0.00178349945425	0.157146645476	GO:0030154	b	4	cell differentiation	688; 948; 973; 1021; 1289; 1290; 1382; 1594; 1842; 51676; 2274; 2778; 3856; 4023; 4058; 4088; 4216; 4291; 4610; 4629; 4653; 5090; 5153; 5305; 5318; 5493; 5588; 5754; 5912; 5936; 6261; 6382; 6423; 6692; 7026; 55815; 7481; 55908; 8363; 8643; 8711; 8817; 9317; 9319; 9718; 10076; 10090; 10658; 10795; 11178; 26580; 4807; 79816; 89765; 79840; 79989; 57159; 51735; 81629; 57465; 50511; 283375; 55686; 23240; 23345; 23705; 56978; 57111; 57698; 57699; 57828; 26037; 255743; 27086; 27231; 81029; 81559; 30819; 64283; 136332; 163183	ENSG00000115641; ENSG00000065675; ENSG00000168000; ENSG00000214944; ENSG00000121210; ENSG00000173933; ENSG00000102554; ENSG00000117425; ENSG00000060656; ENSG00000071539; ENSG00000165983; ENSG00000185551; ENSG00000149187; ENSG00000102904; ENSG00000105369; ENSG00000167081; ENSG00000116990; ENSG00000087460; ENSG00000162065; ENSG00000170421; ENSG00000123360; ENSG00000118242; ENSG00000196218; ENSG00000187736; ENSG00000100628; ENSG00000131018; ENSG00000105810; ENSG00000090612; ENSG00000178053; ENSG00000112655; ENSG00000111012; ENSG00000138100; ENSG00000204262; ENSG00000171786; ENSG00000133392; ENSG00000197238; ENSG00000130173; ENSG00000130635; ENSG00000062524; ENSG00000162526; ENSG00000174292; ENSG00000085741; ENSG00000077009; ENSG00000158987; ENSG00000111186; ENSG00000150867; ENSG00000181467; ENSG00000145194; ENSG00000154370; ENSG00000181392; ENSG00000099338; ENSG00000105948; ENSG00000139540; ENSG00000061337; ENSG00000118898; ENSG00000187164; ENSG00000166145; ENSG00000104953; ENSG00000160188; ENSG00000085511; ENSG00000139351; ENSG00000120049; ENSG00000168743; ENSG00000132698; ENSG00000034971; ENSG00000115884; ENSG00000106823; ENSG00000145423; ENSG00000175445; ENSG00000152784; ENSG00000156427; ENSG00000143320; ENSG00000197555; ENSG00000155530; ENSG00000114861; ENSG00000057294; ENSG00000111962; ENSG00000182985; ENSG00000135218; ENSG00000166949; ENSG00000124772	3603	3594
0.00178359543526	0.126932541809	GO:0060026	b	5	convergent extension	5754; 6423; 7481	ENSG00000112655; ENSG00000085741; ENSG00000145423	15	15
0.00186426613926	0.157146645476	GO:0032528	b	4	microvillus organization	688; 5337; 5912; 51735	ENSG00000102554; ENSG00000158987; ENSG00000075651; ENSG00000181467	32	32
0.00204086552566	0.157146645476	GO:0007010	b	4	cytoskeleton organization	667; 1729; 3856; 3875; 4088; 4629; 4653; 5318; 5588; 5754; 6674; 7139; 7481; 10788; 11346; 339829; 51364; 79658; 89765; 79864; 375449; 57159; 221421; 152206; 23345; 57698; 26037; 27086; 93233; 136332; 163183	ENSG00000172426; ENSG00000065675; ENSG00000131504; ENSG00000109944; ENSG00000138100; ENSG00000071205; ENSG00000131018; ENSG00000111057; ENSG00000170421; ENSG00000069020; ENSG00000112655; ENSG00000187164; ENSG00000133392; ENSG00000104450; ENSG00000085741; ENSG00000181392; ENSG00000105479; ENSG00000145703; ENSG00000114861; ENSG00000151914; ENSG00000244607; ENSG00000034971; ENSG00000171992; ENSG00000145075; ENSG00000004838; ENSG00000160188; ENSG00000197555; ENSG00000155530; ENSG00000057294; ENSG00000166949; ENSG00000118194	1078	1075
0.00261059062532	0.0240382045513	GO:0099086	c	5	synaptonemal structure	4439; 5888; 56158; 50511	ENSG00000139351; ENSG00000204410; ENSG00000150783; ENSG00000051180	35	35
0.00266358294097	0.149160644694	GO:0046923	m	5	ER retention sequence binding	11015; 30819	ENSG00000100196; ENSG00000120049	5	5
0.00284584494697	0.202188389012	GO:0003205	b	3	cardiac chamber development	2274; 2280; 5318; 5754; 5950; 6423; 7139; 7481	ENSG00000115641; ENSG00000085741; ENSG00000145423; ENSG00000088832; ENSG00000112655; ENSG00000057294; ENSG00000138207; ENSG00000118194	144	144
0.00308289779893	0.0763017205235	GO:0097228	c	3	sperm principal piece	493; 53340; 57828	ENSG00000099338; ENSG00000058668; ENSG00000064199	18	18
0.00310170381308	0.0240382045513	GO:0000794	c	5	condensed nuclear chromosome	4439; 5888; 56158; 144715; 89765; 50511	ENSG00000139351; ENSG00000204410; ENSG00000160188; ENSG00000051180; ENSG00000151164; ENSG00000150783	86	86
0.00377909196372	0.202188389012	GO:0061061	b	3	muscle structure development	688; 2274; 2280; 3856; 4088; 4629; 5318; 5936; 5950; 6261; 6382; 7026; 7139; 51676; 23345; 56704; 255743; 27086; 27231	ENSG00000115641; ENSG00000196218; ENSG00000100628; ENSG00000131018; ENSG00000115884; ENSG00000173933; ENSG00000102554; ENSG00000168743; ENSG00000185551; ENSG00000166949; ENSG00000088832; ENSG00000077009; ENSG00000133392; ENSG00000114861; ENSG00000057294; ENSG00000138207; ENSG00000170421; ENSG00000118194; ENSG00000104369	578	577
0.00380313629594	0.214317687283	GO:0031032	b	5	actomyosin structure organization	3856; 4088; 4629; 4653; 5588; 7481; 11346; 27086	ENSG00000065675; ENSG00000085741; ENSG00000034971; ENSG00000171992; ENSG00000166949; ENSG00000133392; ENSG00000114861; ENSG00000170421	151	151
0.0039515646061	0.202188389012	GO:1990000	b	3	amyloid fibril formation	948; 2280	ENSG00000088832; ENSG00000135218	6	6
0.0039515646061	0.299820940442	GO:0031013	m	4	troponin I binding	7139; 11123	ENSG00000117602; ENSG00000118194	6	6
0.0046709984888	0.186920988636	GO:0019840	m	3	isoprenoid binding	1382; 2342; 5950; 7026	ENSG00000257365; ENSG00000143320; ENSG00000138207; ENSG00000185551	41	41
0.00485509061392	0.186920988636	GO:0032403	m	3	protein complex binding	259; 311; 667; 783; 1289; 1690; 1842; 2280; 2778; 3856; 4088; 4629; 4642; 5174; 5318; 6423; 8787; 10516; 10788; 23345; 57698; 255743	ENSG00000122359; ENSG00000106927; ENSG00000187164; ENSG00000088832; ENSG00000151914; ENSG00000087460; ENSG00000170421; ENSG00000108370; ENSG00000131018; ENSG00000174827; ENSG00000140092; ENSG00000133392; ENSG00000130635; ENSG00000165995; ENSG00000145703; ENSG00000176658; ENSG00000100473; ENSG00000145423; ENSG00000106823; ENSG00000168743; ENSG00000057294; ENSG00000166949	724	723
