p-value	q-value	term_goid	term_category	term_level	term_name	members_input_overlap	members_input_overlap_geneids	size	effective_size
1.82603198509e-06	0.00019721145439	GO:0007586	b	3	digestion	1208; 5319; 5406; 5644; 10136; 440387	ENSG00000168928; ENSG00000137392; ENSG00000175535; ENSG00000170890; ENSG00000142789; ENSG00000204983	166	163
2.8052843237e-05	0.00353465824786	GO:0044241	b	4	lipid digestion	1208; 5319; 5406	ENSG00000137392; ENSG00000175535; ENSG00000170890	26	26
0.00024555187799	0.00638434882773	GO:0005615	c	2	extracellular space	1670; 3848; 3849; 4878; 5319; 5407; 5644; 10136; 117159; 440387; 23436	ENSG00000164816; ENSG00000167768; ENSG00000168928; ENSG00000175206; ENSG00000187021; ENSG00000219073; ENSG00000172867; ENSG00000161634; ENSG00000170890; ENSG00000142789; ENSG00000204983	1416	1406
0.000278191427455	0.0184803743588	GO:0032352	b	5	positive regulation of hormone metabolic process	1586; 7849	ENSG00000125618; ENSG00000148795	11	11
0.000278191427455	0.0025037228471	GO:0042612	c	5	MHC class I protein complex	3135; 3136	ENSG00000206341; ENSG00000204632	11	11
0.000458275442518	0.00733240708029	GO:0016775	m	4	phosphotransferase activity, nitrogenous group as acceptor	1158; 4831	ENSG00000104879; ENSG00000243678	14	14
0.000528010695966	0.0184803743588	GO:0071371	b	5	cellular response to gonadotropin stimulus	1586; 7849	ENSG00000125618; ENSG00000148795	15	15
0.000948526622817	0.00948526622817	GO:0004806	m	5	triglyceride lipase activity	5406; 5407	ENSG00000175535; ENSG00000187021	20	20
0.00104684887901	0.0565298394665	GO:0009235	b	3	cobalamin metabolic process	5644; 440387	ENSG00000168928; ENSG00000204983	21	21
0.00107259029851	0.0250271069652	GO:0006767	b	5	water-soluble vitamin metabolic process	5644; 440387; 93100	ENSG00000168928; ENSG00000147813; ENSG00000204983	88	88
0.00121967041348	0.0630165696463	GO:0002474	b	4	antigen processing and presentation of peptide antigen via MHC class I	3135; 3136; 64167	ENSG00000206341; ENSG00000204632; ENSG00000164308	92	92
0.00162454703868	0.0584836933925	GO:0044281	b	3	small molecule metabolic process	1158; 1586; 4831; 4878; 5319; 5644; 10136; 115024; 51144; 440387; 23436; 93100	ENSG00000168928; ENSG00000243678; ENSG00000175206; ENSG00000219073; ENSG00000147813; ENSG00000149084; ENSG00000141698; ENSG00000148795; ENSG00000170890; ENSG00000142789; ENSG00000104879; ENSG00000204983	2049	2042
0.00173454819306	0.0630165696463	GO:0032350	b	4	regulation of hormone metabolic process	1586; 7849	ENSG00000125618; ENSG00000148795	27	27
0.00173454819306	0.0381600602473	GO:0042611	c	4	MHC protein complex	3135; 3136	ENSG00000206341; ENSG00000204632	27	27
0.00200052602052	0.0480126244924	GO:0098553	c	3	lumenal side of endoplasmic reticulum membrane	3135; 3136	ENSG00000206341; ENSG00000204632	29	29
0.00200052602052	0.0630165696463	GO:0034698	b	4	response to gonadotropin	1586; 7849	ENSG00000125618; ENSG00000148795	29	29
0.00200052602052	0.00900236709232	GO:0071556	c	5	integral component of lumenal side of endoplasmic reticulum membrane	3135; 3136	ENSG00000206341; ENSG00000204632	29	29
0.00228460123177	0.0982378529662	GO:0031640	b	2	killing of cells of other organism	1670; 117159	ENSG00000164816; ENSG00000161634	31	31
0.00228460123177	0.0616842332578	GO:0044364	b	3	disruption of cells of other organism	1670; 117159	ENSG00000164816; ENSG00000161634	31	31
0.00228460123177	0.0315743521532	GO:0042605	m	3	peptide antigen binding	3135; 3136	ENSG00000206341; ENSG00000204632	31	31
0.00254775367613	0.0154758288357	GO:0016298	m	4	lipase activity	5319; 5406; 5407	ENSG00000175535; ENSG00000170890; ENSG00000187021	119	119
0.00259418725962	0.0129709362981	GO:0004252	m	5	serine-type endopeptidase activity	5644; 23436; 10136; 440387	ENSG00000219073; ENSG00000142789; ENSG00000168928; ENSG00000204983	255	252
0.00327119648576	0.0743676510593	GO:0006766	b	4	vitamin metabolic process	5644; 440387; 93100	ENSG00000168928; ENSG00000147813; ENSG00000204983	130	130
0.00359862392647	0.0629759187132	GO:0050832	b	5	defense response to fungus	1670; 117159	ENSG00000164816; ENSG00000161634	39	39
0.00363756519949	0.0743676510593	GO:0016125	b	4	sterol metabolic process	1586; 23436; 10136	ENSG00000219073; ENSG00000142789; ENSG00000148795	135	135
0.0037365409603	0.0154758288357	GO:0008236	m	4	serine-type peptidase activity	5644; 23436; 10136; 440387	ENSG00000219073; ENSG00000142789; ENSG00000168928; ENSG00000204983	282	279
0.00386895720892	0.0154758288357	GO:0052689	m	4	carboxylic ester hydrolase activity	5319; 5406; 5407	ENSG00000175535; ENSG00000170890; ENSG00000187021	139	138
0.00388150424197	0.0315743521532	GO:0017171	m	3	serine hydrolase activity	5644; 10136; 440387; 23436	ENSG00000168928; ENSG00000142789; ENSG00000219073; ENSG00000204983	285	282
0.00413153616996	0.0743676510593	GO:0016042	b	4	lipid catabolic process	1208; 5319; 5406; 5407	ENSG00000137392; ENSG00000175535; ENSG00000170890; ENSG00000187021	287	287
0.0046680169395	0.015560056465	GO:0004175	m	5	endopeptidase activity	5644; 23436; 10136; 440387; 64167	ENSG00000219073; ENSG00000142789; ENSG00000168928; ENSG00000164308; ENSG00000204983	494	481
0.00526239202554	0.0315743521532	GO:0008233	m	3	peptidase activity	5644; 10136; 117159; 440387; 23436; 64167	ENSG00000161634; ENSG00000168928; ENSG00000219073; ENSG00000142789; ENSG00000164308; ENSG00000204983	723	709
0.00544566078645	0.0653479294374	GO:0030658	c	3	transport vesicle membrane	3135; 3136; 9501	ENSG00000206341; ENSG00000204632; ENSG00000181031	156	156
0.00655787406296	0.0822111660843	GO:0009620	b	5	response to fungus	1670; 117159	ENSG00000164816; ENSG00000161634	53	53
0.00704667137866	0.0822111660843	GO:0019731	b	5	antibacterial humoral response	1670; 5319	ENSG00000164816; ENSG00000170890	56	55
0.0071294298193	0.109930857911	GO:0008217	b	3	regulation of blood pressure	4878; 7137; 64167	ENSG00000129991; ENSG00000164308; ENSG00000175206	172	172
0.00729709970565	0.0611495352373	GO:0012507	c	4	ER to Golgi transport vesicle membrane	3135; 3136	ENSG00000206341; ENSG00000204632	56	56
0.00763486975472	0.0229046092642	GO:0030133	c	5	transport vesicle	1670; 3135; 3136; 9501	ENSG00000206341; ENSG00000204632; ENSG00000164816; ENSG00000181031	342	342
0.00807227801379	0.120523033337	GO:0033013	b	4	tetrapyrrole metabolic process	5644; 440387	ENSG00000168928; ENSG00000204983	59	59
0.00819800280147	0.109930857911	GO:0048002	b	3	antigen processing and presentation of peptide antigen	3135; 3136; 64167	ENSG00000206341; ENSG00000204632; ENSG00000164308	181	181
0.00833857298691	0.0611495352373	GO:0030670	c	4	phagocytic vesicle membrane	3135; 3136	ENSG00000206341; ENSG00000204632	60	60
0.00860878809549	0.120523033337	GO:0019730	b	4	antimicrobial humoral response	1670; 5319	ENSG00000164816; ENSG00000170890	62	61
