p-value	q-value	term_goid	term_category	term_level	term_name	members_input_overlap	members_input_overlap_geneids	size	effective_size
3.47314609578e-14	2.36173934513e-12	GO:0006950	b	2	response to stress	6556; 406; 602; 604; 871; 1153; 1543; 1663; 2288; 2537; 2752; 3040; 3043; 3301; 3304; 3320; 3329; 3434; 4502; 5166; 5359; 5893; 6279; 6280; 6648; 6774; 8531; 9021; 9315; 9332; 9572; 9636; 10432; 10598; 10728; 10963; 10964; 28999; 80271; 29923; 50809; 51129; 22904; 5187; 25939; 3039; 26973; 91543; 6283	ENSG00000206172; ENSG00000188313; ENSG00000149257; ENSG00000004478; ENSG00000002016; ENSG00000135821; ENSG00000143546; ENSG00000135245; ENSG00000163884; ENSG00000112096; ENSG00000244734; ENSG00000126709; ENSG00000239306; ENSG00000134321; ENSG00000179094; ENSG00000060138; ENSG00000177575; ENSG00000069399; ENSG00000204388; ENSG00000137959; ENSG00000086544; ENSG00000140465; ENSG00000125148; ENSG00000144381; ENSG00000168610; ENSG00000185745; ENSG00000127483; ENSG00000133794; ENSG00000013573; ENSG00000086061; ENSG00000080824; ENSG00000168439; ENSG00000101347; ENSG00000188536; ENSG00000134986; ENSG00000004799; ENSG00000064932; ENSG00000126368; ENSG00000018280; ENSG00000099622; ENSG00000187608; ENSG00000184557; ENSG00000113916; ENSG00000110172; ENSG00000100591; ENSG00000110958; ENSG00000163220; ENSG00000163221; ENSG00000167772	3759	3733
1.64913182573e-12	5.60704820747e-11	GO:0042221	b	2	response to chemical	6556; 406; 687; 123; 871; 1440; 1543; 1663; 2288; 2357; 2537; 2752; 3040; 3043; 3301; 3304; 3320; 3329; 3434; 4489; 4499; 4501; 4502; 5166; 5359; 5893; 6279; 6280; 6648; 6774; 7514; 7850; 8531; 9021; 9315; 9572; 9636; 10135; 10432; 10728; 28999; 7079; 50809; 22904; 5187; 25939; 3039; 91543; 6283	ENSG00000206172; ENSG00000188313; ENSG00000149257; ENSG00000004478; ENSG00000082898; ENSG00000004799; ENSG00000135821; ENSG00000143546; ENSG00000163884; ENSG00000171051; ENSG00000112096; ENSG00000187193; ENSG00000244734; ENSG00000126709; ENSG00000239306; ENSG00000134321; ENSG00000060138; ENSG00000125148; ENSG00000179094; ENSG00000204388; ENSG00000140465; ENSG00000188536; ENSG00000144381; ENSG00000168610; ENSG00000119138; ENSG00000185745; ENSG00000127483; ENSG00000133794; ENSG00000013573; ENSG00000086061; ENSG00000080824; ENSG00000205362; ENSG00000101347; ENSG00000147872; ENSG00000134986; ENSG00000205364; ENSG00000108342; ENSG00000115590; ENSG00000064932; ENSG00000126368; ENSG00000018280; ENSG00000157150; ENSG00000187608; ENSG00000184557; ENSG00000002016; ENSG00000105835; ENSG00000110958; ENSG00000163220; ENSG00000163221	4129	4113
4.47694022688e-11	1.01477311809e-09	GO:0009607	b	2	response to biotic stimulus	6556; 602; 1440; 1543; 3329; 3434; 5166; 5359; 6279; 6280; 6648; 9021; 9572; 9636; 10561; 10964; 80271; 29923; 7079; 22904; 25939; 91543; 6283	ENSG00000188313; ENSG00000004799; ENSG00000143546; ENSG00000069399; ENSG00000112096; ENSG00000134321; ENSG00000135245; ENSG00000137959; ENSG00000086544; ENSG00000140465; ENSG00000144381; ENSG00000185745; ENSG00000101347; ENSG00000108342; ENSG00000064932; ENSG00000126368; ENSG00000018280; ENSG00000157150; ENSG00000187608; ENSG00000184557; ENSG00000137965; ENSG00000163220; ENSG00000163221	984	974
1.11908148141e-10	1.63470005126e-08	GO:0010033	b	3	response to organic substance	6556; 406; 687; 123; 871; 1440; 1543; 1663; 2288; 2537; 2752; 3301; 3304; 3320; 3329; 3434; 4501; 4502; 5166; 5359; 6279; 6648; 6774; 7850; 8531; 9021; 9315; 9572; 9636; 10135; 10432; 10728; 28999; 7079; 22904; 5187; 25939; 91543	ENSG00000188313; ENSG00000149257; ENSG00000004478; ENSG00000004799; ENSG00000135821; ENSG00000143546; ENSG00000163884; ENSG00000112096; ENSG00000187193; ENSG00000126709; ENSG00000239306; ENSG00000134321; ENSG00000060138; ENSG00000179094; ENSG00000204388; ENSG00000140465; ENSG00000125148; ENSG00000144381; ENSG00000168610; ENSG00000119138; ENSG00000185745; ENSG00000133794; ENSG00000013573; ENSG00000086061; ENSG00000080824; ENSG00000101347; ENSG00000147872; ENSG00000134986; ENSG00000108342; ENSG00000115590; ENSG00000064932; ENSG00000126368; ENSG00000018280; ENSG00000157150; ENSG00000187608; ENSG00000184557; ENSG00000105835; ENSG00000110958	2850	2843
1.4509180216e-10	1.63470005126e-08	GO:0043207	b	3	response to external biotic stimulus	6556; 602; 1440; 1543; 3434; 5166; 5359; 6279; 6280; 6648; 9021; 9572; 9636; 10561; 10964; 80271; 29923; 7079; 22904; 25939; 91543; 6283	ENSG00000188313; ENSG00000004799; ENSG00000143546; ENSG00000135245; ENSG00000112096; ENSG00000134321; ENSG00000069399; ENSG00000137959; ENSG00000086544; ENSG00000140465; ENSG00000185745; ENSG00000101347; ENSG00000108342; ENSG00000064932; ENSG00000126368; ENSG00000018280; ENSG00000157150; ENSG00000187608; ENSG00000184557; ENSG00000137965; ENSG00000163220; ENSG00000163221	947	937
1.4509180216e-10	2.97701194216e-08	GO:0051707	b	4	response to other organism	6556; 602; 1440; 1543; 3434; 5166; 5359; 6279; 6280; 6283; 6648; 9021; 9572; 9636; 10561; 10964; 80271; 29923; 7079; 22904; 25939; 91543	ENSG00000188313; ENSG00000004799; ENSG00000143546; ENSG00000135245; ENSG00000112096; ENSG00000134321; ENSG00000069399; ENSG00000137959; ENSG00000086544; ENSG00000140465; ENSG00000185745; ENSG00000101347; ENSG00000108342; ENSG00000064932; ENSG00000126368; ENSG00000018280; ENSG00000157150; ENSG00000187608; ENSG00000184557; ENSG00000137965; ENSG00000163220; ENSG00000163221	947	937
1.82638769458e-10	2.97701194216e-08	GO:0080134	b	4	regulation of response to stress	406; 604; 2288; 3301; 3304; 3320; 3329; 3434; 5166; 5359; 5893; 6279; 6280; 6283; 6648; 8531; 9021; 9572; 10728; 80271; 29923; 22904; 5187; 25939; 26973; 91543	ENSG00000188313; ENSG00000004478; ENSG00000113916; ENSG00000143546; ENSG00000179094; ENSG00000112096; ENSG00000134321; ENSG00000060138; ENSG00000135245; ENSG00000204388; ENSG00000086544; ENSG00000144381; ENSG00000185745; ENSG00000133794; ENSG00000086061; ENSG00000080824; ENSG00000101347; ENSG00000004799; ENSG00000064932; ENSG00000126368; ENSG00000184557; ENSG00000002016; ENSG00000110172; ENSG00000110958; ENSG00000163220; ENSG00000163221	1359	1358
2.11383627318e-10	1.63470005126e-08	GO:0070887	b	3	cellular response to chemical stimulus	406; 687; 1440; 1543; 1663; 2288; 2537; 3301; 3304; 3434; 4489; 4499; 4501; 4502; 5166; 5893; 6279; 6280; 6648; 6774; 7850; 8531; 9021; 9315; 9572; 9636; 10135; 10432; 10728; 28999; 50809; 22904; 5187; 25939; 91543; 6283	ENSG00000004478; ENSG00000004799; ENSG00000143546; ENSG00000163884; ENSG00000112096; ENSG00000187193; ENSG00000126709; ENSG00000239306; ENSG00000134321; ENSG00000060138; ENSG00000179094; ENSG00000204388; ENSG00000140465; ENSG00000125148; ENSG00000168610; ENSG00000119138; ENSG00000185745; ENSG00000127483; ENSG00000133794; ENSG00000013573; ENSG00000086061; ENSG00000205362; ENSG00000101347; ENSG00000134986; ENSG00000205364; ENSG00000108342; ENSG00000115590; ENSG00000064932; ENSG00000126368; ENSG00000187608; ENSG00000184557; ENSG00000002016; ENSG00000105835; ENSG00000110958; ENSG00000163220; ENSG00000163221	2626	2619
5.54998756897e-09	3.21899279e-07	GO:0009266	b	3	response to temperature stimulus	1153; 2288; 3301; 3304; 3320; 3329; 6648; 8531; 9021; 10728; 26973	ENSG00000099622; ENSG00000004478; ENSG00000060138; ENSG00000184557; ENSG00000086061; ENSG00000080824; ENSG00000110172; ENSG00000204388; ENSG00000110958; ENSG00000144381; ENSG00000112096	222	222
2.00076714144e-08	9.28355953628e-07	GO:0006952	b	3	defense response	6556; 602; 604; 2537; 3304; 3329; 3434; 4502; 5166; 5359; 6279; 6280; 6774; 9021; 9332; 9572; 9636; 10964; 80271; 29923; 22904; 5187; 25939; 91543; 6283	ENSG00000188313; ENSG00000004799; ENSG00000177575; ENSG00000143546; ENSG00000069399; ENSG00000126709; ENSG00000134321; ENSG00000179094; ENSG00000204388; ENSG00000137959; ENSG00000086544; ENSG00000125148; ENSG00000144381; ENSG00000168610; ENSG00000185745; ENSG00000101347; ENSG00000135245; ENSG00000064932; ENSG00000126368; ENSG00000018280; ENSG00000187608; ENSG00000184557; ENSG00000113916; ENSG00000163220; ENSG00000163221	1591	1572
5.01369510886e-08	5.10407010428e-06	GO:0071310	b	4	cellular response to organic substance	406; 687; 1440; 1543; 1663; 2288; 2537; 3301; 3304; 3434; 4501; 4502; 5166; 6648; 6774; 7850; 8531; 9021; 9315; 9572; 9636; 10135; 10432; 10728; 28999; 22904; 5187; 25939; 91543	ENSG00000004478; ENSG00000004799; ENSG00000163884; ENSG00000112096; ENSG00000187193; ENSG00000126709; ENSG00000239306; ENSG00000134321; ENSG00000060138; ENSG00000179094; ENSG00000204388; ENSG00000140465; ENSG00000125148; ENSG00000168610; ENSG00000119138; ENSG00000185745; ENSG00000133794; ENSG00000013573; ENSG00000086061; ENSG00000101347; ENSG00000134986; ENSG00000108342; ENSG00000115590; ENSG00000064932; ENSG00000126368; ENSG00000187608; ENSG00000184557; ENSG00000105835; ENSG00000110958	2177	2171
5.95401620067e-08	1.45277995296e-05	GO:0031347	b	5	regulation of defense response	604; 3304; 3329; 3434; 5166; 5359; 6279; 6280; 6283; 9021; 9572; 80271; 29923; 22904; 5187; 25939; 91543	ENSG00000185745; ENSG00000126368; ENSG00000188313; ENSG00000163221; ENSG00000134321; ENSG00000184557; ENSG00000113916; ENSG00000135245; ENSG00000004799; ENSG00000086544; ENSG00000101347; ENSG00000143546; ENSG00000179094; ENSG00000144381; ENSG00000163220; ENSG00000204388; ENSG00000064932	769	768
6.26266270463e-08	5.10407010428e-06	GO:0042743	b	4	hydrogen peroxide metabolic process	1543; 3040; 3043; 6648; 6774; 3039	ENSG00000206172; ENSG00000244734; ENSG00000188536; ENSG00000140465; ENSG00000168610; ENSG00000112096	46	46
8.00680636594e-08	1.36115708221e-06	GO:0006457	b	2	protein folding	2288; 2289; 3301; 3304; 3320; 3329; 10693; 10728; 81562; 26973	ENSG00000132141; ENSG00000004478; ENSG00000114988; ENSG00000086061; ENSG00000080824; ENSG00000110172; ENSG00000204388; ENSG00000110958; ENSG00000144381; ENSG00000096060	227	225
9.28250149045e-08	4.91972578994e-06	GO:0031720	m	3	haptoglobin binding	3040; 3043; 3039	ENSG00000206172; ENSG00000244734; ENSG00000188536	3	3
1.03266226309e-07	6.73295795532e-06	GO:0034097	b	4	response to cytokine	6556; 1440; 2537; 3304; 3434; 4501; 4502; 5359; 6774; 7850; 8531; 9021; 9636; 7079; 22904; 25939; 91543	ENSG00000185745; ENSG00000018280; ENSG00000188313; ENSG00000126709; ENSG00000134321; ENSG00000187193; ENSG00000060138; ENSG00000187608; ENSG00000157150; ENSG00000184557; ENSG00000204388; ENSG00000101347; ENSG00000125148; ENSG00000108342; ENSG00000115590; ENSG00000168610; ENSG00000064932	799	798
1.32175829351e-07	6.7409672969e-06	GO:0050786	m	4	RAGE receptor binding	2357; 6279; 6280; 6283	ENSG00000163220; ENSG00000143546; ENSG00000163221; ENSG00000171051	11	11
1.4905554026e-07	8.09868435414e-06	GO:0033993	b	4	response to lipid	6556; 406; 687; 1440; 1543; 2288; 3301; 5166; 6279; 6648; 6774; 9021; 9572; 10432; 10728; 7079; 22904; 5187	ENSG00000126368; ENSG00000018280; ENSG00000086061; ENSG00000239306; ENSG00000004478; ENSG00000133794; ENSG00000184557; ENSG00000179094; ENSG00000004799; ENSG00000140465; ENSG00000143546; ENSG00000157150; ENSG00000110958; ENSG00000108342; ENSG00000168610; ENSG00000112096; ENSG00000064932; ENSG00000119138	921	921
1.9589419216e-07	5.19119609224e-06	GO:0031072	m	3	heat shock protein binding	406; 2288; 2289; 3301; 3304; 10963; 26973	ENSG00000133794; ENSG00000204388; ENSG00000004478; ENSG00000086061; ENSG00000110172; ENSG00000168439; ENSG00000096060	91	91
2.28114536907e-07	6.1590924965e-06	GO:0046914	m	5	transition metal ion binding	247; 1543; 1912; 2752; 3040; 3043; 4489; 4499; 4501; 4502; 6279; 6280; 6283; 6648; 9572; 79844; 51074; 23210; 25939; 3039; 26973; 5033	ENSG00000206172; ENSG00000122884; ENSG00000135821; ENSG00000143546; ENSG00000112096; ENSG00000187193; ENSG00000134686; ENSG00000188536; ENSG00000140465; ENSG00000070495; ENSG00000125148; ENSG00000149089; ENSG00000126368; ENSG00000244734; ENSG00000205362; ENSG00000101347; ENSG00000205364; ENSG00000179593; ENSG00000188818; ENSG00000110172; ENSG00000163220; ENSG00000163221	1422	1403
2.5900484471e-07	3.15985910546e-05	GO:0010043	b	5	response to zinc ion	4489; 4499; 4501; 4502; 6279; 6648	ENSG00000187193; ENSG00000205362; ENSG00000143546; ENSG00000125148; ENSG00000205364; ENSG00000112096	58	58
3.70068656916e-07	1.44326776197e-05	GO:0031838	c	3	haptoglobin-hemoglobin complex	3040; 3043; 3039	ENSG00000206172; ENSG00000244734; ENSG00000188536	4	4
3.74780506278e-07	6.62112227758e-06	GO:0051082	m	3	unfolded protein binding	871; 3301; 3304; 3320; 3329; 10693; 10728	ENSG00000132141; ENSG00000149257; ENSG00000086061; ENSG00000080824; ENSG00000204388; ENSG00000110958; ENSG00000144381	101	100
3.85058724876e-07	1.79327349014e-05	GO:0098542	b	4	defense response to other organism	6556; 602; 3434; 5166; 5359; 6279; 6280; 6283; 9636; 10964; 80271; 29923; 25939; 91543	ENSG00000185745; ENSG00000018280; ENSG00000188313; ENSG00000134321; ENSG00000187608; ENSG00000069399; ENSG00000004799; ENSG00000137959; ENSG00000086544; ENSG00000101347; ENSG00000143546; ENSG00000135245; ENSG00000163220; ENSG00000163221	592	583
4.38410008226e-07	3.56573473357e-05	GO:0009615	b	5	response to virus	602; 1543; 3434; 5166; 5359; 9636; 10561; 10964; 80271; 29923; 25939; 91543	ENSG00000185745; ENSG00000188313; ENSG00000134321; ENSG00000187608; ENSG00000101347; ENSG00000069399; ENSG00000004799; ENSG00000137959; ENSG00000086544; ENSG00000140465; ENSG00000135245; ENSG00000137965	421	418
