p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
2.99924459348e-08	3.29017131905e-05	Antigen processing and presentation - Homo sapiens (human)	KEGG	path:hsa04612	ENSG00000131467; ENSG00000170606; ENSG00000198502; ENSG00000096384; ENSG00000241106; ENSG00000080824; ENSG00000204525; ENSG00000223865; ENSG00000204388; ENSG00000206503; ENSG00000179344; ENSG00000204632; ENSG00000196126; ENSG00000231389	3105; 3107; 3112; 3113; 3119; 3123; 3135; 3127; 10197; 3304; 3308; 3115; 3320; 3326	77	73
2.11410582329e-07	0.000115958704408	HSF1 activation	Reactome	R-HSA-3371511	ENSG00000120694; ENSG00000149257; ENSG00000117748; ENSG00000004478; ENSG00000080824; ENSG00000204388; ENSG00000096384; ENSG00000110958; ENSG00000112110	2288; 6118; 3320; 871; 10728; 10808; 29074; 3326; 3304	31	31
4.38512290583e-07	0.000141275785956	Type I diabetes mellitus - Homo sapiens (human)	KEGG	path:hsa04940	ENSG00000198502; ENSG00000241106; ENSG00000204525; ENSG00000223865; ENSG00000206503; ENSG00000179344; ENSG00000144381; ENSG00000204632; ENSG00000196126; ENSG00000231389	3329; 3105; 3107; 3112; 3113; 3115; 3119; 3123; 3127; 3135	43	43
5.15135044506e-07	0.000141275785956	BMAL1:CLOCK,NPAS2 activates circadian gene expression	Reactome	R-HSA-1368108	ENSG00000126368; ENSG00000133794; ENSG00000179094; ENSG00000105835; ENSG00000134107; ENSG00000163884; ENSG00000105516	9572; 5187; 1628; 406; 28999; 10135; 8553	19	18
7.0783034697e-07	0.000155297978125	Allograft Rejection	Wikipathways	WP2328	ENSG00000198502; ENSG00000115523; ENSG00000241106; ENSG00000165806; ENSG00000244731; ENSG00000223865; ENSG00000204520; ENSG00000206503; ENSG00000179344; ENSG00000204632; ENSG00000231389; ENSG00000204525; ENSG00000196126	3107; 3113; 10578; 3135; 3119; 840; 3105; 3127; 100507436; 3115; 3112; 720; 3123	80	80
1.11114591188e-06	0.000203154510888	Allograft rejection - Homo sapiens (human)	KEGG	path:hsa05330	ENSG00000198502; ENSG00000241106; ENSG00000204525; ENSG00000223865; ENSG00000206503; ENSG00000179344; ENSG00000204632; ENSG00000196126; ENSG00000231389	3119; 3105; 3107; 3112; 3113; 3115; 3123; 3127; 3135	38	37
1.5732980974e-06	0.00024655828755	Attenuation phase	Reactome	R-HSA-3371568	ENSG00000120694; ENSG00000149257; ENSG00000110958; ENSG00000004478; ENSG00000080824; ENSG00000204388; ENSG00000096384; ENSG00000112110	3320; 871; 3304; 10808; 29074; 3326; 2288; 10728	29	29
2.25417619951e-06	0.000309103911358	Graft-versus-host disease - Homo sapiens (human)	KEGG	path:hsa05332	ENSG00000198502; ENSG00000241106; ENSG00000204525; ENSG00000223865; ENSG00000206503; ENSG00000179344; ENSG00000204632; ENSG00000196126; ENSG00000231389	3105; 3107; 3112; 3113; 3115; 3119; 3123; 3127; 3135	41	40
3.19234275186e-06	0.000350141121432	Herpes simplex infection - Homo sapiens (human)	KEGG	path:hsa05168	ENSG00000185745; ENSG00000049246; ENSG00000111331; ENSG00000198502; ENSG00000185507; ENSG00000133794; ENSG00000241106; ENSG00000231389; ENSG00000223865; ENSG00000179094; ENSG00000206503; ENSG00000085514; ENSG00000111335; ENSG00000179344; ENSG00000204632; ENSG00000127191; ENSG00000196126; ENSG00000089127; ENSG00000204525	7186; 3105; 3112; 3113; 3115; 3119; 3123; 3127; 3135; 5187; 3665; 8863; 3107; 29992; 4938; 4939; 4940; 3434; 406	185	185
3.35698845628e-06	0.000350141121432	Nuclear Receptors Meta-Pathway	Wikipathways	WP2882	ENSG00000004799; ENSG00000059804; ENSG00000134201; ENSG00000134202; ENSG00000134184; ENSG00000198431; ENSG00000140465; ENSG00000157184; ENSG00000096384; ENSG00000134107; ENSG00000168610; ENSG00000096060; ENSG00000077150; ENSG00000196502; ENSG00000080824; ENSG00000211445; ENSG00000143570; ENSG00000104635; ENSG00000099984; ENSG00000168765; ENSG00000063438; ENSG00000167772; ENSG00000213366; ENSG00000120675; ENSG00000110090; ENSG00000110958	6515; 3320; 3326; 1543; 1374; 1376; 2953; 10728; 27173; 2289; 8553; 6774; 2948; 7296; 51129; 2946; 6817; 2947; 2949; 2944; 57491; 5166; 23516; 2878; 4791; 29103	316	315
