p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
8.29672889977e-09	8.52074058006e-06	Myometrial Relaxation and Contraction Pathways	Wikipathways	WP289	ENSG00000065675; ENSG00000198121; ENSG00000171132; ENSG00000241258; ENSG00000114450; ENSG00000132329; ENSG00000078369; ENSG00000173175; ENSG00000101405; ENSG00000130176; ENSG00000027075; ENSG00000172380; ENSG00000115457; ENSG00000175793; ENSG00000159251; ENSG00000122786; ENSG00000150995; ENSG00000152661; ENSG00000058404; ENSG00000067606; ENSG00000156052	5590; 5583; 5581; 5588; 816; 2776; 111; 10267; 70; 1902; 2810; 5020; 1264; 2697; 55970; 59345; 3485; 3708; 2782; 27297; 800	155	155
5.43874558919e-08	2.79279586005e-05	Extracellular matrix organization	Reactome	R-HSA-1474244	ENSG00000162512; ENSG00000079385; ENSG00000163710; ENSG00000005884; ENSG00000136943; ENSG00000213949; ENSG00000197614; ENSG00000113140; ENSG00000119681; ENSG00000049323; ENSG00000090530; ENSG00000039068; ENSG00000111799; ENSG00000162733; ENSG00000144810; ENSG00000115414; ENSG00000166086; ENSG00000138131; ENSG00000204580; ENSG00000082781; ENSG00000166147; ENSG00000196878; ENSG00000115884; ENSG00000077943; ENSG00000077942; ENSG00000132470; ENSG00000081052; ENSG00000011465	8516; 780; 2192; 6382; 1286; 6678; 84171; 55214; 3672; 3914; 3691; 1295; 4921; 9672; 1634; 3693; 83700; 1515; 3675; 2200; 634; 999; 4052; 8076; 26577; 2335; 4053; 1303	295	289
1.64405205318e-07	5.62813819539e-05	Developmental Biology	Reactome	R-HSA-1266738	ENSG00000065675; ENSG00000052344; ENSG00000160145; ENSG00000186111; ENSG00000112378; ENSG00000125266; ENSG00000213949; ENSG00000076864; ENSG00000186832; ENSG00000170421; ENSG00000099204; ENSG00000058404; ENSG00000121552; ENSG00000101335; ENSG00000111057; ENSG00000173898; ENSG00000136848; ENSG00000145555; ENSG00000010810; ENSG00000170017; ENSG00000077522; ENSG00000186081; ENSG00000184363; ENSG00000065320; ENSG00000133392; ENSG00000115414; ENSG00000096696; ENSG00000092421; ENSG00000156299; ENSG00000141026; ENSG00000171346; ENSG00000118257; ENSG00000171345; ENSG00000105357; ENSG00000205420; ENSG00000170558; ENSG00000165995; ENSG00000186847; ENSG00000139318; ENSG00000142627; ENSG00000169398; ENSG00000182175; ENSG00000184349; ENSG00000081277; ENSG00000187764; ENSG00000174136; ENSG00000135480; ENSG00000081052; ENSG00000140479	1286; 1475; 1848; 1000; 3672; 3855; 816; 23396; 5046; 4629; 3856; 2534; 1969; 3880; 5652; 3983; 3868; 88; 3861; 79784; 3875; 1948; 8997; 3852; 10398; 56963; 783; 10507; 285704; 5747; 8828; 4651; 7074; 9423; 3866; 64065; 57556; 1832; 2335; 55090; 6712; 11187; 5588; 1946; 3853; 5317; 214; 153090; 5909	748	739
2.4182921427e-07	6.20896507638e-05	Primary Focal Segmental Glomerulosclerosis FSGS	Wikipathways	WP2572	ENSG00000128567; ENSG00000169398; ENSG00000005884; ENSG00000117595; ENSG00000138193; ENSG00000170421; ENSG00000132470; ENSG00000170558; ENSG00000163347; ENSG00000081052; ENSG00000101384; ENSG00000010810; ENSG00000058404	9076; 5747; 3675; 3856; 51196; 182; 3691; 816; 3664; 1286; 5420; 2534; 1000	73	73
6.8017170166e-07	0.00013674319894	Smooth Muscle Contraction	Reactome	R-HSA-445355	ENSG00000101335; ENSG00000065534; ENSG00000122786; ENSG00000198467; ENSG00000163017; ENSG00000095637; ENSG00000133392; ENSG00000082781; ENSG00000213949	10580; 3672; 4638; 4629; 800; 72; 7169; 3693; 10398	36	35
7.98889185629e-07	0.00013674319894	Tight junction - Homo sapiens (human)	KEGG	path:hsa04530	ENSG00000065675; ENSG00000101335; ENSG00000171132; ENSG00000133818; ENSG00000082397; ENSG00000027075; ENSG00000166086; ENSG00000181885; ENSG00000158186; ENSG00000105357; ENSG00000130396; ENSG00000133392; ENSG00000091436; ENSG00000166025; ENSG00000171217; ENSG00000163347; ENSG00000067606	4629; 51776; 23136; 10398; 154810; 49861; 4301; 83700; 22800; 22808; 1366; 9076; 79784; 5581; 5583; 5588; 5590	137	137
9.93590626081e-07	0.000145773938998	Keratinization	Reactome	R-HSA-6805567	ENSG00000121552; ENSG00000052344; ENSG00000112378; ENSG00000111057; ENSG00000186847; ENSG00000096696; ENSG00000171346; ENSG00000171345; ENSG00000170421; ENSG00000205420; ENSG00000186081; ENSG00000184363; ENSG00000135480; ENSG00000186832; ENSG00000140479; ENSG00000081277	3866; 3852; 1832; 5652; 3868; 1475; 3861; 64065; 3855; 3880; 11187; 3853; 5046; 5317; 3856; 3875	125	124
1.99940409221e-06	0.000256673500337	Arrhythmogenic Right Ventricular Cardiomyopathy	Wikipathways	WP2118	ENSG00000175084; ENSG00000148737; ENSG00000096696; ENSG00000170558; ENSG00000005884; ENSG00000165995; ENSG00000132470; ENSG00000077522; ENSG00000082781; ENSG00000213949; ENSG00000152661; ENSG00000077943	8516; 6934; 3675; 1832; 3691; 3693; 1674; 2697; 3672; 783; 88; 1000	74	74
2.54345925808e-06	0.000267763302685	Dilated cardiomyopathy - Homo sapiens (human)	KEGG	path:hsa05414	ENSG00000159251; ENSG00000175084; ENSG00000132470; ENSG00000173175; ENSG00000005884; ENSG00000165995; ENSG00000198467; ENSG00000134571; ENSG00000082781; ENSG00000213949; ENSG00000198523; ENSG00000077943; ENSG00000118194	7169; 70; 3672; 3675; 111; 3691; 1674; 3693; 5350; 783; 8516; 7139; 4607	90	89
2.60723761134e-06	0.000267763302685	Calcium Regulation in the Cardiac Cell	Wikipathways	WP536	ENSG00000065675; ENSG00000171132; ENSG00000118729; ENSG00000114450; ENSG00000078369; ENSG00000173175; ENSG00000172380; ENSG00000150995; ENSG00000067606; ENSG00000175793; ENSG00000169252; ENSG00000165474; ENSG00000152661; ENSG00000058404; ENSG00000198523; ENSG00000027075; ENSG00000156052	5583; 5581; 5588; 2706; 5590; 2776; 111; 845; 2810; 816; 2697; 154; 55970; 59345; 5350; 3708; 2782	149	149
