p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
1.05617566633e-08	7.77701651799e-06	Muscle contraction	Reactome	R-HSA-397014	ENSG00000065534; ENSG00000175084; ENSG00000105711; ENSG00000145349; ENSG00000122786; ENSG00000213949; ENSG00000123104; ENSG00000058404; ENSG00000101335; ENSG00000150995; ENSG00000136842; ENSG00000107796; ENSG00000133392; ENSG00000135750; ENSG00000077522; ENSG00000165995; ENSG00000095637; ENSG00000082781; ENSG00000058668; ENSG00000198467; ENSG00000163017; ENSG00000198523; ENSG00000118194	7139; 59; 10398; 1674; 72; 3775; 88; 4638; 817; 783; 3693; 3709; 800; 5350; 3672; 816; 10580; 6324; 493; 4629; 3708; 7169; 7111	198	195
1.572703037e-08	7.77701651799e-06	Developmental Biology	Reactome	R-HSA-1266738	ENSG00000065675; ENSG00000107984; ENSG00000052344; ENSG00000160145; ENSG00000214944; ENSG00000105711; ENSG00000010810; ENSG00000187164; ENSG00000145349; ENSG00000125266; ENSG00000213949; ENSG00000076864; ENSG00000186832; ENSG00000170421; ENSG00000099204; ENSG00000058404; ENSG00000101335; ENSG00000111057; ENSG00000173898; ENSG00000145555; ENSG00000138623; ENSG00000170017; ENSG00000077522; ENSG00000092421; ENSG00000184363; ENSG00000065320; ENSG00000141736; ENSG00000133392; ENSG00000115414; ENSG00000096696; ENSG00000156299; ENSG00000141026; ENSG00000171346; ENSG00000118257; ENSG00000171345; ENSG00000105357; ENSG00000170558; ENSG00000165995; ENSG00000139318; ENSG00000169398; ENSG00000182175; ENSG00000184349; ENSG00000251322; ENSG00000081277; ENSG00000187764; ENSG00000057294; ENSG00000174136; ENSG00000135480; ENSG00000081052; ENSG00000140479	1286; 1848; 1000; 3672; 3855; 816; 6324; 5046; 4629; 3856; 2534; 3880; 5652; 3983; 3868; 8482; 22943; 88; 57698; 79784; 3875; 1948; 8997; 10398; 56963; 817; 783; 10507; 64283; 5318; 285704; 5747; 8828; 4651; 7074; 9423; 3866; 2064; 57556; 1832; 2335; 55090; 6712; 11187; 5588; 1946; 5317; 214; 85358; 5909	748	739
3.55507661148e-08	1.17199025625e-05	Smooth Muscle Contraction	Reactome	R-HSA-445355	ENSG00000101335; ENSG00000065534; ENSG00000107796; ENSG00000122786; ENSG00000198467; ENSG00000163017; ENSG00000095637; ENSG00000133392; ENSG00000082781; ENSG00000213949	10580; 59; 3672; 4638; 4629; 800; 72; 7169; 3693; 10398	36	35
1.47066571373e-07	3.63622097719e-05	Primary Focal Segmental Glomerulosclerosis FSGS	Wikipathways	WP2572	ENSG00000107984; ENSG00000169398; ENSG00000005884; ENSG00000117595; ENSG00000138193; ENSG00000130402; ENSG00000010810; ENSG00000170558; ENSG00000163347; ENSG00000081052; ENSG00000170421; ENSG00000101384; ENSG00000058404	9076; 5747; 81; 3675; 3856; 51196; 182; 816; 3664; 1286; 22943; 2534; 1000	73	73
3.05354166784e-07	6.03990541898e-05	Extracellular matrix organization	Reactome	R-HSA-1474244	ENSG00000162512; ENSG00000197614; ENSG00000163710; ENSG00000005884; ENSG00000136943; ENSG00000213949; ENSG00000113140; ENSG00000119681; ENSG00000049323; ENSG00000090530; ENSG00000039068; ENSG00000111799; ENSG00000162733; ENSG00000144810; ENSG00000115414; ENSG00000166086; ENSG00000138131; ENSG00000204580; ENSG00000087245; ENSG00000082781; ENSG00000166147; ENSG00000115884; ENSG00000077943; ENSG00000077942; ENSG00000081052; ENSG00000011465	8516; 780; 2192; 6382; 1286; 6678; 84171; 55214; 3672; 1295; 4921; 9672; 1634; 3693; 83700; 1515; 3675; 2200; 4313; 999; 4052; 8076; 26577; 2335; 4053; 1303	295	289
5.0260479884e-07	7.70786458901e-05	Axon guidance	Reactome	R-HSA-422475	ENSG00000065675; ENSG00000125266; ENSG00000160145; ENSG00000214944; ENSG00000105711; ENSG00000010810; ENSG00000187164; ENSG00000145349; ENSG00000169398; ENSG00000213949; ENSG00000076864; ENSG00000145555; ENSG00000099204; ENSG00000058404; ENSG00000101335; ENSG00000184349; ENSG00000173898; ENSG00000138623; ENSG00000170017; ENSG00000077522; ENSG00000092421; ENSG00000141736; ENSG00000133392; ENSG00000115414; ENSG00000156299; ENSG00000118257; ENSG00000165995; ENSG00000105357; ENSG00000139318; ENSG00000065320; ENSG00000182175; ENSG00000251322; ENSG00000187764; ENSG00000174136; ENSG00000081052	9423; 1848; 8997; 3672; 2335; 816; 6324; 4629; 1286; 10398; 2534; 3983; 8482; 88; 5909; 57698; 79784; 1948; 56963; 817; 783; 10507; 64283; 5747; 8828; 4651; 7074; 2064; 57556; 6712; 5588; 1946; 285704; 214; 85358	487	481
5.45551588706e-07	7.70786458901e-05	Myometrial Relaxation and Contraction Pathways	Wikipathways	WP289	ENSG00000065675; ENSG00000198121; ENSG00000159251; ENSG00000241258; ENSG00000150995; ENSG00000130176; ENSG00000173175; ENSG00000101405; ENSG00000145349; ENSG00000107796; ENSG00000027075; ENSG00000172380; ENSG00000123104; ENSG00000114450; ENSG00000122786; ENSG00000115457; ENSG00000067606; ENSG00000058404	5590; 5583; 5588; 816; 817; 59; 111; 70; 1902; 5020; 1264; 55970; 59345; 3485; 3708; 3709; 27297; 800	155	155
1.01250066415e-06	0.000125170394606	Striated Muscle Contraction	Wikipathways	WP383	ENSG00000101335; ENSG00000159251; ENSG00000175084; ENSG00000136842; ENSG00000107796; ENSG00000130402; ENSG00000198467; ENSG00000077522; ENSG00000118194	7139; 88; 1674; 81; 70; 7169; 59; 7111; 10398	38	38
1.27367005586e-06	0.00013996218725	Arrhythmogenic Right Ventricular Cardiomyopathy	Wikipathways	WP2118	ENSG00000175084; ENSG00000148737; ENSG00000077943; ENSG00000005884; ENSG00000165995; ENSG00000130402; ENSG00000170558; ENSG00000077522; ENSG00000082781; ENSG00000057294; ENSG00000213949; ENSG00000096696	8516; 6934; 81; 3675; 1832; 5318; 3693; 1674; 3672; 783; 88; 1000	74	74
1.57671629326e-06	0.000155937241404	Dilated cardiomyopathy - Homo sapiens (human)	KEGG	path:hsa05414	ENSG00000159251; ENSG00000175084; ENSG00000017427; ENSG00000173175; ENSG00000005884; ENSG00000165995; ENSG00000198467; ENSG00000082781; ENSG00000213949; ENSG00000232810; ENSG00000198523; ENSG00000077943; ENSG00000118194	7169; 70; 3672; 3675; 111; 1674; 3693; 5350; 7124; 783; 8516; 3479; 7139	90	89
