p-value	q-value	term_goid	term_category	term_level	term_name	members_input_overlap	members_input_overlap_geneids	size	effective_size
3.11940409071e-11	1.65640357217e-08	GO:0060337	b	5	type I interferon signaling pathway	2537; 3107; 3135; 3136; 3326; 3434; 3665; 4599; 4938; 4939; 4940; 9636; 10581; 79594; 3105; 54739; 25939; 91543	ENSG00000185745; ENSG00000111331; ENSG00000126709; ENSG00000185507; ENSG00000157601; ENSG00000134321; ENSG00000204525; ENSG00000185201; ENSG00000206503; ENSG00000206341; ENSG00000132530; ENSG00000101347; ENSG00000111335; ENSG00000096384; ENSG00000089127; ENSG00000204632; ENSG00000187608; ENSG00000090432	80	80
7.44312807193e-11	1.9761505031e-08	GO:0034340	b	5	response to type I interferon	2537; 3107; 3135; 3136; 3326; 3434; 3665; 4599; 4938; 4939; 4940; 9636; 10581; 79594; 3105; 54739; 25939; 91543	ENSG00000185745; ENSG00000111331; ENSG00000126709; ENSG00000185507; ENSG00000157601; ENSG00000134321; ENSG00000204525; ENSG00000185201; ENSG00000206503; ENSG00000206341; ENSG00000132530; ENSG00000101347; ENSG00000111335; ENSG00000096384; ENSG00000089127; ENSG00000204632; ENSG00000187608; ENSG00000090432	84	84
1.84158589232e-08	2.09940791724e-06	GO:0042605	m	3	peptide antigen binding	3107; 3113; 3115; 3119; 3123; 3135; 3136; 3105; 23428; 3127	ENSG00000206503; ENSG00000198502; ENSG00000204525; ENSG00000223865; ENSG00000092068; ENSG00000206341; ENSG00000179344; ENSG00000204632; ENSG00000196126; ENSG00000231389	31	31
4.65244599133e-08	8.23482940465e-06	GO:0060333	b	5	interferon-gamma-mediated signaling pathway	3107; 3113; 3115; 3119; 3123; 3127; 3135; 3136; 3326; 3665; 4502; 4938; 4939; 4940; 3105	ENSG00000111331; ENSG00000198502; ENSG00000185507; ENSG00000096384; ENSG00000204525; ENSG00000223865; ENSG00000206503; ENSG00000206341; ENSG00000111335; ENSG00000125148; ENSG00000179344; ENSG00000089127; ENSG00000204632; ENSG00000196126; ENSG00000231389	85	85
6.97331766009e-08	7.5311830729e-06	GO:0042611	c	4	MHC protein complex	3107; 3113; 3115; 3119; 3123; 3135; 3136; 3105; 3127	ENSG00000206503; ENSG00000198502; ENSG00000204525; ENSG00000223865; ENSG00000206341; ENSG00000179344; ENSG00000204632; ENSG00000196126; ENSG00000231389	27	27
1.40981165183e-07	1.57898905004e-05	GO:0098553	c	3	lumenal side of endoplasmic reticulum membrane	3107; 3113; 3115; 3119; 3123; 3135; 3136; 3105; 3127	ENSG00000206503; ENSG00000198502; ENSG00000204525; ENSG00000223865; ENSG00000206341; ENSG00000179344; ENSG00000204632; ENSG00000196126; ENSG00000231389	29	29
1.40981165183e-07	6.90807709395e-06	GO:0071556	c	5	integral component of lumenal side of endoplasmic reticulum membrane	3107; 3113; 3115; 3119; 3123; 3127; 3135; 3136; 3105	ENSG00000206503; ENSG00000198502; ENSG00000204525; ENSG00000223865; ENSG00000206341; ENSG00000179344; ENSG00000204632; ENSG00000196126; ENSG00000231389	29	29
1.61799841308e-07	0.000103066498913	GO:0042178	b	4	xenobiotic catabolic process	1429; 1543; 2944; 2946; 2947; 2948	ENSG00000168765; ENSG00000213366; ENSG00000140465; ENSG00000116791; ENSG00000134202; ENSG00000134184	10	10
5.01393397673e-07	6.65599735411e-05	GO:0034341	b	5	response to interferon-gamma	6556; 3107; 3113; 3115; 3119; 3123; 3127; 3135; 3136; 3326; 3665; 4502; 4938; 4939; 4940; 10241; 10581; 11093; 3105	ENSG00000018280; ENSG00000111331; ENSG00000198502; ENSG00000185507; ENSG00000096384; ENSG00000136436; ENSG00000204525; ENSG00000223865; ENSG00000185201; ENSG00000206503; ENSG00000160323; ENSG00000206341; ENSG00000111335; ENSG00000125148; ENSG00000179344; ENSG00000089127; ENSG00000204632; ENSG00000196126; ENSG00000231389	160	159
5.08495519302e-07	2.84757490809e-05	GO:0043231	c	3	intracellular membrane-bounded organelle	175; 247; 6556; 318; 406; 501; 602; 604; 687; 788; 131870; 840; 847; 871; 1052; 1070; 1104; 1153; 1374; 1376; 1454; 1521; 1543; 1565; 84245; 1628; 275; 1663; 1668; 1763; 1775; 1798; 1912; 1973; 2053; 2235; 2288; 2289; 2309; 133383; 2537; 246184; 2639; 2648; 2677; 2752; 2946; 2947; 2966; 3005; 3008; 3017; 3020; 3107; 3113; 3115; 3119; 3123; 3135; 3136; 3151; 3301; 3304; 3311; 3320; 3326; 3329; 3665; 3939; 4123; 4255; 4329; 4361; 4438; 4489; 4499; 4501; 4502; 201163; 4594; 4599; 4669; 4738; 4791; 4831; 4835; 4836; 201514; 4938; 4939; 4940; 5045; 5166; 5190; 91689; 201931; 5383; 5481; 5496; 5625; 5681; 5833; 5893; 6036; 6118; 6133; 6196; 6234; 6272; 6280; 6464; 6603; 6606; 6607; 100506084; 6648; 6697; 6774; 137872; 727851; 7008; 728047; 7158; 7186; 400410; 7296; 7318; 55846; 728340; 7514; 7625; 7691; 7711; 7775; 7784; 7849; 8214; 8372; 8531; 8553; 8565; 8602; 8605; 8655; 8678; 8863; 8904; 8971; 729978; 9098; 9188; 126626; 9315; 9342; 9477; 9487; 9572; 9636; 9646; 9704; 9816; 9897; 9975; 10072; 10131; 10135; 10157; 10162; 10180; 10197; 10211; 10241; 10384; 10412; 10432; 10450; 10505; 10566; 10598; 10728; 11269; 29103; 10781; 10797; 10808; 10841; 10885; 10901; 10947; 10963; 10964; 10965; 10978; 345895; 11067; 11093; 11133; 11170; 11243; 728294; 51692; 143570; 728489; 83591; 78991; 51399; 79065; 79075; 51409; 79155; 728642; 24144; 100316904; 79594; 79644; 374666; 28999; 440270; 79844; 79896; 79902; 79973; 645345; 80174; 80207; 80235; 80263; 80271; 80312; 84515; 113451; 80726; 342908; 80832; 400506; 117246; 89978; 51754; 2635; 7923; 81562; 7965; 266727; 115209; 100287171; 148206; 285362; 345630; 50809; 83640; 83733; 51008; 51115; 51144; 100288540; 51326; 3105; 84172; 84256; 51533; 84317; 84321; 51621; 51622; 84436; 51741; 84522; 84725; 84874; 84905; 84914; 84916; 84930; 150763; 79746; 79803; 118460; 642799; 348654; 643707; 53938; 119559; 643866; 54059; 283820; 54480; 283899; 54541; 54739; 54797; 284346; 54971; 54980; 55008; 284391; 284427; 55066; 55080; 55145; 55256; 55486; 22803; 55657; 22948; 55734; 55769; 55858; 55915; 285440; 219927; 285464; 285498; 23421; 23516; 23587; 25839; 56893; 56943; 89849; 548644; 57209; 221120; 57418; 100130958; 57491; 90353; 57623; 57654; 140691; 5187; 25939; 221960; 91419; 25777; 25840; 25847; 91695; 25961; 255403; 26275; 27130; 27163; 27173; 387680; 92806; 27341; 56267; 93100; 60493; 93426; 60677; 90417; 3127; 94009; 55505; 132001; 29074; 163227; 29097; 91543; 29894; 29960; 390598; 5033; 22845; 63920; 63979; 64167; 6283; 27101; 162966; 162967; 64802; 64969; 65123; 65260; 55644	ENSG00000137312; ENSG00000233927; ENSG00000141076; ENSG00000243678; ENSG00000090857; ENSG00000103051; ENSG00000161960; ENSG00000163884; ENSG00000186281; ENSG00000137959; ENSG00000126581; ENSG00000108784; ENSG00000134107; ENSG00000157349; ENSG00000158373; ENSG00000106305; ENSG00000168884; ENSG00000168298; ENSG00000057468; ENSG00000132434; ENSG00000132436; ENSG00000063438; ENSG00000130518; ENSG00000112139; ENSG00000185829; ENSG00000146085; ENSG00000213923; ENSG00000147576; ENSG00000131931; ENSG00000176386; ENSG00000124588; ENSG00000153140; ENSG00000069399; ENSG00000117748; ENSG00000168610; ENSG00000250312; ENSG00000150753; ENSG00000114988; ENSG00000171574; ENSG00000090432; ENSG00000167840; ENSG00000049246; ENSG00000198730; ENSG00000197020; ENSG00000119227; ENSG00000234719; ENSG00000159792; ENSG00000162600; ENSG00000134851; ENSG00000172269; ENSG00000160282; ENSG00000169926; ENSG00000115998; ENSG00000138346; ENSG00000186792; ENSG00000180902; ENSG00000205571; ENSG00000086544; ENSG00000231389; ENSG00000205578; ENSG00000138744; ENSG00000182841; ENSG00000175193; ENSG00000166321; ENSG00000119138; ENSG00000131467; ENSG00000175283; ENSG00000160691; ENSG00000065911; ENSG00000116096; ENSG00000206341; ENSG00000103550; ENSG00000124641; ENSG00000065183; ENSG00000065268; ENSG00000131061; ENSG00000113916; ENSG00000110090; ENSG00000059122; ENSG00000164978; ENSG00000183605; ENSG00000169629; ENSG00000185432; ENSG00000184206; ENSG00000126602; ENSG00000188573; ENSG00000168309; ENSG00000174738; ENSG00000088986; ENSG00000163041; ENSG00000131849; ENSG00000196655; ENSG00000168439; ENSG00000223496; ENSG00000225217; ENSG00000119673; ENSG00000215252; ENSG00000215251; ENSG00000184897; ENSG00000170291; ENSG00000099940; ENSG00000188372; ENSG00000163220; ENSG00000163221; ENSG00000051596; ENSG00000171135; ENSG00000138303; ENSG00000004799; ENSG00000129559; ENSG00000127191; ENSG00000134243; ENSG00000136448; ENSG00000129204; ENSG00000157184; ENSG00000140488; ENSG00000108592; ENSG00000170430; ENSG00000100109; ENSG00000037757; ENSG00000147813; ENSG00000162377; ENSG00000164346; ENSG00000134146; ENSG00000182117; ENSG00000125630; ENSG00000214078; ENSG00000213366; ENSG00000149084; ENSG00000134815; ENSG00000189190; ENSG00000137944; ENSG00000169612; ENSG00000223865; ENSG00000008128; ENSG00000136710; ENSG00000165507; ENSG00000112096; ENSG00000204228; ENSG00000173451; ENSG00000166896; ENSG00000105607; ENSG00000185813; ENSG00000143771; ENSG00000179344; ENSG00000108604; ENSG00000185507; ENSG00000187608; ENSG00000135622; ENSG00000142544; ENSG00000120533; ENSG00000221886; ENSG00000171772; ENSG00000136436; ENSG00000071894; ENSG00000120539; ENSG00000182362; ENSG00000135821; ENSG00000134202; ENSG00000066827; ENSG00000145882; ENSG00000125450; ENSG00000096384; ENSG00000169385; ENSG00000172250; ENSG00000008311; ENSG00000205362; ENSG00000101347; ENSG00000205307; ENSG00000108474; ENSG00000205364; ENSG00000087269; ENSG00000136982; ENSG00000134333; ENSG00000116161; ENSG00000112110; ENSG00000172409; ENSG00000111331; ENSG00000111335; ENSG00000115486; ENSG00000127483; ENSG00000221869; ENSG00000168010; ENSG00000167766; ENSG00000204388; ENSG00000143624; ENSG00000164961; ENSG00000111834; ENSG00000105499; ENSG00000189060; ENSG00000206127; ENSG00000118689; ENSG00000129055; ENSG00000139899; ENSG00000198830; ENSG00000188818; ENSG00000125885; ENSG00000128944; ENSG00000082898; ENSG00000182551; ENSG00000223547; ENSG00000185252; ENSG00000239839; ENSG00000140400; ENSG00000178295; ENSG00000060138; ENSG00000168209; ENSG00000100336; ENSG00000118162; ENSG00000228696; ENSG00000173614; ENSG00000138642; ENSG00000146574; ENSG00000143570; ENSG00000018280; ENSG00000179979; ENSG00000166199; ENSG00000020256; ENSG00000172530; ENSG00000198130; ENSG00000111801; ENSG00000004478; ENSG00000160803; ENSG00000125741; ENSG00000106086; ENSG00000123965; ENSG00000070718; ENSG00000171497; ENSG00000198431; ENSG00000105835; ENSG00000157326; ENSG00000144381; ENSG00000178222; ENSG00000198342; ENSG00000013573; ENSG00000092094; ENSG00000134986; ENSG00000010318; ENSG00000099622; ENSG00000177946; ENSG00000160783; ENSG00000198502; ENSG00000170088; ENSG00000139192; ENSG00000183172; ENSG00000240344; ENSG00000206503; ENSG00000122687; ENSG00000089127; ENSG00000145476; ENSG00000111684; ENSG00000111254; ENSG00000071242; ENSG00000183628; ENSG00000105516; ENSG00000172543; ENSG00000188779; ENSG00000133794; ENSG00000204920; ENSG00000186940; ENSG00000163682; ENSG00000100197; ENSG00000160323; ENSG00000182179; ENSG00000119203; ENSG00000172062; ENSG00000181404; ENSG00000110958; ENSG00000197345; ENSG00000196126; ENSG00000176623; ENSG00000020922; ENSG00000142920; ENSG00000144559; ENSG00000145020; ENSG00000084072; ENSG00000119509; ENSG00000171163; ENSG00000160352; ENSG00000182986; ENSG00000165806; ENSG00000080824; ENSG00000126368; ENSG00000114735; ENSG00000002016; ENSG00000198466; ENSG00000157601; ENSG00000213221; ENSG00000004534; ENSG00000122884; ENSG00000154803; ENSG00000088930; ENSG00000179094; ENSG00000067369; ENSG00000176472; ENSG00000164308; ENSG00000145736; ENSG00000121691; ENSG00000033100; ENSG00000100033; ENSG00000120915; ENSG00000174652; ENSG00000167555; ENSG00000117226; ENSG00000167074; ENSG00000204632; ENSG00000119711; ENSG00000198925; ENSG00000185164; ENSG00000100242; ENSG00000120675; ENSG00000132530; ENSG00000135763; ENSG00000165732; ENSG00000149257; ENSG00000144455; ENSG00000183474; ENSG00000038002; ENSG00000187193; ENSG00000239306; ENSG00000066926; ENSG00000181240; ENSG00000166189; ENSG00000140465; ENSG00000205078; ENSG00000125618; ENSG00000169592; ENSG00000198585; ENSG00000166435; ENSG00000254986; ENSG00000134463; ENSG00000140564; ENSG00000254852; ENSG00000185596; ENSG00000134684; ENSG00000134686; ENSG00000126709; ENSG00000125148; ENSG00000111203; ENSG00000122674; ENSG00000189306; ENSG00000198105; ENSG00000124587; ENSG00000164904; ENSG00000096060; ENSG00000077150; ENSG00000128039; ENSG00000130772; ENSG00000185875; ENSG00000178537; ENSG00000204525; ENSG00000185880; ENSG00000168255; ENSG00000100591; ENSG00000186153; ENSG00000120694; ENSG00000144029; ENSG00000108773; ENSG00000144026; ENSG00000099290; ENSG00000182902; ENSG00000115241; ENSG00000176222; ENSG00000155542; ENSG00000163945; ENSG00000104635; ENSG00000134321; ENSG00000086061; ENSG00000138336; ENSG00000180953; ENSG00000167968; ENSG00000142856; ENSG00000161692; ENSG00000179593; ENSG00000134253; ENSG00000143458; ENSG00000137103; ENSG00000180198	10381	10318
