p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
2.46999413463e-07	0.000160428562476	HSF1 activation	Reactome	R-HSA-3371511	ENSG00000120694; ENSG00000149257; ENSG00000117748; ENSG00000004478; ENSG00000080824; ENSG00000204388; ENSG00000096384; ENSG00000110958; ENSG00000112110	2288; 6118; 3320; 871; 10728; 10808; 29074; 3326; 3304	31	31
2.89582242736e-07	0.000160428562476	Antigen processing and presentation - Homo sapiens (human)	KEGG	path:hsa04612	ENSG00000131467; ENSG00000170606; ENSG00000198502; ENSG00000096384; ENSG00000080824; ENSG00000204525; ENSG00000223865; ENSG00000204388; ENSG00000206503; ENSG00000179344; ENSG00000204632; ENSG00000196126; ENSG00000231389	3105; 3107; 3113; 3119; 3123; 3135; 3127; 10197; 3304; 3308; 3115; 3320; 3326	77	73
5.83118603078e-07	0.000215365137404	BMAL1:CLOCK,NPAS2 activates circadian gene expression	Reactome	R-HSA-1368108	ENSG00000126368; ENSG00000133794; ENSG00000179094; ENSG00000105835; ENSG00000134107; ENSG00000163884; ENSG00000105516	9572; 5187; 1628; 406; 28999; 10135; 8553	19	18
1.00646167971e-06	0.00027878988528	Circadian Clock	Reactome	R-HSA-400253	ENSG00000126368; ENSG00000133794; ENSG00000213923; ENSG00000179094; ENSG00000110090; ENSG00000105835; ENSG00000134107; ENSG00000163884; ENSG00000105516	1454; 1628; 1374; 10135; 8553; 5187; 28999; 9572; 406	38	36
1.80521354505e-06	0.000400035321584	Attenuation phase	Reactome	R-HSA-3371568	ENSG00000120694; ENSG00000149257; ENSG00000110958; ENSG00000004478; ENSG00000080824; ENSG00000204388; ENSG00000096384; ENSG00000112110	3320; 871; 3304; 10808; 29074; 3326; 2288; 10728	29	29
2.44302613345e-06	0.000451145492644	Metabolism	Reactome	R-HSA-1430728	ENSG00000233927; ENSG00000243678; ENSG00000090857; ENSG00000004799; ENSG00000182551; ENSG00000111664; ENSG00000106086; ENSG00000152463; ENSG00000184227; ENSG00000186281; ENSG00000033100; ENSG00000100033; ENSG00000120915; ENSG00000086544; ENSG00000157184; ENSG00000108784; ENSG00000156239; ENSG00000124217; ENSG00000037757; ENSG00000147813; ENSG00000106305; ENSG00000059804; ENSG00000119711; ENSG00000168803; ENSG00000214078; ENSG00000063438; ENSG00000213366; ENSG00000149084; ENSG00000137944; ENSG00000198130; ENSG00000146085; ENSG00000144455; ENSG00000147576; ENSG00000186792; ENSG00000166741; ENSG00000102886; ENSG00000134184; ENSG00000187193; ENSG00000188536; ENSG00000066926; ENSG00000198431; ENSG00000140465; ENSG00000204228; ENSG00000173614; ENSG00000196502; ENSG00000105607; ENSG00000185813; ENSG00000121691; ENSG00000140400; ENSG00000198585; ENSG00000099984; ENSG00000106733; ENSG00000140564; ENSG00000206172; ENSG00000166321; ENSG00000160282; ENSG00000135821; ENSG00000134201; ENSG00000134202; ENSG00000145476; ENSG00000180902; ENSG00000149089; ENSG00000244734; ENSG00000124588; ENSG00000164904; ENSG00000125450; ENSG00000128039; ENSG00000065911; ENSG00000096384; ENSG00000125772; ENSG00000116096; ENSG00000008311; ENSG00000205362; ENSG00000205364; ENSG00000178537; ENSG00000163682; ENSG00000100197; ENSG00000168765; ENSG00000110090; ENSG00000105835; ENSG00000134333; ENSG00000110958; ENSG00000111684; ENSG00000142920; ENSG00000145020; ENSG00000227097; ENSG00000135245; ENSG00000126602; ENSG00000146733; ENSG00000125148; ENSG00000162882; ENSG00000105499; ENSG00000080824; ENSG00000119673; ENSG00000179593; ENSG00000167772	26275; 275; 4669; 6133; 4831; 56267; 4499; 150763; 10797; 137872; 2946; 79644; 501; 646195; 788; 161823; 1565; 6697; 6515; 79153; 51129; 3040; 847; 7965; 1376; 7296; 23498; 4501; 10728; 2948; 7923; 5833; 131870; 8904; 2784; 79902; 1543; 728294; 55301; 3043; 3326; 56261; 27304; 113451; 2235; 2949; 3939; 84245; 4329; 54480; 84725; 10135; 51074; 10965; 64802; 247; 29923; 10841; 2639; 29104; 8605; 8372; 5166; 4594; 3320; 5045; 6234; 5625; 2752; 57491; 4835; 5723; 93100; 4123; 285362; 285440; 4502; 10162; 2053; 51144; 2944; 4837; 54981; 1374; 6817; 641371; 80271; 25961; 10157; 2953; 4489; 2947; 55066; 10131; 55256; 3039	2035	1994
4.68796058038e-06	0.000606499955841	Nuclear Receptors Meta-Pathway	Wikipathways	WP2882	ENSG00000004799; ENSG00000059804; ENSG00000134201; ENSG00000134202; ENSG00000134184; ENSG00000198431; ENSG00000140465; ENSG00000157184; ENSG00000096384; ENSG00000134107; ENSG00000168610; ENSG00000096060; ENSG00000077150; ENSG00000196502; ENSG00000080824; ENSG00000211445; ENSG00000143570; ENSG00000104635; ENSG00000099984; ENSG00000168765; ENSG00000063438; ENSG00000167772; ENSG00000213366; ENSG00000120675; ENSG00000110090; ENSG00000110958	6515; 3320; 3326; 1543; 1374; 1376; 2953; 10728; 27173; 2289; 8553; 6774; 2948; 7296; 51129; 2946; 6817; 2947; 2949; 2944; 57491; 5166; 23516; 2878; 4791; 29103	316	315
4.98283401636e-06	0.000606499955841	Type I diabetes mellitus - Homo sapiens (human)	KEGG	path:hsa04940	ENSG00000198502; ENSG00000204525; ENSG00000223865; ENSG00000206503; ENSG00000179344; ENSG00000144381; ENSG00000204632; ENSG00000196126; ENSG00000231389	3329; 3105; 3107; 3113; 3115; 3119; 3123; 3127; 3135	43	43
5.40493434145e-06	0.000606499955841	glutathione-mediated detoxification	HumanCyc	PWY-4061	ENSG00000099984; ENSG00000168765; ENSG00000213366; ENSG00000137944; ENSG00000134201; ENSG00000134202; ENSG00000134184	2944; 2947; 2946; 2948; 2949; 56267; 2953	24	24
5.47382631625e-06	0.000606499955841	Allograft Rejection	Wikipathways	WP2328	ENSG00000198502; ENSG00000115523; ENSG00000165806; ENSG00000244731; ENSG00000223865; ENSG00000204520; ENSG00000206503; ENSG00000179344; ENSG00000204632; ENSG00000231389; ENSG00000204525; ENSG00000196126	3107; 3113; 10578; 3135; 3119; 840; 3105; 3127; 100507436; 3115; 720; 3123	80	80
1.30897410693e-05	0.0012086194254	Allograft rejection - Homo sapiens (human)	KEGG	path:hsa05330	ENSG00000198502; ENSG00000204525; ENSG00000223865; ENSG00000206503; ENSG00000179344; ENSG00000204632; ENSG00000196126; ENSG00000231389	3119; 3105; 3107; 3113; 3115; 3123; 3127; 3135	38	37
1.30897410693e-05	0.0012086194254	HSF1-dependent transactivation	Reactome	R-HSA-3371571	ENSG00000120694; ENSG00000149257; ENSG00000110958; ENSG00000004478; ENSG00000080824; ENSG00000204388; ENSG00000096384; ENSG00000112110	3320; 871; 3304; 10808; 29074; 3326; 2288; 10728	37	37
1.57920547726e-05	0.001345968976	Herpes simplex infection - Homo sapiens (human)	KEGG	path:hsa05168	ENSG00000185745; ENSG00000049246; ENSG00000111331; ENSG00000198502; ENSG00000185507; ENSG00000133794; ENSG00000231389; ENSG00000223865; ENSG00000179094; ENSG00000206503; ENSG00000085514; ENSG00000111335; ENSG00000179344; ENSG00000204632; ENSG00000127191; ENSG00000196126; ENSG00000089127; ENSG00000204525	7186; 3105; 3113; 3115; 3119; 3123; 3127; 3135; 5187; 3665; 8863; 3107; 29992; 4938; 4939; 4940; 3434; 406	185	185
2.40529711135e-05	0.00177783219481	Graft-versus-host disease - Homo sapiens (human)	KEGG	path:hsa05332	ENSG00000198502; ENSG00000204525; ENSG00000223865; ENSG00000206503; ENSG00000179344; ENSG00000204632; ENSG00000196126; ENSG00000231389	3105; 3107; 3113; 3115; 3119; 3123; 3127; 3135	41	40
2.4068125381e-05	0.00177783219481	Cellular responses to stress	Reactome	R-HSA-2262752	ENSG00000170606; ENSG00000149257; ENSG00000004478; ENSG00000120694; ENSG00000176386; ENSG00000020922; ENSG00000112110; ENSG00000117748; ENSG00000134686; ENSG00000121691; ENSG00000071242; ENSG00000198431; ENSG00000204388; ENSG00000126581; ENSG00000096384; ENSG00000112096; ENSG00000088986; ENSG00000163041; ENSG00000158373; ENSG00000080824; ENSG00000189060; ENSG00000152348; ENSG00000211445; ENSG00000168298; ENSG00000225217; ENSG00000125450; ENSG00000164978; ENSG00000110958	6118; 3017; 79902; 3304; 1912; 318; 3008; 8678; 3020; 3326; 83734; 3308; 2878; 3320; 3005; 4361; 2288; 6648; 8655; 847; 246184; 7296; 871; 29074; 10728; 10808; 3311; 6196	393	387
2.71061931111e-05	0.00187710387294	Oxidative Stress	Wikipathways	WP408	ENSG00000187193; ENSG00000121691; ENSG00000099984; ENSG00000198431; ENSG00000140465; ENSG00000211445; ENSG00000112096	6648; 1543; 7296; 2878; 4501; 2953; 847	30	30
