p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
2.39027726706e-11	2.94960214755e-08	Myometrial Relaxation and Contraction Pathways	Wikipathways	WP289	ENSG00000065675; ENSG00000171132; ENSG00000241258; ENSG00000132329; ENSG00000173175; ENSG00000130176; ENSG00000122786; ENSG00000175793; ENSG00000027075; ENSG00000058404; ENSG00000150995; ENSG00000078369; ENSG00000101405; ENSG00000107796; ENSG00000115457; ENSG00000198121; ENSG00000114450; ENSG00000145349; ENSG00000180914; ENSG00000159251; ENSG00000172380; ENSG00000152661; ENSG00000156052; ENSG00000128245; ENSG00000067606	5590; 5583; 5581; 5588; 816; 817; 59; 2776; 111; 7533; 10267; 70; 1902; 2810; 5021; 5020; 1264; 2697; 55970; 59345; 3485; 3708; 2782; 27297; 800	155	155
6.9519630509e-09	4.2893612024e-06	Smooth Muscle Contraction	Reactome	R-HSA-445355	ENSG00000101335; ENSG00000065534; ENSG00000092841; ENSG00000107796; ENSG00000122786; ENSG00000198467; ENSG00000163017; ENSG00000095637; ENSG00000133392; ENSG00000082781; ENSG00000213949	10580; 59; 3672; 4638; 4629; 800; 4637; 72; 7169; 3693; 10398	36	35
1.48300425017e-08	4.57955828864e-06	Integrin	INOH	None	ENSG00000115414; ENSG00000162512; ENSG00000169398; ENSG00000115884; ENSG00000010810; ENSG00000077943; ENSG00000132692; ENSG00000005884; ENSG00000091409; ENSG00000116473; ENSG00000132470; ENSG00000111799; ENSG00000082781; ENSG00000128512; ENSG00000213949; ENSG00000144810; ENSG00000081052; ENSG00000041982; ENSG00000011465	9732; 2534; 6382; 3672; 3691; 1295; 3371; 9672; 1634; 3693; 5906; 2335; 63827; 3675; 3655; 5747; 1286; 8516; 1303	124	124
1.484459737e-08	4.57955828864e-06	Extracellular matrix organization	Reactome	R-HSA-1474244	ENSG00000162512; ENSG00000077942; ENSG00000197614; ENSG00000163710; ENSG00000005884; ENSG00000119681; ENSG00000136943; ENSG00000213949; ENSG00000113140; ENSG00000091409; ENSG00000166033; ENSG00000049323; ENSG00000090530; ENSG00000039068; ENSG00000111799; ENSG00000162733; ENSG00000144810; ENSG00000115414; ENSG00000138131; ENSG00000204580; ENSG00000082781; ENSG00000166147; ENSG00000041982; ENSG00000132692; ENSG00000077943; ENSG00000115884; ENSG00000132470; ENSG00000053747; ENSG00000081052; ENSG00000011465	8516; 780; 2192; 6382; 1286; 6678; 84171; 55214; 3672; 3691; 1295; 3371; 4921; 9672; 5654; 1634; 3693; 63827; 1515; 3675; 3909; 2200; 3655; 999; 4052; 8076; 26577; 2335; 4053; 1303	295	289
2.01736652343e-08	4.97886057982e-06	Dilated cardiomyopathy - Homo sapiens (human)	KEGG	path:hsa05414	ENSG00000159251; ENSG00000175084; ENSG00000132470; ENSG00000173175; ENSG00000017427; ENSG00000005884; ENSG00000165995; ENSG00000198467; ENSG00000134571; ENSG00000082781; ENSG00000213949; ENSG00000077943; ENSG00000232810; ENSG00000198523; ENSG00000091409; ENSG00000118194	7169; 70; 3655; 3672; 3675; 111; 3691; 1674; 3693; 5350; 7124; 783; 8516; 3479; 7139; 4607	90	89
5.71223131793e-08	1.17481557439e-05	Vascular smooth muscle contraction - Homo sapiens (human)	KEGG	path:hsa04270	ENSG00000101335; ENSG00000065534; ENSG00000065675; ENSG00000132329; ENSG00000127472; ENSG00000173175; ENSG00000171132; ENSG00000107796; ENSG00000027075; ENSG00000122786; ENSG00000092841; ENSG00000163017; ENSG00000150995; ENSG00000133392; ENSG00000072952; ENSG00000135643; ENSG00000146535; ENSG00000156052	4629; 10267; 4637; 4638; 59; 72; 10335; 111; 3708; 10398; 5322; 2768; 27345; 2776; 800; 5581; 5583; 5588	121	121
7.32124061172e-08	1.2906301307e-05	Muscle contraction	Reactome	R-HSA-397014	ENSG00000065534; ENSG00000175084; ENSG00000105711; ENSG00000145349; ENSG00000122786; ENSG00000213949; ENSG00000058404; ENSG00000101335; ENSG00000134571; ENSG00000136842; ENSG00000163017; ENSG00000107796; ENSG00000133392; ENSG00000135750; ENSG00000165995; ENSG00000150995; ENSG00000095637; ENSG00000082781; ENSG00000092841; ENSG00000198467; ENSG00000120049; ENSG00000198523; ENSG00000118194	7139; 59; 10398; 1674; 72; 3775; 4638; 817; 783; 4607; 3693; 30819; 800; 5350; 3672; 816; 4637; 10580; 6324; 4629; 3708; 7169; 7111	198	195
1.81053697616e-07	2.79275328573e-05	Developmental Biology	Reactome	R-HSA-1266738	ENSG00000065675; ENSG00000052344; ENSG00000160145; ENSG00000105711; ENSG00000010810; ENSG00000145349; ENSG00000125266; ENSG00000213949; ENSG00000076864; ENSG00000186832; ENSG00000170421; ENSG00000099204; ENSG00000058404; ENSG00000101335; ENSG00000111057; ENSG00000173898; ENSG00000163291; ENSG00000145555; ENSG00000138623; ENSG00000170017; ENSG00000133392; ENSG00000186081; ENSG00000184363; ENSG00000065320; ENSG00000141736; ENSG00000081277; ENSG00000115414; ENSG00000096696; ENSG00000132170; ENSG00000092421; ENSG00000156299; ENSG00000112378; ENSG00000141026; ENSG00000171346; ENSG00000118257; ENSG00000171345; ENSG00000116473; ENSG00000105357; ENSG00000170558; ENSG00000165995; ENSG00000186847; ENSG00000139318; ENSG00000169398; ENSG00000092841; ENSG00000182175; ENSG00000184349; ENSG00000187764; ENSG00000174136; ENSG00000135480; ENSG00000081052; ENSG00000140479	1286; 1848; 1000; 3672; 3855; 5468; 816; 6324; 5906; 5046; 4629; 3856; 2534; 3880; 5652; 3983; 3868; 8482; 3861; 152559; 79784; 3875; 1948; 8997; 3852; 10398; 56963; 817; 4637; 783; 10507; 285704; 5747; 8828; 4651; 7074; 9423; 3866; 64065; 2064; 57556; 1832; 2335; 55090; 6712; 11187; 5588; 1946; 5317; 214; 5909	748	739
2.99562104967e-07	4.10732930589e-05	Calcium Regulation in the Cardiac Cell	Wikipathways	WP536	ENSG00000065675; ENSG00000171132; ENSG00000118729; ENSG00000114450; ENSG00000150995; ENSG00000198523; ENSG00000173175; ENSG00000172380; ENSG00000145349; ENSG00000067606; ENSG00000175793; ENSG00000169252; ENSG00000165474; ENSG00000078369; ENSG00000152661; ENSG00000058404; ENSG00000128245; ENSG00000027075; ENSG00000156052	5583; 5581; 5588; 817; 2706; 5590; 2776; 111; 7533; 845; 2810; 816; 2697; 154; 55970; 59345; 5350; 3708; 2782	149	149
3.559614058e-07	4.39256374757e-05	Hypertrophic cardiomyopathy (HCM) - Homo sapiens (human)	KEGG	path:hsa05410	ENSG00000159251; ENSG00000175084; ENSG00000017427; ENSG00000077943; ENSG00000005884; ENSG00000165995; ENSG00000198467; ENSG00000134571; ENSG00000082781; ENSG00000213949; ENSG00000232810; ENSG00000091409; ENSG00000118194; ENSG00000132470	7169; 1674; 783; 3479; 8516; 70; 3655; 3672; 3675; 7139; 3691; 3693; 7124; 4607	83	83
