p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
7.41499989716e-05	0.00912044987351	Metabolism	Reactome	R-HSA-1430728	ENSG00000167107; ENSG00000173660; ENSG00000159399; ENSG00000168781; ENSG00000100504; ENSG00000178741; ENSG00000179091; ENSG00000233276; ENSG00000027847; ENSG00000196839; ENSG00000165029; ENSG00000133028; ENSG00000075651; ENSG00000104812; ENSG00000138207; ENSG00000108784; ENSG00000149925; ENSG00000241644; ENSG00000100116; ENSG00000114200; ENSG00000110955; ENSG00000140479	4669; 5046; 100; 19; 5337; 11285; 1537; 2997; 590; 9677; 226; 80221; 6341; 23464; 5836; 2876; 3099; 9377; 7388; 506; 11185; 5950	2035	1994
0.000274732280358	0.0122414678307	Folate Metabolism	Wikipathways	WP176	ENSG00000165029; ENSG00000173432; ENSG00000134339; ENSG00000233276	6288; 2876; 19; 6289	66	66
0.000298572386115	0.0122414678307	Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.	Reactome	R-HSA-163200	ENSG00000178741; ENSG00000133028; ENSG00000110955; ENSG00000179091; ENSG00000173660	9377; 1537; 7388; 6341; 506	126	123
0.000471939232563	0.0136701502678	Glucose metabolism	Reactome	R-HSA-70326	ENSG00000104812; ENSG00000159399; ENSG00000100504; ENSG00000149925	226; 3099; 2997; 5836	77	76
0.000659325238572	0.0136701502678	Selenium Micronutrient Network	Wikipathways	WP15	ENSG00000165029; ENSG00000173432; ENSG00000134339; ENSG00000233276	2876; 6288; 19; 6289	83	83
0.000666836598427	0.0136701502678	Starch and sucrose metabolism - Homo sapiens (human)	KEGG	path:hsa00500	ENSG00000104812; ENSG00000159399; ENSG00000100504	3099; 5836; 2997	36	36
0.00119939459915	0.0175758312908	The citric acid (TCA) cycle and respiratory electron transport	Reactome	R-HSA-1428517	ENSG00000178741; ENSG00000133028; ENSG00000110955; ENSG00000179091; ENSG00000173660	9377; 1537; 7388; 6341; 506	171	167
0.00132437141732	0.0175758312908	Respiratory electron transport	Reactome	R-HSA-611105	ENSG00000178741; ENSG00000133028; ENSG00000179091; ENSG00000173660	9377; 7388; 6341; 1537	103	100
0.00147742940831	0.0175758312908	Electron Transport Chain	Wikipathways	WP111	ENSG00000178741; ENSG00000133028; ENSG00000110955; ENSG00000173660	7388; 9377; 506; 6341	103	103
0.00184832835284	0.0175758312908	Vitamin B12 Metabolism	Wikipathways	WP1533	ENSG00000173432; ENSG00000134339; ENSG00000165029	6288; 19; 6289	51	51
0.00226804644305	0.0175758312908	Huntington,s disease - Homo sapiens (human)	KEGG	path:hsa05016	ENSG00000178741; ENSG00000233276; ENSG00000110955; ENSG00000179091; ENSG00000173660	1537; 7388; 506; 2876; 9377	193	193
0.00227639132966	0.0175758312908	Glycolysis	SMPDB	SMP00040	ENSG00000159399; ENSG00000149925	3099; 226	15	15
0.00227639132966	0.0175758312908	Glycogenosis, Type VII. Tarui disease	SMPDB	SMP00531	ENSG00000159399; ENSG00000149925	3099; 226	15	15
0.00227639132966	0.0175758312908	Fanconi-bickel syndrome	SMPDB	SMP00572	ENSG00000159399; ENSG00000149925	3099; 226	15	15
0.00229712440832	0.0175758312908	Copper homeostasis	Wikipathways	WP3286	ENSG00000133028; ENSG00000164647; ENSG00000136868	6341; 26872; 1317	55	55
