p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
0.00014881728327	0.0127288883671	Negative regulation of TCF-dependent signaling by DVL-interacting proteins	Reactome	R-HSA-5368598	ENSG00000161202; ENSG00000107404	1857; 1855	6	5
0.000191411855144	0.0127288883671	Disassembly of the destruction complex and recruitment of AXIN to the membrane	Reactome	R-HSA-4641262	ENSG00000161202; ENSG00000133275; ENSG00000107404	1855; 1857; 1455	30	29
0.000530406553776	0.0175919700804	WNT mediated activation of DVL	Reactome	R-HSA-201688	ENSG00000161202; ENSG00000107404	1857; 1855	11	9
0.000530406553776	0.0175919700804	Displacement of DNA glycosylase by APEX1	Reactome	R-HSA-110357	ENSG00000103152; ENSG00000065057	4350; 4913	9	9
0.000661352258661	0.0175919700804	Base-Excision Repair, AP Site Formation	Reactome	R-HSA-73929	ENSG00000103152; ENSG00000065057	4350; 4913	10	10
0.000859960515515	0.0183377729688	PCP/CE pathway	Reactome	R-HSA-4086400	ENSG00000161202; ENSG00000175416; ENSG00000107404	1855; 1857; 1212	50	48
0.000965145945724	0.0183377729688	Degradation of DVL	Reactome	R-HSA-4641258	ENSG00000161202; ENSG00000107404	1857; 1855	13	12
0.00220411052012	0.036643337397	Degradation of beta catenin	PID	betacatenin_deg_pathway	ENSG00000161202; ENSG00000107404	1857; 1855	20	18
0.0027235085165	0.0402474036327	Canonical Wnt signaling pathway	PID	wnt_canonical_pathway	ENSG00000161202; ENSG00000107404	1857; 1855	21	20
0.00458949441628	0.0610402757366	TNFR1-induced NFkappaB signaling pathway	Reactome	R-HSA-5357956	ENSG00000023445; ENSG00000143258	330; 27005	26	26
0.00605179572936	0.0676170568188	Beta-catenin independent WNT signaling	Reactome	R-HSA-3858494	ENSG00000161202; ENSG00000107404; ENSG00000175416	1212; 1855; 1857	97	95
0.0069004859307	0.0676170568188	Noncanonical Wnt signaling pathway	PID	wnt_noncanonical_pathway	ENSG00000161202; ENSG00000107404	1855; 1857	33	32
0.007168105359	0.0676170568188	Neural Crest Differentiation	Wikipathways	WP2064	ENSG00000161202; ENSG00000204248; ENSG00000107404	1302; 1855; 1857	101	101
0.00732744102828	0.0676170568188	Base excision repair - Homo sapiens (human)	KEGG	path:hsa03410	ENSG00000103152; ENSG00000065057	4913; 4350	33	33
0.00867804500855	0.0676170568188	Wnt Signaling in Kidney Disease	Wikipathways	WP3939	ENSG00000161202; ENSG00000107404	1855; 1857	36	36
0.00915118062209	0.0676170568188	TNF signaling	Reactome	R-HSA-75893	ENSG00000023445; ENSG00000143258	330; 27005	37	37
0.00915118062209	0.0676170568188	Resolution of Abasic Sites (AP sites)	Reactome	R-HSA-73933	ENSG00000103152; ENSG00000065057	4913; 4350	37	37
0.00915118062209	0.0676170568188	Base Excision Repair	Reactome	R-HSA-73884	ENSG00000103152; ENSG00000065057	4913; 4350	37	37
