p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
3.35069241906e-05	0.00730450947355	Heroin metabolism	Wikipathways	WP2645	ENSG00000198848; ENSG00000172831	8824; 1066	2	2
0.00017213202983	0.0144988146864	retinol biosynthesis	HumanCyc	PWY-6857	ENSG00000198848; ENSG00000114115; ENSG00000172831	5947; 8824; 1066	19	19
0.000199524972749	0.0144988146864	Heroin Metabolism Pathway	SMPDB	SMP00623	ENSG00000198848; ENSG00000172831	1066; 8824	4	4
0.000267103472947	0.0145571392756	Extracellular matrix organization	Reactome	R-HSA-1474244	ENSG00000143387; ENSG00000157227; ENSG00000135862; ENSG00000111799; ENSG00000140092; ENSG00000125378; ENSG00000163520; ENSG00000163710	10516; 2199; 652; 4323; 26577; 1303; 1513; 3915	295	289
0.000352096167086	0.015351392885	Fluoropyrimidine Pathway, Pharmacokinetics	PharmGKB	PA150653776	ENSG00000198848; ENSG00000172831; ENSG00000167900	1066; 7083; 8824	24	24
0.000688788335875	0.021461350067	Molecules associated with elastic fibres	Reactome	R-HSA-2129379	ENSG00000163520; ENSG00000140092; ENSG00000125378	10516; 2199; 652	31	30
0.000834477012978	0.021461350067	Heroin Action Pathway	SMPDB	SMP00407	ENSG00000198848; ENSG00000115138; ENSG00000172831	1066; 8824; 5443	32	32
0.000917138966932	0.021461350067	Phase I biotransformations, non P450	Wikipathways	WP136	ENSG00000198848; ENSG00000172831	8824; 1066	8	8
0.00099260372956	0.021461350067	E2F transcription factor network	PID	e2f_pathway	ENSG00000198848; ENSG00000198176; ENSG00000172831; ENSG00000167900	8824; 7027; 1066; 7083	79	76
0.000998386946389	0.021461350067	Fluoropyrimidine Activity	Wikipathways	WP1601	ENSG00000198848; ENSG00000172831; ENSG00000167900	8824; 7083; 1066	34	34
0.0010874389563	0.021461350067	Elastic fibre formation	Reactome	R-HSA-1566948	ENSG00000163520; ENSG00000140092; ENSG00000125378	10516; 2199; 652	36	35
0.00118135871928	0.021461350067	Collagen degradation	Reactome	R-HSA-1442490	ENSG00000143387; ENSG00000157227; ENSG00000111799	4323; 1303; 1513	36	36
0.00128024579476	0.0214687371737	Glutaminolysis and Cancer	SMPDB	SMP02298	ENSG00000182054; ENSG00000155465; ENSG00000125166	2806; 3418; 9056	37	37
0.00166830538802	0.0259778981848	Metabolism	Reactome	R-HSA-1430728	ENSG00000152234; ENSG00000072310; ENSG00000087076; ENSG00000010810; ENSG00000138678; ENSG00000115138; ENSG00000172831; ENSG00000198848; ENSG00000114115; ENSG00000097021; ENSG00000117479; ENSG00000161714; ENSG00000125166; ENSG00000196616; ENSG00000130208; ENSG00000100983; ENSG00000179593; ENSG00000188783; ENSG00000059573; ENSG00000182054; ENSG00000167900; ENSG00000111962	8824; 2937; 498; 10090; 84803; 5443; 11332; 10560; 5832; 2534; 5947; 247; 125; 5549; 6720; 1066; 3418; 2806; 51171; 113026; 7083; 341	2035	1994
0.00234348517867	0.0303640745511	Nuclear Receptors Meta-Pathway	Wikipathways	WP2882	ENSG00000072310; ENSG00000198848; ENSG00000117479; ENSG00000172831; ENSG00000129757; ENSG00000150907; ENSG00000069702	6720; 7049; 8824; 1066; 2308; 10560; 1028	316	315
