p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
0.00104528204559	0.0784867030949	phospholipase c-epsilon pathway	BioCarta	plcepathway	ENSG00000108946; ENSG00000181467	5912; 5573	12	12
0.0015813469643	0.0784867030949	Hemostasis	Reactome	R-HSA-109582	ENSG00000108946; ENSG00000149781; ENSG00000121410; ENSG00000164535; ENSG00000171608; ENSG00000141480; ENSG00000130294; ENSG00000155465; ENSG00000178726	83706; 547; 409; 9056; 1; 221955; 5573; 5293; 7056	693	684
0.00189887184907	0.0784867030949	Osteoclast differentiation - Homo sapiens (human)	KEGG	path:hsa04380	ENSG00000170909; ENSG00000171608; ENSG00000116701; ENSG00000102575	54; 126014; 4688; 5293	132	130
0.00275801918864	0.0854985948478	Immune System	Reactome	R-HSA-168256	ENSG00000166888; ENSG00000106299; ENSG00000146094; ENSG00000108946; ENSG00000117281; ENSG00000064726; ENSG00000173083; ENSG00000069424; ENSG00000121410; ENSG00000116701; ENSG00000171608; ENSG00000135077; ENSG00000169139; ENSG00000181467; ENSG00000170909; ENSG00000141480	126014; 11126; 6778; 4688; 409; 1; 84868; 53339; 8514; 10855; 79930; 7336; 5912; 5293; 8976; 5573	1950	1904
0.00390335635189	0.0869204682432	Bacterial invasion of epithelial cells - Homo sapiens (human)	KEGG	path:hsa05100	ENSG00000106299; ENSG00000105971; ENSG00000171608	8976; 5293; 858	78	78
0.00437518080548	0.0869204682432	Innate Immune System	Reactome	R-HSA-168249	ENSG00000166888; ENSG00000106299; ENSG00000146094; ENSG00000108946; ENSG00000173083; ENSG00000069424; ENSG00000121410; ENSG00000116701; ENSG00000171608; ENSG00000181467; ENSG00000170909; ENSG00000141480	126014; 10855; 6778; 4688; 8514; 409; 1; 5573; 5912; 5293; 8976; 79930	1309	1276
0.00554797616061	0.0869204682432	Platelet activation, signaling and aggregation	Reactome	R-HSA-76002	ENSG00000149781; ENSG00000121410; ENSG00000141480; ENSG00000171608; ENSG00000164535	5293; 221955; 83706; 409; 1	283	281
0.00615212652228	0.0869204682432	Nephrin/Neph1 signaling in the kidney podocyte	PID	nephrin_neph1_pathway	ENSG00000141480; ENSG00000106299	409; 8976	29	29
0.00657449536214	0.0869204682432	Activation of BH3-only proteins	Reactome	R-HSA-114452	ENSG00000104081; ENSG00000198176	90427; 7027	31	30
0.0070097151809	0.0869204682432	Metabolism of steroid hormones	Reactome	R-HSA-196071	ENSG00000149084; ENSG00000117594	3290; 51144	31	31
0.00988493269886	0.105894676473	Steroid hormones	Reactome	R-HSA-209943	ENSG00000149084; ENSG00000117594	3290; 51144	37	37
