p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
4.32921600633e-06	0.000106447781803	3-Methylglutaconic Aciduria Type I	SMPDB	SMP00139	ENSG00000119711; ENSG00000083123; ENSG00000078070; ENSG00000146085; ENSG00000167315	594; 56922; 10449; 4329; 4594	30	30
4.32921600633e-06	0.000106447781803	Valine, Leucine and Isoleucine Degradation	SMPDB	SMP00032	ENSG00000119711; ENSG00000083123; ENSG00000078070; ENSG00000146085; ENSG00000167315	594; 56922; 10449; 4329; 4594	30	30
4.32921600633e-06	0.000106447781803	2-Methyl-3-Hydroxybutryl CoA Dehydrogenase Deficiency	SMPDB	SMP00137	ENSG00000119711; ENSG00000083123; ENSG00000078070; ENSG00000146085; ENSG00000167315	594; 56922; 10449; 4329; 4594	30	30
4.32921600633e-06	0.000106447781803	Isovaleric Aciduria	SMPDB	SMP00238	ENSG00000119711; ENSG00000083123; ENSG00000078070; ENSG00000146085; ENSG00000167315	594; 56922; 10449; 4329; 4594	30	30
4.32921600633e-06	0.000106447781803	3-Methylcrotonyl Coa Carboxylase Deficiency Type I	SMPDB	SMP00237	ENSG00000119711; ENSG00000083123; ENSG00000078070; ENSG00000146085; ENSG00000167315	594; 56922; 10449; 4329; 4594	30	30
4.32921600633e-06	0.000106447781803	Propionic Acidemia	SMPDB	SMP00236	ENSG00000119711; ENSG00000083123; ENSG00000078070; ENSG00000146085; ENSG00000167315	594; 56922; 10449; 4329; 4594	30	30
4.32921600633e-06	0.000106447781803	Maple Syrup Urine Disease	SMPDB	SMP00199	ENSG00000119711; ENSG00000083123; ENSG00000078070; ENSG00000146085; ENSG00000167315	594; 56922; 10449; 4329; 4594	30	30
4.32921600633e-06	0.000106447781803	3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency	SMPDB	SMP00138	ENSG00000119711; ENSG00000083123; ENSG00000078070; ENSG00000146085; ENSG00000167315	594; 56922; 10449; 4329; 4594	30	30
4.32921600633e-06	0.000106447781803	Isobutyryl-coa dehydrogenase deficiency	SMPDB	SMP00523	ENSG00000119711; ENSG00000083123; ENSG00000078070; ENSG00000146085; ENSG00000167315	594; 56922; 10449; 4329; 4594	30	30
4.32921600633e-06	0.000106447781803	3-hydroxyisobutyric aciduria	SMPDB	SMP00522	ENSG00000119711; ENSG00000083123; ENSG00000078070; ENSG00000146085; ENSG00000167315	594; 56922; 10449; 4329; 4594	30	30
4.32921600633e-06	0.000106447781803	3-hydroxyisobutyric acid dehydrogenase deficiency	SMPDB	SMP00521	ENSG00000119711; ENSG00000083123; ENSG00000078070; ENSG00000146085; ENSG00000167315	594; 56922; 10449; 4329; 4594	30	30
4.32921600633e-06	0.000106447781803	Isovaleric acidemia	SMPDB	SMP00524	ENSG00000119711; ENSG00000083123; ENSG00000078070; ENSG00000146085; ENSG00000167315	594; 56922; 10449; 4329; 4594	30	30
4.32921600633e-06	0.000106447781803	Methylmalonate Semialdehyde Dehydrogenase Deficiency	SMPDB	SMP00384	ENSG00000119711; ENSG00000083123; ENSG00000078070; ENSG00000146085; ENSG00000167315	594; 56922; 10449; 4329; 4594	30	30
4.32921600633e-06	0.000106447781803	Methylmalonic Aciduria	SMPDB	SMP00200	ENSG00000119711; ENSG00000083123; ENSG00000078070; ENSG00000146085; ENSG00000167315	594; 56922; 10449; 4329; 4594	30	30
4.32921600633e-06	0.000106447781803	3-Methylglutaconic Aciduria Type IV	SMPDB	SMP00141	ENSG00000119711; ENSG00000083123; ENSG00000078070; ENSG00000146085; ENSG00000167315	594; 56922; 10449; 4329; 4594	30	30
4.32921600633e-06	0.000106447781803	3-Methylglutaconic Aciduria Type III	SMPDB	SMP00140	ENSG00000119711; ENSG00000083123; ENSG00000078070; ENSG00000146085; ENSG00000167315	594; 56922; 10449; 4329; 4594	30	30
4.32921600633e-06	0.000106447781803	Beta-Ketothiolase Deficiency	SMPDB	SMP00173	ENSG00000119711; ENSG00000083123; ENSG00000078070; ENSG00000146085; ENSG00000167315	594; 56922; 10449; 4329; 4594	30	30
4.62055650028e-05	0.0010729958984	Valine, leucine and isoleucine degradation - Homo sapiens (human)	KEGG	path:hsa00280	ENSG00000119711; ENSG00000083123; ENSG00000078070; ENSG00000146085; ENSG00000167315	10449; 594; 56922; 4329; 4594	48	48
8.74318121993e-05	0.00192349986838	CMP phosphorylation	HumanCyc	PWY-7205	ENSG00000103202; ENSG00000243678; ENSG00000103024	4832; 4833; 4831	11	11
0.000115872484279	0.00215876831403	pyrimidine deoxyribonucleotide phosphorylation	HumanCyc	PWY-7197	ENSG00000103202; ENSG00000243678; ENSG00000103024	4832; 4833; 4831	12	12
0.000115872484279	0.00215876831403	guanosine deoxyribonucleotides <i>de novo</i> biosynthesis	HumanCyc	PWY-7226	ENSG00000103202; ENSG00000243678; ENSG00000103024	4833; 4832; 4831	12	12
0.000115872484279	0.00215876831403	adenosine deoxyribonucleotides <i>de novo</i> biosynthesis	HumanCyc	PWY-7227	ENSG00000103202; ENSG00000243678; ENSG00000103024	4833; 4832; 4831	12	12
0.000118783902447	0.00215876831403	Folate metabolism	INOH	None	ENSG00000103202; ENSG00000100714; ENSG00000243678; ENSG00000103024	4831; 4833; 4832; 4522	32	31
0.000128839993044	0.00224396321218	Pyrimidine metabolism	EHMN	Pyrimidine metabolism	ENSG00000186141; ENSG00000243678; ENSG00000075188; ENSG00000103202; ENSG00000111581; ENSG00000013503; ENSG00000125630	4831; 57122; 79023; 10623; 55703; 84172; 4833	137	135
0.000149725816511	0.00231797745562	UTP and CTP <i>de novo</i> biosynthesis	HumanCyc	PWY-7176	ENSG00000103202; ENSG00000243678; ENSG00000103024	4832; 4833; 4831	13	13
0.000149725816511	0.00231797745562	purine deoxyribonucleosides salvage	HumanCyc	PWY-7224	ENSG00000103202; ENSG00000243678; ENSG00000103024	4832; 4833; 4831	13	13
0.000149725816511	0.00231797745562	guanosine ribonucleotides <i>de novo</i> biosynthesis	HumanCyc	PWY-7221	ENSG00000103202; ENSG00000243678; ENSG00000103024	4832; 4833; 4831	13	13
0.000222806909796	0.00332618886767	Pyrimidine metabolism - Homo sapiens (human)	KEGG	path:hsa00240	ENSG00000243678; ENSG00000103202; ENSG00000186141; ENSG00000013503; ENSG00000103024; ENSG00000125630	84172; 4831; 4832; 4833; 10623; 55703	105	104
0.00023533734747	0.00334368445492	superpathway of pyrimidine ribonucleotides <i>de novo</i> biosynthesis	HumanCyc	PWY0-162	ENSG00000103202; ENSG00000243678; ENSG00000103024	4832; 4833; 4831	15	15
0.000239977353224	0.00334368445492	Interactions of Rev with host cellular proteins	Reactome	R-HSA-177243	ENSG00000082898; ENSG00000111581; ENSG00000131759; ENSG00000075188	5914; 57122; 7514; 79023	37	37
