p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
9.08908436228e-10	2.05140634057e-06	Gene Expression	Reactome	R-HSA-74160	ENSG00000166562; ENSG00000233927; ENSG00000120800; ENSG00000196646; ENSG00000130726; ENSG00000082898; ENSG00000163714; ENSG00000125835; ENSG00000175793; ENSG00000165392; ENSG00000138385; ENSG00000188295; ENSG00000145736; ENSG00000126351; ENSG00000117593; ENSG00000164022; ENSG00000146757; ENSG00000188846; ENSG00000107581; ENSG00000132661; ENSG00000177971; ENSG00000172336; ENSG00000167447; ENSG00000110700; ENSG00000158373; ENSG00000047315; ENSG00000083520; ENSG00000182134; ENSG00000113522; ENSG00000125107; ENSG00000161970; ENSG00000167981; ENSG00000164338; ENSG00000111581; ENSG00000111775; ENSG00000205323; ENSG00000125630; ENSG00000166908; ENSG00000163882; ENSG00000175467; ENSG00000138095; ENSG00000122406; ENSG00000067167; ENSG00000106617; ENSG00000154743; ENSG00000204231; ENSG00000108953; ENSG00000204371; ENSG00000197044; ENSG00000108883; ENSG00000127511; ENSG00000235174; ENSG00000136866; ENSG00000063244; ENSG00000104687; ENSG00000136715; ENSG00000110367; ENSG00000047410; ENSG00000030066; ENSG00000178741; ENSG00000141759; ENSG00000153147; ENSG00000185386; ENSG00000124813; ENSG00000100883; ENSG00000069248; ENSG00000100664; ENSG00000157933; ENSG00000142556; ENSG00000196110; ENSG00000111361; ENSG00000120784; ENSG00000244038; ENSG00000229809; ENSG00000075188; ENSG00000090061; ENSG00000012048; ENSG00000204611; ENSG00000197238; ENSG00000198730; ENSG00000136937; ENSG00000141510; ENSG00000058600; ENSG00000182934; ENSG00000174173; ENSG00000174177; ENSG00000101161; ENSG00000167658; ENSG00000126457; ENSG00000171566; ENSG00000161981; ENSG00000198551; ENSG00000140694; ENSG00000071894; ENSG00000173875; ENSG00000126814; ENSG00000175691; ENSG00000172977; ENSG00000178449; ENSG00000013503; ENSG00000164062; ENSG00000197013; ENSG00000105849; ENSG00000187079; ENSG00000186654; ENSG00000126883; ENSG00000204920; ENSG00000125450; ENSG00000164902; ENSG00000120253; ENSG00000104320; ENSG00000112511; ENSG00000003400; ENSG00000174231; ENSG00000113569; ENSG00000026103; ENSG00000169217; ENSG00000124562; ENSG00000113360; ENSG00000101343; ENSG00000119616; ENSG00000164885; ENSG00000234444; ENSG00000125484; ENSG00000163682; ENSG00000065183; ENSG00000236698; ENSG00000119203; ENSG00000104221; ENSG00000119041; ENSG00000108064; ENSG00000138750; ENSG00000144028; ENSG00000140612; ENSG00000197935; ENSG00000131652; ENSG00000065457; ENSG00000104881; ENSG00000104884; ENSG00000092201; ENSG00000149100; ENSG00000174780; ENSG00000127445; ENSG00000196387; ENSG00000153187; ENSG00000108773; ENSG00000131759; ENSG00000100462; ENSG00000177595; ENSG00000141040; ENSG00000132383; ENSG00000095002; ENSG00000189043; ENSG00000145388; ENSG00000169375; ENSG00000176340; ENSG00000151849; ENSG00000178935; ENSG00000132467; ENSG00000167815; ENSG00000197647; ENSG00000162889; ENSG00000160352; ENSG00000205250; ENSG00000107614; ENSG00000186141; ENSG00000143742; ENSG00000160113; ENSG00000188976; ENSG00000118046; ENSG00000162396; ENSG00000090097; ENSG00000122085; ENSG00000143294; ENSG00000114942; ENSG00000156482; ENSG00000177463; ENSG00000021776; ENSG00000171649; ENSG00000084463; ENSG00000143514; ENSG00000124787; ENSG00000005007; ENSG00000124783; ENSG00000229117; ENSG00000117597; ENSG00000247626; ENSG00000134250; ENSG00000145912; ENSG00000179598; ENSG00000198677; ENSG00000182973; ENSG00000067704; ENSG00000136628; ENSG00000167005; ENSG00000182979	8467; 6133; 11338; 51729; 10919; 23279; 3192; 9112; 9255; 1650; 9652; 55835; 23019; 51422; 2810; 10594; 25904; 10111; 8021; 84172; 7019; 79595; 1351; 1938; 10480; 7514; 6154; 10885; 25973; 6734; 2936; 6497; 6125; 130916; 5431; 1967; 2966; 23020; 55367; 7003; 7182; 7175; 5600; 55290; 84324; 168374; 672; 728927; 58492; 79837; 80746; 3017; 9330; 57122; 280661; 201164; 79902; 163049; 6628; 1933; 6156; 51808; 23478; 6729; 55699; 26155; 23471; 6726; 1787; 6117; 51340; 221830; 4683; 24148; 5073; 10799; 5252; 23536; 10248; 1874; 22835; 9343; 10524; 29102; 348995; 199692; 163059; 7486; 8363; 29894; 5976; 6631; 51077; 9631; 84135; 8661; 55157; 4853; 80110; 6794; 327; 10419; 9646; 54931; 55746; 10907; 7711; 4436; 79818; 5356; 148206; 6741; 146542; 284307; 5546; 6731; 57050; 6234; 51692; 9261; 1656; 2068; 7157; 2648; 55615; 126068; 11198; 79228; 10421; 5300; 29107; 79862; 6171; 355; 90317; 10848; 55651; 860; 5437; 55703; 9092; 9045; 3276; 8812; 6207; 7699; 4697; 843; 23350; 353088; 10155; 7539; 55181; 11022; 55718; 92935; 1337; 282890; 285785; 57060; 79622; 9329; 57336; 53371; 11051; 9716; 10128; 84987; 23309; 22894; 7695; 27042; 1983; 1020; 348180; 55272; 374879; 7001; 2058; 9377; 4686; 10623; 27340; 7531; 57570; 7159; 146434; 2063; 5914; 6257; 57721; 79023; 7067; 25942; 90701; 6745	1755	1710
1.01633075025e-07	0.000114692925165	Metabolism of proteins	Reactome	R-HSA-392499	ENSG00000166562; ENSG00000184432; ENSG00000177370; ENSG00000115138; ENSG00000233927; ENSG00000156256; ENSG00000165392; ENSG00000158850; ENSG00000168283; ENSG00000108055; ENSG00000253710; ENSG00000165097; ENSG00000099341; ENSG00000188846; ENSG00000141560; ENSG00000138768; ENSG00000196547; ENSG00000141510; ENSG00000170348; ENSG00000138316; ENSG00000158373; ENSG00000065135; ENSG00000107651; ENSG00000148120; ENSG00000161970; ENSG00000108106; ENSG00000113013; ENSG00000111581; ENSG00000128731; ENSG00000084733; ENSG00000204227; ENSG00000253729; ENSG00000113812; ENSG00000122406; ENSG00000119414; ENSG00000067167; ENSG00000008952; ENSG00000112139; ENSG00000170946; ENSG00000112335; ENSG00000138674; ENSG00000105619; ENSG00000185009; ENSG00000235174; ENSG00000047410; ENSG00000030066; ENSG00000169228; ENSG00000071537; ENSG00000089597; ENSG00000197563; ENSG00000140859; ENSG00000100883; ENSG00000136152; ENSG00000069248; ENSG00000164062; ENSG00000100664; ENSG00000106392; ENSG00000111361; ENSG00000244038; ENSG00000117411; ENSG00000115233; ENSG00000158019; ENSG00000197102; ENSG00000114353; ENSG00000012048; ENSG00000170881; ENSG00000163468; ENSG00000170791; ENSG00000075188; ENSG00000110955; ENSG00000136930; ENSG00000161013; ENSG00000180398; ENSG00000182934; ENSG00000127022; ENSG00000156482; ENSG00000118007; ENSG00000154767; ENSG00000142303; ENSG00000173402; ENSG00000198356; ENSG00000107581; ENSG00000110700; ENSG00000163322; ENSG00000185808; ENSG00000117543; ENSG00000087111; ENSG00000164068; ENSG00000136731; ENSG00000132912; ENSG00000086598; ENSG00000163513; ENSG00000134686; ENSG00000077254; ENSG00000145604; ENSG00000149100; ENSG00000143258; ENSG00000171148; ENSG00000143315; ENSG00000119523; ENSG00000126883; ENSG00000114742; ENSG00000125450; ENSG00000120253; ENSG00000114745; ENSG00000136986; ENSG00000170266; ENSG00000105701; ENSG00000103126; ENSG00000113569; ENSG00000103121; ENSG00000120438; ENSG00000185900; ENSG00000064692; ENSG00000163682; ENSG00000160323; ENSG00000236698; ENSG00000136485; ENSG00000175768; ENSG00000254685; ENSG00000172469; ENSG00000140612; ENSG00000134910; ENSG00000138592; ENSG00000129083; ENSG00000138750; ENSG00000167658; ENSG00000136518; ENSG00000167363; ENSG00000107829; ENSG00000174780; ENSG00000111726; ENSG00000102910; ENSG00000101199; ENSG00000108773; ENSG00000119912; ENSG00000132383; ENSG00000149182; ENSG00000139133; ENSG00000124659; ENSG00000128039; ENSG00000115484; ENSG00000154305; ENSG00000025796; ENSG00000197238; ENSG00000134146; ENSG00000143742; ENSG00000159069; ENSG00000115145; ENSG00000100902; ENSG00000158623; ENSG00000159921; ENSG00000159063; ENSG00000167461; ENSG00000114942; ENSG00000165660; ENSG00000152683; ENSG00000124783; ENSG00000229117; ENSG00000167770; ENSG00000142507; ENSG00000122218; ENSG00000075785; ENSG00000128266; ENSG00000182979; ENSG00000104312	10890; 440138; 6502; 6903; 9627; 221656; 64122; 401505; 29844; 79139; 6950; 10959; 23556; 5694; 83752; 9112; 1650; 79644; 10254; 5687; 8704; 120526; 6133; 1967; 8021; 6468; 11282; 7048; 1938; 10480; 6154; 7095; 6734; 6125; 29928; 8724; 266727; 23279; 8312; 81794; 51227; 7175; 8703; 5443; 55611; 84142; 22872; 672; 84364; 8790; 3017; 280661; 79672; 1983; 79902; 55676; 93183; 1933; 6156; 23478; 6729; 57599; 23471; 5537; 6726; 6117; 1315; 7879; 64689; 11196; 55907; 3416; 8924; 140766; 54461; 23032; 7203; 56942; 348995; 85365; 7486; 8363; 10274; 7508; 83548; 79694; 86; 94005; 8661; 9276; 2781; 56886; 648; 2771; 2720; 26985; 327; 84909; 26958; 55746; 1912; 57122; 821; 89978; 10474; 11236; 6731; 439; 4122; 3703; 6015; 10575; 79145; 6234; 1778; 2773; 3313; 27005; 7157; 2648; 10020; 9101; 11231; 3801; 10972; 375056; 1314; 6171; 27338; 9631; 10600; 84197; 9045; 6207; 1605; 23193; 56913; 90411; 23770; 10238; 23172; 8767; 285785; 10213; 93973; 53371; 79053; 63891; 9126; 5591; 9577; 51164; 8615; 55738; 51611; 6400; 5695; 506; 84920; 53917; 5714; 79023; 90701; 11093; 4218; 6745	1506	1478
3.17668376911e-07	0.000238992508896	Vitamin E metabolism	EHMN	Vitamin E metabolism	ENSG00000184227; ENSG00000111581; ENSG00000155380; ENSG00000120253; ENSG00000113569; ENSG00000084754; ENSG00000030066; ENSG00000113790; ENSG00000138750; ENSG00000126883; ENSG00000167315; ENSG00000075188; ENSG00000069248; ENSG00000125450; ENSG00000138029	3032; 79902; 23279; 641371; 3030; 53371; 8021; 10449; 57122; 348995; 79023; 6566; 9631; 1962; 55746	43	43
6.80421620384e-07	0.000383927899301	SUMOylation of DNA damage response and repair proteins	Reactome	R-HSA-3108214	ENSG00000108055; ENSG00000134686; ENSG00000118007; ENSG00000138750; ENSG00000126883; ENSG00000204227; ENSG00000132383; ENSG00000113569; ENSG00000168283; ENSG00000075188; ENSG00000120253; ENSG00000012048; ENSG00000047410; ENSG00000111581; ENSG00000165392; ENSG00000069248; ENSG00000125450; ENSG00000128731; ENSG00000030066; ENSG00000154767	79902; 6117; 8924; 648; 23279; 1912; 7175; 7486; 10274; 53371; 8021; 6015; 57122; 348995; 79023; 9126; 9631; 7508; 672; 55746	78	76
2.0287310396e-06	0.000915769191276	SUMO E3 ligases SUMOylate target proteins	Reactome	R-HSA-3108232	ENSG00000165392; ENSG00000047410; ENSG00000030066; ENSG00000168283; ENSG00000108055; ENSG00000132383; ENSG00000126883; ENSG00000069248; ENSG00000125450; ENSG00000120253; ENSG00000113569; ENSG00000134686; ENSG00000075188; ENSG00000012048; ENSG00000111581; ENSG00000128731; ENSG00000204227; ENSG00000141510; ENSG00000138750; ENSG00000182979; ENSG00000118007; ENSG00000154767	7508; 57122; 9112; 6117; 9631; 7157; 79902; 7175; 53371; 348995; 79023; 55746; 648; 1912; 7486; 6015; 10274; 8021; 9126; 8924; 672; 23279	98	95
3.7381008789e-06	0.00140614894728	Aminosugars metabolism	EHMN	Aminosugars metabolism	ENSG00000184432; ENSG00000111581; ENSG00000158623; ENSG00000168003; ENSG00000113569; ENSG00000111726; ENSG00000075188; ENSG00000120253; ENSG00000122218; ENSG00000138750; ENSG00000126883; ENSG00000069248; ENSG00000125450; ENSG00000030066; ENSG00000129083	55907; 1315; 79902; 26958; 23279; 6520; 1314; 53371; 57122; 348995; 8021; 79023; 9631; 9276; 55746	51	51
5.94597932389e-06	0.00157294524684	SUMOylation	Reactome	R-HSA-2990846	ENSG00000165392; ENSG00000047410; ENSG00000030066; ENSG00000168283; ENSG00000108055; ENSG00000132383; ENSG00000126883; ENSG00000069248; ENSG00000125450; ENSG00000120253; ENSG00000113569; ENSG00000134686; ENSG00000075188; ENSG00000012048; ENSG00000111581; ENSG00000128731; ENSG00000204227; ENSG00000141510; ENSG00000138750; ENSG00000182979; ENSG00000118007; ENSG00000154767	7508; 57122; 9112; 6117; 9631; 7157; 79902; 7175; 53371; 348995; 79023; 55746; 648; 1912; 7486; 6015; 10274; 8021; 9126; 8924; 672; 23279	104	101
6.60542030427e-06	0.00157294524684	Transport of Mature mRNA Derived from an Intronless Transcript	Reactome	R-HSA-159231	ENSG00000111581; ENSG00000136937; ENSG00000119203; ENSG00000071894; ENSG00000113569; ENSG00000075188; ENSG00000120253; ENSG00000138750; ENSG00000126883; ENSG00000069248; ENSG00000125450; ENSG00000047410; ENSG00000030066	51692; 29894; 79902; 4686; 23279; 7175; 53371; 57122; 348995; 8021; 79023; 9631; 55746	43	41
6.96467495844e-06	0.00157294524684	Post-translational protein modification	Reactome	R-HSA-597592	ENSG00000184432; ENSG00000156256; ENSG00000165392; ENSG00000158850; ENSG00000168283; ENSG00000108055; ENSG00000253710; ENSG00000165097; ENSG00000099341; ENSG00000141560; ENSG00000196547; ENSG00000138316; ENSG00000158373; ENSG00000107651; ENSG00000108106; ENSG00000111581; ENSG00000128731; ENSG00000084733; ENSG00000253729; ENSG00000113812; ENSG00000119414; ENSG00000106392; ENSG00000112139; ENSG00000170946; ENSG00000112335; ENSG00000138674; ENSG00000105619; ENSG00000047410; ENSG00000030066; ENSG00000169228; ENSG00000071537; ENSG00000089597; ENSG00000197563; ENSG00000138768; ENSG00000136152; ENSG00000069248; ENSG00000204227; ENSG00000244038; ENSG00000117411; ENSG00000115233; ENSG00000158019; ENSG00000197102; ENSG00000075188; ENSG00000012048; ENSG00000170881; ENSG00000136930; ENSG00000141510; ENSG00000180398; ENSG00000127022; ENSG00000118007; ENSG00000154767; ENSG00000142303; ENSG00000173402; ENSG00000122218; ENSG00000163322; ENSG00000185808; ENSG00000117543; ENSG00000087111; ENSG00000164068; ENSG00000136731; ENSG00000132912; ENSG00000086598; ENSG00000163513; ENSG00000134686; ENSG00000077254; ENSG00000145604; ENSG00000143258; ENSG00000171148; ENSG00000143315; ENSG00000119523; ENSG00000126883; ENSG00000114742; ENSG00000125450; ENSG00000120253; ENSG00000114745; ENSG00000136986; ENSG00000170266; ENSG00000105701; ENSG00000103126; ENSG00000113569; ENSG00000160323; ENSG00000161013; ENSG00000254685; ENSG00000172469; ENSG00000134910; ENSG00000138592; ENSG00000129083; ENSG00000138750; ENSG00000167658; ENSG00000136518; ENSG00000167363; ENSG00000111726; ENSG00000185900; ENSG00000101199; ENSG00000108773; ENSG00000119912; ENSG00000132383; ENSG00000149182; ENSG00000139133; ENSG00000128039; ENSG00000154305; ENSG00000170348; ENSG00000134146; ENSG00000115145; ENSG00000100902; ENSG00000158623; ENSG00000159921; ENSG00000159063; ENSG00000167461; ENSG00000165660; ENSG00000167770; ENSG00000142507; ENSG00000075785; ENSG00000182979; ENSG00000104312	26958; 1605; 8790; 3017; 10890; 79672; 79902; 440138; 6502; 93183; 56913; 90411; 55746; 221656; 1912; 23770; 57599; 64122; 23172; 8767; 3416; 8924; 1315; 10959; 5537; 23556; 5694; 57122; 821; 9112; 1650; 10213; 79644; 10254; 89978; 29844; 120526; 79139; 10474; 85365; 53371; 79053; 63891; 11236; 4122; 64689; 6015; 8021; 9126; 3703; 11196; 55907; 10972; 1778; 140766; 11282; 27005; 7048; 5591; 7879; 9577; 4218; 1938; 7157; 2648; 51164; 23032; 10020; 8615; 348995; 55738; 7486; 10274; 51611; 27338; 6400; 266727; 5695; 23279; 8724; 84920; 6117; 7508; 83548; 79694; 8312; 375056; 86; 53917; 81794; 94005; 1314; 51227; 9631; 23193; 9101; 7175; 5714; 8703; 79023; 93973; 9276; 55611; 8704; 56886; 648; 10600; 84197; 11093; 672; 84142; 22872; 2720; 84364; 5687	1026	1011
6.96918585221e-06	0.00157294524684	NEP/NS2 Interacts with the Cellular Export Machinery	Reactome	R-HSA-168333	ENSG00000125450; ENSG00000113569; ENSG00000082898; ENSG00000075188; ENSG00000120253; ENSG00000138750; ENSG00000126883; ENSG00000069248; ENSG00000111581; ENSG00000047410; ENSG00000030066	79902; 23279; 7175; 7514; 53371; 57122; 348995; 8021; 79023; 9631; 55746	30	30
