p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
5.00974109191e-09	3.30642912066e-07	Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.	Reactome	R-HSA-163200	ENSG00000126267; ENSG00000169021; ENSG00000133028; ENSG00000147684; ENSG00000179091; ENSG00000241468; ENSG00000073578; ENSG00000170906	4696; 4715; 7386; 1537; 6389; 9551; 6341; 1340	126	123
3.01041755166e-08	8.13909288369e-07	Respiratory electron transport	Reactome	R-HSA-611105	ENSG00000126267; ENSG00000169021; ENSG00000133028; ENSG00000147684; ENSG00000179091; ENSG00000073578; ENSG00000170906	4696; 4715; 7386; 6389; 6341; 1537; 1340	103	100
3.69958767441e-08	8.13909288369e-07	Electron Transport Chain	Wikipathways	WP111	ENSG00000126267; ENSG00000133028; ENSG00000147684; ENSG00000169021; ENSG00000241468; ENSG00000073578; ENSG00000170906	7386; 6389; 9551; 1340; 6341; 4696; 4715	103	103
5.54909957938e-08	9.15601430597e-07	The citric acid (TCA) cycle and respiratory electron transport	Reactome	R-HSA-1428517	ENSG00000126267; ENSG00000169021; ENSG00000133028; ENSG00000147684; ENSG00000179091; ENSG00000241468; ENSG00000073578; ENSG00000170906	4696; 4715; 7386; 1537; 6389; 9551; 6341; 1340	171	167
2.16219257588e-07	2.85409420016e-06	Oxidative phosphorylation - Homo sapiens (human)	KEGG	path:hsa00190	ENSG00000126267; ENSG00000179091; ENSG00000147684; ENSG00000169021; ENSG00000241468; ENSG00000073578; ENSG00000170906	1537; 4696; 4715; 7386; 6389; 1340; 9551	133	133
1.78569887291e-06	1.9642687602e-05	Mitochondrial protein import	Reactome	R-HSA-1268020	ENSG00000099800; ENSG00000250479; ENSG00000105197; ENSG00000179091; ENSG00000134375	26517; 92609; 400916; 10440; 1537	63	63
6.19559296408e-06	5.84155908042e-05	Parkinson,s disease - Homo sapiens (human)	KEGG	path:hsa05012	ENSG00000126267; ENSG00000179091; ENSG00000147684; ENSG00000169021; ENSG00000073578; ENSG00000170906	1537; 4696; 4715; 7386; 6389; 1340	142	142
8.82304401889e-06	7.27901131558e-05	Non-alcoholic fatty liver disease (NAFLD) - Homo sapiens (human)	KEGG	path:hsa04932	ENSG00000126267; ENSG00000179091; ENSG00000147684; ENSG00000169021; ENSG00000073578; ENSG00000170906	1537; 4696; 4715; 7386; 6389; 1340	151	151
1.79474319612e-05	0.000131614501049	Alzheimer,s disease - Homo sapiens (human)	KEGG	path:hsa05010	ENSG00000126267; ENSG00000179091; ENSG00000147684; ENSG00000169021; ENSG00000073578; ENSG00000170906	1537; 4696; 4715; 7386; 6389; 1340	171	171
3.55475882789e-05	0.000234614082641	Huntington,s disease - Homo sapiens (human)	KEGG	path:hsa05016	ENSG00000126267; ENSG00000179091; ENSG00000147684; ENSG00000169021; ENSG00000073578; ENSG00000170906	1537; 4696; 1340; 6389; 7386; 4715	193	193
0.000217285680376	0.00119507124207	Long-chain-3-hydroxyacyl-coa dehydrogenase deficiency (LCHAD)	SMPDB	SMP00544	ENSG00000116353; ENSG00000127884	1892; 51102	7	7
0.000217285680376	0.00119507124207	Fatty Acid Elongation In Mitochondria	SMPDB	SMP00054	ENSG00000116353; ENSG00000127884	1892; 51102	7	7
0.00102710226463	0.00521451918966	Oxidative phosphorylation	Wikipathways	WP623	ENSG00000241468; ENSG00000147684; ENSG00000170906	4696; 4715; 9551	61	61
0.00208909917247	0.00984861038448	Cardiac muscle contraction - Homo sapiens (human)	KEGG	path:hsa04260	ENSG00000169021; ENSG00000126267; ENSG00000179091	1340; 1537; 7386	78	78
0.00231695379884	0.0101945967149	Fatty Acid Biosynthesis	Wikipathways	WP357	ENSG00000116353; ENSG00000127884	1892; 51102	22	22
0.00253236879169	0.0103646491594	ctcf: first multivalent nuclear factor	BioCarta	ctcfpathway	ENSG00000111276; ENSG00000186716	613; 1027	23	23
0.00266968235923	0.0103646491594	TP53 Regulates Metabolic Genes	Reactome	R-HSA-5628897	ENSG00000149357; ENSG00000126267; ENSG00000133028	55004; 6341; 1340	86	85
0.00299040709135	0.0103877298963	Saturated fatty acids beta-oxidation	EHMN	Saturated fatty acids beta-oxidation	ENSG00000116353; ENSG00000127884	51102; 1892	25	25
0.00299040709135	0.0103877298963	Fatty acid elongation - Homo sapiens (human)	KEGG	path:hsa00062	ENSG00000116353; ENSG00000127884	51102; 1892	25	25
0.00320397350891	0.0105731125794	Metabolism	Reactome	R-HSA-1430728	ENSG00000126267; ENSG00000169021; ENSG00000185624; ENSG00000133028; ENSG00000147684; ENSG00000179091; ENSG00000004455; ENSG00000127884; ENSG00000241468; ENSG00000115556; ENSG00000104812; ENSG00000170906; ENSG00000073578; ENSG00000145476	204; 84812; 1537; 2997; 1340; 1892; 6341; 285440; 5034; 7386; 4696; 6389; 4715; 9551	2035	1994
0.00613871227688	0.0192930957273	adenosine ribonucleotides <i>de novo</i> biosynthesis	HumanCyc	PWY-7219	ENSG00000241468; ENSG00000004455	9551; 204	37	36
