p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
2.22010727412e-13	5.75451805451e-10	Valine, leucine and isoleucine degradation - Homo sapiens (human)	KEGG	path:hsa00280	ENSG00000198130; ENSG00000146085; ENSG00000075239; ENSG00000083123; ENSG00000083720; ENSG00000113790; ENSG00000117054; ENSG00000137992; ENSG00000138029; ENSG00000111275; ENSG00000114054; ENSG00000167315; ENSG00000175198; ENSG00000196177; ENSG00000060971; ENSG00000105552; ENSG00000131844; ENSG00000091140; ENSG00000084754; ENSG00000183044; ENSG00000119711; ENSG00000078070; ENSG00000143149; ENSG00000137124	18; 217; 5019; 30; 34; 36; 38; 1962; 1738; 587; 10449; 594; 26275; 3030; 64087; 3032; 56922; 219; 1629; 223; 5095; 5096; 4329; 4594	48	48
3.41861175756e-11	7.26860783729e-09	Valine, leucine and isoleucine degradation	EHMN	Valine, leucine and isoleucine degradation	ENSG00000198130; ENSG00000083123; ENSG00000113790; ENSG00000117054; ENSG00000138029; ENSG00000111275; ENSG00000114054; ENSG00000167315; ENSG00000175198; ENSG00000196177; ENSG00000105552; ENSG00000131844; ENSG00000091140; ENSG00000084754; ENSG00000183044; ENSG00000119711; ENSG00000133835; ENSG00000168003; ENSG00000078070; ENSG00000067704; ENSG00000143149; ENSG00000137124	5095; 1738; 64087; 56922; 219; 6520; 594; 36; 223; 3295; 26275; 3032; 55699; 10449; 3030; 34; 4329; 5096; 18; 217; 1962; 587	49	49
5.32806901654e-11	7.26860783729e-09	3-Methylglutaconic Aciduria Type I	SMPDB	SMP00139	ENSG00000198130; ENSG00000196177; ENSG00000146085; ENSG00000075239; ENSG00000131844; ENSG00000083123; ENSG00000078070; ENSG00000091140; ENSG00000083720; ENSG00000114054; ENSG00000183044; ENSG00000117054; ENSG00000175198; ENSG00000167315; ENSG00000137992; ENSG00000111275; ENSG00000119711	594; 1738; 1629; 34; 56922; 64087; 36; 26275; 18; 10449; 4329; 5095; 5096; 4594; 217; 38; 5019	30	30
5.32806901654e-11	7.26860783729e-09	Valine, Leucine and Isoleucine Degradation	SMPDB	SMP00032	ENSG00000198130; ENSG00000196177; ENSG00000146085; ENSG00000075239; ENSG00000131844; ENSG00000083123; ENSG00000078070; ENSG00000091140; ENSG00000083720; ENSG00000114054; ENSG00000183044; ENSG00000117054; ENSG00000175198; ENSG00000167315; ENSG00000137992; ENSG00000111275; ENSG00000119711	594; 1738; 1629; 34; 56922; 64087; 36; 26275; 18; 10449; 4329; 5095; 5096; 4594; 217; 38; 5019	30	30
5.32806901654e-11	7.26860783729e-09	2-Methyl-3-Hydroxybutryl CoA Dehydrogenase Deficiency	SMPDB	SMP00137	ENSG00000198130; ENSG00000196177; ENSG00000146085; ENSG00000075239; ENSG00000131844; ENSG00000083123; ENSG00000078070; ENSG00000091140; ENSG00000083720; ENSG00000114054; ENSG00000183044; ENSG00000117054; ENSG00000175198; ENSG00000167315; ENSG00000137992; ENSG00000111275; ENSG00000119711	594; 1738; 1629; 34; 56922; 64087; 36; 26275; 18; 10449; 4329; 5095; 5096; 4594; 217; 38; 5019	30	30
5.32806901654e-11	7.26860783729e-09	Isovaleric Aciduria	SMPDB	SMP00238	ENSG00000198130; ENSG00000196177; ENSG00000146085; ENSG00000075239; ENSG00000131844; ENSG00000083123; ENSG00000078070; ENSG00000091140; ENSG00000083720; ENSG00000114054; ENSG00000183044; ENSG00000117054; ENSG00000175198; ENSG00000167315; ENSG00000137992; ENSG00000111275; ENSG00000119711	594; 1738; 1629; 34; 56922; 64087; 36; 26275; 18; 10449; 4329; 5095; 5096; 4594; 217; 38; 5019	30	30
5.32806901654e-11	7.26860783729e-09	3-Methylcrotonyl Coa Carboxylase Deficiency Type I	SMPDB	SMP00237	ENSG00000198130; ENSG00000196177; ENSG00000146085; ENSG00000075239; ENSG00000131844; ENSG00000083123; ENSG00000078070; ENSG00000091140; ENSG00000083720; ENSG00000114054; ENSG00000183044; ENSG00000117054; ENSG00000175198; ENSG00000167315; ENSG00000137992; ENSG00000111275; ENSG00000119711	594; 1738; 1629; 34; 56922; 64087; 36; 26275; 18; 10449; 4329; 5095; 5096; 4594; 217; 38; 5019	30	30
5.32806901654e-11	7.26860783729e-09	Propionic Acidemia	SMPDB	SMP00236	ENSG00000198130; ENSG00000196177; ENSG00000146085; ENSG00000075239; ENSG00000131844; ENSG00000083123; ENSG00000078070; ENSG00000091140; ENSG00000083720; ENSG00000114054; ENSG00000183044; ENSG00000117054; ENSG00000175198; ENSG00000167315; ENSG00000137992; ENSG00000111275; ENSG00000119711	594; 1738; 1629; 34; 56922; 64087; 36; 26275; 18; 10449; 4329; 5095; 5096; 4594; 217; 38; 5019	30	30
5.32806901654e-11	7.26860783729e-09	Maple Syrup Urine Disease	SMPDB	SMP00199	ENSG00000198130; ENSG00000196177; ENSG00000146085; ENSG00000075239; ENSG00000131844; ENSG00000083123; ENSG00000078070; ENSG00000091140; ENSG00000083720; ENSG00000114054; ENSG00000183044; ENSG00000117054; ENSG00000175198; ENSG00000167315; ENSG00000137992; ENSG00000111275; ENSG00000119711	594; 1738; 1629; 34; 56922; 64087; 36; 26275; 18; 10449; 4329; 5095; 5096; 4594; 217; 38; 5019	30	30
5.32806901654e-11	7.26860783729e-09	3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency	SMPDB	SMP00138	ENSG00000198130; ENSG00000196177; ENSG00000146085; ENSG00000075239; ENSG00000131844; ENSG00000083123; ENSG00000078070; ENSG00000091140; ENSG00000083720; ENSG00000114054; ENSG00000183044; ENSG00000117054; ENSG00000175198; ENSG00000167315; ENSG00000137992; ENSG00000111275; ENSG00000119711	594; 1738; 1629; 34; 56922; 64087; 36; 26275; 18; 10449; 4329; 5095; 5096; 4594; 217; 38; 5019	30	30
