p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
0.0004934490546	0.118639538421	Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters	Reactome	R-HSA-164938	ENSG00000206503; ENSG00000161203; ENSG00000010610; ENSG00000106367	3105; 1173; 920; 1174	22	21
0.000920356187962	0.118639538421	Endocytosis - Homo sapiens (human)	KEGG	path:hsa04144	ENSG00000234745; ENSG00000176428; ENSG00000186111; ENSG00000144711; ENSG00000106799; ENSG00000135631; ENSG00000157985; ENSG00000206503; ENSG00000102981; ENSG00000116489; ENSG00000161203; ENSG00000175416; ENSG00000173020	3105; 3106; 156; 23396; 1173; 50855; 1212; 9922; 155382; 829; 7046; 116987; 26056	260	260
0.00100084458013	0.118639538421	Mitochondrial translation termination	Reactome	R-HSA-5419276	ENSG00000125901; ENSG00000180992; ENSG00000112031; ENSG00000130312; ENSG00000074071; ENSG00000055950; ENSG00000204316	54516; 84545; 64981; 64978; 65993; 64949; 64928	88	87
0.00148096127436	0.118639538421	Mitochondrial translation	Reactome	R-HSA-5368287	ENSG00000125901; ENSG00000180992; ENSG00000112031; ENSG00000130312; ENSG00000074071; ENSG00000055950; ENSG00000204316	54516; 84545; 64981; 64978; 65993; 64949; 64928	95	93
0.00152849511911	0.118639538421	The role of Nef in HIV-1 replication and disease pathogenesis	Reactome	R-HSA-164952	ENSG00000206503; ENSG00000161203; ENSG00000010610; ENSG00000106367	3105; 1173; 920; 1174	29	28
0.00225130790331	0.118639538421	ISG15 antiviral mechanism	Reactome	R-HSA-1169408	ENSG00000115415; ENSG00000107201; ENSG00000157601; ENSG00000114867	6772; 4599; 1981; 23586	34	31
0.00225130790331	0.118639538421	Antiviral mechanism by IFN-stimulated genes	Reactome	R-HSA-1169410	ENSG00000115415; ENSG00000107201; ENSG00000157601; ENSG00000114867	6772; 4599; 1981; 23586	34	31
0.00243195645624	0.118639538421	Elongation arrest and recovery	Reactome	R-HSA-112387	ENSG00000100142; ENSG00000105258; ENSG00000188986; ENSG00000103363; ENSG00000130382	5435; 4298; 25920; 5438; 6923	55	52
0.00263151768561	0.118639538421	HIV Infection	Reactome	R-HSA-162906	ENSG00000103363; ENSG00000188986; ENSG00000010610; ENSG00000176428; ENSG00000206503; ENSG00000100142; ENSG00000105258; ENSG00000161203; ENSG00000125450; ENSG00000106367	79902; 1174; 5435; 1173; 5438; 6923; 155382; 3105; 25920; 920	196	192
0.00311570199016	0.118639538421	TGF-beta Receptor Signaling	Wikipathways	WP560	ENSG00000113658; ENSG00000115415; ENSG00000106799; ENSG00000136603; ENSG00000157933	6497; 6498; 4090; 7046; 6772	55	55
0.00315454274329	0.118639538421	ifn gamma signaling pathway	BioCarta	ifngpathway	ENSG00000115415; ENSG00000027697	6772; 3459	6	5
0.00317642661512	0.118639538421	Measles - Homo sapiens (human)	KEGG	path:hsa05162	ENSG00000115415; ENSG00000118503; ENSG00000027697; ENSG00000115267; ENSG00000111335; ENSG00000157601; ENSG00000136869; ENSG00000107201	23586; 6772; 64135; 4939; 3459; 7099; 7128; 4599	136	135
0.00347680898591	0.118639538421	Gene Expression	Reactome	R-HSA-74160	ENSG00000103363; ENSG00000007520; ENSG00000173153; ENSG00000105618; ENSG00000130332; ENSG00000136718; ENSG00000156802; ENSG00000257591; ENSG00000141759; ENSG00000122386; ENSG00000179965; ENSG00000188986; ENSG00000181817; ENSG00000105671; ENSG00000100142; ENSG00000105258; ENSG00000130382; ENSG00000125450; ENSG00000172336; ENSG00000143742; ENSG00000157933; ENSG00000197951; ENSG00000100811; ENSG00000170949; ENSG00000140829; ENSG00000173041; ENSG00000145191; ENSG00000197935; ENSG00000106682; ENSG00000167394; ENSG00000166166; ENSG00000164576; ENSG00000124562; ENSG00000136603; ENSG00000139579; ENSG00000165782; ENSG00000169217; ENSG00000114867; ENSG00000138336; ENSG00000145912; ENSG00000169230; ENSG00000133706; ENSG00000174177; ENSG00000071655; ENSG00000185730; ENSG00000173113	8893; 79759; 2101; 5438; 79685; 6497; 92856; 51520; 7755; 4298; 79902; 115708; 90589; 6726; 51333; 79943; 10248; 26121; 79035; 6631; 7458; 53615; 29028; 90338; 51690; 10907; 25920; 27166; 1981; 5435; 6498; 80312; 90809; 10421; 9785; 55651; 6923; 51504; 84967; 7528; 282890; 115939; 340252; 348180; 58491; 54555	1755	1710
0.00392823989105	0.118639538421	rRNA modification in the nucleus and cytosol	Reactome	R-HSA-6790901	ENSG00000007520; ENSG00000105671; ENSG00000145912; ENSG00000136718; ENSG00000173113	55651; 51504; 115939; 54555; 92856	61	58
0.00392823989105	0.118639538421	rRNA processing in the nucleus and cytosol	Reactome	R-HSA-8868773	ENSG00000007520; ENSG00000105671; ENSG00000145912; ENSG00000136718; ENSG00000173113	55651; 51504; 115939; 54555; 92856	61	58
0.00434191785926	0.118639538421	Type II interferon signaling (IFNG)	Wikipathways	WP619	ENSG00000115415; ENSG00000027697; ENSG00000090339; ENSG00000234745	3383; 3459; 6772; 3106	37	37
0.00434191785926	0.118639538421	Tat-mediated HIV elongation arrest and recovery	Reactome	R-HSA-167243	ENSG00000100142; ENSG00000105258; ENSG00000188986; ENSG00000103363	5435; 25920; 5438; 6923	40	37
0.00434191785926	0.118639538421	Pausing and recovery of Tat-mediated HIV elongation	Reactome	R-HSA-167238	ENSG00000100142; ENSG00000105258; ENSG00000188986; ENSG00000103363	5435; 25920; 5438; 6923	40	37
0.0046167020192	0.118639538421	Influenza A - Homo sapiens (human)	KEGG	path:hsa05164	ENSG00000115415; ENSG00000090339; ENSG00000134321; ENSG00000027697; ENSG00000115267; ENSG00000111335; ENSG00000157601; ENSG00000136869; ENSG00000107201	23586; 3383; 6772; 64135; 3459; 91543; 7099; 4939; 4599	175	175
0.00467538486386	0.118639538421	IFN gamma signaling	INOH	None	ENSG00000115415; ENSG00000027697	6772; 3459	6	6
0.00494338347227	0.118639538421	Mitochondrial translation initiation	Reactome	R-HSA-5368286	ENSG00000125901; ENSG00000180992; ENSG00000130312; ENSG00000074071; ENSG00000055950; ENSG00000204316	84545; 64981; 64978; 65993; 64949; 64928	88	87
0.00494338347227	0.118639538421	Mitochondrial translation elongation	Reactome	R-HSA-5389840	ENSG00000125901; ENSG00000180992; ENSG00000130312; ENSG00000074071; ENSG00000055950; ENSG00000204316	84545; 64981; 64978; 65993; 64949; 64928	89	87
0.00522673620512	0.118639538421	Host Interactions of HIV factors	Reactome	R-HSA-162909	ENSG00000103363; ENSG00000206503; ENSG00000010610; ENSG00000161203; ENSG00000125450; ENSG00000106367	920; 79902; 1174; 1173; 6923; 3105	91	88
0.00525724051959	0.118639538421	HIV elongation arrest and recovery	Reactome	R-HSA-167287	ENSG00000100142; ENSG00000105258; ENSG00000188986; ENSG00000103363	5435; 25920; 5438; 6923	42	39
0.00525724051959	0.118639538421	Pausing and recovery of HIV elongation	Reactome	R-HSA-167290	ENSG00000100142; ENSG00000105258; ENSG00000188986; ENSG00000103363	5435; 25920; 5438; 6923	42	39
0.00533283160702	0.118639538421	Arf1 pathway	PID	arf_3pathway	ENSG00000161203; ENSG00000010610; ENSG00000175416	920; 1173; 1212	21	20
0.00533283160702	0.118639538421	Canonical Wnt signaling pathway	PID	wnt_canonical_pathway	ENSG00000103126; ENSG00000107404; ENSG00000031823	8312; 8498; 1855	21	20
0.00592080156905	0.118639538421	Infectious disease	Reactome	R-HSA-5663205	ENSG00000103363; ENSG00000188986; ENSG00000176428; ENSG00000010610; ENSG00000206503; ENSG00000100142; ENSG00000105258; ENSG00000106089; ENSG00000161203; ENSG00000125450; ENSG00000106367	25920; 920; 6804; 79902; 1174; 5435; 1173; 5438; 6923; 155382; 3105	254	250
0.00598994412221	0.118639538421	RNA Polymerase II Transcription Elongation	Reactome	R-HSA-75955	ENSG00000100142; ENSG00000105258; ENSG00000188986; ENSG00000103363; ENSG00000130382	5435; 4298; 25920; 5438; 6923	67	64
0.00598994412221	0.118639538421	Formation of RNA Pol II elongation complex 	Reactome	R-HSA-112382	ENSG00000100142; ENSG00000105258; ENSG00000188986; ENSG00000103363; ENSG00000130382	5435; 25920; 4298; 5438; 6923	67	64
0.00598994412221	0.118639538421	rRNA processing	Reactome	R-HSA-72312	ENSG00000007520; ENSG00000105671; ENSG00000145912; ENSG00000136718; ENSG00000173113	55651; 115939; 51504; 54555; 92856	67	64
0.00659875515262	0.126613614491	Herpes simplex infection - Homo sapiens (human)	KEGG	path:hsa05168	ENSG00000234745; ENSG00000187778; ENSG00000115415; ENSG00000164136; ENSG00000027697; ENSG00000115267; ENSG00000206503; ENSG00000111335; ENSG00000107201	3600; 3105; 23586; 3106; 6772; 64135; 10445; 3459; 4939	185	185
0.00726374952978	0.135149763978	Signaling by TGF-beta Receptor Complex	Reactome	R-HSA-170834	ENSG00000103266; ENSG00000102981; ENSG00000136603; ENSG00000157933; ENSG00000106799	6498; 10273; 6497; 7046; 50855	71	67
0.00772730493958	0.139546036262	Interferon Signaling	Reactome	R-HSA-913531	ENSG00000114867; ENSG00000107201; ENSG00000027697; ENSG00000157601; ENSG00000115415	4599; 3459; 1981; 6772; 23586	71	68
0.00796068179192	0.139653103435	Negative regulators of RIG-I/MDA5 signaling	Reactome	R-HSA-936440	ENSG00000118503; ENSG00000115267; ENSG00000107201	7128; 64135; 23586	25	23
0.00875397690438	0.141345768421	TGF-Ncore	Signalink	None	ENSG00000103126; ENSG00000095015; ENSG00000136603; ENSG00000157933	6497; 6498; 4214; 8312	45	45
0.00897798854789	0.141345768421	segmentation clock	BioCarta	hespathway	ENSG00000106003; ENSG00000107404; ENSG00000103126	1855; 3955; 8312	25	24
0.00897798854789	0.141345768421	TLR ECSIT MEKK1 p38	INOH	None	ENSG00000130159; ENSG00000095015; ENSG00000136869	7099; 51295; 4214	24	24
0.00897798854789	0.141345768421	TRAF6 mediated NF-kB activation	Reactome	R-HSA-933542	ENSG00000095015; ENSG00000115267; ENSG00000107201	23586; 64135; 4214	25	24
0.00945432103238	0.145123827847	TNF receptor signaling pathway 	PID	tnfpathway	ENSG00000115415; ENSG00000118503; ENSG00000095015; ENSG00000168067	7128; 6772; 5871; 4214	47	46
