p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
0.000181604675764	0.0102055889937	Spliceosome - Homo sapiens (human)	KEGG	path:hsa03040	ENSG00000165119; ENSG00000136527; ENSG00000198231; ENSG00000135486	11325; 3190; 3178; 6434	134	134
0.00047259630098	0.0102055889937	Gene Expression	Reactome	R-HSA-74160	ENSG00000136527; ENSG00000113575; ENSG00000101413; ENSG00000198231; ENSG00000223496; ENSG00000165119; ENSG00000087586; ENSG00000163349; ENSG00000089195; ENSG00000135486; ENSG00000171843	118460; 6790; 58490; 4300; 11325; 3190; 3178; 204851; 6434; 5515; 51605	1755	1710
0.000559052520157	0.0102055889937	mRNA Splicing - Major Pathway	Reactome	R-HSA-72163	ENSG00000165119; ENSG00000136527; ENSG00000198231; ENSG00000135486	11325; 6434; 3178; 3190	185	180
0.000658425096371	0.0102055889937	mRNA Splicing	Reactome	R-HSA-72172	ENSG00000165119; ENSG00000136527; ENSG00000198231; ENSG00000135486	11325; 6434; 3178; 3190	193	188
0.00168175323383	0.0179065363457	Processing of Capped Intron-Containing Pre-mRNA	Reactome	R-HSA-72203	ENSG00000165119; ENSG00000136527; ENSG00000198231; ENSG00000135486	6434; 11325; 3178; 3190	248	242
0.00202170571645	0.0179065363457	Wnt Canonical	INOH	None	ENSG00000095261; ENSG00000159377; ENSG00000162998	5711; 5692; 2487	120	118
0.00202170571645	0.0179065363457	Wnt Mammals	INOH	None	ENSG00000095261; ENSG00000159377; ENSG00000162998	5711; 5692; 2487	120	118
0.00249274225423	0.0193187524703	mRNA Processing	Wikipathways	WP411	ENSG00000165119; ENSG00000136527; ENSG00000135486	6434; 3178; 3190	127	127
0.00400377081703	0.0275815322951	PLK1 signaling events	PID	plk1_pathway	ENSG00000113575; ENSG00000087586	5515; 6790	44	44
0.00461911978195	0.0278803392886	Post-translational protein modification	Reactome	R-HSA-597592	ENSG00000124209; ENSG00000119396; ENSG00000095261; ENSG00000163029; ENSG00000165119; ENSG00000119414; ENSG00000159377	5692; 79677; 51552; 5537; 3190; 57403; 5711	1026	1011
0.00494651180926	0.0278803392886	Regulation of TP53 Activity	Reactome	R-HSA-5633007	ENSG00000113575; ENSG00000163349; ENSG00000087586	5515; 6790; 204851	163	162
0.00806031730917	0.028138609248	TLR JNK	INOH	None	ENSG00000095261; ENSG00000159377	5711; 5692	63	63
0.00806031730917	0.028138609248	IL-1 JNK	INOH	None	ENSG00000095261; ENSG00000159377	5711; 5692	63	63
0.00830932795879	0.028138609248	TLR p38	INOH	None	ENSG00000095261; ENSG00000159377	5711; 5692	64	64
0.00830932795879	0.028138609248	Proteasome Degradation	Wikipathways	WP183	ENSG00000095261; ENSG00000159377	5711; 5692	64	64
0.00856178364858	0.028138609248	DroToll-like	INOH	None	ENSG00000095261; ENSG00000159377	5711; 5692	65	65
0.00856178364858	0.028138609248	IL-1 NFkB	INOH	None	ENSG00000095261; ENSG00000159377	5711; 5692	65	65
0.00856178364858	0.028138609248	RAB geranylgeranylation	Reactome	R-HSA-8873719	ENSG00000124209; ENSG00000119396	57403; 51552	65	65
0.00907697072517	0.028138609248	IL-1 p38	INOH	None	ENSG00000095261; ENSG00000159377	5711; 5692	67	67
0.00907697072517	0.028138609248	TNF	INOH	None	ENSG00000095261; ENSG00000159377	5711; 5692	67	67
0.00987521889621	0.0288533869226	TLR NFkB	INOH	None	ENSG00000095261; ENSG00000159377	5711; 5692	70	70
