p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
0.00181049116676	0.0380402263757	er associated degradation (erad) pathway	BioCarta	eradpathway	ENSG00000196547; ENSG00000140400	4123; 4122	19	19
0.00265602405499	0.0380402263757	Signaling events mediated by PRL	PID	prlsignalingeventspathway	ENSG00000050820; ENSG00000184489	9564; 11156	23	23
0.00295589584673	0.0380402263757	Transcriptional misregulation in cancer - Homo sapiens (human)	KEGG	path:hsa05202	ENSG00000125618; ENSG00000116809; ENSG00000131759; ENSG00000143294	7849; 7709; 5914; 5546	180	179
0.00320045890289	0.0380402263757	IL-7 signaling	INOH	None	ENSG00000133275; ENSG00000002330; ENSG00000185386; ENSG00000130758	572; 5600; 4294; 1455	185	183
0.00326369704532	0.0380402263757	EPO signaling	INOH	None	ENSG00000133275; ENSG00000002330; ENSG00000185386; ENSG00000130758	572; 5600; 4294; 1455	186	184
0.00339023871814	0.0380402263757	N-glycan antennae elongation in the medial/trans-Golgi	Reactome	R-HSA-975576	ENSG00000196547; ENSG00000117411	8704; 4122	26	26
0.00339272951919	0.0380402263757	VEGF	INOH	None	ENSG00000133275; ENSG00000002330; ENSG00000185386; ENSG00000130758	572; 5600; 4294; 1455	188	186
0.00365370016248	0.0380402263757	triacylglycerol biosynthesis	HumanCyc	TRIGLSYN-PWY	ENSG00000141934; ENSG00000186281	150763; 8612	29	27
0.004114022699	0.0380402263757	Metabolism	Reactome	R-HSA-1430728	ENSG00000133275; ENSG00000186281; ENSG00000140400; ENSG00000117411; ENSG00000063438; ENSG00000115138; ENSG00000103202; ENSG00000130005; ENSG00000104904; ENSG00000214113; ENSG00000136720; ENSG00000141934; ENSG00000149527; ENSG00000163682	6133; 9394; 150763; 8704; 5443; 1455; 4946; 4833; 57491; 4123; 8612; 9651; 2593; 57128	2035	1994
0.00420833349178	0.0380402263757	p38 MAPK signaling pathway	PID	p38_mkk3_6pathway	ENSG00000130758; ENSG00000185386	4294; 5600	30	29
0.00449938161433	0.0380402263757	IGF1 pathway	PID	igf1_pathway	ENSG00000050820; ENSG00000002330	9564; 572	30	30
0.00546373190389	0.0416339662935	Th17 cell differentiation - Homo sapiens (human)	KEGG	path:hsa04659	ENSG00000198502; ENSG00000131759; ENSG00000185386	3127; 5914; 5600	107	107
0.00683326136253	0.0416339662935	Leukocyte transendothelial migration - Homo sapiens (human)	KEGG	path:hsa04670	ENSG00000050820; ENSG00000185386; ENSG00000154096	9564; 7070; 5600	116	116
0.007149269019	0.0416339662935	Intracellular Signalling Through Adenosine Receptor A2a and Adenosine	SMPDB	SMP00320	ENSG00000002330; ENSG00000185386	5600; 572	38	38
0.007149269019	0.0416339662935	Intracellular Signalling Through Adenosine Receptor A2b and Adenosine	SMPDB	SMP00321	ENSG00000002330; ENSG00000185386	5600; 572	38	38
0.00716283291072	0.0416339662935	Toxoplasmosis - Homo sapiens (human)	KEGG	path:hsa05145	ENSG00000002330; ENSG00000198502; ENSG00000185386	3127; 572; 5600	118	118
0.00789884471161	0.0422263028354	Metabolism of polyamines	Reactome	R-HSA-351202	ENSG00000130005; ENSG00000104904	2593; 4946	40	40
0.00868231574193	0.0422263028354	N-Glycan biosynthesis	EHMN	N-Glycan biosynthesis	ENSG00000196547; ENSG00000117411	8704; 4122	42	42
0.00908661645784	0.0422263028354	Plasma membrane estrogen receptor signaling	PID	er_nongenomic_pathway	ENSG00000050820; ENSG00000185386	9564; 5600	43	43
0.00949921690499	0.0422263028354	Sphingolipid de novo biosynthesis	Reactome	R-HSA-1660661	ENSG00000133275; ENSG00000141934	8612; 1455	44	44
0.00953497160799	0.0422263028354	Angiopoietin Like Protein 8 Regulatory Pathway	Wikipathways	WP3915	ENSG00000137312; ENSG00000130758; ENSG00000185386	10211; 5600; 4294	131	131
