p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
0.00105778747096	0.00381372449507	Nephrin/Neph1 signaling in the kidney podocyte	PID	nephrin_neph1_pathway	ENSG00000071051; ENSG00000002330	8440; 572	29	29
0.00113219945947	0.00381372449507	IGF1 pathway	PID	igf1_pathway	ENSG00000071051; ENSG00000002330	8440; 572	30	30
0.00113219945947	0.00381372449507	3-Methylglutaconic Aciduria Type I	SMPDB	SMP00139	ENSG00000078070; ENSG00000146085	56922; 4594	30	30
0.00113219945947	0.00381372449507	Valine, Leucine and Isoleucine Degradation	SMPDB	SMP00032	ENSG00000078070; ENSG00000146085	56922; 4594	30	30
0.00113219945947	0.00381372449507	2-Methyl-3-Hydroxybutryl CoA Dehydrogenase Deficiency	SMPDB	SMP00137	ENSG00000078070; ENSG00000146085	56922; 4594	30	30
0.00113219945947	0.00381372449507	Isovaleric Aciduria	SMPDB	SMP00238	ENSG00000078070; ENSG00000146085	56922; 4594	30	30
0.00113219945947	0.00381372449507	3-Methylcrotonyl Coa Carboxylase Deficiency Type I	SMPDB	SMP00237	ENSG00000078070; ENSG00000146085	56922; 4594	30	30
0.00113219945947	0.00381372449507	Propionic Acidemia	SMPDB	SMP00236	ENSG00000078070; ENSG00000146085	56922; 4594	30	30
0.00113219945947	0.00381372449507	Maple Syrup Urine Disease	SMPDB	SMP00199	ENSG00000078070; ENSG00000146085	56922; 4594	30	30
0.00113219945947	0.00381372449507	3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency	SMPDB	SMP00138	ENSG00000078070; ENSG00000146085	56922; 4594	30	30
0.00113219945947	0.00381372449507	Isobutyryl-coa dehydrogenase deficiency	SMPDB	SMP00523	ENSG00000078070; ENSG00000146085	56922; 4594	30	30
0.00113219945947	0.00381372449507	3-hydroxyisobutyric aciduria	SMPDB	SMP00522	ENSG00000078070; ENSG00000146085	56922; 4594	30	30
0.00113219945947	0.00381372449507	3-hydroxyisobutyric acid dehydrogenase deficiency	SMPDB	SMP00521	ENSG00000078070; ENSG00000146085	56922; 4594	30	30
0.00113219945947	0.00381372449507	Isovaleric acidemia	SMPDB	SMP00524	ENSG00000078070; ENSG00000146085	56922; 4594	30	30
0.00113219945947	0.00381372449507	Methylmalonate Semialdehyde Dehydrogenase Deficiency	SMPDB	SMP00384	ENSG00000078070; ENSG00000146085	56922; 4594	30	30
0.00113219945947	0.00381372449507	Methylmalonic Aciduria	SMPDB	SMP00200	ENSG00000078070; ENSG00000146085	56922; 4594	30	30
0.00113219945947	0.00381372449507	3-Methylglutaconic Aciduria Type IV	SMPDB	SMP00141	ENSG00000078070; ENSG00000146085	56922; 4594	30	30
0.00113219945947	0.00381372449507	3-Methylglutaconic Aciduria Type III	SMPDB	SMP00140	ENSG00000078070; ENSG00000146085	56922; 4594	30	30
0.00113219945947	0.00381372449507	Beta-Ketothiolase Deficiency	SMPDB	SMP00173	ENSG00000078070; ENSG00000146085	56922; 4594	30	30
0.00128836243936	0.00412275980595	Metformin Pathway, Pharmacodynamic	PharmGKB	PA165948566	ENSG00000160741; ENSG00000118046	6794; 200186	32	32
0.00242765069019	0.0073985544844	LKB1 signaling events	PID	lkb1_pathway	ENSG00000160741; ENSG00000118046	200186; 6794	44	44
0.0026506900476	0.0077110983203	BDNF	NetPath	Pathway_BDNF	ENSG00000071051; ENSG00000002330	8440; 572	46	46
0.00288304456569	0.00802238487844	Valine, leucine and isoleucine degradation - Homo sapiens (human)	KEGG	path:hsa00280	ENSG00000078070; ENSG00000146085	56922; 4594	48	48
0.00570609872114	0.0152162632564	AMP-activated Protein Kinase (AMPK) Signaling	Wikipathways	WP1403	ENSG00000160741; ENSG00000118046	200186; 6794	68	68
0.00801023641047	0.0205062052108	Signaling events mediated by Hepatocyte Growth Factor Receptor (c-Met)	PID	met_pathway	ENSG00000071051; ENSG00000002330	8440; 572	82	81
0.00919318185865	0.022629370729	ErbB signaling pathway - Homo sapiens (human)	KEGG	path:hsa04012	ENSG00000071051; ENSG00000002330	572; 8440	88	87
