p-value	q-value	term_goid	term_category	term_level	term_name	members_input_overlap	members_input_overlap_geneids	size	effective_size
5.77853783494e-09	3.52490807931e-07	GO:0044763	b	2	single-organism cellular process	330; 483; 590; 595; 760; 896; 1277; 1382; 1647; 140766; 2131; 2185; 2308; 2690; 2752; 2907; 3628; 3643; 3866; 3909; 4046; 4688; 4780; 4897; 5328; 5423; 5569; 5832; 5833; 5881; 5947; 6196; 6423; 22943; 7027; 7083; 7161; 7408; 8153; 401494; 8313; 8660; 9061; 9088; 9501; 9547; 10217; 10610; 10630; 26509; 147495; 266727; 50650; 51053; 51116; 51181; 84818; 85407; 347733; 85409; 55504; 55691; 55723; 23087; 23175; 23705; 154807; 57153; 255488; 26227; 27124; 29091; 128434; 653499; 64131; 65009	ENSG00000169750; ENSG00000112576; ENSG00000168952; ENSG00000091129; ENSG00000107984; ENSG00000145824; ENSG00000198176; ENSG00000162493; ENSG00000116701; ENSG00000169738; ENSG00000188921; ENSG00000135821; ENSG00000171033; ENSG00000103489; ENSG00000137285; ENSG00000140807; ENSG00000112964; ENSG00000069849; ENSG00000185950; ENSG00000120899; ENSG00000127564; ENSG00000134324; ENSG00000071242; ENSG00000127863; ENSG00000114115; ENSG00000151689; ENSG00000138119; ENSG00000070731; ENSG00000122140; ENSG00000104228; ENSG00000181031; ENSG00000108830; ENSG00000116044; ENSG00000196715; ENSG00000092621; ENSG00000154856; ENSG00000182985; ENSG00000023445; ENSG00000171105; ENSG00000182197; ENSG00000138316; ENSG00000144677; ENSG00000078900; ENSG00000185813; ENSG00000112139; ENSG00000171346; ENSG00000116717; ENSG00000104267; ENSG00000163702; ENSG00000163947; ENSG00000130592; ENSG00000125753; ENSG00000112312; ENSG00000150907; ENSG00000185133; ENSG00000105011; ENSG00000070501; ENSG00000178719; ENSG00000053747; ENSG00000145506; ENSG00000059573; ENSG00000178934; ENSG00000122861; ENSG00000145423; ENSG00000137393; ENSG00000110092; ENSG00000167900; ENSG00000168646; ENSG00000143320; ENSG00000129353; ENSG00000132821; ENSG00000138801; ENSG00000103034; ENSG00000108821; ENSG00000114200; ENSG00000151474	10315	10274
1.89391903738e-06	0.000742416262651	GO:0071498	b	4	cellular response to fluid shear stress	760; 2185; 4780; 5328	ENSG00000116044; ENSG00000122861; ENSG00000120899; ENSG00000104267	19	19
2.67427689826e-06	0.000668569224565	GO:0023051	b	3	regulation of signaling	330; 483; 590; 595; 760; 1277; 1382; 1647; 2185; 2308; 2690; 2752; 2907; 3643; 4780; 5328; 5881; 6398; 6423; 22943; 7027; 7161; 8313; 8660; 9501; 26509; 147495; 50650; 85407; 85409; 55504; 57153; 65009	ENSG00000169750; ENSG00000107984; ENSG00000127863; ENSG00000198176; ENSG00000078900; ENSG00000168646; ENSG00000122861; ENSG00000112964; ENSG00000069849; ENSG00000185950; ENSG00000120899; ENSG00000138119; ENSG00000181031; ENSG00000163947; ENSG00000116044; ENSG00000135821; ENSG00000154856; ENSG00000023445; ENSG00000171105; ENSG00000116717; ENSG00000104267; ENSG00000140807; ENSG00000150907; ENSG00000178719; ENSG00000108821; ENSG00000145506; ENSG00000145423; ENSG00000141574; ENSG00000110092; ENSG00000143320; ENSG00000129353; ENSG00000103034; ENSG00000114200	3048	3042
5.6239844721e-06	0.00094828190751	GO:0010646	b	4	regulation of cell communication	330; 590; 595; 760; 1277; 1382; 1647; 2185; 2308; 2690; 2752; 2907; 3643; 4780; 5328; 5881; 6398; 6423; 22943; 7027; 7161; 8313; 8660; 9501; 57153; 26509; 147495; 50650; 85407; 85409; 55504; 65009	ENSG00000169750; ENSG00000107984; ENSG00000127863; ENSG00000198176; ENSG00000078900; ENSG00000168646; ENSG00000122861; ENSG00000112964; ENSG00000181031; ENSG00000185950; ENSG00000120899; ENSG00000138119; ENSG00000163947; ENSG00000116044; ENSG00000135821; ENSG00000154856; ENSG00000023445; ENSG00000171105; ENSG00000116717; ENSG00000104267; ENSG00000140807; ENSG00000150907; ENSG00000178719; ENSG00000108821; ENSG00000145506; ENSG00000145423; ENSG00000141574; ENSG00000110092; ENSG00000143320; ENSG00000129353; ENSG00000103034; ENSG00000114200	2998	2993
7.80919460959e-06	0.00094828190751	GO:0031667	b	4	response to nutrient levels	590; 595; 1277; 2308; 2690; 2752; 3643; 4780; 5947; 6423; 7083	ENSG00000171105; ENSG00000145423; ENSG00000114115; ENSG00000110092; ENSG00000167900; ENSG00000135821; ENSG00000150907; ENSG00000112964; ENSG00000114200; ENSG00000108821; ENSG00000116044	433	433
7.86579458836e-06	0.000687958629852	GO:0009888	b	3	tissue development	595; 760; 1277; 1382; 2131; 2185; 2308; 2690; 3643; 3866; 3909; 5328; 6398; 6423; 22943; 7161; 7408; 8313; 147495; 85407; 55504; 26227; 65009	ENSG00000107984; ENSG00000127863; ENSG00000078900; ENSG00000168646; ENSG00000122861; ENSG00000112964; ENSG00000120899; ENSG00000092621; ENSG00000154856; ENSG00000171105; ENSG00000182197; ENSG00000171346; ENSG00000104267; ENSG00000125753; ENSG00000140807; ENSG00000150907; ENSG00000108821; ENSG00000145423; ENSG00000141574; ENSG00000110092; ENSG00000143320; ENSG00000103034; ENSG00000053747	1765	1761
9.676345995e-06	0.000687958629852	GO:0055093	b	3	response to hyperoxia	1277; 2308; 5328; 5423	ENSG00000070501; ENSG00000108821; ENSG00000122861; ENSG00000150907	28	28
9.676345995e-06	0.00094828190751	GO:0036296	b	4	response to increased oxygen levels	1277; 2308; 5328; 5423	ENSG00000070501; ENSG00000108821; ENSG00000122861; ENSG00000150907	28	28
1.10468362019e-05	0.000687958629852	GO:0044711	b	3	single-organism biosynthetic process	1277; 2131; 2185; 2308; 2752; 3643; 5832; 5833; 5947; 7083; 401494; 8660; 9061; 10610; 51181; 23175; 57153; 26227; 27124; 64131	ENSG00000185950; ENSG00000171105; ENSG00000182197; ENSG00000059573; ENSG00000185813; ENSG00000114115; ENSG00000070731; ENSG00000169738; ENSG00000167900; ENSG00000135821; ENSG00000134324; ENSG00000103489; ENSG00000150907; ENSG00000138801; ENSG00000108821; ENSG00000188921; ENSG00000092621; ENSG00000120899; ENSG00000185133; ENSG00000129353	1415	1413
1.3759172597e-05	0.000687958629852	GO:0009991	b	3	response to extracellular stimulus	590; 595; 1277; 2308; 2690; 2752; 3643; 4780; 5947; 6423; 7083	ENSG00000171105; ENSG00000145423; ENSG00000114115; ENSG00000110092; ENSG00000167900; ENSG00000135821; ENSG00000150907; ENSG00000112964; ENSG00000114200; ENSG00000108821; ENSG00000116044	460	460
1.5346346263e-05	0.0011009779866	GO:0048522	b	4	positive regulation of cellular process	330; 483; 595; 760; 896; 1277; 1382; 1647; 2185; 2308; 2690; 2752; 3643; 4780; 5328; 5881; 6196; 6398; 6423; 7027; 7161; 7408; 8153; 8313; 8660; 9501; 9547; 10630; 57153; 50650; 84333; 84818; 85407; 85409; 4897; 55504; 23087; 23175; 23705; 255488; 65009	ENSG00000169750; ENSG00000112576; ENSG00000091129; ENSG00000127863; ENSG00000198176; ENSG00000162493; ENSG00000078900; ENSG00000168646; ENSG00000122861; ENSG00000112964; ENSG00000069849; ENSG00000185950; ENSG00000120899; ENSG00000134324; ENSG00000071242; ENSG00000145824; ENSG00000180628; ENSG00000104228; ENSG00000181031; ENSG00000108830; ENSG00000135821; ENSG00000182985; ENSG00000023445; ENSG00000171105; ENSG00000116717; ENSG00000104267; ENSG00000163702; ENSG00000163947; ENSG00000125753; ENSG00000140807; ENSG00000150907; ENSG00000116044; ENSG00000145506; ENSG00000145423; ENSG00000137393; ENSG00000141574; ENSG00000110092; ENSG00000143320; ENSG00000129353; ENSG00000103034; ENSG00000108821	4629	4610
1.68517038765e-05	0.0011009779866	GO:0009966	b	4	regulation of signal transduction	330; 595; 1277; 1382; 1647; 2185; 2308; 2690; 2907; 3643; 4780; 5328; 5881; 6398; 6423; 22943; 7027; 7161; 8313; 8660; 9501; 57153; 26509; 147495; 50650; 85407; 85409; 55504; 65009	ENSG00000169750; ENSG00000107984; ENSG00000127863; ENSG00000198176; ENSG00000078900; ENSG00000168646; ENSG00000122861; ENSG00000112964; ENSG00000181031; ENSG00000185950; ENSG00000120899; ENSG00000138119; ENSG00000163947; ENSG00000154856; ENSG00000023445; ENSG00000171105; ENSG00000116717; ENSG00000140807; ENSG00000150907; ENSG00000178719; ENSG00000116044; ENSG00000145506; ENSG00000145423; ENSG00000141574; ENSG00000110092; ENSG00000143320; ENSG00000129353; ENSG00000103034; ENSG00000108821	2700	2696
