p-value	q-value	term_goid	term_category	term_level	term_name	members_input_overlap	members_input_overlap_geneids	size	effective_size
0.000259975089657	0.00571945197246	GO:0005833	c	3	hemoglobin complex	3045; 3048	ENSG00000196565; ENSG00000223609	12	12
0.000259975089657	0.00467955161383	GO:0042834	m	4	peptidoglycan binding	8993; 54209	ENSG00000095970; ENSG00000008438	12	12
0.000357535639163	0.00750824842243	GO:0005344	m	3	oxygen transporter activity	3045; 3048	ENSG00000196565; ENSG00000223609	14	14
0.000667575818137	0.0601905069263	GO:0015669	b	4	gas transport	3045; 3048	ENSG00000196565; ENSG00000223609	19	19
0.000898365775019	0.0601905069263	GO:0098581	b	4	detection of external biotic stimulus	8993; 54209	ENSG00000095970; ENSG00000008438	22	22
0.00116225068986	0.125523074504	GO:0009595	b	3	detection of biotic stimulus	8993; 54209	ENSG00000095970; ENSG00000008438	25	25
0.00229305760689	0.020637518462	GO:0020037	m	4	heme binding	3045; 3048; 3162	ENSG00000196565; ENSG00000223609; ENSG00000100292	132	130
0.00240673292269	0.150299697779	GO:0090662	b	5	ATP hydrolysis coupled transmembrane transport	481; 10312	ENSG00000110719; ENSG00000143153	36	36
0.00277239313998	0.0214441555005	GO:0046906	m	3	tetrapyrrole binding	3045; 3048; 3162	ENSG00000196565; ENSG00000223609; ENSG00000100292	141	139
0.00306345078578	0.0214441555005	GO:0016810	m	3	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds	164668; 8876; 8993	ENSG00000100298; ENSG00000112299; ENSG00000008438	145	144
0.00346981968469	0.187370262973	GO:0006952	b	3	defense response	481; 164668; 3162; 56998; 8876; 8993; 10219; 10312; 54209	ENSG00000110719; ENSG00000100298; ENSG00000143153; ENSG00000100292; ENSG00000008438; ENSG00000178585; ENSG00000139187; ENSG00000095970; ENSG00000112299	1591	1572
0.00387391131157	0.17303470525	GO:1903706	b	4	regulation of hemopoiesis	56998; 8365; 8876; 8993	ENSG00000178585; ENSG00000158406; ENSG00000112299; ENSG00000008438	322	320
0.00390388825401	0.150299697779	GO:0043392	b	5	negative regulation of DNA binding	3162; 56998	ENSG00000178585; ENSG00000100292	46	46
0.00426222188003	0.221635537762	GO:0006950	b	2	response to stress	481; 164668; 3045; 3048; 3162; 56998; 6818; 8365; 8557; 8876; 10219; 10312; 57126; 8993; 54209	ENSG00000110719; ENSG00000100298; ENSG00000261052; ENSG00000095970; ENSG00000158406; ENSG00000143153; ENSG00000100292; ENSG00000139187; ENSG00000196565; ENSG00000223609; ENSG00000204936; ENSG00000178585; ENSG00000008438; ENSG00000173991; ENSG00000112299	3759	3733
0.0045970888875	0.0735534222001	GO:0019825	m	2	oxygen binding	3045; 3048	ENSG00000196565; ENSG00000223609	50	50
0.00614048292117	0.186437647776	GO:0006968	b	4	cellular defense response	10219; 10312	ENSG00000110719; ENSG00000139187	61	58
0.00618482465915	0.040860167084	GO:0046914	m	5	transition metal ion binding	164668; 1911; 3045; 3048; 6274; 8993; 51056; 196403	ENSG00000100298; ENSG00000002549; ENSG00000008438; ENSG00000196565; ENSG00000178498; ENSG00000223609; ENSG00000188015; ENSG00000111752	1422	1403
0.00652053703154	0.167360450476	GO:0009119	b	5	ribonucleoside metabolic process	481; 164668; 6818; 10312	ENSG00000261052; ENSG00000110719; ENSG00000100298; ENSG00000143153	373	371
0.00796179850187	0.186437647776	GO:0009116	b	4	nucleoside metabolic process	481; 164668; 6818; 10312	ENSG00000261052; ENSG00000110719; ENSG00000100298; ENSG00000143153	395	393
0.00860858088758	0.186437647776	GO:0071822	b	4	protein complex subunit organization	3162; 5519; 56998; 8365; 8557; 10312; 10693; 57701	ENSG00000132141; ENSG00000110719; ENSG00000137713; ENSG00000158406; ENSG00000100292; ENSG00000167566; ENSG00000178585; ENSG00000173991	1489	1484
0.00908003712978	0.040860167084	GO:0042625	m	5	ATPase coupled ion transmembrane transporter activity	481; 10312	ENSG00000110719; ENSG00000143153	71	71
0.0095996004629	0.280181351951	GO:1901657	b	3	glycosyl compound metabolic process	481; 164668; 6818; 10312	ENSG00000261052; ENSG00000110719; ENSG00000100298; ENSG00000143153	417	415
0.00973928010771	0.186437647776	GO:0006954	b	4	inflammatory response	3162; 56998; 8876; 8993; 10219	ENSG00000178585; ENSG00000139187; ENSG00000112299; ENSG00000100292; ENSG00000008438	654	653
