p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
5.59176484392e-07	0.000239886711804	IL-7	NetPath	Pathway_IL-7	ENSG00000185950; ENSG00000010810; ENSG00000118689; ENSG00000120899; ENSG00000150907	8660; 2534; 2308; 2309; 2185	27	27
1.597282544e-06	0.000342617105688	Alpha 6 Beta 4 signaling pathway	Wikipathways	WP244	ENSG00000185950; ENSG00000132470; ENSG00000053747; ENSG00000091136; ENSG00000154229	3909; 3691; 3912; 5578; 8660	33	33
3.56072375934e-06	0.000392058607513	Focal adhesion - Homo sapiens (human)	KEGG	path:hsa04510	ENSG00000112576; ENSG00000023445; ENSG00000010810; ENSG00000110092; ENSG00000154229; ENSG00000132470; ENSG00000125753; ENSG00000053747; ENSG00000091136	2534; 595; 3691; 7408; 3909; 3912; 896; 330; 5578	201	200
4.8537592685e-06	0.000392058607513	inactivation of gsk3 by akt causes accumulation of b-catenin in alveolar macrophages	BioCarta	gsk3pathway	ENSG00000145506; ENSG00000152661; ENSG00000110092; ENSG00000140807; ENSG00000107984	595; 85409; 85407; 22943; 2697	42	41
5.01620009975e-06	0.000392058607513	Alpha6Beta4Integrin	NetPath	Pathway_Alpha6Beta4Integrin	ENSG00000185950; ENSG00000010810; ENSG00000154229; ENSG00000132470; ENSG00000091136; ENSG00000053747	8660; 3691; 2534; 3912; 5578; 3909	74	72
5.48333716802e-06	0.000392058607513	Non-integrin membrane-ECM interactions	Reactome	R-HSA-3000171	ENSG00000132470; ENSG00000091136; ENSG00000053747; ENSG00000154229; ENSG00000204580	3691; 780; 3912; 5578; 3909	46	42
2.08221778525e-05	0.00127610204268	Focal Adhesion	Wikipathways	WP306	ENSG00000023445; ENSG00000112576; ENSG00000010810; ENSG00000110092; ENSG00000132470; ENSG00000125753; ENSG00000053747; ENSG00000091136	330; 595; 896; 3691; 7408; 3909; 3912; 2534	190	190
3.55794918449e-05	0.00174586533614	Alpha6 beta4 integrin-ligand interactions	PID	integrin4_pathway	ENSG00000132470; ENSG00000053747; ENSG00000091136	3909; 3691; 3912	13	11
3.66265455135e-05	0.00174586533614	wnt signaling pathway	BioCarta	wntpathway	ENSG00000145506; ENSG00000110092; ENSG00000140807; ENSG00000107984	85409; 595; 22943; 85407	32	31
8.07004635761e-05	0.00318508805391	Spinal Cord Injury	Wikipathways	WP2431	ENSG00000118689; ENSG00000116717; ENSG00000110092; ENSG00000103489; ENSG00000152661; ENSG00000154229	5578; 595; 64131; 1647; 2697; 2309	117	117
8.31681339134e-05	0.00318508805391	Validated transcriptional targets of AP1 family members Fra1 and Fra2	PID	fra_pathway	ENSG00000132470; ENSG00000053747; ENSG00000152661; ENSG00000110092	595; 3691; 3909; 2697	38	38
8.90933721374e-05	0.00318508805391	Validated targets of C-MYC transcriptional repression	PID	myc_represspathway	ENSG00000107984; ENSG00000132470; ENSG00000118689; ENSG00000110092; ENSG00000116717	3691; 595; 1647; 2309; 22943	75	74
9.69112945926e-05	0.00319807272155	VEGFA-VEGFR2 Signaling Pathway	Wikipathways	WP3888	ENSG00000107984; ENSG00000118689; ENSG00000010810; ENSG00000110092; ENSG00000154229; ENSG00000150907; ENSG00000152661; ENSG00000120899	595; 2309; 2308; 5578; 2185; 2697; 22943; 2534	236	236
0.000138471049957	0.00424314860224	Cell-Cell communication	Reactome	R-HSA-1500931	ENSG00000010810; ENSG00000132470; ENSG00000125753; ENSG00000053747; ENSG00000120899; ENSG00000182985	2534; 2185; 7408; 23705; 3909; 3691	131	129
0.000177145930817	0.00506637362138	a6b1 and a6b4 Integrin signaling	PID	a6b1_a6b4_integrin_pathway	ENSG00000132470; ENSG00000091136; ENSG00000053747; ENSG00000154229	3691; 3912; 5578; 3909	48	46
0.0002016731698	0.00540736186527	akt signaling pathway	BioCarta	aktpathway	ENSG00000112964; ENSG00000118689; ENSG00000150907	2308; 2309; 2690	19	19
0.000228678337551	0.00557337461291	PI3K-Akt signaling pathway - Homo sapiens (human)	KEGG	path:hsa04151	ENSG00000112576; ENSG00000110092; ENSG00000154229; ENSG00000132470; ENSG00000141564; ENSG00000112964; ENSG00000091136; ENSG00000118689; ENSG00000053747	3691; 2690; 57521; 896; 3912; 3909; 2309; 5578; 595	341	340
0.000233847885856	0.00557337461291	Wnt signaling pathway - Homo sapiens (human)	KEGG	path:hsa04310	ENSG00000112576; ENSG00000107984; ENSG00000145506; ENSG00000110092; ENSG00000140807; ENSG00000154229	595; 22943; 896; 85407; 85409; 5578	143	142
0.000316286655899	0.00714141975689	IGF-Core	Signalink	None	ENSG00000185950; ENSG00000118689; ENSG00000150907	2308; 2309; 8660	22	22
0.00036212477365	0.00750957204659	Laminin interactions	Reactome	R-HSA-3000157	ENSG00000132470; ENSG00000053747; ENSG00000091136	3691; 3909; 3912	25	23
0.000368615382901	0.00750957204659	pyrimidine deoxyribonucleosides salvage	HumanCyc	PWY-7199	ENSG00000176890; ENSG00000167900	7083; 7298	5	5
0.000385106258799	0.00750957204659	Wnt Signaling Pathway and Pluripotency	Wikipathways	WP399	ENSG00000112576; ENSG00000145506; ENSG00000110092; ENSG00000140807; ENSG00000154229	595; 85409; 85407; 5578; 896	101	101
0.000412031268346	0.0076852788748	segmentation clock	BioCarta	hespathway	ENSG00000145506; ENSG00000140807; ENSG00000107984	85409; 85407; 22943	25	24
0.00046615243767	0.00833247482336	IL-7 Signaling Pathway	Wikipathways	WP205	ENSG00000010810; ENSG00000110092; ENSG00000120899	595; 2185; 2534	25	25
0.000506110335096	0.00868485335025	Focal Adhesion-PI3K-Akt-mTOR-signaling pathway	Wikipathways	WP3932	ENSG00000185950; ENSG00000132470; ENSG00000141564; ENSG00000150907; ENSG00000112964; ENSG00000053747; ENSG00000118689; ENSG00000091136	57521; 8660; 2308; 3691; 3909; 2690; 2309; 3912	301	301
0.000562207257837	0.00927641975432	Leptin	NetPath	Pathway_Leptin	ENSG00000185950; ENSG00000010810; ENSG00000150907; ENSG00000071242	8660; 2534; 6196; 2308	62	62
0.000634432495874	0.0100804274344	Longevity regulating pathway - multiple species - Homo sapiens (human)	KEGG	path:hsa04213	ENSG00000185950; ENSG00000118689; ENSG00000141564; ENSG00000150907	2308; 2309; 57521; 8660	64	64
0.000727604137914	0.0111386111522	multi-step regulation of transcription by pitx2	BioCarta	pitx2pathway	ENSG00000145506; ENSG00000140807; ENSG00000107984	85409; 85407; 22943	30	29
0.000798236026669	0.0111386111522	Signaling events mediated by VEGFR1 and VEGFR2	PID	vegfr1_2_pathway	ENSG00000010810; ENSG00000120899; ENSG00000138119; ENSG00000154229	26509; 2534; 5578; 2185	69	68
0.000804887985357	0.0111386111522	Amino acid synthesis and interconversion (transamination)	Reactome	R-HSA-70614	ENSG00000135821; ENSG00000059573; ENSG00000092621	26227; 2752; 5832	32	30
0.000804887985357	0.0111386111522	PI3K-AKT-mTOR signaling pathway and therapeutic opportunities	Wikipathways	WP3844	ENSG00000118689; ENSG00000141564; ENSG00000150907	57521; 2309; 2308	30	30
0.000946001881416	0.0126823377227	AMPK signaling pathway - Homo sapiens (human)	KEGG	path:hsa04152	ENSG00000185950; ENSG00000118689; ENSG00000141564; ENSG00000150907; ENSG00000110092	57521; 595; 2308; 2309; 8660	124	123
0.00101983132803	0.0128678717566	Vitamin C (ascorbate) metabolism	Reactome	R-HSA-196836	ENSG00000065621; ENSG00000170482	119391; 9963	8	8
0.00101983132803	0.0128678717566	Interleukin-17 signaling	Reactome	R-HSA-448424	ENSG00000163701; ENSG00000163702	132014; 84818	8	8
0.00106741911411	0.01308350857	bioactive peptide induced signaling pathway	BioCarta	biopeptidespathway	ENSG00000010810; ENSG00000154229; ENSG00000120899	5578; 2534; 2185	33	33
0.00115333962179	0.0137439638263	IL6	NetPath	Pathway_IL6	ENSG00000010810; ENSG00000118689; ENSG00000120899; ENSG00000150907	2308; 2534; 2309; 2185	77	75
0.00121179140029	0.0140397493912	IL2	NetPath	Pathway_IL2	ENSG00000185950; ENSG00000010810; ENSG00000118689; ENSG00000120899	8660; 2534; 2309; 2185	76	76
0.0012543074404	0.0140397493912	Angiopoietin Like Protein 8 Regulatory Pathway	Wikipathways	WP3915	ENSG00000185950; ENSG00000071242; ENSG00000118689; ENSG00000141564; ENSG00000150907	57521; 2309; 2308; 8660; 6196	131	131
0.00130599039755	0.0140397493912	AKT phosphorylates targets in the nucleus	Reactome	R-HSA-198693	ENSG00000118689; ENSG00000150907	2308; 2309	9	9
0.0013348689496	0.0140397493912	insulin	INOH	None	ENSG00000185950; ENSG00000118689; ENSG00000141564; ENSG00000150907	8660; 2308; 2309; 57521	79	78
0.00134179423086	0.0140397493912	FoxO signaling pathway - Homo sapiens (human)	KEGG	path:hsa04068	ENSG00000185950; ENSG00000118689; ENSG00000116717; ENSG00000150907; ENSG00000110092	2309; 1647; 2308; 8660; 595	134	133
0.00160678603344	0.0162220887363	insulin Mam	INOH	None	ENSG00000185950; ENSG00000118689; ENSG00000141564; ENSG00000150907	8660; 2308; 57521; 2309	83	82
0.00162599024629	0.0162220887363	Type I hemidesmosome assembly	Reactome	R-HSA-446107	ENSG00000132470; ENSG00000053747	3691; 3909	11	10
0.00168035374696	0.0162395472902	Signaling Pathways in Glioblastoma	Wikipathways	WP2261	ENSG00000118689; ENSG00000110092; ENSG00000150907; ENSG00000154229	595; 2309; 2308; 5578	83	83
0.00173552092247	0.0162395472902	Developmental Biology	Reactome	R-HSA-1266738	ENSG00000185950; ENSG00000107984; ENSG00000091129; ENSG00000071242; ENSG00000010810; ENSG00000171346; ENSG00000134121; ENSG00000125753; ENSG00000150907; ENSG00000091136; ENSG00000118689; ENSG00000154229	5578; 2534; 22943; 10752; 2308; 7408; 8660; 3866; 2309; 4897; 3912; 6196	748	739
0.00174130343904	0.0162395472902	MAPK6/MAPK4 signaling	Reactome	R-HSA-5687128	ENSG00000112576; ENSG00000118689; ENSG00000150907	896; 2308; 2309	39	39
0.00180837815393	0.016506260171	EGFR1	NetPath	Pathway_EGFR1	ENSG00000185950; ENSG00000071242; ENSG00000010810; ENSG00000120899; ENSG00000132470; ENSG00000125753; ENSG00000150907; ENSG00000152661; ENSG00000154229	5578; 2185; 7408; 2534; 2697; 3691; 2308; 8660; 6196	458	454
0.00191507310612	0.0168076316614	Small cell lung cancer - Homo sapiens (human)	KEGG	path:hsa05222	ENSG00000023445; ENSG00000091136; ENSG00000053747; ENSG00000110092	595; 3912; 3909; 330	86	86
0.0019610000176	0.0168076316614	Extracellular matrix organization	Reactome	R-HSA-1474244	ENSG00000138316; ENSG00000204580; ENSG00000154229; ENSG00000132470; ENSG00000053747; ENSG00000090530; ENSG00000091136	5578; 780; 55214; 3691; 3909; 3912; 140766	295	289
0.00197941485839	0.0168076316614	NAD metabolism, sirtuins and aging	Wikipathways	WP3630	ENSG00000118689; ENSG00000150907	2309; 2308	11	11
0.00199811005765	0.0168076316614	Cell junction organization	Reactome	R-HSA-446728	ENSG00000132470; ENSG00000053747; ENSG00000125753; ENSG00000182985	7408; 23705; 3909; 3691	89	87
0.0020859548457	0.017209127477	Downstream signaling events of B Cell Receptor (BCR)	Reactome	R-HSA-1168372	ENSG00000010810; ENSG00000185950; ENSG00000118689; ENSG00000150907; ENSG00000146232	4794; 2534; 2309; 2308; 8660	147	147
0.00215864721904	0.0172521847559	IL-2 Signaling Pathway	Wikipathways	WP49	ENSG00000010810; ENSG00000118689; ENSG00000120899	2309; 2185; 2534	42	42
0.00217160367557	0.0172521847559	Retinoblastoma (RB) in Cancer	Wikipathways	WP2446	ENSG00000112576; ENSG00000114115; ENSG00000110092; ENSG00000176890	595; 5947; 7298; 896	89	89
0.00226213455756	0.017644649549	PI3K/AKT Signaling in Cancer	Reactome	R-HSA-2219528	ENSG00000010810; ENSG00000185950; ENSG00000118689; ENSG00000150907	2534; 2309; 2308; 8660	90	90
0.00245094896967	0.0187760197855	Collagen formation	Reactome	R-HSA-1474290	ENSG00000132470; ENSG00000053747; ENSG00000138316; ENSG00000090530	55214; 3691; 3909; 140766	94	92
0.00265034451102	0.0199473297408	Longevity regulating pathway - Homo sapiens (human)	KEGG	path:hsa04211	ENSG00000185950; ENSG00000118689; ENSG00000141564; ENSG00000150907	2309; 57521; 2308; 8660	94	94
0.0027848928845	0.0200528593505	p53 signaling pathway	BioCarta	p53pathway	ENSG00000116717; ENSG00000110092	1647; 595	13	13
0.00280459571336	0.0200528593505	Presenilin action in Notch and Wnt signaling	PID	ps1pathway	ENSG00000107984; ENSG00000110092; ENSG00000140807	595; 85407; 22943	47	46
0.00280459571336	0.0200528593505	BDNF	NetPath	Pathway_BDNF	ENSG00000185950; ENSG00000118689; ENSG00000120899	8660; 2309; 2185	46	46
0.00293257069139	0.0206241446985	Metabolism of vitamins and cofactors	Reactome	R-HSA-196854	ENSG00000103485; ENSG00000065621; ENSG00000114115; ENSG00000170482; ENSG00000196715	9963; 119391; 5947; 23475; 154807	164	159
0.00301284837015	0.0208469669483	Insulin Signaling	Wikipathways	WP481	ENSG00000185950; ENSG00000071242; ENSG00000118689; ENSG00000154229; ENSG00000150907	2309; 2308; 5578; 8660; 6196	160	160
0.00317815835865	0.0216417450137	EGF-EGFR Signaling Pathway	Wikipathways	WP437	ENSG00000152661; ENSG00000071242; ENSG00000154229; ENSG00000150907; ENSG00000120899	2308; 5578; 2185; 6196; 2697	162	162
0.00335935968237	0.0225182078709	Hepatitis C and Hepatocellular Carcinoma	Wikipathways	WP3646	ENSG00000023445; ENSG00000110092; ENSG00000138119	595; 330; 26509	50	49
0.00355812319545	0.0231368350115	FoxO family signaling	PID	foxopathway	ENSG00000118689; ENSG00000116717; ENSG00000150907	2308; 1647; 2309	52	50
0.00355951307869	0.0231368350115	L1CAM interactions	Reactome	R-HSA-373760	ENSG00000091136; ENSG00000134121; ENSG00000071242; ENSG00000091129	4897; 10752; 3912; 6196	104	102
0.00371917024478	0.0234018900452	D-<i>myo</i>-inositol (1,3,4)-trisphosphate biosynthesis	HumanCyc	PWY-6364	ENSG00000143772; ENSG00000185133	27124; 3707	15	15
0.00371917024478	0.0234018900452	1D-<i>myo</i>-inositol hexakisphosphate biosynthesis II (mammalian)	HumanCyc	PWY-6362	ENSG00000143772; ENSG00000185133	27124; 3707	15	15
0.00376394035692	0.0234018900452	Wnt Signaling Pathway Netpath	Wikipathways	WP363	ENSG00000152661; ENSG00000110092; ENSG00000154229	595; 2697; 5578	51	51
0.00423360765349	0.0255805307513	il-7 signal transduction	BioCarta	il7pathway	ENSG00000010810; ENSG00000120899	2534; 2185	16	16
0.00423360765349	0.0255805307513	Regulation of KIT signaling	Reactome	R-HSA-1433559	ENSG00000010810; ENSG00000154229	2534; 5578	16	16
0.00442446537572	0.0260013102217	IL2-mediated signaling events	PID	il2_1pathway	ENSG00000185950; ENSG00000010810; ENSG00000120899	8660; 2534; 2185	54	54
0.00442446537572	0.0260013102217	Interferon type I signaling pathways	Wikipathways	WP585	ENSG00000185950; ENSG00000010810; ENSG00000141564	57521; 8660; 2534	54	54
0.00465923811341	0.0262847797236	Copper homeostasis	Wikipathways	WP3286	ENSG00000118689; ENSG00000110092; ENSG00000150907	595; 2308; 2309	55	55
0.00465923811341	0.0262847797236	ErbB Signaling Pathway	Wikipathways	WP673	ENSG00000110092; ENSG00000150907; ENSG00000154229	595; 5578; 2308	55	55
0.00477905085885	0.0262847797236	role of nicotinic acetylcholine receptors in the regulation of apoptosis	BioCarta	achpathway	ENSG00000118689; ENSG00000120899	2309; 2185	17	17
0.00477905085885	0.0262847797236	Nitrogen metabolism - Homo sapiens (human)	KEGG	path:hsa00910	ENSG00000135821; ENSG00000104267	2752; 760	17	17
0.00477905085885	0.0262847797236	superpathway of pyrimidine deoxyribonucleoside salvage	HumanCyc	PWY-7200	ENSG00000176890; ENSG00000167900	7083; 7298	17	17
0.00490142442789	0.0266165959438	Non-small cell lung cancer - Homo sapiens (human)	KEGG	path:hsa05223	ENSG00000118689; ENSG00000154229; ENSG00000110092	5578; 595; 2309	56	56
0.00535510928809	0.0287167735574	MET activates PTK2 signaling	Reactome	R-HSA-8874081	ENSG00000091136; ENSG00000053747	3912; 3909	20	18
