p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
4.57915044336e-07	0.000172746546814	IL-7	NetPath	Pathway_IL-7	ENSG00000185950; ENSG00000145675; ENSG00000118689; ENSG00000120899; ENSG00000150907	8660; 2308; 5295; 2309; 2185	27	27
7.9790552801e-07	0.000172746546814	Copper homeostasis	Wikipathways	WP3286	ENSG00000187193; ENSG00000169715; ENSG00000110092; ENSG00000125148; ENSG00000150907; ENSG00000118689	595; 2308; 4493; 2309; 4501; 4502	55	55
1.97883798006e-06	0.000285612281789	Longevity regulating pathway - multiple species - Homo sapiens (human)	KEGG	path:hsa04213	ENSG00000185950; ENSG00000171105; ENSG00000148730; ENSG00000150907; ENSG00000145675; ENSG00000118689	2308; 2309; 5295; 3643; 8660; 1979	64	64
3.68718190502e-06	0.000293620864379	DNA Damage Response (only ATM dependent)	Wikipathways	WP710	ENSG00000112576; ENSG00000171105; ENSG00000078900; ENSG00000110092; ENSG00000122861; ENSG00000145675; ENSG00000118689	3643; 595; 2309; 5328; 7161; 5295; 896	110	110
3.98590364693e-06	0.000293620864379	inactivation of gsk3 by akt causes accumulation of b-catenin in alveolar macrophages	BioCarta	gsk3pathway	ENSG00000145675; ENSG00000145506; ENSG00000110092; ENSG00000140807; ENSG00000107984	595; 85409; 85407; 5295; 22943	42	41
4.06864939094e-06	0.000293620864379	akt signaling pathway	BioCarta	aktpathway	ENSG00000145675; ENSG00000112964; ENSG00000118689; ENSG00000150907	2308; 2309; 2690; 5295	19	19
5.45648594407e-06	0.00033752263054	E2F transcription factor network	PID	e2f_pathway	ENSG00000112576; ENSG00000198176; ENSG00000078900; ENSG00000167900; ENSG00000122861; ENSG00000176890	896; 7027; 7298; 7161; 7083; 5328	79	76
7.57621169935e-06	0.000364499962869	Transcription factor regulation in adipogenesis	Wikipathways	WP3599	ENSG00000185950; ENSG00000171105; ENSG00000150907; ENSG00000221869	1052; 2308; 3643; 8660	22	22
7.57621169935e-06	0.000364499962869	IGF-Core	Signalink	None	ENSG00000185950; ENSG00000171105; ENSG00000118689; ENSG00000150907	2308; 2309; 3643; 8660	22	22
3.13034725175e-05	0.00124291752038	wnt signaling pathway	BioCarta	wntpathway	ENSG00000145506; ENSG00000110092; ENSG00000140807; ENSG00000107984	85409; 595; 22943; 85407	32	31
3.15752718804e-05	0.00124291752038	Synthesis of IP2, IP, and Ins in the cytosol	Reactome	R-HSA-1855183	ENSG00000204084; ENSG00000151689; ENSG00000185133	27124; 3628; 3633	11	11
4.19216482279e-05	0.00139631336021	Metallothioneins bind metals	Reactome	R-HSA-5661231	ENSG00000187193; ENSG00000125148; ENSG00000169715	4501; 4493; 4502	12	12
4.19216482279e-05	0.00139631336021	Response to metal ions	Reactome	R-HSA-5660526	ENSG00000187193; ENSG00000125148; ENSG00000169715	4501; 4493; 4502	12	12
5.42668522093e-05	0.00167839621476	D-<i>myo</i>-inositol (1,4,5)-trisphosphate degradation	HumanCyc	PWY-6363	ENSG00000204084; ENSG00000151689; ENSG00000185133	27124; 3628; 3633	13	13
7.11759296018e-05	0.0019717604838	Validated transcriptional targets of AP1 family members Fra1 and Fra2	PID	fra_pathway	ENSG00000108691; ENSG00000053747; ENSG00000110092; ENSG00000122861	595; 3909; 5328; 6347	38	38
7.28595097941e-05	0.0019717604838	VEGFA-VEGFR2 Signaling Pathway	Wikipathways	WP3888	ENSG00000108691; ENSG00000107984; ENSG00000110092; ENSG00000122861; ENSG00000150907; ENSG00000145675; ENSG00000118689; ENSG00000120899	595; 2309; 2308; 5328; 2185; 5295; 6347; 22943	236	236
8.52298157029e-05	0.00217085354114	AMPK signaling pathway - Homo sapiens (human)	KEGG	path:hsa04152	ENSG00000185950; ENSG00000171105; ENSG00000110092; ENSG00000150907; ENSG00000145675; ENSG00000118689	3643; 595; 2308; 2309; 5295; 8660	124	123
9.47606368153e-05	0.00227951976339	insulin	INOH	None	ENSG00000185950; ENSG00000145675; ENSG00000118689; ENSG00000150907; ENSG00000171105	8660; 2308; 5295; 2309; 3643	79	78
0.000120251764438	0.00258377441163	insulin Mam	INOH	None	ENSG00000185950; ENSG00000171105; ENSG00000118689; ENSG00000150907; ENSG00000145675	8660; 2308; 3643; 5295; 2309	83	82
0.000120774067976	0.00258377441163	Angiopoietin Like Protein 8 Regulatory Pathway	Wikipathways	WP3915	ENSG00000185950; ENSG00000171105; ENSG00000071242; ENSG00000150907; ENSG00000145675; ENSG00000118689	3643; 2309; 2308; 8660; 6196; 5295	131	131
0.000126850852153	0.00258377441163	role of nicotinic acetylcholine receptors in the regulation of apoptosis	BioCarta	achpathway	ENSG00000145675; ENSG00000118689; ENSG00000120899	5295; 2309; 2185	17	17
0.000131277221838	0.00258377441163	FoxO signaling pathway - Homo sapiens (human)	KEGG	path:hsa04068	ENSG00000185950; ENSG00000171105; ENSG00000110092; ENSG00000150907; ENSG00000145675; ENSG00000118689	2309; 3643; 5295; 2308; 8660; 595	134	133
0.000179437593059	0.0033781077302	il-2 receptor beta chain in t cell activation	BioCarta	il2rbpathway	ENSG00000112576; ENSG00000145675; ENSG00000198176; ENSG00000110092	896; 7027; 5295; 595	48	48
0.00020996921569	0.00378819459973	superpathway of D-<i>myo</i>-inositol (1,4,5)-trisphosphate metabolism	HumanCyc	PWY-6358	ENSG00000204084; ENSG00000151689; ENSG00000185133	27124; 3628; 3633	20	20
0.000228987972885	0.00396607169037	Longevity regulating pathway - Homo sapiens (human)	KEGG	path:hsa04211	ENSG00000145675; ENSG00000171105; ENSG00000118689; ENSG00000185950; ENSG00000150907	2309; 3643; 5295; 2308; 8660	94	94
0.000245245707137	0.00408428427654	Mineral absorption - Homo sapiens (human)	KEGG	path:hsa04978	ENSG00000169715; ENSG00000069849; ENSG00000125148; ENSG00000187193	4502; 4493; 4501; 483	52	52
0.000320023559288	0.00475508869716	Wnt Signaling Pathway and Pluripotency	Wikipathways	WP399	ENSG00000112576; ENSG00000145506; ENSG00000122861; ENSG00000110092; ENSG00000140807	595; 85409; 85407; 5328; 896	101	101
0.000322061948479	0.00475508869716	cyclins and cell cycle regulation	BioCarta	cellcyclepathway	ENSG00000112576; ENSG00000198176; ENSG00000110092	896; 595; 7027	23	23
0.000322061948479	0.00475508869716	growth hormone signaling pathway	BioCarta	ghpathway	ENSG00000145675; ENSG00000171105; ENSG00000112964	3643; 5295; 2690	23	23
0.000340433601875	0.00475508869716	pyrimidine deoxyribonucleosides salvage	HumanCyc	PWY-7199	ENSG00000176890; ENSG00000167900	7083; 7298	5	5
0.000340433601875	0.00475508869716	IRS activation	Reactome	R-HSA-74713	ENSG00000185950; ENSG00000171105	8660; 3643	5	5
0.000357959197055	0.00480908946496	Insulin Signaling	Wikipathways	WP481	ENSG00000185950; ENSG00000171105; ENSG00000071242; ENSG00000150907; ENSG00000145675; ENSG00000118689	3643; 2309; 2308; 5295; 8660; 6196	160	160
0.000366512592018	0.00480908946496	segmentation clock	BioCarta	hespathway	ENSG00000145506; ENSG00000140807; ENSG00000107984	85409; 85407; 22943	25	24
0.000385728729478	0.00491236881953	Focal Adhesion-PI3K-Akt-mTOR-signaling pathway	Wikipathways	WP3932	ENSG00000185950; ENSG00000171105; ENSG00000080573; ENSG00000150907; ENSG00000145675; ENSG00000112964; ENSG00000053747; ENSG00000118689	3643; 8660; 50509; 2308; 3909; 2690; 5295; 2309	301	301
0.000414728792832	0.00513078763704	IL-7 Signaling Pathway	Wikipathways	WP205	ENSG00000145675; ENSG00000110092; ENSG00000120899	595; 5295; 2185	25	25
0.000455069440601	0.005473474105	Insulin resistance - Homo sapiens (human)	KEGG	path:hsa04931	ENSG00000145675; ENSG00000171105; ENSG00000185950; ENSG00000150907; ENSG00000071242	6196; 3643; 5295; 2308; 8660	109	109
0.000483336096806	0.00565633864641	Leptin	NetPath	Pathway_Leptin	ENSG00000185950; ENSG00000145675; ENSG00000150907; ENSG00000071242	8660; 5295; 6196; 2308	62	62
0.000559183354674	0.0061597162592	TGF_beta_Receptor	NetPath	Pathway_TGF_beta_Receptor	ENSG00000198176; ENSG00000078900; ENSG00000110092; ENSG00000150907; ENSG00000145675; ENSG00000118689	595; 2309; 7027; 7161; 5295; 2308	176	174
0.000578833819569	0.0061597162592	Regulation of retinoblastoma protein	PID	rb_1pathway	ENSG00000112576; ENSG00000198176; ENSG00000110092; ENSG00000221869	896; 7027; 1052; 595	65	65
0.000583252578816	0.0061597162592	influence of ras and rho proteins on g1 to s transition	BioCarta	raccycdpathway	ENSG00000145675; ENSG00000198176; ENSG00000110092	595; 7027; 5295	28	28
0.000583252578816	0.0061597162592	Anti-diabetic Drug Potassium Channel Inhibitors Pathway, Pharmacodynamics	PharmGKB	PA153627758	ENSG00000145675; ENSG00000171105; ENSG00000185950	5295; 3643; 8660	28	28
0.00064780004728	0.00667851001124	multi-step regulation of transcription by pitx2	BioCarta	pitx2pathway	ENSG00000145506; ENSG00000140807; ENSG00000107984	85409; 85407; 22943	30	29
0.000716734896281	0.00675068361794	PI3K-AKT-mTOR signaling pathway and therapeutic opportunities	Wikipathways	WP3844	ENSG00000145675; ENSG00000118689; ENSG00000150907	2309; 2308; 5295	30	30
0.000716734896281	0.00675068361794	Amino acid synthesis and interconversion (transamination)	Reactome	R-HSA-70614	ENSG00000135821; ENSG00000059573; ENSG00000092621	26227; 2752; 5832	32	30
0.000790173977398	0.00675068361794	Trans-sulfuration and one carbon metabolism	Wikipathways	WP2525	ENSG00000160200; ENSG00000092621; ENSG00000176890	875; 7298; 26227	31	31
0.000790173977398	0.00675068361794	IL17 signaling pathway	Wikipathways	WP2112	ENSG00000163701; ENSG00000221869; ENSG00000163702	132014; 84818; 1052	31	31
0.000793673772151	0.00675068361794	Chemokine signaling pathway - Homo sapiens (human)	KEGG	path:hsa04062	ENSG00000108691; ENSG00000172724; ENSG00000145824; ENSG00000145675; ENSG00000118689; ENSG00000120899	2309; 2185; 5295; 6347; 6363; 9547	187	186
0.00080883069499	0.00675068361794	AP-1 transcription factor network	PID	ap1_pathway	ENSG00000108691; ENSG00000122861; ENSG00000110092; ENSG00000125148	595; 5328; 6347; 4502	71	71
0.000828265483063	0.00675068361794	Metabolism	Reactome	R-HSA-1430728	ENSG00000130649; ENSG00000169715; ENSG00000169738; ENSG00000188921; ENSG00000135821; ENSG00000103489; ENSG00000187193; ENSG00000167600; ENSG00000151689; ENSG00000125148; ENSG00000176890; ENSG00000204084; ENSG00000092621; ENSG00000182197; ENSG00000185813; ENSG00000196715; ENSG00000145675; ENSG00000185133; ENSG00000059573; ENSG00000167900; ENSG00000160200; ENSG00000138801; ENSG00000114200	2131; 4501; 5833; 4493; 875; 5832; 154807; 590; 401494; 1571; 27124; 7298; 64131; 29785; 2752; 9061; 51181; 3633; 4502; 3628; 7083; 26227; 5295	2035	1994
0.00084918746826	0.00675068361794	PIP3 activates AKT signaling	Reactome	R-HSA-1257604	ENSG00000145675; ENSG00000171105; ENSG00000118689; ENSG00000185950; ENSG00000150907	3643; 2309; 5295; 2308; 8660	125	125
0.000852611702705	0.00675068361794	Alpha6Beta4Integrin	NetPath	Pathway_Alpha6Beta4Integrin	ENSG00000185950; ENSG00000145675; ENSG00000053747; ENSG00000078900	8660; 7161; 5295; 3909	74	72
0.000868231706754	0.00675068361794	Osteopontin-mediated events	PID	avb3_opn_pathway	ENSG00000145675; ENSG00000122861; ENSG00000120899	5295; 5328; 2185	32	32
0.000868231706754	0.00675068361794	White fat cell differentiation	Wikipathways	WP3946	ENSG00000150907; ENSG00000221869; ENSG00000163884	28999; 1052; 2308	32	32
0.000886722683149	0.00675068361794	Focal Adhesion	Wikipathways	WP306	ENSG00000023445; ENSG00000112576; ENSG00000110092; ENSG00000080573; ENSG00000145675; ENSG00000053747	330; 595; 896; 50509; 5295; 3909	190	190
0.00094231354497	0.00675068361794	Folate-Alcohol and Cancer Pathway	Wikipathways	WP1589	ENSG00000160200; ENSG00000130649	875; 1571	8	8
0.00094231354497	0.00675068361794	acetone degradation I (to methylglyoxal)	HumanCyc	PWY-5451	ENSG00000167600; ENSG00000130649	1571; 29785	8	8
0.00094231354497	0.00675068361794	Interleukin-17 signaling	Reactome	R-HSA-448424	ENSG00000163701; ENSG00000163702	132014; 84818	8	8
0.00094491651573	0.00675068361794	PI3K/AKT activation	Reactome	R-HSA-198203	ENSG00000145675; ENSG00000171105; ENSG00000118689; ENSG00000185950; ENSG00000150907	3643; 2309; 5295; 2308; 8660	128	128
0.00094491651573	0.00675068361794	GAB1 signalosome	Reactome	R-HSA-180292	ENSG00000145675; ENSG00000171105; ENSG00000118689; ENSG00000185950; ENSG00000150907	3643; 2309; 5295; 2308; 8660	128	128
0.000945147746555	0.00675068361794	Validated targets of C-MYC transcriptional repression	PID	myc_represspathway	ENSG00000107984; ENSG00000118689; ENSG00000110092; ENSG00000221869	1052; 595; 2309; 22943	75	74
0.000951020093983	0.00675068361794	Alpha 6 Beta 4 signaling pathway	Wikipathways	WP244	ENSG00000145675; ENSG00000185950; ENSG00000053747	5295; 3909; 8660	33	33
0.000993970516277	0.00694176183142	IL6	NetPath	Pathway_IL6	ENSG00000145675; ENSG00000118689; ENSG00000120899; ENSG00000150907	2308; 2309; 5295; 2185	77	75
