p-value	q-value	term_goid	term_category	term_level	term_name	members_input_overlap	members_input_overlap_geneids	size	effective_size
2.33860009574e-08	1.44993205936e-06	GO:0044763	b	2	single-organism cellular process	191; 330; 379; 463; 590; 760; 349667; 1032; 1277; 1382; 140766; 2131; 2185; 2308; 2690; 2907; 3628; 3691; 3866; 3909; 3912; 4046; 4147; 4780; 4897; 5328; 5423; 5569; 5832; 5833; 5881; 5947; 6196; 6423; 22943; 7083; 7091; 7161; 7408; 8111; 8153; 401494; 8313; 8659; 9088; 9547; 9963; 10610; 10630; 26509; 147495; 50650; 51116; 51181; 84818; 85407; 347733; 85409; 54463; 55504; 55691; 55723; 23087; 23428; 23705; 154807; 57153; 255488; 26227; 27124; 29091; 128434; 653499; 64131; 65009	ENSG00000169750; ENSG00000107984; ENSG00000159423; ENSG00000168952; ENSG00000091129; ENSG00000127863; ENSG00000145824; ENSG00000140836; ENSG00000162493; ENSG00000078900; ENSG00000169738; ENSG00000188921; ENSG00000130592; ENSG00000171033; ENSG00000103489; ENSG00000070501; ENSG00000112964; ENSG00000091136; ENSG00000120899; ENSG00000137285; ENSG00000127564; ENSG00000101444; ENSG00000143320; ENSG00000132561; ENSG00000114115; ENSG00000151689; ENSG00000175906; ENSG00000138119; ENSG00000070731; ENSG00000122140; ENSG00000104228; ENSG00000108830; ENSG00000116044; ENSG00000092621; ENSG00000154856; ENSG00000182985; ENSG00000023445; ENSG00000182197; ENSG00000138316; ENSG00000108821; ENSG00000092068; ENSG00000178934; ENSG00000185813; ENSG00000171346; ENSG00000104267; ENSG00000163702; ENSG00000163947; ENSG00000132821; ENSG00000125753; ENSG00000140807; ENSG00000150907; ENSG00000185133; ENSG00000105011; ENSG00000186907; ENSG00000178719; ENSG00000114200; ENSG00000119714; ENSG00000106829; ENSG00000145506; ENSG00000059573; ENSG00000071242; ENSG00000145423; ENSG00000137393; ENSG00000122861; ENSG00000167900; ENSG00000168646; ENSG00000132470; ENSG00000129353; ENSG00000129355; ENSG00000196715; ENSG00000103034; ENSG00000053747; ENSG00000154153; ENSG00000170482; ENSG00000151474	10315	10274
1.89391903738e-06	0.000666659501156	GO:0071498	b	4	cellular response to fluid shear stress	760; 2185; 4780; 5328	ENSG00000116044; ENSG00000122861; ENSG00000120899; ENSG00000104267	19	19
3.55877128774e-06	0.000921721763525	GO:0022008	b	5	neurogenesis	463; 590; 349667; 1382; 2131; 2185; 3912; 4147; 5881; 6423; 22943; 7161; 7408; 8153; 4897; 147495; 85407; 347733; 26227; 27124; 65009	ENSG00000169750; ENSG00000107984; ENSG00000182197; ENSG00000145423; ENSG00000140836; ENSG00000078900; ENSG00000140807; ENSG00000154856; ENSG00000143320; ENSG00000091136; ENSG00000125753; ENSG00000137285; ENSG00000091129; ENSG00000103034; ENSG00000108830; ENSG00000186907; ENSG00000114200; ENSG00000132561; ENSG00000092621; ENSG00000120899; ENSG00000185133	1433	1430
7.80919460959e-06	0.00113535793008	GO:0031667	b	4	response to nutrient levels	191; 590; 1032; 1277; 2308; 2690; 3291; 4780; 5947; 6423; 7083	ENSG00000101444; ENSG00000145423; ENSG00000114115; ENSG00000116044; ENSG00000167900; ENSG00000176387; ENSG00000129355; ENSG00000150907; ENSG00000112964; ENSG00000114200; ENSG00000108821	433	433
9.676345995e-06	0.00120482758405	GO:0055093	b	3	response to hyperoxia	1277; 2308; 5328; 5423	ENSG00000070501; ENSG00000108821; ENSG00000122861; ENSG00000150907	28	28
9.676345995e-06	0.00113535793008	GO:0036296	b	4	response to increased oxygen levels	1277; 2308; 5328; 5423	ENSG00000070501; ENSG00000108821; ENSG00000122861; ENSG00000150907	28	28
1.3759172597e-05	0.00120482758405	GO:0009991	b	3	response to extracellular stimulus	191; 590; 1032; 1277; 2308; 2690; 3291; 4780; 5947; 6423; 7083	ENSG00000101444; ENSG00000145423; ENSG00000114115; ENSG00000116044; ENSG00000167900; ENSG00000176387; ENSG00000129355; ENSG00000150907; ENSG00000112964; ENSG00000114200; ENSG00000108821	460	460
1.37692307542e-05	0.00121169230637	GO:0030154	b	4	cell differentiation	463; 590; 760; 349667; 1277; 1382; 2131; 2185; 2308; 2690; 3691; 3909; 3912; 4147; 4780; 5881; 5947; 6196; 6423; 22943; 7161; 7408; 8111; 8153; 8313; 9547; 147495; 85407; 347733; 4897; 55723; 23705; 26227; 27124; 65009	ENSG00000169750; ENSG00000107984; ENSG00000091129; ENSG00000140836; ENSG00000078900; ENSG00000168646; ENSG00000112964; ENSG00000091136; ENSG00000120899; ENSG00000071242; ENSG00000143320; ENSG00000132561; ENSG00000114115; ENSG00000145824; ENSG00000185133; ENSG00000137285; ENSG00000108830; ENSG00000116044; ENSG00000092621; ENSG00000154856; ENSG00000182985; ENSG00000182197; ENSG00000104267; ENSG00000125753; ENSG00000140807; ENSG00000150907; ENSG00000105011; ENSG00000186907; ENSG00000108821; ENSG00000119714; ENSG00000145423; ENSG00000132470; ENSG00000103034; ENSG00000053747; ENSG00000114200	3603	3594
1.50603448006e-05	0.00120482758405	GO:0048869	b	3	cellular developmental process	463; 590; 760; 349667; 1277; 1382; 2131; 2185; 2308; 2690; 3691; 3909; 3912; 4147; 4780; 4897; 5881; 5947; 6196; 6423; 22943; 7161; 7408; 8111; 8153; 8313; 9547; 10630; 147495; 85407; 347733; 55723; 23705; 26227; 27124; 65009	ENSG00000169750; ENSG00000107984; ENSG00000150907; ENSG00000140836; ENSG00000078900; ENSG00000168646; ENSG00000112964; ENSG00000091136; ENSG00000120899; ENSG00000071242; ENSG00000143320; ENSG00000132561; ENSG00000114115; ENSG00000145824; ENSG00000185133; ENSG00000137285; ENSG00000108830; ENSG00000116044; ENSG00000092621; ENSG00000154856; ENSG00000182985; ENSG00000182197; ENSG00000104267; ENSG00000125753; ENSG00000140807; ENSG00000091129; ENSG00000105011; ENSG00000186907; ENSG00000108821; ENSG00000119714; ENSG00000145423; ENSG00000162493; ENSG00000132470; ENSG00000103034; ENSG00000053747; ENSG00000114200	3779	3770
1.63409220061e-05	0.00050656858219	GO:0042221	b	2	response to chemical	191; 330; 463; 590; 760; 349667; 132014; 1032; 1277; 2131; 2185; 2308; 2690; 2877; 3291; 4046; 4147; 4780; 4897; 5328; 5423; 5947; 6196; 6423; 6584; 22943; 7083; 7161; 7408; 8111; 8313; 9547; 9963; 26509; 84818; 55504; 23428; 154807	ENSG00000107984; ENSG00000150907; ENSG00000127863; ENSG00000140836; ENSG00000078900; ENSG00000168646; ENSG00000176387; ENSG00000122861; ENSG00000186907; ENSG00000112964; ENSG00000120899; ENSG00000071242; ENSG00000101444; ENSG00000132561; ENSG00000114115; ENSG00000145824; ENSG00000138119; ENSG00000197375; ENSG00000023445; ENSG00000182197; ENSG00000108821; ENSG00000163701; ENSG00000104267; ENSG00000163702; ENSG00000125753; ENSG00000091129; ENSG00000070501; ENSG00000092068; ENSG00000114200; ENSG00000119714; ENSG00000176153; ENSG00000145423; ENSG00000130592; ENSG00000167900; ENSG00000129355; ENSG00000196715; ENSG00000116044; ENSG00000170482	4129	4113
2.02227404896e-05	0.00142368093047	GO:0042476	b	4	odontogenesis	760; 1277; 2308; 3691; 3912; 8313	ENSG00000104267; ENSG00000168646; ENSG00000132470; ENSG00000150907; ENSG00000091136; ENSG00000108821	115	115
2.07924062122e-05	0.00269261660448	GO:0030182	b	5	neuron differentiation	463; 349667; 1382; 2131; 2185; 3912; 4147; 5881; 6423; 22943; 7161; 7408; 8153; 4897; 85407; 26227; 27124; 65009	ENSG00000169750; ENSG00000107984; ENSG00000182197; ENSG00000145423; ENSG00000140836; ENSG00000078900; ENSG00000140807; ENSG00000185133; ENSG00000143320; ENSG00000125753; ENSG00000091129; ENSG00000103034; ENSG00000108830; ENSG00000186907; ENSG00000091136; ENSG00000132561; ENSG00000092621; ENSG00000120899	1231	1228
2.14352701602e-05	0.00125480116468	GO:0034405	b	3	response to fluid shear stress	760; 2185; 4780; 5328	ENSG00000116044; ENSG00000122861; ENSG00000120899; ENSG00000104267	34	34
2.61416909308e-05	0.00125480116468	GO:0009888	b	3	tissue development	760; 1277; 1382; 2131; 2185; 2308; 2690; 3691; 3866; 3909; 3912; 5328; 6423; 22943; 7161; 7408; 8313; 147495; 85407; 55504; 26227; 65009	ENSG00000107984; ENSG00000127863; ENSG00000078900; ENSG00000168646; ENSG00000122861; ENSG00000112964; ENSG00000091136; ENSG00000120899; ENSG00000143320; ENSG00000092621; ENSG00000154856; ENSG00000182197; ENSG00000171346; ENSG00000104267; ENSG00000125753; ENSG00000140807; ENSG00000150907; ENSG00000108821; ENSG00000145423; ENSG00000132470; ENSG00000103034; ENSG00000053747	1765	1761
2.95531733106e-05	0.00173378616756	GO:0045595	b	4	regulation of cell differentiation	463; 760; 1277; 1382; 2185; 2308; 2690; 4780; 5881; 5947; 6423; 22943; 7161; 8111; 8153; 8313; 9547; 4897; 27124; 65009	ENSG00000169750; ENSG00000107984; ENSG00000091129; ENSG00000145423; ENSG00000145824; ENSG00000140836; ENSG00000114115; ENSG00000078900; ENSG00000116044; ENSG00000104267; ENSG00000168646; ENSG00000143320; ENSG00000150907; ENSG00000103034; ENSG00000108830; ENSG00000112964; ENSG00000108821; ENSG00000120899; ENSG00000185133; ENSG00000119714	1517	1512
4.14303210528e-05	0.00165721284211	GO:0048731	b	3	system development	463; 590; 760; 349667; 1277; 1382; 2131; 2185; 2308; 2690; 3691; 3912; 4147; 4780; 4897; 5328; 5423; 5881; 5947; 6196; 6423; 22943; 7083; 7161; 7408; 8111; 8153; 8313; 9547; 9963; 10630; 147495; 85407; 347733; 55504; 26227; 27124; 65009	ENSG00000169750; ENSG00000107984; ENSG00000150907; ENSG00000127863; ENSG00000140836; ENSG00000078900; ENSG00000168646; ENSG00000122861; ENSG00000186907; ENSG00000112964; ENSG00000091136; ENSG00000120899; ENSG00000071242; ENSG00000143320; ENSG00000132561; ENSG00000114115; ENSG00000145824; ENSG00000185133; ENSG00000137285; ENSG00000108830; ENSG00000092621; ENSG00000154856; ENSG00000182197; ENSG00000104267; ENSG00000125753; ENSG00000140807; ENSG00000091129; ENSG00000070501; ENSG00000108821; ENSG00000119714; ENSG00000145423; ENSG00000162493; ENSG00000167900; ENSG00000132470; ENSG00000103034; ENSG00000116044; ENSG00000170482; ENSG00000114200	4290	4278
4.32994089615e-05	0.00216531694149	GO:0051240	b	4	positive regulation of multicellular organismal process	330; 760; 1277; 1382; 2185; 2690; 4780; 5328; 6423; 6584; 22943; 7161; 8111; 8153; 8313; 84818; 4897; 23705; 65009	ENSG00000023445; ENSG00000107984; ENSG00000145423; ENSG00000078900; ENSG00000116044; ENSG00000104267; ENSG00000168646; ENSG00000143320; ENSG00000122861; ENSG00000182985; ENSG00000091129; ENSG00000103034; ENSG00000108830; ENSG00000112964; ENSG00000108821; ENSG00000163702; ENSG00000120899; ENSG00000197375; ENSG00000119714	1426	1424
4.34209416809e-05	0.00374867463178	GO:0045597	b	5	positive regulation of cell differentiation	463; 760; 1277; 1382; 2185; 2690; 5881; 6423; 7161; 8111; 8153; 8313; 4897; 65009	ENSG00000169750; ENSG00000145423; ENSG00000140836; ENSG00000078900; ENSG00000104267; ENSG00000168646; ENSG00000143320; ENSG00000091129; ENSG00000103034; ENSG00000108830; ENSG00000112964; ENSG00000108821; ENSG00000120899; ENSG00000119714	830	829
