p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
3.0309748681e-05	0.00612256923357	Alpha6 beta4 integrin-ligand interactions	PID	integrin4_pathway	ENSG00000132470; ENSG00000053747; ENSG00000091136	3909; 3691; 3912	13	11
0.000115815758232	0.00784423773863	Focal Adhesion	Wikipathways	WP306	ENSG00000023445; ENSG00000169750; ENSG00000132470; ENSG00000091136; ENSG00000125753; ENSG00000108821; ENSG00000053747	330; 1277; 3691; 7408; 3909; 5881; 3912	190	190
0.000159262772139	0.00784423773863	Focal adhesion - Homo sapiens (human)	KEGG	path:hsa04510	ENSG00000169750; ENSG00000023445; ENSG00000132470; ENSG00000091136; ENSG00000125753; ENSG00000108821; ENSG00000053747	3691; 7408; 5881; 1277; 3909; 3912; 330	201	200
0.000174238959111	0.00784423773863	Wnt signaling pathway - Homo sapiens (human)	KEGG	path:hsa04310	ENSG00000169750; ENSG00000107984; ENSG00000145423; ENSG00000140807; ENSG00000145506; ENSG00000168646	8313; 5881; 6423; 22943; 85407; 85409	143	142
0.000194164300461	0.00784423773863	Collagen formation	Reactome	R-HSA-1474290	ENSG00000132470; ENSG00000108821; ENSG00000138316; ENSG00000053747; ENSG00000090530	55214; 3691; 1277; 3909; 140766	94	92
0.000309375529331	0.0101604893931	Laminin interactions	Reactome	R-HSA-3000157	ENSG00000132470; ENSG00000053747; ENSG00000091136	3691; 3909; 3912	25	23
0.000352096167086	0.0101604893931	segmentation clock	BioCarta	hespathway	ENSG00000145506; ENSG00000140807; ENSG00000107984	85409; 85407; 22943	25	24
0.000616854115955	0.012388295911	Beta1 integrin cell surface interactions	PID	integrin1_pathway	ENSG00000091136; ENSG00000108821; ENSG00000053747; ENSG00000122861	1277; 3909; 3912; 5328	70	67
0.000622504417746	0.012388295911	multi-step regulation of transcription by pitx2	BioCarta	pitx2pathway	ENSG00000145506; ENSG00000140807; ENSG00000107984	85409; 85407; 22943	30	29
0.00075940895693	0.012388295911	wnt signaling pathway	BioCarta	wntpathway	ENSG00000145506; ENSG00000140807; ENSG00000107984	85409; 22943; 85407	32	31
0.000810013965469	0.012388295911	Alpha6Beta4Integrin	NetPath	Pathway_Alpha6Beta4Integrin	ENSG00000132470; ENSG00000091136; ENSG00000078900; ENSG00000053747	3691; 7161; 3912; 3909	74	72
0.000834477012978	0.012388295911	WNT-Ncore	Signalink	None	ENSG00000107984; ENSG00000140807; ENSG00000145423	6423; 85407; 22943	32	32
0.000914100948327	0.012388295911	Alpha 6 Beta 4 signaling pathway	Wikipathways	WP244	ENSG00000132470; ENSG00000053747; ENSG00000091136	3909; 3691; 3912	33	33
0.000917138966932	0.012388295911	Interleukin-17 signaling	Reactome	R-HSA-448424	ENSG00000163701; ENSG00000163702	132014; 84818	8	8
0.000919922963691	0.012388295911	Cell-Cell communication	Reactome	R-HSA-1500931	ENSG00000132470; ENSG00000053747; ENSG00000125753; ENSG00000120899; ENSG00000182985	2185; 7408; 23705; 3909; 3691	131	129
0.0013181295881	0.0164167870046	ECM-receptor interaction - Homo sapiens (human)	KEGG	path:hsa04512	ENSG00000132470; ENSG00000053747; ENSG00000108821; ENSG00000091136	3691; 3909; 3912; 1277	82	82
0.00138419758625	0.0164167870046	Validated transcriptional targets of AP1 family members Fra1 and Fra2	PID	fra_pathway	ENSG00000132470; ENSG00000053747; ENSG00000122861	3691; 3909; 5328	38	38
0.00146288201031	0.0164167870046	Type I hemidesmosome assembly	Reactome	R-HSA-446107	ENSG00000132470; ENSG00000053747	3691; 3909	11	10
0.00164120067981	0.0170095564845	Cell junction organization	Reactome	R-HSA-446728	ENSG00000132470; ENSG00000053747; ENSG00000125753; ENSG00000182985	7408; 23705; 3909; 3691	89	87
0.00172738348956	0.0170095564845	inactivation of gsk3 by akt causes accumulation of b-catenin in alveolar macrophages	BioCarta	gsk3pathway	ENSG00000145506; ENSG00000140807; ENSG00000107984	85409; 85407; 22943	42	41
0.00178123140179	0.0170095564845	Synthesis of IP2, IP, and Ins in the cytosol	Reactome	R-HSA-1855183	ENSG00000151689; ENSG00000185133	27124; 3628	11	11
0.00185252595376	0.0170095564845	Non-integrin membrane-ECM interactions	Reactome	R-HSA-3000171	ENSG00000132470; ENSG00000091136; ENSG00000053747	3691; 3912; 3909	46	42
0.00198318870138	0.0174175703338	Beta3 integrin cell surface interactions	PID	integrin3_pathway	ENSG00000108821; ENSG00000091136; ENSG00000122861	1277; 3912; 5328	43	43
0.00240913873992	0.0202575734069	a6b1 and a6b4 Integrin signaling	PID	a6b1_a6b4_integrin_pathway	ENSG00000132470; ENSG00000091136; ENSG00000053747	3691; 3912; 3909	48	46
0.00250712542165	0.0202575734069	D-<i>myo</i>-inositol (1,4,5)-trisphosphate degradation	HumanCyc	PWY-6363	ENSG00000151689; ENSG00000185133	27124; 3628	13	13
0.00283187380824	0.0202973415596	Wnt Signaling Pathway and Pluripotency	Wikipathways	WP399	ENSG00000145506; ENSG00000122861; ENSG00000140807; ENSG00000168646	85409; 85407; 5328; 8313	101	101
0.00291397477835	0.0202973415596	fibrinolysis pathway	BioCarta	fibrinolysispathway	ENSG00000140836; ENSG00000122861	463; 5328	14	14
0.00291397477835	0.0202973415596	Repression of WNT target genes	Reactome	R-HSA-4641265	ENSG00000106829; ENSG00000168646	7091; 8313	14	14
0.00291397477835	0.0202973415596	Inositol Phosphate Metabolism	SMPDB	SMP00462	ENSG00000151689; ENSG00000185133	27124; 3628	14	14
0.0033496337613	0.0225542006594	Negative regulation of TCF-dependent signaling by WNT ligand antagonists	Reactome	R-HSA-3772470	ENSG00000107984; ENSG00000145423	22943; 6423	15	15
0.00482607987243	0.0302537475845	MET activates PTK2 signaling	Reactome	R-HSA-8874081	ENSG00000091136; ENSG00000053747	3912; 3909	20	18
0.00494244391232	0.0302537475845	Wnt Canonical	INOH	None	ENSG00000106829; ENSG00000107984; ENSG00000145423; ENSG00000168646	22943; 7091; 8313; 6423	120	118
0.00494244391232	0.0302537475845	Wnt Mammals	INOH	None	ENSG00000106829; ENSG00000107984; ENSG00000145423; ENSG00000168646	22943; 7091; 8313; 6423	120	118
0.00537360314803	0.0310133667401	akt signaling pathway	BioCarta	aktpathway	ENSG00000112964; ENSG00000150907	2308; 2690	19	19
0.00537360314803	0.0310133667401	prion pathway	BioCarta	prionpathway	ENSG00000053747; ENSG00000091136	3909; 3912	21	19
0.00594826325211	0.0324743020791	Wnt-beta-catenin Signaling Pathway in Leukemia	Wikipathways	WP3658	ENSG00000107984; ENSG00000168646	8313; 22943	20	20
0.00594826325211	0.0324743020791	superpathway of D-<i>myo</i>-inositol (1,4,5)-trisphosphate metabolism	HumanCyc	PWY-6358	ENSG00000151689; ENSG00000185133	27124; 3628	20	20
0.00669051117912	0.0355653488995	Extracellular matrix organization	Reactome	R-HSA-1474244	ENSG00000138316; ENSG00000053747; ENSG00000090530; ENSG00000132470; ENSG00000091136; ENSG00000108821	55214; 3691; 1277; 3909; 3912; 140766	295	289
0.00717769253948	0.0371767664865	Inositol Metabolism	SMPDB	SMP00011	ENSG00000151689; ENSG00000185133	27124; 3628	22	22
0.00755819532405	0.0381688863865	Collagen biosynthesis and modifying enzymes	Reactome	R-HSA-1650814	ENSG00000108821; ENSG00000138316; ENSG00000090530	55214; 1277; 140766	70	69
0.00810440961551	0.0399290424959	Focal Adhesion-PI3K-Akt-mTOR-signaling pathway	Wikipathways	WP3932	ENSG00000132470; ENSG00000091136; ENSG00000150907; ENSG00000112964; ENSG00000053747; ENSG00000108821	2308; 3691; 3909; 2690; 3912; 1277	301	301
0.00851179267828	0.0405371780749	Glycosaminoglycan biosynthesis - heparan sulfate / heparin - Homo sapiens (human)	KEGG	path:hsa00534	ENSG00000182197; ENSG00000103489	64131; 2131	24	24
0.00862920127336	0.0405371780749	Metabolism	Reactome	R-HSA-1430728	ENSG00000182197; ENSG00000059573; ENSG00000176153; ENSG00000101444; ENSG00000092621; ENSG00000185813; ENSG00000114115; ENSG00000151689; ENSG00000159423; ENSG00000104267; ENSG00000188921; ENSG00000176387; ENSG00000169738; ENSG00000129353; ENSG00000103489; ENSG00000196715; ENSG00000114200; ENSG00000167900; ENSG00000170482; ENSG00000185133	2131; 3291; 191; 5833; 5832; 154807; 5947; 590; 401494; 27124; 64131; 760; 9963; 2877; 51181; 3628; 7083; 26227; 8659; 57153	2035	1994
0.00985192799837	0.0452293058107	E2F transcription factor network	PID	e2f_pathway	ENSG00000122861; ENSG00000078900; ENSG00000167900	7161; 7083; 5328	79	76
