p-value	q-value	term_goid	term_category	term_level	term_name	members_input_overlap	members_input_overlap_geneids	size	effective_size
4.92148097926e-08	8.09413287607e-07	GO:1901363	m	2	heterocyclic compound binding	58; 103; 1054; 1589; 2091; 2356; 3017; 3320; 3336; 3643; 4151; 4350; 4619; 4620; 4624; 4670; 5625; 6142; 6187; 7458; 8971; 9149; 9704; 6830; 10209; 10432; 10693; 10963; 11325; 79132; 84163; 51621; 51637; 8334; 54952; 54971; 57410; 57761; 80818; 26227; 255877; 26973; 29896; 64425; 65095	ENSG00000105204; ENSG00000132141; ENSG00000153879; ENSG00000105202; ENSG00000173812; ENSG00000161940; ENSG00000198231; ENSG00000169926; ENSG00000109061; ENSG00000108771; ENSG00000087302; ENSG00000140988; ENSG00000101255; ENSG00000197616; ENSG00000180573; ENSG00000100033; ENSG00000196275; ENSG00000231852; ENSG00000109111; ENSG00000129347; ENSG00000092621; ENSG00000142186; ENSG00000171105; ENSG00000125414; ENSG00000158373; ENSG00000198125; ENSG00000105640; ENSG00000106682; ENSG00000080824; ENSG00000137054; ENSG00000160710; ENSG00000125945; ENSG00000172530; ENSG00000180098; ENSG00000168439; ENSG00000239306; ENSG00000184897; ENSG00000136877; ENSG00000110172; ENSG00000134815; ENSG00000143632; ENSG00000115541; ENSG00000103152; ENSG00000164548; ENSG00000099783	5944	5883
6.16207252124e-08	1.10917305382e-06	GO:0044822	m	5	poly(A) RNA binding	103; 2091; 3320; 3336; 4670; 6142; 6187; 7458; 8971; 9704; 6830; 10209; 10432; 10963; 11325; 51637; 54952; 29896; 65095	ENSG00000140988; ENSG00000184897; ENSG00000239306; ENSG00000105202; ENSG00000105640; ENSG00000173812; ENSG00000106682; ENSG00000080824; ENSG00000198231; ENSG00000160710; ENSG00000134815; ENSG00000115541; ENSG00000129347; ENSG00000109111; ENSG00000164548; ENSG00000180098; ENSG00000168439; ENSG00000099783; ENSG00000087302	1184	1180
7.70869797721e-08	8.09413287607e-07	GO:0097159	m	2	organic cyclic compound binding	58; 103; 1054; 1589; 2091; 2356; 3017; 3320; 3336; 3643; 4151; 4350; 4619; 4620; 4624; 4670; 5625; 6142; 6187; 7458; 8971; 9149; 9704; 6830; 10209; 10432; 10693; 10963; 11325; 79132; 84163; 51621; 51637; 8334; 54952; 54971; 57410; 57761; 80818; 26227; 255877; 26973; 29896; 64425; 65095	ENSG00000105204; ENSG00000132141; ENSG00000153879; ENSG00000105202; ENSG00000173812; ENSG00000161940; ENSG00000198231; ENSG00000169926; ENSG00000109061; ENSG00000108771; ENSG00000087302; ENSG00000140988; ENSG00000101255; ENSG00000197616; ENSG00000180573; ENSG00000100033; ENSG00000196275; ENSG00000231852; ENSG00000109111; ENSG00000129347; ENSG00000092621; ENSG00000142186; ENSG00000171105; ENSG00000125414; ENSG00000158373; ENSG00000198125; ENSG00000105640; ENSG00000106682; ENSG00000080824; ENSG00000137054; ENSG00000160710; ENSG00000125945; ENSG00000172530; ENSG00000180098; ENSG00000168439; ENSG00000239306; ENSG00000184897; ENSG00000136877; ENSG00000110172; ENSG00000134815; ENSG00000143632; ENSG00000115541; ENSG00000103152; ENSG00000164548; ENSG00000099783	6024	5963
7.37950596134e-07	2.58282708647e-05	GO:0005859	c	3	muscle myosin complex	4619; 4620; 4624; 4632	ENSG00000125414; ENSG00000109061; ENSG00000197616; ENSG00000168530	19	19
1.6058961032e-06	0.000220007766138	GO:0070252	b	5	actin-mediated cell contraction	58; 4620; 4624; 4632; 4633; 7138	ENSG00000105048; ENSG00000125414; ENSG00000197616; ENSG00000111245; ENSG00000168530; ENSG00000143632	94	94
1.71046499268e-06	4.78930197951e-05	GO:0003723	m	4	RNA binding	103; 2091; 3320; 3336; 4670; 6142; 6187; 7458; 8971; 9704; 6830; 10209; 10432; 10963; 11325; 79132; 51637; 54952; 29896; 65095	ENSG00000140988; ENSG00000184897; ENSG00000239306; ENSG00000105202; ENSG00000105640; ENSG00000173812; ENSG00000106682; ENSG00000080824; ENSG00000198231; ENSG00000160710; ENSG00000134815; ENSG00000115541; ENSG00000129347; ENSG00000108771; ENSG00000109111; ENSG00000164548; ENSG00000180098; ENSG00000168439; ENSG00000099783; ENSG00000087302	1630	1613
2.38820578297e-06	9.0751819753e-05	GO:0044424	c	2	intracellular part	58; 103; 755; 1054; 1374; 1589; 2091; 2356; 3017; 3320; 3336; 3643; 4014; 4350; 4619; 4620; 4624; 4632; 4633; 4670; 5625; 6142; 6187; 7038; 7138; 7458; 8971; 9149; 9704; 6830; 9989; 10209; 10432; 10562; 10598; 10693; 10963; 345895; 11170; 11325; 79132; 79934; 79091; 83666; 83758; 51005; 84163; 51621; 51637; 199990; 8334; 54922; 54952; 54971; 56929; 56954; 57410; 57720; 57761; 80818; 26227; 255877; 125058; 29886; 29888; 29896; 64425; 65095	ENSG00000105204; ENSG00000132141; ENSG00000105048; ENSG00000153879; ENSG00000105202; ENSG00000106266; ENSG00000173812; ENSG00000129347; ENSG00000161940; ENSG00000198231; ENSG00000139194; ENSG00000169926; ENSG00000109061; ENSG00000168439; ENSG00000162066; ENSG00000087302; ENSG00000140988; ENSG00000101255; ENSG00000090372; ENSG00000197616; ENSG00000143632; ENSG00000180573; ENSG00000100033; ENSG00000162585; ENSG00000138496; ENSG00000196275; ENSG00000231852; ENSG00000109111; ENSG00000168309; ENSG00000111834; ENSG00000092621; ENSG00000142186; ENSG00000171105; ENSG00000125414; ENSG00000158373; ENSG00000105640; ENSG00000106682; ENSG00000080824; ENSG00000137054; ENSG00000168530; ENSG00000125945; ENSG00000172530; ENSG00000042832; ENSG00000145780; ENSG00000108771; ENSG00000203782; ENSG00000148358; ENSG00000180098; ENSG00000160710; ENSG00000105538; ENSG00000239306; ENSG00000184897; ENSG00000114021; ENSG00000136877; ENSG00000111245; ENSG00000102837; ENSG00000110090; ENSG00000134815; ENSG00000160226; ENSG00000100591; ENSG00000115541; ENSG00000123815; ENSG00000167291; ENSG00000103152; ENSG00000164548; ENSG00000099783; ENSG00000154845; ENSG00000067365	13719	13638
2.78915698942e-06	9.48313376404e-05	GO:0016460	c	4	myosin II complex	4619; 4620; 4624; 4632	ENSG00000125414; ENSG00000109061; ENSG00000197616; ENSG00000168530	26	26
3.98295003504e-06	0.000454117847564	GO:0006936	b	4	muscle contraction	58; 3320; 4151; 4619; 4620; 4624; 4632; 4633; 7138	ENSG00000105048; ENSG00000125414; ENSG00000197616; ENSG00000198125; ENSG00000111245; ENSG00000080824; ENSG00000168530; ENSG00000143632; ENSG00000109061	324	324
4.70588443072e-06	0.000454117847564	GO:0030048	b	4	actin filament-based movement	58; 4620; 4624; 4632; 4633; 7138	ENSG00000105048; ENSG00000125414; ENSG00000197616; ENSG00000111245; ENSG00000168530; ENSG00000143632	113	113
