p-value	q-value	term_goid	term_category	term_level	term_name	members_input_overlap	members_input_overlap_geneids	size	effective_size
5.36248039678e-07	3.4856122579e-05	GO:0072525	b	5	pyridine-containing compound biosynthetic process	54981; 23475; 23498; 93100	ENSG00000147813; ENSG00000103485; ENSG00000106733; ENSG00000162882	22	22
2.71200661945e-05	0.000298320728139	GO:0004514	m	5	nicotinate-nucleotide diphosphorylase (carboxylating) activity	23475; 93100	ENSG00000147813; ENSG00000103485	3	3
2.97348067523e-05	0.00282480664147	GO:0055114	b	3	oxidation-reduction process	216; 1376; 1384; 4717; 5502; 7166; 10553; 246181; 55328; 22977; 23498; 23530	ENSG00000184719; ENSG00000165092; ENSG00000109854; ENSG00000095321; ENSG00000135447; ENSG00000162482; ENSG00000157184; ENSG00000112992; ENSG00000129167; ENSG00000211454; ENSG00000109390; ENSG00000162882	979	977
3.98230085401e-05	0.00129424777755	GO:0019362	b	5	pyridine nucleotide metabolic process	54981; 23475; 23498; 23530; 93100	ENSG00000147813; ENSG00000103485; ENSG00000112992; ENSG00000106733; ENSG00000162882	126	126
5.53724074501e-05	0.00670006130146	GO:0072524	b	4	pyridine-containing compound metabolic process	23475; 54981; 23498; 23530; 93100	ENSG00000147813; ENSG00000103485; ENSG00000112992; ENSG00000106733; ENSG00000162882	135	135
6.36270551255e-05	0.00137858619438	GO:0006733	b	5	oxidoreduction coenzyme metabolic process	54981; 23475; 23498; 23530; 93100	ENSG00000147813; ENSG00000103485; ENSG00000112992; ENSG00000106733; ENSG00000162882	139	139
9.00475040959e-05	0.00146327194156	GO:0046874	b	5	quinolinate metabolic process	23475; 23498	ENSG00000103485; ENSG00000162882	5	5
0.000343295932307	0.00549273491692	GO:0016491	m	2	oxidoreductase activity	216; 4717; 7166; 10553; 246181; 55328; 22977; 23498; 23530	ENSG00000184719; ENSG00000165092; ENSG00000109854; ENSG00000162482; ENSG00000112992; ENSG00000129167; ENSG00000211454; ENSG00000109390; ENSG00000162882	737	735
0.000752055005772	0.00977671507504	GO:0009108	b	5	coenzyme biosynthetic process	54981; 23475; 23498; 93100	ENSG00000147813; ENSG00000103485; ENSG00000106733; ENSG00000162882	136	135
0.0011962952929	0.0129598656731	GO:0006586	b	5	indolalkylamine metabolic process	7166; 23498	ENSG00000129167; ENSG00000162882	17	17
0.00196148054894	0.0685286268123	GO:0051188	b	4	cofactor biosynthetic process	23475; 54981; 23498; 93100	ENSG00000147813; ENSG00000103485; ENSG00000106733; ENSG00000162882	176	175
0.00226691282	0.0685286268123	GO:0006732	b	4	coenzyme metabolic process	23475; 54981; 23498; 23530; 93100	ENSG00000147813; ENSG00000103485; ENSG00000112992; ENSG00000106733; ENSG00000162882	305	304
